Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a2ee198737fbe7de2859e2afdac1bb13f73f68d68664c287e48e0296bfdddb09,2013-04,Dorset Police,Dorset Police,-2.469864,50.590745,On or near DOVER ROAD,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
0fd04b7469588885916b70cd0cf1b01c148a7527d796d1e7c0af99bfa7bc21e7,2013-04,Dorset Police,Dorset Police,-2.329583,50.695760,On or near BINGHAMS ROAD,E01020538,West Dorset 011C,Investigation complete; no suspect identified
99bee0b8d5463598669c26ba3a4b34d281fd607d49890981526310fff94784cc,2013-04,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
e35311aadbcd214b789c15dfab5cf16ef88c5bf855303a68e79a17a996f442c8,2013-04,Dorset Police,Dorset Police,-1.777373,50.735717,On or near Supermarket,E01020367,Christchurch 006D,Investigation complete; no suspect identified
c84636d02b8807fe5ed66c2b0bae6fcd7cc5884a53b05f015b5622952491a457,2013-04,Dorset Police,Dorset Police,-2.020564,50.763921,On or near VICTORIA CLOSE,E01020388,East Dorset 012G,Investigation complete; no suspect identified
1f86404103943563c3cf4ad9b65b1fae1f567fe507e8b0ef2091d4c577b0706a,2013-04,Dorset Police,Dorset Police,-2.056514,50.769305,On or near CRUMPETS DRIVE,E01020409,East Dorset 005C,Investigation complete; no suspect identified
d2a99a787e8bfd1e9db0dbb600071069fbe919eb92f23285c0b087a186fe1d22,2013-04,Dorset Police,Dorset Police,-2.188558,51.014047,On or near FOUNTAIN MEAD,E01020456,North Dorset 003C,Investigation complete; no suspect identified
5613dee8d5f5023533f961675dadb2f1600e5280855deb427de0fad3886e1fa3,2013-04,Dorset Police,Dorset Police,-2.025098,50.732086,On or near SANDY CLOSE,E01020473,Purbeck 002C,Investigation complete; no suspect identified
fb80d021980384c8c71a3b95b79c945d461774590884900477a1c27b0f77579b,2013-04,Dorset Police,Dorset Police,-2.762751,50.733415,On or near Bus/Coach Station,E01020503,West Dorset 008B,Investigation complete; no suspect identified
67b084690b06e83516477d1bdbb4dc93568b77a94a235dd323f9f3e06c9832ae,2013-04,Dorset Police,Dorset Police,-2.640006,50.713245,On or near GARDEN CLOSE,E01020512,West Dorset 012A,Investigation complete; no suspect identified
500aa9fcbde4de514d60895e1b15d5d876d6e404d9fc27051ce48e4f5690bcb2,2013-04,Dorset Police,Dorset Police,-2.785421,50.740072,On or near SHEAR PLOT,E01020517,West Dorset 007B,Investigation complete; no suspect identified
e137cfb92061b9d544bca38e96decd2a5dd17617ca26468897461e83459de716,2013-04,Dorset Police,Dorset Police,-2.482800,50.610999,On or near GRANBY CLOSE,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
8e6d95dff1e758b5238a818ddd7cc3a2eec205416d9717f600cf355f977abf3b,2013-04,Dorset Police,Dorset Police,-2.446327,50.709948,On or near MAUD ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
02ea864a1aa66f23fab8716ba620cd3e0810d4b6e49513a6eb5a30362ae0785d,2013-04,Dorset Police,Dorset Police,-1.964570,50.803737,On or near THE VINERIES,E01020381,East Dorset 007D,Investigation complete; no suspect identified
b5ca8276f0639d569ec3d04a85aa9442be20cd0157e4e1d0a2e455fe33ffa091,2013-04,Dorset Police,Dorset Police,-1.866905,50.879608,On or near Petrol Station,E01020418,East Dorset 002C,Investigation complete; no suspect identified
4a2be2c9375a32a0434251c002a313803a58d9401c1f28815c9b68c2c8798384,2013-04,Dorset Police,Dorset Police,-2.236981,50.843005,On or near SAXON RISE,E01020441,North Dorset 008D,Investigation complete; no suspect identified
9ff7c3ddd443558a19df50c7b5a8caf143684e1330043183c3ad713f203020a5,2013-04,Dorset Police,Dorset Police,-2.054029,50.631061,On or near HALVES COTTAGES,E01020466,Purbeck 005A,Investigation complete; no suspect identified
08f09b5da6f414a35795c0de5f480d8fb2d33bf34b855a5c62942a3f0faee831,2013-04,Dorset Police,Dorset Police,-2.085069,50.758766,On or near CRUMPLERS CLOSE,E01020470,Purbeck 001C,Investigation complete; no suspect identified
78bd49c84aef2ee46549197642792906efa1e987a1cf935a494fde4a6a0d9da3,2013-04,Dorset Police,Dorset Police,-2.023527,50.734227,On or near ALLENS ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
975b4a2754f44d042f367262b0f7a717696c0652a764c44b3a2fe18c61059103,2013-04,Dorset Police,Dorset Police,-2.263533,50.667709,On or near EAST KNIGHTON LANE,E01020490,Purbeck 004B,Investigation complete; no suspect identified
6cc04d113dfe535a00833ff74109077aa47e267e995d41f70329f34f52892849,2013-04,Dorset Police,Dorset Police,-2.224733,50.691198,On or near LYTCHETT LANE,E01020493,Purbeck 004E,Investigation complete; no suspect identified
22bf9d45b568d4046d3d3f79884fe5e0316d874afc97692a27ec4f8934f3ee47,2013-04,Dorset Police,Dorset Police,-2.562214,50.917329,On or near BLACKSMITH'S LANE,E01020497,West Dorset 002A,Investigation complete; no suspect identified
860d26f02b9156306e402c7d39e197de154fc3da2a8d121a212a69fb1aeb0ed9,2013-04,Dorset Police,Dorset Police,-2.444959,50.550321,On or near TRADECROFT,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
225683b094ef3a432ce69fd59d42e032601014095d9a472d008189685ff32e65,2013-04,Dorset Police,Dorset Police,-2.771736,50.754192,On or near B3162,E01020536,West Dorset 007D,Investigation complete; no suspect identified
d5a4419553f89af126aa8508b22b66b9bd34c98e0032d9975f0c9c5a59b35b9b,2013-04,Dorset Police,Dorset Police,-1.791607,50.746912,On or near KINGSWAY CLOSE,E01020353,Christchurch 002C,Investigation complete; no suspect identified
b64d92b7f9d898e467ff2b0d1ead15d0544fbfbc3f77c5ea2f97d48a5975fe74,2013-04,Dorset Police,Dorset Police,-2.023504,50.772410,On or near BROOK LANE,E01020382,East Dorset 012A,Investigation complete; no suspect identified
2480ee2990ef311a54e619182b9e327f2ea6eb7fc2105870df5565fd8b57560e,2013-04,Dorset Police,Dorset Police,-2.383706,50.958284,On or near PARK ROAD,E01020434,North Dorset 004B,Investigation complete; no suspect identified
f0ca2aee11b69ed6f291ed74381bb625b9a6b01ede8b6759cffd3564260f3cf9,2013-04,Dorset Police,Dorset Police,-2.164865,50.856861,On or near Supermarket,E01020438,North Dorset 007D,Investigation complete; no suspect identified
bf4d9136c526743dc757f4c1f227c995d2a18caea3fb227a2eb9b0002a7c9867,2013-04,Dorset Police,Dorset Police,-2.273717,51.033284,On or near BRICKYARD LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
a7d86772bc4a2f1a493def1208a3161127b4c5e97c70bf30d8db5851824d6675,2013-04,Dorset Police,Dorset Police,-2.187497,51.016000,On or near TOLLGATE PARK,E01020456,North Dorset 003C,Investigation complete; no suspect identified
4061530e99fe0b4ff1f8925a40935749156419962453d63331e771cde0f6f8df,2013-04,Dorset Police,Dorset Police,-2.230982,50.956888,On or near CHURCH LANE,E01020462,North Dorset 002D,Investigation complete; no suspect identified
aca0a2d976a1ee9b98ad1c2a4c60ec732be780a513f5d969a98de04d34b8c9f2,2013-04,Dorset Police,Dorset Police,-2.751018,50.811269,On or near PILSDON CLOSE,E01020495,West Dorset 003B,Investigation complete; no suspect identified
2f5673d28324b919c51489e7341f9a7f9f44e7ccd715028aceb9b4c62f296778,2013-04,Dorset Police,Dorset Police,-2.439351,50.634795,On or near EASTDOWN GARDENS,E01020557,Weymouth and Portland 002A,Investigation complete; no suspect identified
