Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
649ff5026c6fbf0086c32bc0dbb36fd6b59938374c6bfc5312dc941837069720,2014-10,Dorset Police,Dorset Police,-2.250352,50.899773,On or near Petrol Station,E01020446,North Dorset 005C,Investigation complete; no suspect identified
7392f3768d6f5a4b5ea2093b1d5a7471aa2800dbc2832ee157f640c9786a9c78,2014-10,Dorset Police,Dorset Police,-2.453463,50.615721,On or near QUEEN STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
b8d6cd8197945a8c28d2a8cc9645ee16fa99c9c756f0ab86ade6df6ce6bfc435,2014-10,Dorset Police,Dorset Police,-1.972097,50.794045,On or near CHURCHILL ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
9dcb9aa77b9e303a90e113e3130f21c620bab67002b401e2558dfe7586b3cf2e,2014-10,Dorset Police,Dorset Police,-1.737699,50.740230,On or near GRANGE ROAD,E01020370,Christchurch 004B,Investigation complete; no suspect identified
d20a8444ada0eee8f36ddad744bfc3d55e0b9f4ad94055bba265e9dfc5a229ab,2014-10,Dorset Police,Dorset Police,-1.793383,50.742815,On or near JUMPERS ROAD,E01020360,Christchurch 006A,Investigation complete; no suspect identified
1ca01ce8d1b9dcdb2732ec476a5734395d90ecbefca27ccbe78ad0c5d4f27a00,2014-10,Dorset Police,Dorset Police,-2.454025,50.608030,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
1c89245bfb89a6ee17ce38326bf0bb6cbad202df3df0f2190a0618f8ffc366ad,2014-10,Dorset Police,Dorset Police,-1.879827,50.857033,On or near BROAD MEAD ROAD,E01020412,East Dorset 003B,Investigation complete; no suspect identified
93504bf855bc9ed1943119d3625b614f5d491d1d3a8403e6ed81dcb9db733d66,2014-10,Dorset Police,Dorset Police,-1.787321,50.741878,On or near GROVE ROAD EAST,E01020359,Christchurch 002D,Investigation complete; no suspect identified
ad0124ac5e06aa21dc0927e07aea05fe36d079683a227e13e10b3f77db4fb519,2014-10,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
6b347eb05f45d9163f4ae17f319bd1e7f1023719c56641d99cfa85f07de75cad,2014-10,Dorset Police,Dorset Police,-2.267752,51.032479,On or near LODDEN VIEW,E01020443,North Dorset 001A,Investigation complete; no suspect identified
f9adce12b53a6d620c9b3e122bfa0dfb7d78b6c10c8ae02d7d72c062dd83736a,2014-10,Dorset Police,Dorset Police,-2.447296,50.609333,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
2f43b026f6acdf2b89eb4bc9b77e8633b21abea5aeb1dc9d9a362022c63c6f87,2014-10,Dorset Police,Dorset Police,-2.191624,51.007379,On or near Parking Area,E01020454,North Dorset 003A,Investigation complete; no suspect identified
9a5b805931ef804e2a2dfba74c4aa4d7e327b3aff6a46a9c77b7c607935062b5,2014-10,Dorset Police,Dorset Police,-1.872121,50.812251,On or near Supermarket,E01020394,East Dorset 008E,Investigation complete; no suspect identified
