Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cd37350c513278cd75d4b881c44203fd7c45baca0ae821268e1a0b0ca5d9771a,2014-10,Humberside Police,Humberside Police,-0.340181,53.741304,On or near Shopping Area,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
7271ceaf76af141257cd692818e5613ddcfd49a49ccb961424844a76cb9636dd,2014-10,Humberside Police,Humberside Police,-0.348839,53.747500,On or near SPRING STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
5906b696e35d670fbab42d58d492a6f1cc1522426b0e37def0b79a9a5a2da7d6,2014-10,Humberside Police,Humberside Police,-0.373600,53.742895,On or near GRANVILLE STREET,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
bff695824c9429c28653f1c96d76a20d7c8ab4931599c090e033f24ddc50e925,2014-10,Humberside Police,Humberside Police,-0.343339,53.756620,On or near GOODRICH CLOSE,E01012856,Kingston upon Hull 024C,Investigation complete; no suspect identified
0d05a30641aa0f03d19abce403cc03933e4e1a14c6f813eb7ec153482e690c37,2014-10,Humberside Police,Humberside Police,-0.330980,53.751172,On or near JENNING STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
369d128728ba353327913e154ca1fb129fe998092bfc18a1af9c34c839bca14c,2014-10,Humberside Police,Humberside Police,-0.353517,53.751214,On or near HUTT STREET,E01012850,Kingston upon Hull 024A,Investigation complete; no suspect identified
bd47331df1a76f9cb31cb29a231700b41a52c412fb474d4d49a08fa3dcec46a1,2014-10,Humberside Police,Humberside Police,-0.334733,53.746029,On or near Police Station,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
f6a7f4dfc9eac3d0b303cd540db07259ecd7a210c539db3adc4a979e04f39d9b,2014-10,Humberside Police,Humberside Police,-0.343104,53.742945,On or near ANNE STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
9b99cb4676b3b35db7a581b22f833b52337d45f52caea19ab6e5cbdf04989f52,2014-10,Humberside Police,Humberside Police,-0.376011,53.746047,On or near BECKHOLE CLOSE,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
2a12ba888ae84afadf247c1e084e9e9ddd5588740726e92b9b6431687670a0cc,2014-10,Humberside Police,Humberside Police,-0.314334,53.744188,On or near BRIDGEGATE DRIVE,E01012810,Kingston upon Hull 026D,Investigation complete; no suspect identified
ffe6cdda02864abca91447af8bd30c6f5814e3678dd7ffbe0ca22f9bfc8ed759,2014-10,Humberside Police,Humberside Police,-0.345180,53.747989,On or near Parking Area,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
1d285752143e69c9725994087e8271ff060b94d68a00fcc0163b44d87d3b4d92,2014-10,Humberside Police,Humberside Police,-0.340135,53.747101,On or near UNION STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
7a818a08ec0a27d2b59d511d34635502eba37e9d5c62d34edf880d90c7325cbd,2014-10,Humberside Police,Humberside Police,-0.345378,53.748352,On or near PRYME STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
242e9f7983dee811d856fbaec94c733841c22045b97aa26d3a8db7b674313ef3,2014-10,Humberside Police,Humberside Police,-0.358287,53.744403,On or near Hospital,E01012852,Kingston upon Hull 024B,Investigation complete; no suspect identified
35bf34ad298675d8a7f1134f3e49364b6210017f26d371e8113f637ef56f0ab0,2014-10,Humberside Police,Humberside Police,-0.372993,53.750384,On or near SPRING GROVE,E01012759,Kingston upon Hull 025C,Investigation complete; no suspect identified
b08396f9a147f39e798a406797095f2eeec0390f840898322d0c285bba3b0ade,2014-10,Humberside Police,Humberside Police,-0.379347,53.742119,On or near MELROSE STREET,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
b411f225a7dba7a904e3aec4ffdbcdff2f45e78ed6ba0c5d3e4c55cb3c1ce872,2014-10,Humberside Police,Humberside Police,-0.386663,53.743125,On or near Petrol Station,E01012865,Kingston upon Hull 027E,Investigation complete; no suspect identified
3323cf223f7285f5ae47a3c5481b1be821ca4214e99429204a86cfec22a5b215,2014-10,Humberside Police,Humberside Police,-0.315165,53.743886,On or near CHANDLERS COURT,E01012810,Kingston upon Hull 026D,Investigation complete; no suspect identified
23862761063e15362ad6bffe664d4f2ef38a9c1c0e2412762ae297522d686b9f,2014-10,Humberside Police,Humberside Police,-0.345378,53.748352,On or near PRYME STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
7b3e0507f994e5c17e225fe08e68f44caec29c4062ff40971b0acef3b7e87151,2014-10,Humberside Police,Humberside Police,-0.374324,53.741440,On or near WELLS STREET,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
37fb13ab80b56f8cdbafe45b858f071ea5c2de80405b0141d7bb1527f7c833a6,2014-10,Humberside Police,Humberside Police,-0.360888,53.751585,On or near SPRING BANK,E01012757,Kingston upon Hull 025B,Investigation complete; no suspect identified
6d4977647c30a2a8304c22ae9d346dba753a52325aed1567b8e91c81cd4cdcd3,2014-10,Humberside Police,Humberside Police,-0.378408,53.747194,On or near ALBERT AVENUE,E01012864,Kingston upon Hull 027D,Investigation complete; no suspect identified
8fa49c7e10de00cd7ff11d8ad50091158cac5bac838c8f2f3b1f06721849e51e,2014-10,Humberside Police,Humberside Police,-0.347571,53.745433,On or near Shopping Area,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
039b0e32b7a3cb53ea144c490254f6ba6a9a2dca4c95d5befca07070cec07837,2014-10,Humberside Police,Humberside Police,-0.336626,53.742253,On or near POSTERNGATE,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
3daa5ef40263df871d273916d1c473e3841f5c5fb18bdea7e487c4d1a17d0489,2014-10,Humberside Police,Humberside Police,-0.363975,53.736939,On or near BOYNTON STREET,E01012892,Kingston upon Hull 030D,Investigation complete; no suspect identified
24c7e91ce04c2d4f59e793910dca0fa129b43668005923bf14c8d06d4384afcf,2014-10,Humberside Police,Humberside Police,-0.366143,53.735773,On or near SEFTON STREET,E01012889,Kingston upon Hull 030B,Investigation complete; no suspect identified
8b4eca660cc781327db4560f265c4b7ed70a5691647e05c3a88f4358db3d9865,2014-10,Humberside Police,Humberside Police,-0.325169,53.750858,On or near WHITBY STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
76c6afea6671189eaf9455c460c7bdd3888a9edc865ed33b8010752a735dd23e,2014-10,Humberside Police,Humberside Police,-0.377572,53.750014,On or near KINGSPORT CLOSE,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
31c719fac0d7df5fec9ae12cf44748ee5b357045bc777ca2efab8972960b0aa9,2014-10,Humberside Police,Humberside Police,-0.386768,53.733257,On or near SUNNINGDALE ROAD,E01012858,Kingston upon Hull 031A,Investigation complete; no suspect identified
ce941d0e97a65808b96e4e4704aed53ea02d8d28fb32426cb1c37947c0e1c5c9,2014-10,Humberside Police,Humberside Police,-0.325664,53.750990,On or near REDCAR STREET,E01012809,Kingston upon Hull 026C,Investigation complete; no suspect identified
0a00c1036b2b17138fac8e799cdf8f0fd30c7874192d422e7a39c16bfc7f4c4f,2014-10,Humberside Police,Humberside Police,-0.313861,53.752578,On or near Parking Area,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
53640934656ac86ee0de593f2875775e0123f86adaffb14c40e27d49df32ec22,2014-10,Humberside Police,Humberside Police,-0.349481,53.745442,On or near Supermarket,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
8a7f0075d63f3eb9c8ebde37796c06721a5e7e237f459492c61c84d4342ea13f,2014-10,Humberside Police,Humberside Police,-0.339880,53.745111,On or near JAMESON STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
f360c5cdc3a385a80afab004415b5e311388275335e1be5ec1552d74f510b8d8,2014-10,Humberside Police,Humberside Police,-0.380723,53.737490,On or near HADDON STREET,E01033110,Kingston upon Hull 031G,Investigation complete; no suspect identified
ac9c45b69ddbc7638c18a24bf362b5ed18eff1eab8a5e0912a883cc9de1c5e22,2014-10,Humberside Police,Humberside Police,-0.337918,53.747161,On or near JARRATT STREET,E01033109,Kingston upon Hull 029F,Investigation complete; no suspect identified
509c13b36b482c7120300c9356d0cb6d9466bab5a3cc19978c34430257568d84,2014-10,Humberside Police,Humberside Police,-0.358287,53.744403,On or near Hospital,E01012852,Kingston upon Hull 024B,Investigation complete; no suspect identified
57d3d2c1e3595e26c1ce7285eab96c744618044a04bd8012857f215c23265833,2014-10,Humberside Police,Humberside Police,-0.343277,53.747801,On or near WRIGHT STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
80b1555785673408c31fcb118713287005689db0a34c0292b5ff100f619435c7,2014-10,Humberside Police,Humberside Police,-0.318948,53.760425,On or near JAMES RECKITT AVENUE,E01012804,Kingston upon Hull 016A,Investigation complete; no suspect identified
83b4e3017c955fbde09c7737b48cf4795d1af86ed0b62a009c5deae8ca127f61,2014-10,Humberside Police,Humberside Police,-0.334519,53.743778,On or near MANOR STREET,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
28dfb1e88d892e3a1ff93c8a22eda06afe27ca94c284afb1ecf6bf89fee19eb7,2014-10,Humberside Police,Humberside Police,-0.313861,53.752578,On or near Parking Area,E01012805,Kingston upon Hull 026A,Investigation complete; no suspect identified
cd5f3573a167ffd7eb4694aad03c316f7010e7a6208f0b6f6f130829d39c9469,2014-10,Humberside Police,Humberside Police,-0.346599,53.745087,On or near Bus/Coach Station,E01033104,Kingston upon Hull 029E,Investigation complete; no suspect identified
77c0b006176f2e491cc04705545b27fbf54eb95f6d522eb179d874df702f79e6,2014-10,Humberside Police,Humberside Police,-0.339107,53.738179,On or near HALYARD CROFT,E01012854,Kingston upon Hull 029C,Investigation complete; no suspect identified
2c2c5cf1d675b8e6523666b4f4d7115917da1836f219ea3267337f73c6bb2119,2014-10,Humberside Police,Humberside Police,-0.328986,53.745248,On or near CLARENCE STREET,E01033109,Kingston upon Hull 029F,Investigation complete; no suspect identified
da0c323678dc505e3da609f2e9ec5d75aa44c056a8ebd4d0d3ae17e9970f8ebd,2014-10,Humberside Police,Humberside Police,-0.354880,53.750091,On or near SUTTON STREET,E01012850,Kingston upon Hull 024A,Investigation complete; no suspect identified
4e1a0f566e615e6e6a71a0bdc89afd0bfb4c24e72514e982db41367e0a93f216,2014-10,Humberside Police,Humberside Police,-0.372993,53.750384,On or near SPRING GROVE,E01012759,Kingston upon Hull 025C,Investigation complete; no suspect identified
