Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e4771e7a175a6187c398a8841bcfc483d2996bee2cded35da8f9e4c087c291f9,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272955,52.593942,On or near WILLONHOLT,E01015661,Peterborough 010D,Investigation complete; no suspect identified
2a19c7c6f865cf4a189e3abe0adfad3cc8ff0b1c46963ec68e224a1eaa9486d3,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129157,52.196751,On or near Supermarket,E01018005,Cambridge 012D,Investigation complete; no suspect identified
1ddddd9b7d04f7fa2551fbc1b7442d58f55bc119dd0e6f40355ce4b863a83cfd,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110839,52.200821,On or near Further/Higher Educational Building,E01017986,Cambridge 007F,Investigation complete; no suspect identified
b6c51552a68b3fa7e11afffed94d10da4ddea0a0cba96f926765fdb3e1441c39,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.148357,52.637238,On or near REDMOOR LANE,E01018066,Fenland 004A,Investigation complete; no suspect identified
7a89534465ed4e317ab5434b1031e1186df6be5c83e7ce8e1b972c9573f9b19e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.307134,52.550632,On or near CARRADALE,E01015645,Peterborough 018C,Investigation complete; no suspect identified
82f0ae97aba8b8c10592bac5e58ac1b99cbe2cbe1a5d8f651a9c0416d2dd1f5f,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.085829,52.290761,On or near KING STREET,E01018233,South Cambridgeshire 002A,Investigation complete; no suspect identified
bf15db33bf189849aed1fd2c6f98a16e0919157b8e5774341dc889f479fa14ed,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123160,52.202956,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
32cf50d61449a93c2a0167e8427acdd25a73c7e8958e187f6029667d5576dd12,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123160,52.202956,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
1c11c1e8b3ed724dbcfa0314093bd6729da943787cc3bd2220ed75ae2b5e8d71,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136532,52.228485,On or near JACKSON ROAD,E01017975,Cambridge 001A,Investigation complete; no suspect identified
3b4e598f17f26af37ce942b94640b37a08fa0a61feec08ec657b09f7806839f8,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.111217,52.227008,On or near CHANCELLORS WALK,E01017951,Cambridge 002C,Investigation complete; no suspect identified
3cf47c260ef5efe188359bca9598108f492cf2d3ddc20084d99ac162922bb3ae,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.182913,52.331447,On or near ST GERMAIN STREET,E01018151,Huntingdonshire 012E,Investigation complete; no suspect identified
4c6d4f59286cbab17b9800874f146bd7c7625756171385d4cef527fb38f5f52e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.148242,52.227769,On or near GAINSBOROUGH CLOSE,E01017971,Cambridge 003B,Investigation complete; no suspect identified
777ee29a11a220d997ff447873bac57bb62c0a406a2e75528c56527c7a04dd3c,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157595,52.095614,On or near GREENACRES,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified
b5301c8a326c537e78fecbedc70aa84072525a4e1e00346585f081553de318c9,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.170428,52.259449,On or near HIGH STREET,E01018278,South Cambridgeshire 021C,Investigation complete; no suspect identified
dd7b2ee281e95807195b6f06db93fb9bf71603115e136a77a0bc87e796d30c6d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.146839,52.210521,On or near Shopping Area,E01017943,Cambridge 006A,Investigation complete; no suspect identified
b5229675973503293d8aa12bf6fd99e9c8980a1e4007914aaf5629bb3eae9d4a,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269657,52.222543,On or near MONTAGU COURT,E01018185,Huntingdonshire 021E,Investigation complete; no suspect identified
5f9eb5c663b97de974817911e2dc54614ef711cfef23d00ec702966218f7605d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118692,52.410216,On or near BRIDGE ROAD,E01018022,East Cambridgeshire 002C,Investigation complete; no suspect identified
550228c4137c58ba3cf192dc9a999cff8dc248cc257d3c410885092befaf095e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241881,52.570594,On or near Nightclub,E01015599,Peterborough 014A,Investigation complete; no suspect identified
b4d353132d9602d9a2bad6ca64eedda5aec31fd801315079db8da9cf67bb247e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.045186,52.080385,On or near THE CAUSEWAY,E01018227,South Cambridgeshire 019B,Investigation complete; no suspect identified
0f0a547bf6badd2ac22bb36989a850e9f24ce5b6d729a15d41bc5e8654a2d4c9,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.286878,52.227749,On or near Supermarket,E01018175,Huntingdonshire 020D,Investigation complete; no suspect identified
bf83ac2575f28fdd1aaac563c708fd0b143dc94845c6b5a814b386042972df82,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.277019,52.553183,On or near THE VILLAGE,E01015638,Peterborough 022A,Investigation complete; no suspect identified
c9dcf2ee8065ad14a231333a68258c38468b1fb2de759da36b98266294bdcbb2,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.257627,52.593268,On or near BRASSEY CLOSE,E01015632,Peterborough 010C,Investigation complete; no suspect identified
de60e758b3a6d1179982f25c1cc62bf64e59c6d1f3e9f7a39bb046d89527ae56,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.102606,52.202182,On or near CRANMER ROAD,E01017986,Cambridge 007F,Investigation complete; no suspect identified
7ba58805c64dde71801652bac544365aae9895e73046aa67ae7ee8eb5a35d209,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
a4f938506c74fc9ff9da6e77a7ffa5d075137e4f3ad670f9937576dcd5dcdf23,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244141,52.563516,On or near REGAL PLACE,E01015621,Peterborough 017A,Investigation complete; no suspect identified
cdbbf129736cda8996165eb16cc5d9551272ea93c107e9888592897e9c8f29ec,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.125165,52.201418,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
b7a758a84b17ada8e7244342749a67f0dd224bfd95244eb6234dd48311ad7ab1,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265342,52.603514,On or near CARLETON CREST,E01015676,Peterborough 006C,Investigation complete; no suspect identified
db9697fe3f46fa084876c2676a5f0dc933acb935f5b6ceb22865bbd2f34a6350,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.057115,52.448142,On or near TRIBUNE CLOSE,E01018110,Fenland 011E,Investigation complete; no suspect identified
6c200777cbd3446473ef8c18454556256f421585de19dfa6027edb26b4f12f23,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.109092,52.200385,On or near SIDGWICK AVENUE,E01017986,Cambridge 007F,Investigation complete; no suspect identified
583df9dc2abfe2ce100bfcd0af5d5403a7b04803a82cadaff2dafbbed79a10fa,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.111468,52.560871,On or near CRESCENT ROAD,E01018072,Fenland 006B,Investigation complete; no suspect identified
8b117a3ddfc3ff514e32521be37adba6c0b7c3df5f1f85cb1f731edaaace856c,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.246668,52.393645,On or near PILGRIMS WAY,E01033428,East Cambridgeshire 004G,Investigation complete; no suspect identified
74865726b7d5904153bd33c59c37a01f5e6e6a8687a1d68b9ad4694f4fe5117e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.049535,52.456033,On or near OLD AUCTION YARD,E01018110,Fenland 011E,Investigation complete; no suspect identified
d8bf2d533ee0c4d89f40e48b21495b2f1ebaecc7752f65497d120ac3b58b3dd2,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.145516,52.187128,On or near WEST STREET,E01018136,Huntingdonshire 018B,Investigation complete; no suspect identified
d9e81c230b26aaa3d7f4fad793b3e3a02dcf8fe15d4a01483610abb1b2723ddf,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.090954,52.101250,On or near FEN ROAD,E01018226,South Cambridgeshire 019A,Investigation complete; no suspect identified
3c4a1f83d72406d904c16225135a864dace5d1f33e8b996e30bfa34546ff5c89,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245641,52.566217,On or near CUBITT WAY,E01015622,Peterborough 016A,Investigation complete; no suspect identified
5d1c8ef2d51da4fc54a6323e93a8511350b28425e3da29c23ac60d6b5d1c0817,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.192696,52.153162,On or near MILL STREET,E01018245,South Cambridgeshire 013A,Investigation complete; no suspect identified
a83761721a4992b1eba67a720df1c67ad3ceefbe68ad2e3a403a910374ba378f,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.136952,52.229908,On or near Supermarket,E01017977,Cambridge 001C,Investigation complete; no suspect identified
a90721eff695d1247d1ca44becc22aef1c8707d1e77975ea0e516e556e273074,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.113344,52.210434,On or near NORTHAMPTON STREET,E01017958,Cambridge 005D,Investigation complete; no suspect identified
ecc3c137d9d7af5e9550435ea2f093a02cc8d6d4c36b0595811484458c92fd6d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.093540,52.180241,On or near VICARAGE DRIVE,E01018225,South Cambridgeshire 009B,Investigation complete; no suspect identified
5ca08d7af6c32de7d3895b42c6943267e13c281001bec3fffd45b2f6d836ceff,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.086223,52.230465,On or near GIRTON ROAD,E01018248,South Cambridgeshire 009C,Investigation complete; no suspect identified
e661b109ac11598c0022ee059365e599b8f6fe925b49426f53d6e2718ba6f073,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.112471,52.210854,On or near POUND HILL,E01017958,Cambridge 005D,Investigation complete; no suspect identified
a6d50ca663c0884246fd245430d87c0f05c0f5ffe4317073d8c46da95cdaff75,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.184631,52.333928,On or near ASHTON GARDENS,E01018138,Huntingdonshire 012A,Investigation complete; no suspect identified
91f8f18796655d3aea2b44fdc36c00af8e5144dd5634cf02345290f364a63d62,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142620,52.199214,On or near GREAT EASTERN STREET,E01017998,Cambridge 009B,Investigation complete; no suspect identified
f77e33464717c52ef7d7995bd69ddac041d2069f2d7462455ccd1454a6c4c513,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.090237,52.550243,On or near Supermarket,E01018077,Fenland 007A,Investigation complete; no suspect identified
26aa2fc9a172fa5c267686544b613723dccd35360cdcab0ca3206db244b7800a,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.176755,52.124504,On or near SAINFOIN CLOSE,E01018281,South Cambridgeshire 015C,Investigation complete; no suspect identified
8ca3fd527a6dd62adadb9e710c3a9297c3e9268fbb3d0672872deff3062a6623,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.167578,52.640664,On or near FEN WAY,E01018066,Fenland 004A,Investigation complete; no suspect identified
8fbce158643a639759e070bcf6a3435d63412541ff6cff4510cbe913d2283b7d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.130643,52.204575,On or near PROSPECT ROW,E01032797,Cambridge 007G,Investigation complete; no suspect identified
e93b0f38b04ea5bfb6f934f2723f7e4a749366afa0283b98085ea73a01ff72f2,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244900,52.572212,On or near CROSS STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
376da5367ad34fcc8d87b426f79428f4b067e47f8e98983cbfac1bc0639cf79e,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.252873,52.203005,On or near ORCHARD CLOSE,E01018296,South Cambridgeshire 011F,Investigation complete; no suspect identified
bd1da69814545e919ed143186e02b181bacc2883a2c4cb2c5cc33b07ae555f40,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269615,52.591025,On or near WICKEN WAY,E01015661,Peterborough 010D,Investigation complete; no suspect identified
2ba343e783ed6457942374d7d5c9353adc818dce9c6ea1bcabf522aeeda737ea,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.147319,52.189534,On or near LICHFIELD ROAD,E01017965,Cambridge 010A,Investigation complete; no suspect identified
e636aee01abf2d4cf6bcb0245501e5428e4719d19d5c649a50a2ef92f6dd1e10,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.311217,52.539155,On or near MANASTY ROAD,E01015647,Peterborough 021F,Investigation complete; no suspect identified
acb51eca4936e22e6581c4017301061ee022ca6546cf79ae0263b06e3da013d6,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.187794,52.204572,On or near CHURCH ROAD,E01018286,South Cambridgeshire 011D,Investigation complete; no suspect identified
85fe2686cf07dad3e493d4b3dbea02899175e2a790476da92d162385afe05672,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.276205,52.547606,On or near Pedestrian Subway,E01015639,Peterborough 021B,Investigation complete; no suspect identified
2ee36e36badaebfb4ccac2d9fc5d28656cb88a95ba3e8c5f5b3976df8e5677c8,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.139934,52.186252,On or near MARSHALL ROAD,E01017996,Cambridge 013E,Investigation complete; no suspect identified
ce0767e09bdefcb3d2030c4c368a4e91681ff09890ac936888f5b12d59af2c25,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243542,52.235438,On or near BARGROVES AVENUE,E01018135,Huntingdonshire 018A,Investigation complete; no suspect identified
e141db0dbff9285a48b4f39ff21ae577e992da70a61f2741641a4ce3425df7c3,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.203833,52.584454,On or near EDGERLEY DRAIN ROAD,E01015616,Peterborough 013F,Investigation complete; no suspect identified
c9c18b8144d20a647031a1014d1f0c0221b29d27aa65d4c3ad078d0a8f98683d,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240962,52.576955,On or near Theatre/Concert Hall,E01015602,Peterborough 014C,Investigation complete; no suspect identified
9ba4e76333660f2ba8e657e82e411d1e4d26999d12daff4ea113a83e722cff39,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.120621,52.203721,On or near CORN EXCHANGE STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
0b64387a441802cf42e63d70def759a2d6e658245d182919639051bd7f618ae9,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.217051,52.549004,On or near WRIGHT AVENUE,E01015670,Peterborough 019C,Investigation complete; no suspect identified
d7b30b8a81677b47d4a9ebd7c0a32ba638e224e825569c12e2ca20788fe0ef0f,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.170229,52.317656,On or near SYLTON CLOSE,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
bc91a90276e35147e2c567e3b9b92d8a984c89700b747082e357c989716efc70,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.183361,52.329476,On or near Parking Area,E01018151,Huntingdonshire 012E,Investigation complete; no suspect identified
a5b1aa5c428035272ec1e5121d1b2e28e110b082bb21faab656f366f5955479b,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.170229,52.317656,On or near SYLTON CLOSE,E01018132,Huntingdonshire 014B,Investigation complete; no suspect identified
8007045a668c523f457ede0a3d2af0fcf716e4a24d3385af7cf6c97797f16673,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.122570,52.203776,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
cbf3606c8a8b0f5f7402336961dc928038457cab1f226495e1c8d5e18ab187ef,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123106,52.214089,On or near CROFT HOLME LANE,E01018009,Cambridge 004D,Investigation complete; no suspect identified
ab300778ce6a96b73c29a0e3072e44b8507daf261abbeb5513c9e4d11309536c,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.188354,52.336584,On or near ASTILBE LANE,E01018150,Huntingdonshire 012D,Investigation complete; no suspect identified
d25ab6fb76efb88447d7a1340c60e4730bf71398732752302e8a49a80837c1e1,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.270319,52.405134,On or near NEW BARNS AVENUE,E01033430,East Cambridgeshire 003G,Investigation complete; no suspect identified
2206c3dd6bfcdf223b934d9c7fa9ce1c29935413def747081c0145d98feec6a2,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118701,52.208269,On or near BRIDGE STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
f35e5665fe94b0b0a6bb2ad430709caa740f4a482197d92b596f3e7c64875edc,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.186054,52.189695,On or near TAMARIN GARDENS,E01018287,South Cambridgeshire 011E,Investigation complete; no suspect identified
ba577aabc62f882f82b464fc979c9483039b35985323396bb07988d104b18a8f,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.107899,52.202088,On or near Theatre/Concert Hall,E01017986,Cambridge 007F,Investigation complete; no suspect identified
93df3b9725eba8d92b898ec246840c2e780ac29c96255efe07de70a80c132a3c,2014-10,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.155816,52.088093,On or near BLAKELAND HILL,E01018238,South Cambridgeshire 017A,Investigation complete; no suspect identified
