Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f5766993e1da26dd88c590f218851d6df87fb989521cd638650c5f8bbd8aabdb,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.737927,52.404452,On or near PINE CLOSE,E01026477,Breckland 017D,Offender given conditional discharge
f7f7f11bf0b97472d7e9b32684a19471e96e8615ad9ed4d9f635e60080e10d35,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.401792,52.753740,On or near WATERLOO STREET,E01026698,King's Lynn and West Norfolk 011A,Offender sent to prison
e58bc2b1b14ce121892ef27a9cf84774b2d667a7804faf4f44bf46e35f009523,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.732509,52.610524,On or near JURY STREET,E01026597,Great Yarmouth 005C,Offender fined
af163d1a78da33a06185a0317fd8cc7c118469f79df6ac960556d7fe1f05386a,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.349130,52.781454,On or near AYLSHAM ROAD,E01026789,North Norfolk 012D,Defendant found not guilty
5a2f61fdad6518532437c8e89f4610cf235bad9d455bd3085b628a3fa82b5bf8,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.306179,52.763614,On or near ALMA CHASE,E01026711,King's Lynn and West Norfolk 008B,Offender fined
678580e5366a53df3eaa42e85650328b3cfd1cbaf05789662d6e08564a9cbedc,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.292282,52.638826,On or near MAGPIE ROAD,E01026826,Norwich 007E,Offender sent to prison
0fd8374401bcf261b75aa972f0a67687a90f4e7366df34230c98a2924552d180,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.422969,52.752140,On or near OAK CIRCLE,E01026666,King's Lynn and West Norfolk 009A,Offender given conditional discharge
4583c90504a0ac678ef97cf7e7f305435f369671ecd6ad76306b4e16e82d8045,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.263540,52.762329,On or near MILL ROAD,E01026501,Broadland 001C,Offender otherwise dealt with
250a5e4ed08ea87d135be05dc8991a06d8fa51d21c2f0f8a702040aa61a97a30,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.414971,52.766151,On or near REID WAY,E01026690,King's Lynn and West Norfolk 007D,Offender given community sentence
c5f18cb4b04f1bbbbb8a8c0940e116eae80d22e0c07446e8560cd868a7400786,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.574114,52.605638,On or near BAKER'S ROAD,E01026539,Broadland 018D,Court case unable to proceed
