Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fa19a0e6319674a3d1b3a3f0eb787caaeb19d1bd749d9b7bfbcd5fec58d860ea,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041643,51.682803,On or near M25,E01001551,Enfield 002E,Investigation complete; no suspect identified
5ad17885de47e85c138af66ddc5b8aae8d62ce5546429164ffe8c28c32f423b7,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019704,51.683343,On or near LONG CROFT DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
eb6722d0751eaf17dbbc80bfd3950ca49277c6e6d1b3aa587ec6775cb06142d1,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031900,51.688989,On or near ST JOSEPH'S ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
7ea395bb64879d47019d95e9b9798db2a4624dc6f8878c612ed7fd8b1f1f8849,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.059480,51.696668,On or near Parking Area,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
8431de4549914b89089fa87e1232a92f36f454c6e8055d586ae93d450ab6a364,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027356,51.713309,On or near MONTGOMERY DRIVE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
b16a17a4225e1bc694c62e2efea5ae62ff148821eb1d4ee2bb5c373a081419ec,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051273,51.711208,On or near OAKVIEW CLOSE,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
1b4db763c3ce2e1f57a43378d0c6ed689eb06356bd712fd64ed89a7271135572,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036124,51.719076,On or near Shopping Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
261eed76f5017ffde18d229773a2c3cccccd37c1c12e7b488c8049d94c285676,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034495,51.702233,On or near TURNER'S HILL,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
fa8ee703a058ebed569611622a5072897ad2dc28374e262a74d0b9222a43ff45,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051273,51.711208,On or near OAKVIEW CLOSE,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
6b9a4bec6e65909837c6d4a38e606d37e0fd582b13d7afd682b905fa13ef9aa4,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027313,51.693669,On or near FELSTEAD ROAD,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
3a5966a88a88f6369d88de93170d97bc53d8c041188e627e037fb2fa5bde6e92,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033919,51.698141,On or near THE BRAMBLES,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
b66515f2e62febea7ea65d682c718b0099edb1674acab84a5abe21146ef0d200,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035262,51.685529,On or near BERKLEY AVENUE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
5d64ab0e0a1fe349b61ad329afa6732d3604b9d81f2122b7548e0cb85e174982,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031895,51.697109,On or near ACTON CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
7e23e688fd242dbf5ee0972eed616c0aacb3e40c9b0de84f84032e600983ec21,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032921,51.684447,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
f8e4e06188839fbba42712e5063fc15500fef929453bffdf6e4368ad155befad,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
ff8b2ddb5d4fbea08902e431a18ad63e2744c49d0cdb604f7c871e57eb09f624,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043032,51.702924,On or near GREAT CAMBRIDGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
06a7e250c50b9b4bdce493d3d45fe87c7e21029cea153969ae442c4965dc2b6d,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026197,51.699684,On or near DARCY CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
