Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c4f4380a3035ec81c4c8098c29c9ac63fc46b6de4ca0546a138183293166a445,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.398272,51.663785,On or near STATION ROAD,E01023861,Watford 009C,Suspect charged
982329683f9f449bf6622304c67a1e3908bebb4398905659a09965b6c7fd7660,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.282629,51.949560,On or near CRABBES CLOSE,E01023616,North Hertfordshire 012F,Suspect charged
e407b7ede721632efba34cab2602218c8934fc7a7e51f9f74a935c3a88429290,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.278841,51.949280,On or near Parking Area,E01023616,North Hertfordshire 012F,Suspect charged
55bba2f2238d950f9578eaff14c3e6477ba770f5dc0d8b7690020aeec3660c83,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Suspect charged
c44aa7ba21905d292af03679c5baa943cfd2604b0304c4b24946a7c86a6c7721,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.169310,51.879649,On or near BROADWATER CRESCENT,E01023766,Stevenage 012D,Investigation complete; no suspect identified
bb2016d71f1fba844ad7a5f7476fbe5408f5cbdd9457f6bc3646f8850459b902,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.468619,51.741280,On or near ORAM PLACE,E01033023,Dacorum 018H,Suspect charged
65b2b6e7786979262fb926da12c2efec9a8760a6f9de3a0eef913dee00e514ac,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.022477,51.724926,On or near ROBINIA ROAD,E01023342,Broxbourne 005C,Suspect charged
003688cbffa7c749f4155329cd6f2ee9a81ca91e1557375c3d28ee71ec8e1cc5,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027239,51.721319,On or near BROOMFIELD AVENUE,E01023344,Broxbourne 005E,Suspect charged
58f9cf2510558794e3081b652c67a3e9be20b5aff20d29c166a4ee1e0a735de1,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.192356,51.904571,On or near THE DELL,E01023757,Stevenage 008C,Investigation complete; no suspect identified
50681cb5bc2ca2c404cec76a70682a8981c0fe3d69886d23c90a7e0642c1035a,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.491871,51.755923,On or near Petrol Station,E01023429,Dacorum 011D,Investigation complete; no suspect identified
2a45f5c833cffe8f24315a56cd28be224f85ebea5b5ac7741761ddaebfafbdaf,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.395434,51.679869,On or near ST ALBANS ROAD,E01023896,Watford 005B,Offender given penalty notice
f3cb3d9b4dfc20181d031f7805dc27d28f42035c417bd5025e4a5d6f7b57c633,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.182719,51.908874,On or near Pedestrian Subway,E01023781,Stevenage 006D,Investigation complete; no suspect identified
a299ecaaab926c23e3759da20e0132e74131f57c8594553b3775eb963e844b39,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.393365,51.697861,On or near HORSESHOE LANE,E01023905,Watford 001B,Investigation complete; no suspect identified
23f61e384323315d427da36e32d99c29298d271218704b7d2bd4cbf461212f6a,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400520,51.659491,On or near Nightclub,E01023861,Watford 009C,Suspect charged
4267f483b117c84efc6383f244213f12eab811bdf74243a3edfeda890d750b7c,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.384111,51.646452,On or near Parking Area,E01023884,Watford 012C,Suspect charged
b460414666c69973246f3e7d5cc3c042a4f5c57c1249e119228b0c229ecec00b,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473578,51.751029,On or near BRIDGE STREET,E01023398,Dacorum 015D,Investigation complete; no suspect identified
84c5450302190dc1c04f6ebb2818872b4d7369d344e6d2e60b78713eb4958ac3,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473578,51.751029,On or near BRIDGE STREET,E01023398,Dacorum 015D,Investigation complete; no suspect identified
ff0d749401433b8317dc11a78e7a6f16745ab0e4201312705f9a1935d871d37e,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.466944,51.774501,On or near ISENBURG WAY,E01023397,Dacorum 007E,Investigation complete; no suspect identified
0d98a18b4f09cd95ae1f2902f47635615288ec05021f6add97fe8e2adf81f533,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.331357,51.743566,On or near Park/Open Space,E01023741,St Albans 017E,Investigation complete; no suspect identified
194ad01f5eb4a0bc169d3f286b1ccb8299b855c8e6ca477323dcce8a70d5ff44,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.325809,51.754520,On or near Sports/Recreation Area,E01023676,St Albans 011D,Investigation complete; no suspect identified
74867017f3c6798a3bd128b6c224faafa0b7f942342a4715b562bc965e3087c0,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.330395,51.750386,On or near Supermarket,E01023727,St Albans 012B,Suspect charged
7d994bc9c3a511b34af3e55d3579a6ddcca7a88df1bf9aa141882172b1352207,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.463446,51.775094,On or near DUNLIN ROAD,E01023396,Dacorum 007D,Suspect charged
c780449db38df9fffec252df437df15305caa7e89f32351e726b8aea5957f8b7,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.391328,51.695315,On or near Sports/Recreation Area,E01023905,Watford 001B,Suspect charged
06bf4aed53622458118e45e4bba5e403034e554e333fe9832a5b48794d5008bd,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.166122,51.867153,On or near LONDON ROAD,E01023441,East Hertfordshire 005D,Suspect charged
f81406fce33dbb9fddbed6ed539949020b6072dbf3ae719bea61472eaa5f9522,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473757,51.760734,On or near Parking Area,E01023399,Dacorum 010C,Suspect charged
36104e800e1b05748502b7a224b1c045a05c6756d7cda674d8a8407719ff98cc,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025317,51.814861,On or near TRINITY ROAD,E01023519,East Hertfordshire 012E,Investigation complete; no suspect identified
04572da5752a53178564774b88a2092e7dba237d06f93821318e4e06206a7d95,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.118678,51.859428,On or near GREAT INNINGS NORTH,E01033609,East Hertfordshire 010E,Investigation complete; no suspect identified
292304a42919b73757e9bbba676c070b91ed4d2094ba9fb4ae3f6dfc7bd679c9,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.042232,51.784435,On or near TRINITY ROAD,E01023480,East Hertfordshire 018C,Offender given a caution
c0fdfe3ca2aedbef32bd9ee8c9aecff6b74c6b4c9b44bc337b49529d5f2a41cb,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,0.159879,51.870846,On or near Shopping Area,E01023449,East Hertfordshire 004A,Offender given a caution
1dc7701a63bc8ac1d2fea9ed629e41d1a6334b47f5417798c4967818727e9c11,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.409784,51.678158,On or near GAMMONS LANE,E01023868,Watford 004A,Offender given a caution
097e156bd066ab3cdf8818bf12dd30f79e0fa73c72a12217ac0f46f6d983506e,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.237817,51.765040,On or near GOLDSMITH WAY,E01033308,Welwyn Hatfield 010E,Suspect charged
9b4401a9c25c01e40585fd297b3d639e20a2b3ea009658aaf35bc632ee7cd176,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.435067,51.638726,On or near TOLPITS LANE,E01023841,Three Rivers 011C,Offender given penalty notice
792a4434aea8d2f9262bcbbd9f23f0ca36e41cd81dea7f56934a92159f5e25c8,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.339818,51.742724,On or near Supermarket,E01023737,St Albans 017A,Investigation complete; no suspect identified
54af79e5d8cec99f46f1b87420c5c195e2f10fc223d1b0f96da6d1f2d43b1290,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.449158,51.742401,On or near KIMPS WAY,E01023358,Dacorum 020B,Suspect charged
4f44863fbddb8b2547db9f77a960cb8cce8254bf302d243789225cbdebfe7654,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.504386,51.747244,On or near CHAULDEN LANE,E01023383,Dacorum 016A,Suspect charged as part of another case
ab1b3df01405f42c78a487740ef9c3caad6aef000dfe006f852f15e34d5e3153,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.421572,51.653193,On or near CHESTNUT COURT,E01023886,Watford 008A,Investigation complete; no suspect identified
8f935910485643de6a8ab4ae10cc8995d6904cd4a7a7040de13e191585184247,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.406274,51.682570,On or near Sports/Recreation Area,E01023870,Watford 004C,Investigation complete; no suspect identified
737c625d61ba0003897a05d2d2bb400e660b9aaa72d23cf93faad31e3d163b0d,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.073790,51.717478,On or near JEPPS CLOSE,E01023312,Broxbourne 007B,Suspect charged
