Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
46bda211edf3c044e2d3a6a62d8db9f2782ad4b7a77ae87ae9956c0316ab8418,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.279844,52.539396,On or near RUSTER WAY,E01033180,Peterborough 023F,Investigation complete; no suspect identified
02875a896bbe36e81f88bd69ac2093ad1ce3d8b6dfd1576aff69a534fb49aa47,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245894,52.573926,On or near Shopping Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
e0a9ac7397ce6d64c78396cea5824f1cd7379b651424a5f3316797c7ee8d2a92,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.276858,52.650219,On or near PEAKIRK ROAD,E01015629,Peterborough 001A,Investigation complete; no suspect identified
b25d63e48546d2711b7fc0344f9a5c452b757ab7e5a30249fa417690126bf9b5,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243643,52.520927,On or near WILLOW ROAD,E01018215,Huntingdonshire 001D,Investigation complete; no suspect identified
0ba4964e08db240d7ba7501abc1c941e1d226b518a7d5a7b1f4488fa13842647,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243921,52.568655,On or near VIERSEN PLATZ,E01015599,Peterborough 014A,Investigation complete; no suspect identified
684e72c39ef4bfcadb1a7aeeebbdbd4e6f62cdf8bd3b8c55ce1e86671ed66770,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.090938,52.537050,On or near Sports/Recreation Area,E01018088,Fenland 009D,Investigation complete; no suspect identified
846c5afe43a8d1af4660e0109c4dd15871d8a18f34712edca326bf03844d50c1,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.082295,52.330315,On or near Sports/Recreation Area,E01018169,Huntingdonshire 013D,Investigation complete; no suspect identified
a4e852daf9fd9d9a585d7ca43d8dae60a12437313e05124f817d493966f18a34,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121685,52.206390,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
408fe07638652cc20e467f670cca20b9e5171486245a0914adb620941e3d8cfc,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.237360,52.599424,On or near PRIMROSE CLOSE,E01015633,Peterborough 008D,Investigation complete; no suspect identified
39a03607f5b7a2317ee58db5f08c0e38a792a7ed9919eabdca0ba8c23def26a8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.053774,52.215646,On or near BRACE DEIN,E01033119,South Cambridgeshire 020E,Investigation complete; no suspect identified
3112fffe5b54e6d1ab85e98fb79935b1122cdc61060ad08a787e73fa33041192,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.189349,52.155305,On or near CHURCH STREET,E01018246,South Cambridgeshire 013B,Investigation complete; no suspect identified
3fd2852ffd7fe40f196ed33ec29b30c7ce3720f2f96c8fe144281394bfb9b6bf,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.270579,52.212738,On or near CHAPMAN WAY,E01018181,Huntingdonshire 021A,Investigation complete; no suspect identified
782cd25b40072e5ade17a079beb9f9894e9b8414f8f7d79bbbeed396b7f1cdbf,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.149209,52.220198,On or near FALLOWFIELD,E01017972,Cambridge 003C,Investigation complete; no suspect identified
f12bbd7d7025c156c6fb92e1dbd6a3f51ae7c9c1ea3b9413b27f0a2a7b364e45,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.437761,52.608548,On or near ST GEORGE'S ROAD,E01015628,Peterborough 004D,Investigation complete; no suspect identified
bde6c8ac2fb7cbbea4f923a7889f101c8a59c3674a52c730496f5dd36d4e3c9b,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.257627,52.593268,On or near BRASSEY CLOSE,E01015632,Peterborough 010C,Investigation complete; no suspect identified
f8ca9927d09acde66fb1fca59bd89ddafa90793e815cfbc6a7388b38fff9684f,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245640,52.574381,On or near QUEENSGATE SHOPPING CENTRE,E01015599,Peterborough 014A,Investigation complete; no suspect identified
eb91b8b6eeddbb4e02b6a538d1fd1568b749faa262a4205fac34be5ad721df36,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241376,52.572870,On or near DEAN'S COURT,E01015599,Peterborough 014A,Investigation complete; no suspect identified
20449c4244bf15b65cadc40f758fc71350ddde9e36c8108093013d70a64c1dee,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245401,52.572984,On or near KING STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
20061c421f441b6fec469e281a205e4bc2bc6ac9d99de62324aaa3fe34258782,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.099277,52.445895,On or near ABBEY ROAD,E01018156,Huntingdonshire 003A,Investigation complete; no suspect identified
a81aac2da82616c2684ad337327bbda263a002c70c8f608656584a73a48283ab,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.210881,52.588282,On or near MARRIOTT COURT,E01015614,Peterborough 013D,Investigation complete; no suspect identified
92893c553bb3a869ef02674d7ef15154009b2230f3ec7c83e46f3cb809458b95,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241881,52.570594,On or near Nightclub,E01015599,Peterborough 014A,Investigation complete; no suspect identified
8b8ee67730aa4c18013872870ab720eba8d1254230891e6dc79fda2070b2a335,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.170564,52.196374,On or near HATHERDENE CLOSE,E01017962,Cambridge 011D,Investigation complete; no suspect identified
ba90aa59ccf2ebc999cc4105189dba0e0400c27277cf4ed01fa891f1c1645464,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.233679,52.580794,On or near VERGETTE STREET,E01015655,Peterborough 014E,Investigation complete; no suspect identified
923bc91d6bb802ef7a74b1341d7b579b22a25a2b8a874ff84a92c706727abdc8,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.229945,52.576413,On or near BUCKLE STREET,E01015612,Peterborough 014D,Investigation complete; no suspect identified
1eb1ee9c4adc410dfd92ba6451fc3cbf514df1cd4d1fc4fc3784160648813541,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.146080,52.226370,On or near SCARSDALE CLOSE,E01017971,Cambridge 003B,Investigation complete; no suspect identified
075be4df71f4176f77b7dd03bc58d4025ceea5da5374153012e0a1bc6c74cf58,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127744,52.225074,On or near Supermarket,E01017978,Cambridge 001D,Investigation complete; no suspect identified
380ee8e1f2fcc76b96604267ee771938fbe9bbbe4c88231df9cfca584d09d463,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.175143,52.217026,On or near TIPTREE CLOSE,E01017948,Cambridge 006F,Investigation complete; no suspect identified
f63959b0c084943cb67f468a81ef99d68eb126dbf337975bd42b95aaf9a723b9,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.289244,52.576754,On or near COPELAND,E01015598,Peterborough 015A,Investigation complete; no suspect identified
7c3ec2958d787a8d2c50ea43a0772767b624645fd57b77c9de40c9b89a72e2be,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241215,52.595327,On or near DOGSTHORPE ROAD,E01015608,Peterborough 008B,Investigation complete; no suspect identified
5b0773fa9638a456b43410c6efad00d83e83aafd54a2b74f5980f9a1e902605d,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.115959,52.212167,On or near CHESTERTON LANE,E01017950,Cambridge 002B,Investigation complete; no suspect identified
b8b5c5f72e3b5e7b492ba3e59b0944ef57287119620492e042f8fb348d6ad3de,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121011,52.203921,On or near Shopping Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
8d6b110160cbfb7b0ac0e292dc5131017a870fe6ef9c5a4c9b1cd90198799eb1,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.133349,52.206063,On or near BURLEIGH PLACE,E01017983,Cambridge 007C,Investigation complete; no suspect identified
4be3f0d507ff3b6e6184c1a9c9e9462001936597a31efbb321c0dae759ac9920,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.138803,52.205344,On or near VICARAGE TERRACE,E01017989,Cambridge 008C,Investigation complete; no suspect identified
15687419767661023c0d1506d7b400a3387797d966f4a9af5420cca3e782f6d1,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243921,52.568655,On or near VIERSEN PLATZ,E01015599,Peterborough 014A,Investigation complete; no suspect identified
da402a8eb88eb645efbd95ddfa3f05758a35201a0ac712bba5fd2d64cd64c142,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.265413,52.599478,On or near Shopping Area,E01015677,Peterborough 010E,Investigation complete; no suspect identified
4e4fe66363ec79ac118cf310f847271bf40df92faae42e615e833e978ec3c09d,2015-05,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.124971,52.180785,On or near RUTHERFORD ROAD,E01032794,Cambridge 012E,Investigation complete; no suspect identified
