Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ce64ebf2f658eb6ef9823763f2126f3093601add81e8c0a677894ef82a3abdff,2013-10,Lincolnshire Police,Lincolnshire Police,-0.477246,52.653835,On or near NEWGATES,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
2d986d91bd5a2ed3d4352fd6d40255cc1a7396ea140dad5c052699734510edd0,2013-10,Lincolnshire Police,Lincolnshire Police,-0.093649,52.905378,On or near POST OFFICE LANE,E01026016,Boston 006A,Investigation complete; no suspect identified
60f7cacfe1b809a93367e75980398629663fc8c4c92cf3c289cd90b9d1fd7399,2013-10,Lincolnshire Police,Lincolnshire Police,-0.409829,52.931266,On or near SADDLERS CLOSE,E01026221,North Kesteven 009B,Investigation complete; no suspect identified
6a308984c6035cfc8ac16d76d0d2bb1700bd1ba5ec3e72b287aea4ca6e1fc877,2013-10,Lincolnshire Police,Lincolnshire Police,-0.396848,53.349438,On or near HIGH STREET,E01026414,West Lindsey 008D,Investigation complete; no suspect identified
37f8071cc66fcc844fb541d96575d5355fd78c0c0bdd8c32d7ea528ad3f267ec,2013-10,Lincolnshire Police,Lincolnshire Police,0.105095,53.168706,On or near SPILSBY ROAD,E01026101,East Lindsey 013F,Investigation complete; no suspect identified
dcb6b524cf5a329fc3c51e2ee1f3885cf39ac517d261c477ad2730cfa50d241f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.756309,52.998155,On or near WHEATSHEAF LANE,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
5dba56ac62f78b48c96792dd1bc03c0e4d51a01da3f3ca52cba11e8332ec1c18,2013-10,Lincolnshire Police,Lincolnshire Police,0.337644,53.141656,On or near BRIAR CLOSE,E01026097,East Lindsey 015D,Investigation complete; no suspect identified
6fe9164bb5f10ee40a88660e8fcd76eb3160c283304ced818deef0eb3d1d779c,2013-10,Lincolnshire Police,Lincolnshire Police,-0.136774,52.790199,On or near CULPINS CLOSE,E01026272,South Holland 007E,Investigation complete; no suspect identified
6e3c778758f88228e89f21f3a102756f59210b286319fba2486055f23b09d004,2013-10,Lincolnshire Police,Lincolnshire Police,-0.340016,53.395776,On or near MAPLE DRIVE,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
b3267e446702e6863352b93a8c94be180143d23c75a0646f59e4fabf68c0bb1f,2013-10,Lincolnshire Police,Lincolnshire Police,0.345759,53.149526,On or near Parking Area,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
bd6139a84e0af8267a240f0bdb1feb713e2dddd01ddd538c1bbb46af8478c725,2013-10,Lincolnshire Police,Lincolnshire Police,-0.181099,53.429303,On or near GRANBY ROAD,E01026045,East Lindsey 001A,Investigation complete; no suspect identified
439bc16850bc39c5f3195bbdf22a5d72d2b01fd6c25b9c38f2f4739ae2aeb116,2013-10,Lincolnshire Police,Lincolnshire Police,0.194523,52.768978,On or near LIME STREET,E01026278,South Holland 008E,Investigation complete; no suspect identified
be05366df594a525797b5fc3ddb7db066541394a96b58fcf2e3c4d664f13dd7d,2013-10,Lincolnshire Police,Lincolnshire Police,-0.777411,53.399527,On or near Shopping Area,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
dc64b8c2533cfb0dafa55755966db579b1892c1a62be79b55b326cc703b8f38d,2013-10,Lincolnshire Police,Lincolnshire Police,-0.556484,53.216462,On or near BRANCASTER DRIVE,E01026135,Lincoln 008B,Investigation complete; no suspect identified
da033bbb14c4639157f7a07f8c8d0c2ef00f6e5042a214091ec2e4b17dae705c,2013-10,Lincolnshire Police,Lincolnshire Police,-0.197932,52.774142,On or near Park/Open Space,E01026262,South Holland 009A,Investigation complete; no suspect identified
c95e0036fd7c86a874627c4f6d5fbfc2cc9016d21f21af89f83250d7080a229f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.605589,53.182436,On or near ROMULUS WAY,E01032989,North Kesteven 013C,Investigation complete; no suspect identified
53a96d759beaec53f8d635572d49545050f3d0e1f48c81ad9a1ca4d2055b0f74,2013-10,Lincolnshire Police,Lincolnshire Police,-0.442578,53.252560,On or near THE GREEN,E01026371,West Lindsey 011D,Investigation complete; no suspect identified
4ac3fc95784686795f016e11f1d1b6d53f2d1ad91d8e9f0a00477ef1b958e930,2013-10,Lincolnshire Police,Lincolnshire Police,-0.632344,52.906310,On or near ST ANNE'S STREET,E01026343,South Kesteven 006D,Investigation complete; no suspect identified
6ab4bbc6063ef78378684f3f80e624f96bcbf74e1da4f0fd28735a93a827838f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.556885,53.228153,On or near POPLAR AVENUE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
d7448edab647c43bb6e8cc0f36941d64ba8a83d5f8fb6a28f60c016695055421,2013-10,Lincolnshire Police,Lincolnshire Police,-0.645591,52.902551,On or near TILLING CLOSE,E01026319,South Kesteven 006C,Investigation complete; no suspect identified
05679f8d7a194425884e73fd46b06485bf7921b5f775b1246558e1b1ad8958e5,2013-10,Lincolnshire Police,Lincolnshire Police,-0.494430,53.243076,On or near STOCKING WAY,E01026394,West Lindsey 010B,Investigation complete; no suspect identified
b3beb5e2e4fc339c039b379267f2287d5b7bf8d8005780126f9c364e53386ddb,2013-10,Lincolnshire Police,Lincolnshire Police,-0.780846,53.402493,On or near Bus/Coach Station,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
938ce79032d7657e4884e8f6065beafe784597fd39479a3581ac61e61084eac3,2013-10,Lincolnshire Police,Lincolnshire Police,-0.550750,53.203959,On or near VICTORIA STREET,E01026175,Lincoln 010E,Investigation complete; no suspect identified
64afe219a90a2ce9deda6b4efbff96ba54da4faaeb97118bc23bd27f667c399f,2013-10,Lincolnshire Police,Lincolnshire Police,-0.419011,53.271362,On or near STATION ROAD,E01026373,West Lindsey 011E,Investigation complete; no suspect identified
6242bcc12daf01571a089641bcc6a85a1dde3089bf5bc1770f2e13a9638d2042,2013-10,Lincolnshire Police,Lincolnshire Police,-0.535155,53.223105,On or near CANWICK ROAD,E01026176,Lincoln 006B,Investigation complete; no suspect identified
ba9bdde0d7df3d545aabe5cf1929937ab14801ae3739adcb4ef3de611cae2ef7,2013-10,Lincolnshire Police,Lincolnshire Police,-0.578764,53.213898,On or near Supermarket,E01026161,Lincoln 010A,Investigation complete; no suspect identified
c31ac6e50d8fe5613546567c1aee0ed1dc694bddf65eede9b0f9f0a0f81c9780,2013-10,Lincolnshire Police,Lincolnshire Police,-0.547614,53.232068,On or near WHITEHALL GROVE,E01026143,Lincoln 005B,Investigation complete; no suspect identified
