Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
50bb7f4eb12bb57b15c3b0d2dc554875f08620e85182eb55b32e922adde5a45b,2013-10,Dorset Police,Dorset Police,-2.484331,50.603186,On or near COMET CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
841a0cc4f58964f6e77a8433485a8aea37d2811b3b06c5a0e8660911f6d41c12,2013-10,Dorset Police,Dorset Police,-2.069067,50.761780,On or near WIMBORNE ROAD,E01020470,Purbeck 001C,Investigation complete; no suspect identified
949e3fb0e2d9177dc40047bc03f12583384da1ba36776a7536535a7088921841,2013-10,Dorset Police,Dorset Police,-2.056514,50.769305,On or near CRUMPETS DRIVE,E01020409,East Dorset 005C,Investigation complete; no suspect identified
5310fc34a212bbfeeeafd54a535a0c8757f2deb115cb6a0792da50c16f45180c,2013-10,Dorset Police,Dorset Police,-2.763728,50.730773,On or near ARROWFIELD,E01020502,West Dorset 008A,Investigation complete; no suspect identified
87685a98be40bf2d56c0e1980c270e677fa13fdcbcddd6923e044945dcef4452,2013-10,Dorset Police,Dorset Police,-1.884231,50.874555,On or near MARGARDS LANE,E01020415,East Dorset 003E,Investigation complete; no suspect identified
657558f4f0a828d50d698d5cbf7fe06214eba0009cf1520da0ec2035cf9d0717,2013-10,Dorset Police,Dorset Police,-1.805819,50.761810,On or near HESTAN CLOSE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
27fe4980dbd8061b3c623a6ea4d44843dd45de976e202d7ed4f24225ba6dd78d,2013-10,Dorset Police,Dorset Police,-1.981120,50.794784,On or near POOLE ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
304932f4a90ad7d41554625ce5091adad5835b2f8e3412f0a8ff48df3662768c,2013-10,Dorset Police,Dorset Police,-2.468196,50.606283,On or near CHICKERELL ROAD,E01020584,Weymouth and Portland 006B,Investigation complete; no suspect identified
639aa24ffaa356a80ae76cd41ff0a7cd9015a2fdfab0c683aeae92dd599a4a44,2013-10,Dorset Police,Dorset Police,-2.390101,50.646859,On or near VILLAGE STREET,E01020537,West Dorset 011B,Investigation complete; no suspect identified
8a3d9810e0b26dd65000912522fffe9b5032952ec70ecb9b77d4eb3777e8a34a,2013-10,Dorset Police,Dorset Police,-1.918815,50.920346,On or near Sports/Recreation Area,E01020389,East Dorset 001C,Investigation complete; no suspect identified
a6fd6b5ebe7756fdd8d2bd3a77d483dca511c711ac5446c9a2d610adcbad6b1f,2013-10,Dorset Police,Dorset Police,-1.918815,50.920346,On or near Sports/Recreation Area,E01020389,East Dorset 001C,Investigation complete; no suspect identified
f1ffe0d2472822b08e73e20aa96c78b0a4c6674aa2415ffbe0afc8b01eba06d9,2013-10,Dorset Police,Dorset Police,-1.918815,50.920346,On or near Sports/Recreation Area,E01020389,East Dorset 001C,Investigation complete; no suspect identified
74b7d8593c3e45e8db24a5e1d4e3a31fa074f1b330841eacb8e85189e096c7b7,2013-10,Dorset Police,Dorset Police,-1.963540,50.832585,On or near SPRINGFIELDS,E01020398,East Dorset 005B,Investigation complete; no suspect identified
1cf60af3feb5f55a1de3607708b3d882e9194ff9336dc34c82fd04581f3d31d2,2013-10,Dorset Police,Dorset Police,-2.159188,50.704516,On or near Park/Open Space,E01020476,Purbeck 003A,Investigation complete; no suspect identified
bccfb869b42d9f47d6e34335bcec9861991047d37c08b492a26ef3f42ca61823,2013-10,Dorset Police,Dorset Police,-1.838026,50.829277,On or near Motorway Service Area,E01020406,East Dorset 004D,Investigation complete; no suspect identified
034f8e4f884334cbea7b97078f68ffe0da0e025f2196eafdff5d08377ac3d744,2013-10,Dorset Police,Dorset Police,-1.962631,50.832971,On or near HOLT LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
4564201e478823f5bcebed0c1fe8be3c6a7c87256b6e58faf7f2c3b6428e273c,2013-10,Dorset Police,Dorset Police,-2.457671,50.647395,On or near SELWYN CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
d2c80ac7ec555eca814d113029b4e8f92f646ebc75595256bb6347e37253c9d4,2013-10,Dorset Police,Dorset Police,-2.606388,50.940569,On or near Shopping Area,E01020497,West Dorset 002A,Investigation complete; no suspect identified
5a0997d88b8b888f58cd082268de33a09988e109f964cdf2ec0af204de8eff4b,2013-10,Dorset Police,Dorset Police,-2.821543,50.734256,On or near NORTH ROAD,E01020517,West Dorset 007B,Investigation complete; no suspect identified
5fa577917cb57388db94ce2ce3f1ab278a2da400a3e7a2715f73192e8fae099b,2013-10,Dorset Police,Dorset Police,-2.092626,50.708977,On or near SYCAMORE CLOSE,E01020477,Purbeck 003B,Investigation complete; no suspect identified
5c2aa08d4b07410009d259d4435fddf062d5cc91bee12bc57c44dae9b4eeb313,2013-10,Dorset Police,Dorset Police,-2.531997,50.979500,On or near SPRING LANE,E01020541,West Dorset 002C,Investigation complete; no suspect identified
bb3dc7666dec973d9a5dac68d4f07124a70af7608097c42f8cd0bb82d0da5602,2013-10,Dorset Police,Dorset Police,-2.111430,50.689455,On or near MOUNT PLEASANT,E01020485,Purbeck 003C,Investigation complete; no suspect identified
077c32782a4b58d8d1784ef015f3b4cee1b5ad48dbc0285e3da8d36a6486aa76,2013-10,Dorset Police,Dorset Police,-2.437560,50.714505,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
45e35896e7b202571de20cd2c9d31a172fdee831c498fa0e63c0fbbb8cebe162,2013-10,Dorset Police,Dorset Police,-2.468833,50.612063,On or near FRANKLIN ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
459f8574977d4419d507edd1b67c436aa74e972e40d7b2d496231e7301b8e29a,2013-10,Dorset Police,Dorset Police,-2.052322,50.786303,On or near MILL STREET,E01020409,East Dorset 005C,Investigation complete; no suspect identified
2bce83fdf8a35c47136bc50f5e19fb12ddfc23e382345afdd4528ae54bdf96a3,2013-10,Dorset Police,Dorset Police,-2.230996,50.971042,On or near B3091,E01020460,North Dorset 005D,Investigation complete; no suspect identified
847be4acd97cff0b5a2c992bae2db402e674f7802f6b4b88299cebb591d859be,2013-10,Dorset Police,Dorset Police,-2.466249,50.648090,On or near Parking Area,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
0deafa9e87689ca917d2b44cfabf7afa978fc813095a8681e647d244bca42aa6,2013-10,Dorset Police,Dorset Police,-2.466249,50.648090,On or near Parking Area,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
7274e6a6cf6992d3c1045cbb1c049b6bf0e26d9e32a737c171421cbf697d9a01,2013-10,Dorset Police,Dorset Police,-2.761353,50.732848,On or near ST MICHAEL'S LANE,E01020503,West Dorset 008B,Investigation complete; no suspect identified
4202e44951fbee5d953bd498e77dfe73e2754db35f0bf33187282012b005e0e8,2013-10,Dorset Police,Dorset Police,-2.227242,50.680123,On or near CEDAR CLOSE,E01020492,Purbeck 004D,Investigation complete; no suspect identified
84a5045c0e2559a1bbc7dfe233d47b0389d73563d8730facd708a21e34a37d1e,2013-10,Dorset Police,Dorset Police,-1.902371,50.810671,On or near PRUNUS DRIVE,E01020376,East Dorset 009B,Investigation complete; no suspect identified
7f85d1c3ad29322c2a51b0c84b4ba6f8f86c6852b095e57f75a23a78ebd00d85,2013-10,Dorset Police,Dorset Police,-2.241952,50.892480,On or near WHITE PIT,E01020444,North Dorset 005A,Investigation complete; no suspect identified
1dd6c8914a68d977326a69e704e98e6f7c9ff86de0b31044ef868b9a7b0bbd46,2013-10,Dorset Police,Dorset Police,-2.227242,50.680123,On or near CEDAR CLOSE,E01020492,Purbeck 004D,Investigation complete; no suspect identified
58a7a0f931a49677ad9f45e6d56f63446a9405e113d1bb21bd368ea5b22b1e3d,2013-10,Dorset Police,Dorset Police,-2.241963,50.894585,On or near TOWNSEND,E01020444,North Dorset 005A,Investigation complete; no suspect identified
ce4cf28cfb02925b891245b7da3e6d9558e7e2cfa76b0d595fc75af390792a74,2013-10,Dorset Police,Dorset Police,-2.727091,50.810557,On or near FLAXFIELD RISE,E01020496,West Dorset 003C,Investigation complete; no suspect identified
9e32f317a7c32a7820d57b12c5241588954aef894fa29ec69aa242575f94833f,2013-10,Dorset Police,Dorset Police,-2.192603,50.923893,On or near A350,E01020445,North Dorset 005B,Investigation complete; no suspect identified
5b1bb378f452e6587064c767d3a343ad2a93fecb9964e8e7a0fcd2c84971ab21,2013-10,Dorset Police,Dorset Police,-2.745055,50.857566,On or near A356,E01020494,West Dorset 003A,Investigation complete; no suspect identified
b031b0e897b2f46705e069e5e2e0035c5d5fe0f947db6d9b2572cee8c795c94e,2013-10,Dorset Police,Dorset Police,-2.471937,50.611511,On or near PERTH STREET,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
971dd0c5da9c5b7d607f52ef03f69f1410717bd6e72cce9c775e22c3158cda83,2013-10,Dorset Police,Dorset Police,-2.313365,50.826207,On or near CHURCH ROW,E01020431,North Dorset 008B,Investigation complete; no suspect identified
26655c8b186f2414ae3d2e46e3ca120ae40c542cbebfc6fccf5a27bfb7b75a70,2013-10,Dorset Police,Dorset Police,-1.973458,50.795214,On or near HARDY CRESCENT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
aaf1a35c931b4dec74a03af2949975a808475ebf89c596d62ca449c303595d23,2013-10,Dorset Police,Dorset Police,-1.935466,50.802564,On or near SYCAMORE PLACE,E01020408,East Dorset 009E,Investigation complete; no suspect identified
285f7a33bf67851fb49b2a81a0a6d57cfdba57a064e17bc95d25ea0768472b01,2013-10,Dorset Police,Dorset Police,-2.485648,50.603478,On or near FREEMANTLE ROAD,E01020516,West Dorset 012E,Investigation complete; no suspect identified
91a6cbdb5d6728da0caa65256f80a07acc3744bf6a1c0a5bd1ac5015c8edaef7,2013-10,Dorset Police,Dorset Police,-2.452512,50.716822,On or near PLASSEY CLOSE,E01032643,West Dorset 009G,Investigation complete; no suspect identified
b570b89a8a3ea77f3e70fe3ca8d3fd2c218b6185c34d31c8cb5ee50c6be501ed,2013-10,Dorset Police,Dorset Police,-2.166871,50.742365,On or near A35,E01020465,Purbeck 001A,Investigation complete; no suspect identified
157d596df6673f006d3c50efb3422f746de6cbe5f1b97ca53285535f608deed4,2013-10,Dorset Police,Dorset Police,-2.163357,50.856342,On or near SHEEP MARKET HILL,E01020438,North Dorset 007D,Investigation complete; no suspect identified
4203c46650576ef4d43d62ff8a0ddd60e94d5c6b4e10596aebe110de7152bfb5,2013-10,Dorset Police,Dorset Police,-1.976064,50.608562,On or near SHIRLEY CLOSE,E01020484,Purbeck 006G,Investigation complete; no suspect identified
391b9eee73b5cfb272f2efc0de97622449d06ebd41dde74255f9236574777226,2013-10,Dorset Police,Dorset Police,-2.443448,50.643493,On or near HONEYSUCKLE CLOSE,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
d6af314ccda9e0f920ca324c45ec161eceb291a12d018f5b5f1b1e908338bdbb,2013-10,Dorset Police,Dorset Police,-1.868720,50.815485,On or near Petrol Station,E01020425,East Dorset 006E,Investigation complete; no suspect identified
6b3a2b704fe4e3547e7791274af25a08befd2306224c99dc1db2c06f74e5c048,2013-10,Dorset Police,Dorset Police,-2.852212,50.806284,On or near ATTISHAM LANE,E01020506,West Dorset 003D,Investigation complete; no suspect identified
17d9e1db7358b3e38f43ea710b2cd2d6c7d8401e7a52ce2cdae7ca95b12bbc87,2013-10,Dorset Police,Dorset Police,-2.755412,50.732581,On or near KING STREET,E01020503,West Dorset 008B,Investigation complete; no suspect identified
bbfdf38a4db7b1eef9fbdc25d52d7a328f44f162112a9773f3bf691a49b561c3,2013-10,Dorset Police,Dorset Police,-2.930612,50.727087,On or near EAST CLIFF,E01020532,West Dorset 005B,Investigation complete; no suspect identified
29cd0546cfb7d4254f9aaa17ac9e6c1d26c135e1cabc1e92ec4013b1db45eb6f,2013-10,Dorset Police,Dorset Police,-1.949550,50.822742,On or near PILFORD LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
32b9ca5cab4290e66a5810f0f2585eae82dfdcba6ebf58bb3973f056b6eb8443,2013-10,Dorset Police,Dorset Police,-2.185082,51.010905,On or near WINCOMBE LANE,E01020456,North Dorset 003C,Investigation complete; no suspect identified
05e75584b5ae6c7a229f0486864cf9c8d817e305aafbc1c02a7f7fe17a5e49a9,2013-10,Dorset Police,Dorset Police,-2.574091,50.781906,On or near CATTISTOCK ROAD,E01020534,West Dorset 003F,Investigation complete; no suspect identified
221427ec8fd98ae4170252ad04efb83698297164d51bdcdb51c55ef028f0fa75,2013-10,Dorset Police,Dorset Police,-2.033330,50.869787,On or near SHEEPHOUSE DROVE,E01020396,East Dorset 005A,Investigation complete; no suspect identified
