Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8d123568adf46a456847e85ec2ef4feb5ac318f8f282acf032a55400b0cdf2dd,2014-08,Dorset Police,Dorset Police,-1.872121,50.812251,On or near Supermarket,E01020394,East Dorset 008E,Investigation complete; no suspect identified
4f2d3cda4150546b91e1ffec53d4d14346d501190dcb49a16e438762d77a4aeb,2014-08,Dorset Police,Dorset Police,-2.110953,50.685247,On or near TRINITY LANE,E01020485,Purbeck 003C,Investigation complete; no suspect identified
2c1b04a99cb9f0b7abaa56ffae42752a20115cca2363fc35ec1e1d0c2b0ccbac,2014-08,Dorset Police,Dorset Police,-1.785241,50.747377,On or near VILLETTE CLOSE,E01020352,Christchurch 002B,Investigation complete; no suspect identified
d605e34e49217c15bbec14a49582b01766f8702fc15087d227f7df8a1a47f447,2014-08,Dorset Police,Dorset Police,-1.785285,50.744050,On or near LATCH FARM AVENUE,E01020359,Christchurch 002D,Investigation complete; no suspect identified
bf9823fbf5bbf0680effa455207a518aca1fd1097fe7a2edd7272b5deeab4b1e,2014-08,Dorset Police,Dorset Police,-2.444482,50.645126,On or near HOLZWICKEDE COURT,E01020551,Weymouth and Portland 001A,Investigation complete; no suspect identified
ac0d16a92f0fc1c397a871f84b144bab3eeb2b38d56fde5ab12199b4e3d6457e,2014-08,Dorset Police,Dorset Police,-2.455195,50.615103,On or near Parking Area,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
c865d91baaf5730b0fe3d9b04df554feef0845019bac25e5e1f9d49a10a6576a,2014-08,Dorset Police,Dorset Police,-2.276377,51.041613,On or near Supermarket,E01020443,North Dorset 001A,Investigation complete; no suspect identified
b54dbb51217f175642a1214adbdb6957acf3ca3b74c38a5f5cadd89bd03bfc97,2014-08,Dorset Police,Dorset Police,-2.431025,50.716957,On or near Shopping Area,E01020518,West Dorset 010A,Investigation complete; no suspect identified
cbac261cd067fac0544cd69633e0c618fabed4cb4193ce163d98b9ee08be011a,2014-08,Dorset Police,Dorset Police,-2.167886,50.752732,On or near NEWPORT LANE,E01020465,Purbeck 001A,Investigation complete; no suspect identified
35ed23697e7efdd0cd62ec900309af586697363b399780931b7adb91ed255c52,2014-08,Dorset Police,Dorset Police,-2.502360,50.699846,On or near ST MARTINS FIELD,E01020549,West Dorset 011D,Investigation complete; no suspect identified
6dc317f3af3e821c8b1f4dac671d5a91e183f54e752db5ae710355c573777da8,2014-08,Dorset Police,Dorset Police,-1.891163,50.802460,On or near Supermarket,E01020392,East Dorset 008C,Investigation complete; no suspect identified
02195dde8cd12d6af85a6d9344906ba2df614a8707b3769abe0ba6a8f8018707,2014-08,Dorset Police,Dorset Police,-2.532623,50.753875,On or near RURAL LANE,E01020529,West Dorset 004C,Investigation complete; no suspect identified
12faef00ec23eeb60e9c7d681de4d686214f89a2a4036d2d246bdfce8c446c4b,2014-08,Dorset Police,Dorset Police,-1.978877,50.797401,On or near ST JOHN'S CLOSE,E01020429,East Dorset 010D,Investigation complete; no suspect identified
83e1d5430627c00b1d11659d238401b8eab64bf49a20459bda4faa28e2deb6ff,2014-08,Dorset Police,Dorset Police,-2.781988,50.721129,On or near MOUNT LANE,E01020517,West Dorset 007B,Investigation complete; no suspect identified
9e74441696854a099867b0c9786776bd73574be67bd40af9a16fa8517e989e10,2014-08,Dorset Police,Dorset Police,-2.512951,50.944524,On or near STATION ROAD,E01020546,West Dorset 001E,Investigation complete; no suspect identified
e0dafb80586fefe5726977ab5a59484bd9a9ab2f09d420d327395c64199643fa,2014-08,Dorset Police,Dorset Police,-2.163393,50.858653,On or near NORTH PLACE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
e9e4a8223597f7ea2c8ddc8dfda507babddb0075cad40050655c6bf31701c0d3,2014-08,Dorset Police,Dorset Police,-1.782338,50.740735,On or near REID STREET,E01020360,Christchurch 006A,Investigation complete; no suspect identified
32217bd07e54e0bd6c524bcd35502bbfec17bb259f190f6c266661c371bff734,2014-08,Dorset Police,Dorset Police,-2.457957,50.606953,On or near NORTH QUAY,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
