Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1e311f334781fce7b26253a26bb98bf7d7edc7ae2f3466801179081f50d6719c,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.829610,52.817697,On or near LAMB LANE,E01026780,North Norfolk 009A,Investigation complete; no suspect identified
5f130d65d854e4c7b29b1031708660e178c7737ad2764d8ffb130acc2fa4ffea,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.709667,52.562851,On or near WOODFARM LANE,E01026617,Great Yarmouth 011A,Investigation complete; no suspect identified
a86baaabb05cb0a30fd4f02347f156395bf295be2ca7b9750521473db62483d3,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.295940,52.930932,On or near CANADA ROAD,E01026734,North Norfolk 003A,Investigation complete; no suspect identified
95e7ccff5e0764167a165c4b404a533e2ef57568e9ae1db48a020ca162fe1d56,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.189418,52.614671,On or near BURNTHOUSE LANE,E01026883,South Norfolk 002C,Investigation complete; no suspect identified
6ba9adfd3a81eba4c1dd97553675660b5eee4e7fbcf589d73ee60fc3ecb7eba5,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.731279,52.404641,On or near STEPHENSON WAY,E01026478,Breckland 017E,Investigation complete; no suspect identified
205a7d00192bc8ec2ab5ee980bfebead5488c92cce92d8c28aa43858f67604f3,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.277278,52.639638,On or near DOLPHIN GROVE,E01026825,Norwich 007D,Investigation complete; no suspect identified
cade2a2b478937744bfe9ea2e9d19e1b08c8da7f7bb6795d10a08255dd38bc59,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.425597,52.628334,On or near CUCUMBER LANE,E01026509,Broadland 017B,Investigation complete; no suspect identified
188d12a8b100711b58c3c946cc8b687442f4143db51ab338c4e5601ee22d7582,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.295902,52.626620,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
ee007cae73f9fa4cbf94b642feaa8427ee61eec4dc1fcb431c497c8579f20343,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.612837,52.462686,On or near SHADWELL CLOSE,E01026492,Breckland 012C,Investigation complete; no suspect identified
5905700fda1e39b006c96193c07f5ccd98679cfdda44b8dfe977f0380527427d,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.721636,52.404450,On or near Shopping Area,E01026478,Breckland 017E,Investigation complete; no suspect identified
cc7c06280857ee7e0ae9d029a91a75ff895a86dbf450d93cf9da53ad13e6fd44,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.231706,52.490285,On or near SWAN LANE,E01026940,South Norfolk 011F,Investigation complete; no suspect identified
703e53ff86024cd59b10907e14790a3ecd25f49df207a189882623f6c648b93c,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.730006,52.596382,On or near ORDNANCE ROAD,E01026622,Great Yarmouth 006A,Investigation complete; no suspect identified
43e9ba200bb419d09b1e47dcf007b85826bb2923c9487a8fd2e81a11cbbf9d1b,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.275074,52.646939,On or near BURGESS ROAD,E01026828,Norwich 002A,Investigation complete; no suspect identified
e4a093b9a9ac56c830cb741a22b3fa88d690fd9818ee4d617c4cb742ca26be11,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.745603,52.416063,On or near ST NICHOLAS STREET,E01026468,Breckland 016A,Investigation complete; no suspect identified
149f2a503b14925738ccd46a9ec3fe165fbf7537381bbcee5563dc9ca35ead51,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.929403,52.646823,On or near Parking Area,E01026451,Breckland 008C,Investigation complete; no suspect identified
8ce970a7aa964836d2eba2e4c276a0ccb41a8cdee6d4d19f13a912d5204fc495,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.639466,52.962813,On or near TOWN FARM CLOSE,E01026645,King's Lynn and West Norfolk 002A,Investigation complete; no suspect identified
5d9d520c6089ea29b893d2020bea974d5878734cd34e4fb4b2de10b2427c0a95,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.735679,52.605935,On or near APSLEY ROAD,E01026623,Great Yarmouth 006B,Investigation complete; no suspect identified
8ec95f0f6e6fb972859930475f0309fb9499fae3ba7486bdf8169032ece20932,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.356889,52.629046,On or near WARD'S CHASE,E01026717,King's Lynn and West Norfolk 016F,Investigation complete; no suspect identified
6dfaf1e3f63549062f3e44d9438576d9fd6128323518c34fb746e9cedcf3fcff,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.365523,52.638441,On or near NEIGHBOUR GARDENS,E01026717,King's Lynn and West Norfolk 016F,Investigation complete; no suspect identified
28ca9942810af58c53575b312e4157c96ba1d4b3cab4a008208b57e2edc172be,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.727697,52.582252,On or near PRIORY STREET,E01026632,Great Yarmouth 009E,Investigation complete; no suspect identified
f94486f26a781275226b2861745c9d732447aff0e0b403e60fb1e3cfb073f374,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.395659,52.755420,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
1a0605ca8b97310346fd1dd2aa43f2881c49948c496a1948b4402f2353828276,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.109960,52.498776,On or near HUNTS GREEN,E01026878,South Norfolk 011B,Investigation complete; no suspect identified
ce04bab5b31605feabbddac28ef4f8152e58987f624102f1e801821d16f9f7ee,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.294868,52.630561,On or near ST ANDREWS STREET,E01026823,Norwich 007B,Investigation complete; no suspect identified
8414d280f8fb947071f927a5530219bfdfe884b770a8f7d050c1a9ae505b01bb,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.292444,52.630754,On or near CHARING CROSS,E01026823,Norwich 007B,Investigation complete; no suspect identified
aff85b631b93015d4ee840076d7cfd80068155e0b1dfbe75e8e64f85bafb1975,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.245618,52.641131,On or near HELLESDON CLOSE,E01026869,Norwich 006G,Investigation complete; no suspect identified
2260abac21f88e60a256896fd056ff51b2b9c608eb9e0e5815c3895110b1e0a0,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.291457,52.620961,On or near Supermarket,E01026855,Norwich 011D,Investigation complete; no suspect identified
1c750a497292a05a748767c953e62009ca7953da5f47f05560803b5c612fcd78,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.507813,52.841382,On or near GREENWICH CLOSE,E01026654,King's Lynn and West Norfolk 004B,Investigation complete; no suspect identified
0ed5e5c2ba9684953010874b0e4879d259158e6f133dad4ddc647fb4b7972fa1,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.927953,52.685510,On or near POWELL COURT,E01026428,Breckland 003A,Investigation complete; no suspect identified
4ece0f1cbbf03ed916e0586526e127e0b0c2e65349390bc296c2cbb0893383d5,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.737626,52.406230,On or near ULFKELL ROAD,E01026477,Breckland 017D,Investigation complete; no suspect identified
ec97239033597f8a555ca2e9e16a232e7fce91fa3e7de96f21388f505c042c58,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.730276,52.575937,On or near BELL'S MARSH ROAD,E01026631,Great Yarmouth 010E,Investigation complete; no suspect identified
95ce9b749dc5f8ecd3a28a211f132bb4faf6af08f29cf40718df088b421c3f15,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.280385,52.651325,On or near AYLSHAM CRESCENT,E01026797,Norwich 001A,Investigation complete; no suspect identified
