Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4000c3153b478652578f3c9cd9daa08659224424d8b7771ebf0a9da275f662de,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033271,51.683059,On or near HIGH STREET,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
6363d6fa0630ac470c0db96018551035f5f6e1354a38c52188ba14df8086c39a,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.019704,51.683343,On or near LONG CROFT DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
0b0ef5957a1cedfe219c7bfb5490e77914e2855caaf3e643159d15d20b1d7db9,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027385,51.696997,On or near GARLAND CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
04013b14309b3ef555bbc251173343bfce0223dfdd05d38168632baf7307a609,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
530fc51567f99b01d858b84c98f3fe701545679d68f180aeecd531882d90ed17,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034571,51.715831,On or near BELTONA GARDENS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
10e9191612bc7a5149fd99517a62d5a693e60b67959281da161ec47e61ee4e96,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030745,51.697269,On or near RUSSELL'S RIDE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
56f64b34e3d008ac66aa4a35b9c2fab929f805e2f00bd30fa3cce2508f510374,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034606,51.701659,On or near TURNER'S HILL,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
dae24c5d0f97cb1a9a69d5d65caca5cf7da5d2ec92a6c72a536b41991d5429fe,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
18f27d2f87f54b1a129c4122ff8f139e590ddb64a6b312fbdd527abaefd2a724,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039346,51.708860,On or near HOBBS CLOSE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
e88d1444eca868a48b13d712ece5df1a19864ac0a52f69cc7759748fa479dce2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028977,51.712644,On or near OLDFIELD CLOSE,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
3134b4192c5ed181fcd8ebdccd71448725d5ec7a5de8d60bcb108bbdd77cc5f7,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
7149f40e9ec551909f54c50f28ef934d79dd21654d63f8e2433ff7ed99bf2dc2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
d6480651e134a3f278f40657ed8425c2642780640e90545215001e1fbdb035b7,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029016,51.692762,On or near SOUTHFIELD ROAD,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
4a4006f941f73c6405cbb6ce717319d87c17a63f4a891f3c9496a233310c7432,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040651,51.686024,On or near BROADLANDS CLOSE,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
9a9e9f0ec2483e8a14784027be2d3f98c1a9a7738ee84b797ef56c9f0d4ae31c,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036559,51.693985,On or near MONTAYNE ROAD,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
0edc6a4d19e7e30737285201a451ba892e5f76ee305ef7b26e7ee2ca7446c64f,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
aa2694a0eb6e42c5221022959afdd49a3aae052c925a3c5a36d8e10dc6ddc1ee,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038676,51.688544,On or near LEVEN DRIVE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
8721345a8c6c9127f1db883e618f9ee1da6a5d4562c7aa5443ab48b244d9dceb,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
9f9e60dd5152c5b06386374afa9a053e37972e836ef0316212c530f386d49f08,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036788,51.709420,On or near SYMONDS COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
782b68e3a5b4d9a0ddf22e1d780cbf7a7d13601f1d385784da392001a6032ef8,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040375,51.710155,On or near Petrol Station,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
281341d2a7fe8560a73d48e2e98ad89d9a0dc82c6d7eb1143e6dba997de0abbe,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
0d5ac570f00bc04d1bb4052dc37fe450bac82eb1f25941a370424502908ca569,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
4bf58edcf49b097824e73f6eb97829d43b40eed2bd50d7ddad6a53f644ce25f2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.076345,51.711531,On or near THE GATEWAYS,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
66e33bd2d4f8c962bb4e8e3ec65b605a98b97318375fe57bc7e0f9fb9c0074b0,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037431,51.688218,On or near KENWORTH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
684646c16f569e3843ed9d2d25105e3cc00562f1a6ce415fe020a035cbffa988,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033294,51.699209,On or near Hospital,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
ba86220f76b3a78e74e8eca64b74808795921f7688b9659765512561d54263f8,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.074733,51.711991,On or near THE MAPLES,E01023312,Broxbourne 007B,Investigation complete; no suspect identified
3bef92b49e14ede895a73ab04d329d7680d402d1a88a09d12f5a12600b622514,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036153,51.705381,On or near CLARENDON ROAD,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
c88a7c2277c4676c82d32dac9454903c16fcb4929c29d0b4c79bb8f36070122c,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037026,51.686880,On or near PARK LANE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
883da91f5bbb4348ef0903c614c5b11635b43ffbdad10dad9083abd9e0dd85f9,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028378,51.714423,On or near CUNNINGHAM ROAD,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
bd8890c74d947302c9647588249bd29e658e1a9837c01c88104c1b848d01ee62,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061788,51.708361,On or near FOXES DRIVE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
bd8d6d3bf98ad2445f47239422d50cef3a003f85b76a0704bc3d879d870fbab7,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033294,51.699209,On or near Hospital,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
6f066f0b4e92faca4084fe645db937a0b9de077a5a90452fe5c66181913f7de3,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.085637,51.710181,On or near VALLEY VIEW,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
