Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6999d37812c1c05a612e752ae850ea6d1e5af7e36e933e56c8a2ea691c716621,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
f911dc385fdc9a17b38ff562415b5c177cf6880726dc969343db4f6e0d9f7310,2014-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
3547e872036c6e2c0125a512a3e6d76339184ead6cd18d807eeba3aecfa02d8c,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
3d07ad60c3a81223df17ec33e7606be2f70bb6cb41a3bfbbd6faaf35978ecd8a,2014-12,Dorset Police,Dorset Police,-2.687500,50.846885,On or near HIGH STREET,E01020530,West Dorset 003E,Investigation complete; no suspect identified
633536f66cee833e06225159dd030c4cd8ba7401d74e8c91a11d07fa0f9ee64d,2014-12,Dorset Police,Dorset Police,-2.027054,50.731618,On or near BORDER DRIVE,E01020473,Purbeck 002C,Investigation complete; no suspect identified
9cfb127de307f4811f46145c38bfde1789f315abafd130dfde7c86daffa41db9,2014-12,Dorset Police,Dorset Police,-2.455177,50.608781,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
f4637261463bff5b15410f4348ed268bf5fbac13183ac3c70eed97a24fbfdf4a,2014-12,Dorset Police,Dorset Police,-2.572945,50.951304,On or near COMPTON ROAD,E01020541,West Dorset 002C,Investigation complete; no suspect identified
88c58a4660d4dba9830af1e02b8df64e1d7963b5461246d8746f4aac2617737e,2014-12,Dorset Police,Dorset Police,-1.732991,50.730705,On or near AVON RUN ROAD,E01020356,Christchurch 007C,Investigation complete; no suspect identified
42b3a588444cdf24ca33cb1bd4481eb4f8714de18ae9cdd76d2f6bab7d16a303,2014-12,Dorset Police,Dorset Police,-1.732991,50.730705,On or near AVON RUN ROAD,E01020356,Christchurch 007C,Investigation complete; no suspect identified
4a6b117811e2abc286ea625a49926926a7cb5ebd94a4d951a651b235045fa9a4,2014-12,Dorset Police,Dorset Police,-2.452828,50.614437,On or near Pedestrian Subway,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
dbeaac267a57ff7f5ecd2c3904db3025336ef9ec7605ca507a79b85bca97e365,2014-12,Dorset Police,Dorset Police,-2.204362,50.944816,On or near THE STREET,E01020460,North Dorset 005D,Investigation complete; no suspect identified
e05ca3e2cae2ef2d9b29a86049cb0fefbc71014fd4ed5b84d4768d8e1e63f51c,2014-12,Dorset Police,Dorset Police,-1.732991,50.730705,On or near AVON RUN ROAD,E01020356,Christchurch 007C,Investigation complete; no suspect identified
8a1be3dcecdb6fc05a023dc675d641c771dfda3a142f46abd0fde88c8d63ad86,2014-12,Dorset Police,Dorset Police,-2.447203,50.533981,On or near BRANSCOMBE CLOSE,E01020566,Weymouth and Portland 009D,Investigation complete; no suspect identified
e5cdaaeedb27cf362418ca2f6af426fe5887e7acad08dd8894315d1524b5a4b8,2014-12,Dorset Police,Dorset Police,-2.468727,50.663988,On or near THE RIDGEWAY,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
358e7358f1761941808d703d3a22e94643dff792e52693c1d097cb5e9e8370d1,2014-12,Dorset Police,Dorset Police,-2.443550,50.558186,On or near ST MARTIN'S ROAD,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
7e8add78401f4729e962a77c0beb40d2048aff172c19b8c707be0e0442bd42cc,2014-12,Dorset Police,Dorset Police,-1.776348,50.733755,On or near Shopping Area,E01020367,Christchurch 006D,Investigation complete; no suspect identified
ca2c825722c78bce5969ddac545d867edb44de498f0b7bd3a036571bbe0633e9,2014-12,Dorset Police,Dorset Police,-2.453804,50.608561,On or near MAIDEN STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
59dfe5080ff72d2151a159d4cd793c3a1628f5bdc4dd016c3b2473840430a8c3,2014-12,Dorset Police,Dorset Police,-1.753332,50.737278,On or near Petrol Station,E01020346,Christchurch 005A,Investigation complete; no suspect identified
2f233d241a92a9fa416db86b7a5fb3c7264672d1e1323369ac09ff5752df9ce4,2014-12,Dorset Police,Dorset Police,-2.454150,50.645997,On or near DARWIN CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
ef0aa9affde99671af86c98a9980296d82af592af25aecd6752c28c212ca85c5,2014-12,Dorset Police,Dorset Police,-1.821106,50.772059,On or near CHRISTCHURCH ROAD,E01020365,Christchurch 001D,Investigation complete; no suspect identified
4ed25c6c6223f4dbdaa451730b7f7df5ef9c57fca318e8d9445b6b9ba14557a5,2014-12,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
43c04127d77f842cd5773882f3b213964ee185cfd1c8fd34a4f36c0e0d34a697,2014-12,Dorset Police,Dorset Police,-2.383230,50.676693,On or near Sports/Recreation Area,E01020505,West Dorset 011A,Investigation complete; no suspect identified
5f69b5270b6db97eee29de519eef8257ec4c12ff91358d58923b29d2b3c24899,2014-12,Dorset Police,Dorset Police,-2.444674,50.559072,On or near HIGH STREET,E01033200,Weymouth and Portland 008E,Investigation complete; no suspect identified
59fab5e83dd74bf1429dc292b1bf37e87e48b615dfeaef26252d9407aa6f108c,2014-12,Dorset Police,Dorset Police,-2.676975,50.844015,On or near COURT HILL,E01020530,West Dorset 003E,Investigation complete; no suspect identified
08122848cf1de490ff60eabfa7f1aaf0fc43d161f83aeae52d312a063fc46607,2014-12,Dorset Police,Dorset Police,-2.676975,50.844015,On or near COURT HILL,E01020530,West Dorset 003E,Investigation complete; no suspect identified
