Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01c222accbffb05985b96ca86026a941a954919b276412f8448660a2b8e34bc4,2014-01,Kent Police,Kent Police,,,No location,,,Offender given a caution
ec936b014a7738f5b851811912cde4f79e5b46220502c633479fc2a05a3e2593,2014-01,Kent Police,Kent Police,1.334644,51.378357,On or near COLLEGE SQUARE,E01024716,Thanet 007E,Investigation complete; no suspect identified
2d7bb6a110ed05c7fd5f0cc497e3e5e37d9ff87cbcff712471325e1c37efe16e,2014-01,Kent Police,Kent Police,0.878378,51.134395,On or near Supermarket,E01024001,Ashford 009A,Investigation complete; no suspect identified
f1308586de594e1ebee13f39f60c53f624623b25f74f927400af079ad3011d66,2014-01,Kent Police,Kent Police,0.994350,51.344606,On or near LUCERNE DRIVE,E01024108,Canterbury 009D,Investigation complete; no suspect identified
15b49b3063b59d0e9e5bf198493e32581eef27facefd3153eb23ec982e4f515d,2014-01,Kent Police,Kent Police,0.687566,51.142140,On or near BETHERSDEN ROAD,E01024036,Ashford 011D,Investigation complete; no suspect identified
60ae89bad8fb221902d5ec58d275b2ce9005918a24a6ffc973b1e9961103e6df,2014-01,Kent Police,Kent Police,1.120129,51.077378,On or near PARAKER WAY,E01024528,Shepway 005F,Investigation complete; no suspect identified
304c544c5b549ae55fe0f84bdb7eff2dfa77b02e176c55853c518c7d26b8a4d8,2014-01,Kent Police,Kent Police,1.384132,51.211479,On or near MILL HILL,E01024225,Dover 005D,Investigation complete; no suspect identified
7cc5bde1d61152d6e539e7aadd104cf5c36ffe27a706052e2361f86f441ad554,2014-01,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
d72059e5c37b950503bd39c46d1109d6880f36b499774dc1382912b320e8856f,2014-01,Kent Police,Kent Police,1.068689,51.272191,On or near WINCHEAP,E01024128,Canterbury 019A,Investigation complete; no suspect identified
613036608f13df8098ab899f981290a6d50c059534bf2740fc991fdfe5d225a8,2014-01,Kent Police,Kent Police,1.422969,51.372191,On or near PRINCE CHARLES ROAD,E01024633,Thanet 006A,Investigation complete; no suspect identified
6755659514727cedcd2f8e71843bc8de7f848a622dfc4253b649dfa859c66c1c,2014-01,Kent Police,Kent Police,1.124232,51.081065,On or near VALESTONE CLOSE,E01024528,Shepway 005F,Investigation complete; no suspect identified
b760fc7a5d15ebe04f6d9377d561f3659d7162833ba3a8c3f1843abe4b064d70,2014-01,Kent Police,Kent Police,1.185110,51.085033,On or near GROVE ROAD,E01024505,Shepway 004E,Investigation complete; no suspect identified
3e97d878bc7217d5abbbaac1e085a9fdbf5becb3f92ee431b40b98db61872a2b,2014-01,Kent Police,Kent Police,1.401109,51.384972,On or near LOWER NORTHDOWN AVENUE,E01024659,Thanet 001C,Investigation complete; no suspect identified
120c453db61bcc204866d58934cbf73bf474ffcc97b6bd08b75ed00490866d8a,2014-01,Kent Police,Kent Police,1.383535,51.378834,On or near COLLEGE ROAD,E01024695,Thanet 003C,Investigation complete; no suspect identified
4fc6980c3987dc5c5cacdf3b259fd72dbb399dac73314da8b378864fe302fb27,2014-01,Kent Police,Kent Police,1.311978,51.123225,On or near ADRIAN STREET,E01024249,Dover 013E,Investigation complete; no suspect identified
475c8bdb59a6d571a6c24d69879129e2c24f607112c3bb2da3a8e4bdd884e997,2014-01,Kent Police,Kent Police,1.387091,51.388841,On or near DANE HILL GROVE,E01024661,Thanet 004A,Investigation complete; no suspect identified
666e379df92f5fd6764726c259c2dfc0d45089445cd65f49ea44fd1dcfd040e1,2014-01,Kent Police,Kent Police,1.180497,51.082110,On or near FOORD ROAD SOUTH,E01033212,Shepway 014C,Investigation complete; no suspect identified
d7d769af8643e46dd3f043ae3ae57e080659528cf6f88121dda0d0b495328619,2014-01,Kent Police,Kent Police,1.326293,51.374394,On or near COLLINGWOOD CLOSE,E01024713,Thanet 007B,Investigation complete; no suspect identified
bbab6d26acda5baf92f74309ad985b4279077009a8fd37cf8f1b5eb305f5e96b,2014-01,Kent Police,Kent Police,1.119307,51.246593,On or near CHURCHILL CLOSE,E01024088,Canterbury 018C,Investigation complete; no suspect identified
74f1b130063e853b060047e88f715b7127036a28b6a4f0ad809747e7f0262236,2014-01,Kent Police,Kent Police,0.659681,51.064439,On or near ROLVENDEN ROAD,E01024009,Ashford 013A,Investigation complete; no suspect identified
c5c93a0c2f96147bb6aa07ab493d3617c2ad795558d90069c36da39e8d7f6a9e,2014-01,Kent Police,Kent Police,1.103948,51.274507,On or near CORNWALL GARDENS,E01024049,Canterbury 014B,Investigation complete; no suspect identified
0a0f41f7f7dffe83b6baae039c4aa85a5e02782364620568b60e719401ffcd33,2014-01,Kent Police,Kent Police,1.289621,51.377265,On or near INGOLDSBY ROAD,E01024636,Thanet 008A,Investigation complete; no suspect identified
9bba7376bab5a1aa77d96181f0c156218fd5fff5f368ee5937aaf41eecf710d2,2014-01,Kent Police,Kent Police,0.876080,51.149643,On or near WELLESLEY ROAD,E01024027,Ashford 005D,Investigation complete; no suspect identified
08a03567aa3faa49e3abcd2a300fadac762ffa0b95194f084d15ef31aacb7992,2014-01,Kent Police,Kent Police,0.870604,51.139983,On or near BEAVER ROAD,E01024002,Ashford 005B,Investigation complete; no suspect identified
e5ad33a062c705c338f9214fceddb9b52f16f85c871c63756ece19976ede52a2,2014-01,Kent Police,Kent Police,0.875523,51.161368,On or near RECTORY WAY,E01023981,Ashford 004B,Investigation complete; no suspect identified
795c89277fe2d5c694a66ae3a63f5e6d66fb21df22591a0c2e0f2017bd7027e5,2014-01,Kent Police,Kent Police,1.107844,51.159676,On or near Sports/Recreation Area,E01024490,Shepway 001A,Investigation complete; no suspect identified
3953433dfa36f598c1077ae2a6341a2e0d4fc3b1dfaa0c0092280e21fd847a25,2014-01,Kent Police,Kent Police,1.214382,51.103679,On or near BEATRICE ROAD,E01024198,Dover 014A,Investigation complete; no suspect identified
1dac6772231ccfcf0d860bec4f3d651032af045531bf4f716cc4676c81e551b8,2014-01,Kent Police,Kent Police,1.070083,51.278252,On or near Parking Area,E01032808,Canterbury 020G,Investigation complete; no suspect identified
23ea73d38ffafa933ebd449042c71d4079fab996ebbae0a5a21d48c93d9f567f,2014-01,Kent Police,Kent Police,0.894998,51.162173,On or near JOHN NEWINGTON CLOSE,E01032822,Ashford 003E,Investigation complete; no suspect identified
