Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
12b236e6a9a2b6d1db0c175c100301ce597d59cb0ac80b9b87482b76b516a982,2014-01,Sussex Police,Sussex Police,-0.328186,50.831642,On or near LANCING CLOSE,E01031355,Adur 003D,Investigation complete; no suspect identified
33b4bbabe9a4d13d5e8a50d84cea4fa639d26c9fd4e0c0a3b24c01175ca838ac,2014-01,Sussex Police,Sussex Police,-0.234377,50.831240,On or near RIVERSIDE,E01031347,Adur 004A,Investigation complete; no suspect identified
a93f22e35f045e8250985a5fdd560b136e92750649a9e2c2b2d96f40e603032a,2014-01,Sussex Police,Sussex Police,-0.245882,50.845552,On or near HOLMBUSH CLOSE,E01031351,Adur 001C,Investigation complete; no suspect identified
dbe1afba552ddf9c1c1ae02ddd99156263ab7c0d4cdf2d38f94734d842e44875,2014-01,Sussex Police,Sussex Police,-0.337570,50.832523,On or near OSBORNE DRIVE,E01031346,Adur 006B,Investigation complete; no suspect identified
7417c89a2e4c37efd9b58c9f9692e0cb786fa6165578d1115103744691c06d27,2014-01,Sussex Police,Sussex Police,-0.280655,50.841339,On or near ADUR AVENUE,E01031368,Adur 005D,Investigation complete; no suspect identified
69b5b250f5969bf21a29f1588de2f4561e14f7b9f43c76d4c018d96dba7bbe62,2014-01,Sussex Police,Sussex Police,-0.233258,50.840181,On or near OLD SHOREHAM ROAD,E01031352,Adur 001D,Investigation complete; no suspect identified
b2e9e50c3ccf206ad22ab32b2bcd29bf30a763ab463cbd6070c46beda1fd49a4,2014-01,Sussex Police,Sussex Police,-0.234776,50.845888,On or near CROMLEIGH WAY,E01031351,Adur 001C,Investigation complete; no suspect identified
1e0ef2365ec9f951125346791cb1f4aa581d0f69eb5827f8b94b459bb3ceb3a0,2014-01,Sussex Police,Sussex Police,-0.255885,50.835593,On or near MIDDLE ROAD,E01031372,Adur 004E,Investigation complete; no suspect identified
e05163b2261c9ec1346f23174e649b8e182b926b27f8fecd54e9db5a2d7fa1fc,2014-01,Sussex Police,Sussex Police,-0.339674,50.837238,On or near THE LAWNS,E01031362,Adur 006D,Investigation complete; no suspect identified
eba405e33aa5fae4fad3990bfc09b9d99a19417d5ca09f15cdaaa2f088517788,2014-01,Sussex Police,Sussex Police,-0.266474,50.839195,On or near BUCKINGHAM CLOSE,E01031365,Adur 002D,Investigation complete; no suspect identified
96c3c5d32579a933d8947bf6442cfab86d7a85500def9d798c94378782964f54,2014-01,Sussex Police,Sussex Police,-0.256328,50.843900,On or near NEW BARN CLOSE,E01031338,Adur 002A,Investigation complete; no suspect identified
81fa915148827cd909917b9a968138115b3eab3e75463f847efc211878deadd2,2014-01,Sussex Police,Sussex Police,-0.328504,50.836656,On or near BOUNDSTONE CLOSE,E01031355,Adur 003D,Investigation complete; no suspect identified
70d02ec3efdc10d076ed7f66fdea8734f88e1ff8cf15aa30950dd00b7a6fe4e2,2014-01,Sussex Police,Sussex Police,-0.238659,50.841594,On or near DOWNLAND AVENUE,E01031351,Adur 001C,Investigation complete; no suspect identified
712750f07d336c13152d89db0f182dc8c7f452bafcab43505750c6b480815d86,2014-01,Sussex Police,Sussex Police,-0.268755,50.828608,On or near THE MEADWAY,E01031356,Adur 005A,Investigation complete; no suspect identified
8fa0c90380bf629f7b3376f0152213f551ad5bf87ccc1c3626972e79417840d5,2014-01,Sussex Police,Sussex Police,-0.249539,50.833627,On or near CHURCH GREEN,E01031373,Adur 004F,Investigation complete; no suspect identified
0677f70f33e3127a12dcf55b6d774cee586bc11ff2446a7cc7d4c2508310374f,2014-01,Sussex Police,Sussex Police,-0.270684,50.842873,On or near THE DRIVE,E01031340,Adur 002C,Investigation complete; no suspect identified
e0bbdbb1824c53df28e373be124a2492ed261dc42d7ed817f4c9a946bb131635,2014-01,Sussex Police,Sussex Police,-0.272799,50.845225,On or near SAXONS,E01031340,Adur 002C,Investigation complete; no suspect identified
41f1576df09dcc37091c522b3567eae5d7196ce9603c114032f9e717af536d92,2014-01,Sussex Police,Sussex Police,-0.320061,50.830518,On or near ROBINSON CLOSE,E01031360,Adur 007B,Investigation complete; no suspect identified
a65e6a6b396676f0bfce1d5e71d8e29a2777f2a425ae8e45b767feaee01fa7c0,2014-01,Sussex Police,Sussex Police,-0.271614,50.844236,On or near MILL AVENUE,E01031339,Adur 002B,Investigation complete; no suspect identified
5f834dab45f1a2d0b69968f879c8d9f5aee90ec33923210f6e4523fc3e361f1b,2014-01,Sussex Police,Sussex Police,-0.272978,50.844211,On or near ANNINGTON GARDENS,E01031339,Adur 002B,Investigation complete; no suspect identified
4b9c38dee9a11baf050d56432bdf2ddc04b06a44c9df9533d56b7dec9dc9efe4,2014-01,Sussex Police,Sussex Police,-0.273951,50.832084,On or near Petrol Station,E01031364,Adur 005C,Investigation complete; no suspect identified
891cd31a058a81f4ad1625e258fd3e95d7343b39046f9abe594652e0813f24e9,2014-01,Sussex Police,Sussex Police,-0.268458,50.834710,On or near GORDON ROAD,E01031365,Adur 002D,Investigation complete; no suspect identified
