Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6b7f2abc24b0f3beb1d94d5fedbacbdbb4504f950334ba0a5ccea903aed6a914,2014-01,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Offender given community sentence
baf23e388b549e8cb2d5edcd5a34348814b26ae43e4c47623bea85f1e13902a0,2014-01,Northamptonshire Police,Northamptonshire Police,-0.722124,52.386529,On or near SPRING RISE,E01027130,Kettering 009C,Defendant found not guilty
33019334069de4881a551518ab66c0df2af79b1ae3f90c2aa5c5d9a376a530a9,2014-01,Northamptonshire Police,Northamptonshire Police,-1.148846,52.031672,On or near Sports/Recreation Area,E01027267,South Northamptonshire 010B,Offender fined
9bf8a513225ed41ff571dab624ba289e1437a3ece2ee5d895e82b28b138ae48d,2014-01,Northamptonshire Police,Northamptonshire Police,-0.700991,52.487218,On or near Shopping Area,E01026949,Corby 005A,Offender given suspended prison sentence
2d6fb7b99e0b4442b9d959ba116a15b5d1782ed6d05544d9f985f48dcd31d484,2014-01,Northamptonshire Police,Northamptonshire Police,-0.840815,52.272213,On or near FARM FIELD COURT,E01027248,Northampton 004D,Offender given community sentence
20274cafc9387f3fdeeafa5edfa76e3648fe647cff5d93cea292959a0e7b8e6b,2014-01,Northamptonshire Police,Northamptonshire Police,-0.832330,52.248745,On or near FIRBANK CLOSE,E01027139,Northampton 016C,Offender sent to prison
9e7055e1e6d02f45eff289cdc3a4279fb8e27fe800cee8a6fe6b039f513803b3,2014-01,Northamptonshire Police,Northamptonshire Police,-0.598909,52.292896,On or near HIGH STREET,E01027065,East Northamptonshire 009D,Offender given community sentence
6eab1ea25b8eb43076dcab8c92270209684cea5bc2c819dbf5b2aaab4f4687f3,2014-01,Northamptonshire Police,Northamptonshire Police,-1.160689,52.257577,On or near WEST COURT,E01026992,Daventry 007D,Offender given conditional discharge
771c831324a9f8586cf054f7ca45d24cf39d4908b884d47e71f178f0b9a0b40c,2014-01,Northamptonshire Police,Northamptonshire Police,-0.726813,52.401819,On or near Shopping Area,E01027110,Kettering 007B,Offender sent to prison
f2ea33c46e0fb03b9d87be3b2fb4b3fa46e686d934f2e3727bf452c3a307e191,2014-01,Northamptonshire Police,Northamptonshire Police,-0.608164,52.292367,On or near Petrol Station,E01027073,East Northamptonshire 008F,Offender given suspended prison sentence
56ae90c0ec745c950c608590b62d65089f217c1df7c86b04dcbbd8441ebfa271,2014-01,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Offender given suspended prison sentence
16cc356eb09e21052dfe33e021641c777e1f007dee5857d82e7d956a999d36d5,2014-01,Northamptonshire Police,Northamptonshire Police,-0.699731,52.294939,On or near PRIORY ROAD,E01027317,Wellingborough 008A,Offender given conditional discharge
df4b1ba5cc2acf96c22d87b6ff09bef0aef47818cf4634b079f5d1ee9448d0e8,2014-01,Northamptonshire Police,Northamptonshire Police,-1.159699,52.273492,On or near WIMBORNE PLACE,E01026989,Daventry 006B,Offender given conditional discharge
2b2623098c7db8058ec7abeda2e022e977bfb3af379cb4c4beaf54cd6f6cb06d,2014-01,Northamptonshire Police,Northamptonshire Police,-0.703452,52.489664,On or near WOOD STREET,E01026949,Corby 005A,Defendant found not guilty
42abc87e02a8c7c17a41a39c2f04637efe8d9face2c2d090e76d3b549c8f75ef,2014-01,Northamptonshire Police,Northamptonshire Police,-0.858047,52.259246,On or near FULLINGDALE ROAD,E01027179,Northampton 010A,Defendant found not guilty
a38d7d4f8345c3a08b3dff2546103b1bb30d73325fed04a7edf0ca5b218af6cb,2014-01,Northamptonshire Police,Northamptonshire Police,-0.903813,52.327172,On or near Petrol Station,E01027003,Daventry 002D,Offender sent to prison
b8f4e0c787dd7460a37dc0397a280537c5e7ca8efa8848bd6adfd656121002b9,2014-01,Northamptonshire Police,Northamptonshire Police,-0.835483,52.257021,On or near Supermarket,E01027198,Northampton 007C,Offender fined
ccb9fe1cc68564d7d6c2061867b33173660618468b862ccb53d737bf1502e347,2014-01,Northamptonshire Police,Northamptonshire Police,-0.893126,52.239108,On or near Shopping Area,E01027155,Northampton 023A,Offender given conditional discharge
1a049f909e2e9c24aaee5f9bc1b5ffaec365673b40d8413f471f2ce037811011,2014-01,Northamptonshire Police,Northamptonshire Police,-0.720978,52.400281,On or near ALEXANDRA STREET,E01027110,Kettering 007B,Offender sent to prison
4090149f6827c40eb9f6248fa7c965eefc99dbeefd6d9334a09c6754d0b43bc5,2014-01,Northamptonshire Police,Northamptonshire Police,-0.588116,52.293846,On or near ALLEN ROAD,E01027061,East Northamptonshire 008A,Offender given conditional discharge
20619d46102e19fca54b7fcb2731c0767cf105869f6c37ca249ed9136715ab39,2014-01,Northamptonshire Police,Northamptonshire Police,-0.887114,52.265143,On or near HELLIDON CLOSE,E01027231,Northampton 009D,Defendant found not guilty
7118acf60207495de44a7b16e4cb050dbd2a6db327b3bd833fca86566032f539,2014-01,Northamptonshire Police,Northamptonshire Police,-0.896643,52.254965,On or near BALMORAL ROAD,E01027192,Northampton 009A,Offender sent to prison
ca1bd9e8bb160807417e31b540bee42fd0de49097989944279e16f9cb4381902,2014-01,Northamptonshire Police,Northamptonshire Police,-0.913369,52.215560,On or near Petrol Station,E01027162,Northampton 030A,Offender sent to prison
e1b210d8ec7a4d0763443ffee1b54069becf5800c9be38423fb7b31ed150398c,2014-01,Northamptonshire Police,Northamptonshire Police,-0.728296,52.404406,On or near DRYDEN STREET,E01027105,Kettering 006A,Offender given community sentence
7049819e92fd90ef249a7c501f417063b127f4b29fdf9bca7191c5885e09158e,2014-01,Northamptonshire Police,Northamptonshire Police,-0.730520,52.459066,On or near PINGLE CLOSE,E01026956,Corby 008D,Offender sent to prison
94d894d140fe2e9cc2bc3108bab0182c32da723afb5432c7df3ff8a521358404,2014-01,Northamptonshire Police,Northamptonshire Police,-0.921725,52.241602,On or near ROSEBERY AVENUE,E01027237,Northampton 024C,Offender given suspended prison sentence
