Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21965f273d26f0d163ce7499471c9f34e9d4b0e108911f98755587ef1bca302c,2014-01,Surrey Police,Surrey Police,-0.472211,51.338210,On or near CHUTERS CLOSE,E01030948,Woking 001C,Investigation complete; no suspect identified
ba77b7f3ddf255cdccb27b7c4abe7c9d24ba682e80e2413d5cac2ce8fb3effac,2014-01,Surrey Police,Surrey Police,-0.790160,51.191314,On or near MANOR GARDENS,E01030881,Waverley 004A,Investigation complete; no suspect identified
2f4a589cdb1c4053e100a46b0174266ba289daba5976ab7406b11f665640db2c,2014-01,Surrey Police,Surrey Police,-0.796603,51.214841,On or near SOUTH STREET,E01030885,Waverley 003B,Investigation complete; no suspect identified
2e91f15e7225f89e89987d1dde20d8b4b936e92e67d8efb5ddc4803b31266e77,2014-01,Surrey Police,Surrey Police,-0.536579,51.323520,On or near BEAUFORT ROAD,E01030981,Woking 004B,Investigation complete; no suspect identified
31dde39aa4b3c3d87038867034c215d4a55376464fb95b744f951412d318c5ee,2014-01,Surrey Police,Surrey Police,-0.707826,51.096804,On or near PUCKSHOTT WAY,E01030932,Waverley 016C,Investigation complete; no suspect identified
fd8647774fac0b740fcdd1fb8730648301b591730907010954d882c5e9ee9e50,2014-01,Surrey Police,Surrey Police,-0.782043,51.220230,On or near COWDEN CLOSE,E01030893,Waverley 003D,Investigation complete; no suspect identified
3431d2789c1d73efaa38155cf7cbc4250ecf70982746ae810eb67daedfa04480,2014-01,Surrey Police,Surrey Police,-0.795362,51.218489,On or near BEAUFORT ROAD,E01030895,Waverley 003E,Investigation complete; no suspect identified
3b67d65403832659b841467c3ce7e41d0d0da51e2ca2fdd34f2dfaf2fe8116af,2014-01,Surrey Police,Surrey Police,-0.082726,51.309290,On or near HORNCHURCH HILL,E01030860,Tandridge 002D,Investigation complete; no suspect identified
1b56ad1bf3b4555fb8b5c2352b33ffebb6d05e523dd29b944c5ba2c696062737,2014-01,Surrey Police,Surrey Police,-0.056029,51.314947,On or near CREWE'S LANE,E01030853,Tandridge 012B,Investigation complete; no suspect identified
d3765f03f9e84bd2f82da1408b66ade65d2066b074bde1a6bf8e3f4b49b88eaf,2014-01,Surrey Police,Surrey Police,-0.268945,51.235366,On or near THE WALLED GARDEN,E01030527,Mole Valley 008D,Investigation complete; no suspect identified
c8ac1e824cb9f170e60cf0ef2aee9728a9abe38980c9c5f24ba5835568d3f2a5,2014-01,Surrey Police,Surrey Police,-0.297713,51.317864,On or near CHAFFERS MEAD,E01030513,Mole Valley 001D,Investigation complete; no suspect identified
e72764bd7bb39f84ee542afa9527789576e6b82df415bba1f16b50dc67525730,2014-01,Surrey Police,Surrey Police,-0.477328,51.339770,On or near ROYSTON ROAD,E01030946,Woking 001A,Investigation complete; no suspect identified
142f78642096d5560ef06a36d63ce7aedd355e273698d9e8a483859301ed73d3,2014-01,Surrey Police,Surrey Police,-0.414253,51.394794,On or near RIVER WALK,E01030363,Elmbridge 004C,Investigation complete; no suspect identified
a5cce1b17f206cd514c402bcafab596d6b474e0ce3f77e62c7bb8b687feff004,2014-01,Surrey Police,Surrey Police,-0.427065,51.412672,On or near Parking Area,E01030717,Spelthorne 011A,Investigation complete; no suspect identified
2dc0c0a8bbdb9ff9850f175c9a2c1420d307ec89691efcfcecdddc3acb04f92d,2014-01,Surrey Police,Surrey Police,-0.153692,51.293893,On or near BRIGHTON ROAD,E01030569,Reigate and Banstead 004E,Investigation complete; no suspect identified
4e4476a9568f3531a1e372a95897bca4bcf75837689f3b879235d1d39af701a2,2014-01,Surrey Police,Surrey Police,-0.306462,51.240798,On or near BOXHILL ROAD,E01030556,Mole Valley 009D,Investigation complete; no suspect identified
f19ce8011825d3e474d52f1f679306a266c58075e353c9217d62109723575c30,2014-01,Surrey Police,Surrey Police,-0.309470,51.313070,On or near CHURCH ROAD,E01030512,Mole Valley 002D,Investigation complete; no suspect identified
5fbdef6608ae7da49bd4c826127417fc9deef31d301c72e87204f7eadcdb0b3e,2014-01,Surrey Police,Surrey Police,-0.262320,51.373422,On or near CROMWELL ROAD,E01030388,Epsom and Ewell 001C,Investigation complete; no suspect identified
07fa514bf2b5b00a84dbe7f574caa786d539ffe4f211229e15872099833de1be,2014-01,Surrey Police,Surrey Police,-0.267006,51.333403,On or near HIGH STREET,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
2f58176d146cf3dcd55e1ac5e826741f35a70dbca5a586adb05fa14d9a5393bf,2014-01,Surrey Police,Surrey Police,-0.510563,51.335818,On or near REGENCY DRIVE,E01031004,Woking 002E,Investigation complete; no suspect identified
20ad4b30ad9e01f1a84c326a19464772edef856e7a528ba3d26e7ae7d42a835f,2014-01,Surrey Police,Surrey Police,-0.331595,51.310339,On or near THE FAIRWAY,E01030551,Mole Valley 003D,Investigation complete; no suspect identified
8c0b2fcde304cebc7f57f7b12b40e7dc854bd7107ae2905e09ce48025d59f990,2014-01,Surrey Police,Surrey Police,-0.170596,51.235210,On or near BRIGHTON ROAD,E01030613,Reigate and Banstead 011D,Investigation complete; no suspect identified
9795e5bca0656c84a51f3e2af572521927e974751c94e71c75c6d594c3d6fd62,2014-01,Surrey Police,Surrey Police,-0.735531,51.314336,On or near ANSELL ROAD,E01030767,Surrey Heath 010B,Investigation complete; no suspect identified
26296cfd57a890166f9e3ba7804e397aacfcee5163a49cba8cc2909002a3c2d6,2014-01,Surrey Police,Surrey Police,-0.656717,51.362844,On or near DEANS COURT,E01030809,Surrey Heath 001D,Investigation complete; no suspect identified
6ce4177faeb0461e741ffef991411b2fc077a5058e8efa297172e30c63f6f8f6,2014-01,Surrey Police,Surrey Police,-0.691964,51.361903,On or near HIGH STREET,E01030759,Surrey Heath 002C,Investigation complete; no suspect identified
