Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2c41dd6121b755007e2b6e6b66d2bf498e6bdbb8c743ab461f1f3485810d6b14,2014-01,Lincolnshire Police,Lincolnshire Police,-0.543884,53.225433,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
76bf79c73bf99e1f771f7ebca168486f2ba8730934e0ce077bca9bc19a2bbd3e,2014-01,Lincolnshire Police,Lincolnshire Police,0.098769,52.747298,On or near WANTON'S LANE,E01026254,South Holland 008A,Investigation complete; no suspect identified
b14bc16c3e2d28f5c8f6f1566ab3e01941c5c7f37bf5e89ff97ca7e909eb8a70,2014-01,Lincolnshire Police,Lincolnshire Police,0.000544,53.373617,On or near LEAKE'S ROW,E01026078,East Lindsey 003B,Investigation complete; no suspect identified
4aa9f82674b124da4ef2857b0611102ec5bb3c3c0002ae1b6e1b4d4303a964c7,2014-01,Lincolnshire Police,Lincolnshire Police,-0.345330,52.871966,On or near PINFOLD CLOSE,E01026290,South Kesteven 008A,Investigation complete; no suspect identified
51337b4e6e4e10b2c6961856af9ccfe3a3defdc417c69844ee2389ef71a53da6,2014-01,Lincolnshire Police,Lincolnshire Police,-0.622755,52.917967,On or near ERMINE CLOSE,E01026326,South Kesteven 003B,Investigation complete; no suspect identified
32887ecc4c303554abfda8eb1b89247b4732bdb2df3cf80bf72bd494e6384479,2014-01,Lincolnshire Police,Lincolnshire Police,-0.514523,53.248381,On or near SHERIDAN CLOSE,E01026157,Lincoln 002C,Investigation complete; no suspect identified
f6a4f77abec4d7dfd12dd843e9131ad3d7e002ed35d9a3885cc518a422bb6720,2014-01,Lincolnshire Police,Lincolnshire Police,0.334164,53.212826,On or near TRUNCH LANE,E01026048,East Lindsey 010A,Investigation complete; no suspect identified
397eaa1a87f24cac1109a3ac3a8e358179bd6472a43af882f48c83723438a062,2014-01,Lincolnshire Police,Lincolnshire Police,-0.519554,53.232028,On or near Parking Area,E01026125,Lincoln 003A,Investigation complete; no suspect identified
9a70112c25a753d311acf29fce175a16d277f352e61de891ff16bb18a0fc30da,2014-01,Lincolnshire Police,Lincolnshire Police,-0.566404,53.206864,On or near PRIAL AVENUE,E01026173,Lincoln 010D,Investigation complete; no suspect identified
7326b623c951c9b6709a34bcc8979eb7aabae7aa3f8d0ea8a17a9de410b3d1fe,2014-01,Lincolnshire Police,Lincolnshire Police,0.133484,53.398888,On or near SADDLEBACK ROAD,E01026058,East Lindsey 002A,Investigation complete; no suspect identified
40df521d2277c2d12be39df08f573eee57ccc9a6c7e4b74390571f597ac692fb,2014-01,Lincolnshire Police,Lincolnshire Police,-0.618599,53.233936,On or near MONSON PARK,E01026226,North Kesteven 003F,Investigation complete; no suspect identified
45332087aea280ab0c5e32eba1fd4481a9da84b2f62c824e80449832fca96b7a,2014-01,Lincolnshire Police,Lincolnshire Police,0.097573,53.173685,On or near Parking Area,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
1ff58e3cbe06d70a6aad66d30e03a5dbdecce23a736d1abd59fa1af7eca0e299,2014-01,Lincolnshire Police,Lincolnshire Police,-0.544228,53.207341,On or near CROSS O'CLIFF CLOSE,E01026174,Lincoln 008D,Investigation complete; no suspect identified
d3ba8dbd73161392e60d4e623a9cc1ccd9fe2aafe0e38027049c69a1fac1ca9a,2014-01,Lincolnshire Police,Lincolnshire Police,-0.538571,53.235409,On or near BAILGATE,E01026148,Lincoln 003D,Investigation complete; no suspect identified
17fa74d851d9ac39465aa72a382c61313bd19ab8c70b8270df4b14a7db66b7a2,2014-01,Lincolnshire Police,Lincolnshire Police,-0.154041,52.823375,On or near BRIDGEWATER LANE,E01026260,South Holland 005D,Investigation complete; no suspect identified
e1495cf969a29e0acbe06b18543f78d50597465363e359f67ffb131370e4e45f,2014-01,Lincolnshire Police,Lincolnshire Police,0.267119,53.260072,On or near MUMBY ROAD,E01026044,East Lindsey 008C,Investigation complete; no suspect identified
2c5dad14e2d3a0f5a11c32569cc7d331c891ea9d177cf65536663fa3a085b6c1,2014-01,Lincolnshire Police,Lincolnshire Police,-0.116090,53.209396,On or near DOG KENNEL LANE,E01026067,East Lindsey 011D,Investigation complete; no suspect identified
c19c5ea15f54842475923868123b2b4e0c4245362b7e52e76ce38bbbb21694a2,2014-01,Lincolnshire Police,Lincolnshire Police,-0.541377,53.222939,On or near HERMIT STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
b42c2ca733c992dc2bac01a310a622f8ee073a2a085305e10ce9870ceea29f42,2014-01,Lincolnshire Police,Lincolnshire Police,-0.365573,52.767004,On or near DELAINE CLOSE,E01026298,South Kesteven 011D,Investigation complete; no suspect identified
293ef263710411c33b36ff2dc6315eae69c43666b01ec2f67c6ad654f54d30d5,2014-01,Lincolnshire Police,Lincolnshire Police,-0.542203,53.227723,On or near WIGFORD WAY,E01026132,Lincoln 005A,Investigation complete; no suspect identified
4324caf311e7c70f3cf1ac97a82855a56057e20ed1246abe698cbdfcc8160b29,2014-01,Lincolnshire Police,Lincolnshire Police,-0.542535,53.229435,On or near NEWLAND,E01026143,Lincoln 005B,Investigation complete; no suspect identified
fbf776ee916ea3cc447c556e7fb28c583673de7fa2d1dc811bd2bd02f9c6e3c8,2014-01,Lincolnshire Police,Lincolnshire Police,-0.521921,53.214177,On or near THE PADDOCKS,E01026203,North Kesteven 001D,Investigation complete; no suspect identified
d3782a6718c1ef3c0566b6ef15c66560d3d2db105b5d580f515f79af6b360097,2014-01,Lincolnshire Police,Lincolnshire Police,-0.298223,53.285908,On or near THE CRESCENT,E01026121,East Lindsey 007C,Investigation complete; no suspect identified
8bcbd065e29bc20a164ab9bf3f5bb93e5afd3f6d186f7f246a00b3dfe2e9d130,2014-01,Lincolnshire Police,Lincolnshire Police,-0.626529,52.918586,On or near SHARPE ROAD,E01026326,South Kesteven 003B,Investigation complete; no suspect identified
da3802c962ed1e11a0a4827123cc17a44cad1f4210558e1db81ff6058f003cc1,2014-01,Lincolnshire Police,Lincolnshire Police,-0.616994,52.918143,On or near KIPLING CLOSE,E01026328,South Kesteven 003D,Investigation complete; no suspect identified
3577670bcfb02b817375dd872a408c47cdad2907f5b1d76119b3b83f197581c9,2014-01,Lincolnshire Police,Lincolnshire Police,-0.752630,53.391127,On or near TEALBY CLOSE,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
bd399c24f86e4c85d50ca74a669123bba2066f41d375e254e4d69bd2019eae01,2014-01,Lincolnshire Police,Lincolnshire Police,0.280232,53.308957,On or near STATION ROAD,E01026103,East Lindsey 006A,Investigation complete; no suspect identified
a807006a932930b3abe5f53d8cca28b8aac72efeccbac0a058a5a044e5928fd5,2014-01,Lincolnshire Police,Lincolnshire Police,-0.520287,53.247697,On or near BROWNING DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
acd4dd4ff771882094a130ad6f64afc0af040427be879dbb9674122d968e060e,2014-01,Lincolnshire Police,Lincolnshire Police,-0.783958,53.406785,On or near MERCER ROAD,E01026378,West Lindsey 004A,Investigation complete; no suspect identified
76918c3323d15f7193fd3976a5c3ac9bbcf36f60ef0252d06ddd46deed8c53b7,2014-01,Lincolnshire Police,Lincolnshire Police,-0.026749,52.980904,On or near UNION STREET,E01026037,Boston 002E,Investigation complete; no suspect identified
3dae92a1a4d38e6b0fc47bf4bc57da955bd9d4caf42aa58004327ed1dd48ca31,2014-01,Lincolnshire Police,Lincolnshire Police,-0.710922,53.452583,On or near BLYTON ROAD,E01026407,West Lindsey 002E,Investigation complete; no suspect identified
f27a2e2c7213f8ae3822d47cbceb75dae09057d32f166a13e0c9e48efa3307e6,2014-01,Lincolnshire Police,Lincolnshire Police,0.318285,53.150352,On or near THE MEADOWS,E01026094,East Lindsey 015B,Investigation complete; no suspect identified
4607077ea953a0af9892bb28a0d37f0ac420be22fb2777bf1ac875f754dd75bb,2014-01,Lincolnshire Police,Lincolnshire Police,-0.154635,52.784832,On or near SPRING STREET,E01026266,South Holland 006B,Investigation complete; no suspect identified
8280e55af9b346cc4c94fa4cb290ee72e7aed05cdf85c0b9bb8a02aaae0cd71a,2014-01,Lincolnshire Police,Lincolnshire Police,-0.603852,53.214725,On or near Parking Area,E01026128,Lincoln 007B,Investigation complete; no suspect identified
19f2cb6426c378c489d8fdf2e44be7a3fa37030dc7fc4d5591e27c88207fb400,2014-01,Lincolnshire Police,Lincolnshire Police,-0.537118,53.230132,On or near Parking Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
3da869b9a08ea9d6935021c924c0286face29819294b43956ea6d9bb1782925c,2014-01,Lincolnshire Police,Lincolnshire Police,-0.755675,53.398584,On or near SPRINGTHORPE ROAD,E01026374,West Lindsey 006A,Investigation complete; no suspect identified
f70637c5df6e426e6ce3dce87b1aa0d45cff006f95a75bdf62a2d6eddaae2d53,2014-01,Lincolnshire Police,Lincolnshire Police,-0.548965,53.232875,On or near SOUTH PARADE,E01026146,Lincoln 005D,Investigation complete; no suspect identified
031aed127bb38c1c15dee66f8118edf8354b157998ee0310decdd09f78e81756,2014-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near PURITAN WAY,E01026010,Boston 002A,Investigation complete; no suspect identified
ee9849a3b3d0c929b74a7d30d31067d3bc0296af2f3dcc845b229eca4ecd7e1b,2014-01,Lincolnshire Police,Lincolnshire Police,-0.516510,53.243362,On or near ADDISON DRIVE,E01026154,Lincoln 004F,Investigation complete; no suspect identified
5a95baf394864b68166a36791565ca76a3b420641afcfb744649b1482e8a7014,2014-01,Lincolnshire Police,Lincolnshire Police,-0.015923,52.978557,On or near WINDSOR TERRACE,E01026025,Boston 003C,Investigation complete; no suspect identified
88225993045c0329c7b318181c40c3b1c114f461bbd9d1f22a1c8e1dfd86dc85,2014-01,Lincolnshire Police,Lincolnshire Police,-0.227251,53.509511,On or near CHAPEL LANE,E01026367,West Lindsey 001A,Investigation complete; no suspect identified
1d3ac8a23a2cf7608a907a6db3c4fe95e459c8ecc69acf783d954e40139625f9,2014-01,Lincolnshire Police,Lincolnshire Police,0.190259,52.765254,On or near A17,E01026279,South Holland 008F,Investigation complete; no suspect identified
e5e88fd8fc7bb1f1d762b53b480e93fcfe6828a61da34a8f8b2d9e7fda1a027e,2014-01,Lincolnshire Police,Lincolnshire Police,-0.047414,53.467485,On or near STATION ROAD,E01026080,East Lindsey 001E,Investigation complete; no suspect identified
0817772c7374fb6606d16ff7a0c9fc9ea250992b90d637038ba7d2b8bf82aa13,2014-01,Lincolnshire Police,Lincolnshire Police,-0.537896,53.250378,On or near BLANKNEY CRESCENT,E01026166,Lincoln 001C,Investigation complete; no suspect identified
