Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
90a9cf893c0576ffbb0cdf6725d2bf081fd81613f4bbecebab75c00f39779882,2014-01,Dorset Police,Dorset Police,-1.890928,50.720438,On or near POOLE ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
7f2c95af58ae87ac0d127a6b2c887be7baa7df8462d06db36980f1b2884f5738,2014-01,Dorset Police,Dorset Police,-1.961733,50.749565,On or near HERSTONE CLOSE,E01015409,Poole 005C,Investigation complete; no suspect identified
95ca35fca9ca100a8a2f48205d846db2f7d15baa9636d52392311f451694dbb4,2014-01,Dorset Police,Dorset Police,-1.940513,50.705285,On or near CRICHEL MOUNT ROAD,E01015459,Poole 017E,Investigation complete; no suspect identified
5e44aee7342811615c74a62cba8980d23310b4947d072089db846743afa6be49,2014-01,Dorset Police,Dorset Police,-1.908320,50.744067,On or near TALBOT DRIVE,E01015383,Poole 007D,Investigation complete; no suspect identified
12bd1985d0ddb36ae8a72c161e7e006b4ec437c5a37919fd2682ca509ebb0ebd,2014-01,Dorset Police,Dorset Police,-1.942678,50.776804,On or near MAGNA ROAD,E01015431,Poole 001A,Investigation complete; no suspect identified
f904e8cc8900f81c781bfd5204e28caea92a9841f00f7edeed01fef1383ddd85,2014-01,Dorset Police,Dorset Police,-1.854514,50.722907,On or near CHRISTCHURCH ROAD,E01015289,Bournemouth 021C,Investigation complete; no suspect identified
8058144e8e4eaa3ad653a1be866e1ba17dc558e8847ba5173c663b6aee347fe9,2014-01,Dorset Police,Dorset Police,-1.815522,50.738724,On or near HOLDENHURST AVENUE,E01015316,Bournemouth 014A,Investigation complete; no suspect identified
7bea27ae082624f423f82558114095b89a1d4ccacb12b5922a4537a6c2537bee,2014-01,Dorset Police,Dorset Police,-1.917426,50.764299,On or near HOLLOWAY AVENUE,E01015312,Bournemouth 005C,Investigation complete; no suspect identified
ccb533771a787fdc4ae57128099e57c3a329c072300060f4a6a0969e4a33e3b9,2014-01,Dorset Police,Dorset Police,-1.834392,50.724562,On or near WILFRED ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
d23f66e46c5b56e54dd07a5010288365b5f3dfd78872cab8608b6acd9d62135e,2014-01,Dorset Police,Dorset Police,-2.026608,50.720315,On or near WALCHEREN PLACE,E01015427,Poole 014A,Investigation complete; no suspect identified
195b36d800dee5381f35e3fc5c909cfe1915e088e8cddb0596318151d5c4c54f,2014-01,Dorset Police,Dorset Police,-1.814560,50.727626,On or near DOUGLAS MEWS,E01015365,Bournemouth 018D,Investigation complete; no suspect identified
80cf7c0ef146f7ac1f5dbe32c176f3c2bd41efacaf62136938529fd0e2ce8c6c,2014-01,Dorset Police,Dorset Police,-1.839517,50.750369,On or near CRAIGMOOR WAY,E01015340,Bournemouth 008C,Investigation complete; no suspect identified
6966efc49c4d6019301596c6096731792d326034f60716fae9c7a793eead9513,2014-01,Dorset Police,Dorset Police,-1.880320,50.747468,On or near JAMESON ROAD,E01015356,Bournemouth 009B,Investigation complete; no suspect identified
a5b5277f10efc41304d5c31b74032f4c3d78239b2cb7a7efdf99f2b0f8117212,2014-01,Dorset Police,Dorset Police,-1.933027,50.751710,On or near LOEWY CRESCENT,E01015379,Poole 002A,Investigation complete; no suspect identified
9f30fcc20b9cad0a351636c7f0637ed14238f96ed78d07e802ba7434ca816b36,2014-01,Dorset Police,Dorset Police,-1.792560,50.726977,On or near OLD PRIORY ROAD,E01015299,Bournemouth 020D,Investigation complete; no suspect identified
