Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d0e705a1d210c0fa16116b85d1f19c8a7bb14c4399f51f4db0eeadee386e4687,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.062064,52.341716,On or near MELLIS ROAD,E01030054,Mid Suffolk 002B,Investigation complete; no suspect identified
7ab2ae7ef17a33613e6cdc94a79a4fc77af8db5329b8fb4337a1d0beb6f441d1,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.134124,52.047843,On or near MAPLE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
9c71d0bb3de03c7fa17bee215577f6aa246c4e35b4c105615447e4c039f95c39,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.711864,52.255090,On or near THINGOE HILL,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
ed3e9fac60d849f82a32801f121277bc691dedfb5745db4589c365530b73a835,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.478891,52.388678,On or near HOLYWELL DROVE,E01032524,Forest Heath 003G,Investigation complete; no suspect identified
cca00687d21598f36e792ea1d9967e877bdae93af7d867e4cadc94ef0eb2de9b,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.997765,52.190119,On or near STOWUPLAND STREET,E01033317,Mid Suffolk 010G,Investigation complete; no suspect identified
c4bc06792c4dfb598ceef222b43f1dee737b6a4aa969c8f45e66089dda4210a2,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.462482,52.092422,On or near THE CLUMPS,E01033446,Suffolk Coastal 007H,Investigation complete; no suspect identified
f09b0915f040b720f60fb93d95f65fc79cdd79869566a9bb8ead20401b78eb91,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.470813,52.375368,On or near FALCON WAY,E01032523,Forest Heath 003F,Investigation complete; no suspect identified
7cff7422d92b91e60a92895ecbace86ef906e9fbe35e0c2bcdf972a8449d03c5,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.428695,52.077983,On or near GLOUCESTER ROAD,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
4f223df06a765dd61fa189d11d2252554da1a64093f5b6a53d9e481acd4f7ca9,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.147516,52.059889,On or near ST MATTHEW'S STREET,E01029988,Ipswich 010E,Investigation complete; no suspect identified
71cf062f6eed8c5382bc99482a9b902866109c14df80a141ea6542f20cd5e4de,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.684094,52.250698,On or near GREENE ROAD,E01030125,St Edmundsbury 007D,Investigation complete; no suspect identified
8ff3ceffb88aad2d464456e885be9e361c0623d39788d1f529e32da33a6c45a0,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.690857,52.252783,On or near A14,E01030140,St Edmundsbury 003D,Investigation complete; no suspect identified
0b35748f84bac3a292f658a8fbe2782143c34242bb8dee7147a17169dddbd2e3,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.130147,52.052509,On or near WALLER'S GROVE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
61911880efb64cb2d8e4c0209250c8f93b11a30a76db6af4276b4e79c8662661,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.126437,52.067690,On or near PITCAIRN ROAD,E01030027,Ipswich 003A,Investigation complete; no suspect identified
