Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a28d281f2730e5c5421ef57682ab2b35c24d985cc80e003fc502dd14f755fab0,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030831,51.709950,On or near LENSBURY CLOSE,E01023304,Broxbourne 008C,Investigation complete; no suspect identified
9a9faacc3307739bbd819abfb1fca7bc20b22f0fb66ebf91eaa48b21af8def6d,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027380,51.687123,On or near FOUNDARY GATE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
78cb23cf5e820a3d4509924b018d4973250ae4adc72acb62c993a219314d5767,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021188,51.686129,On or near ELEANOR WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
78cb23cf5e820a3d4509924b018d4973250ae4adc72acb62c993a219314d5767,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.021188,51.686129,On or near ELEANOR WAY,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
3c6e142048069083f0f2a5945a6850b1c576dbb0a68e70bb557a1c3f5150e608,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031900,51.688989,On or near ST JOSEPH'S ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
86834e6080e21601dfa45f32493c84b450131109bc7ba59e5883a957f8835e70,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037780,51.699212,On or near HILLSIDE CRESCENT,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
6568bdcbaf43791f3c5d44f33b4a4f7d5670366084d9ad9355b91665d3b1d40f,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034601,51.695104,On or near CROSSBROOK STREET,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
aae21ad6569ab3f7f0b571be69a9936f86b89cb9099dc757c78e8f9bf5e3531a,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
2eaf2c1ad314b7c055b9297d5f713894da7971cffee926a4052a8552e6771ce3,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028040,51.687908,On or near KING EDWARD ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
a48e81d73e9b13d67e32b2da6bff87aee418e1012c6d5646808f92a19c11a451,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025955,51.691614,On or near TRINITY LANE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
e5767968f6e0cd6b8f1cac4f25b7c19898ba69fa0cff2afea2dffe58b90c2552,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032779,51.700082,On or near GUINEVERE GARDENS,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
0f59b33aed2ce4e8dcd6cb183266a64fa215d8359d3acc093b71afd2e21db599,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.064427,51.716713,On or near ALLARD CLOSE,E01023324,Broxbourne 009B,Investigation complete; no suspect identified
