Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4e4426664e8b2a4939f96a6d0cdfb1569a84757e8d01940f4b0272f96f4ba131,2012-10,Lincolnshire Police,Lincolnshire Police,-0.607939,53.212912,On or near CADWELL CLOSE,E01026128,Lincoln 007B,Investigation complete; no suspect identified
c5d09c568dbe998ee691df93c7b78d9af1d5dc56bf8ec1e9007d70ae54ab2483,2012-10,Lincolnshire Police,Lincolnshire Police,-0.540816,53.229306,On or near Further/Higher Educational Building,E01026143,Lincoln 005B,Investigation complete; no suspect identified
ae18d92aa99d5a320f90a49a424377530bfec75d6409ce3a3ef5fccaa9198eea,2012-10,Lincolnshire Police,Lincolnshire Police,-0.532568,53.248838,On or near STURTON CLOSE,E01026166,Lincoln 001C,Investigation complete; no suspect identified
aa568b1a5a5de8760de7d579468bec711aecf9601741c6b710b8b1431f4421e8,2012-10,Lincolnshire Police,Lincolnshire Police,-0.569292,53.208741,On or near ROMNEY CLOSE,E01026172,Lincoln 010C,Investigation complete; no suspect identified
4b8053721b2f560059a0d4ab7e0ed30a587aa06ef40cf8cfb487e4307b51e146,2012-10,Lincolnshire Police,Lincolnshire Police,-0.573435,53.207514,On or near WALFORD DRIVE,E01026173,Lincoln 010D,Investigation complete; no suspect identified
059c5a9fff5e71fda764b29c4dbe6eca4f39c15b4fb9ec9968df30e82fc8335b,2012-10,Lincolnshire Police,Lincolnshire Police,-0.145168,52.805201,On or near EDISON COURT,E01026258,South Holland 005B,Investigation complete; no suspect identified
54f354ee6f5b1f7a3b62ef9a490cc627fe730ab15f1d4052591e1efe2413432d,2012-10,Lincolnshire Police,Lincolnshire Police,-0.105890,52.844275,On or near RESERVOIR ROAD,E01026276,South Holland 001E,Investigation complete; no suspect identified
4d2293540ae23708d7ff7930093710d0c1d5714e8a0e0a7e3d552cf860f7c04e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.501997,52.860650,On or near PADDOCK RISE,E01026332,South Kesteven 007E,Investigation complete; no suspect identified
8cb67e8219498104044a59353b461060d6ad95ccb39566d6ad6e17dcf3cb6c58,2012-10,Lincolnshire Police,Lincolnshire Police,-0.771457,53.390594,On or near RUSKIN STREET,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
0017c1979d8a0339194f1a5133f162ec81bd8f10f4f788a3a8201719b68b30e5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.552514,53.298201,On or near THIRD AVENUE,E01026400,West Lindsey 009D,Investigation complete; no suspect identified
8f5aa144fe635825da9753d29721d385c707bf4b793855a9a8afc60f2bcc94e2,2012-10,Lincolnshire Police,Lincolnshire Police,0.340638,53.142263,On or near Supermarket,E01026097,East Lindsey 015D,Investigation complete; no suspect identified
8092c38e75c13be197b4d172fc70776d0d39127774702dd7c0e8d6ff6a58c21e,2012-10,Lincolnshire Police,Lincolnshire Police,0.005861,53.087302,On or near MAIN ROAD,E01026102,East Lindsey 018D,Investigation complete; no suspect identified
813827a50421ebd3c692cda915561210a7856d0017614b9a3071c4e3d56b7444,2012-10,Lincolnshire Police,Lincolnshire Police,-0.604097,53.215015,On or near Supermarket,E01026128,Lincoln 007B,Investigation complete; no suspect identified
5cafed60ffcee9ffcaf1e03a4097ace1e9e6bc2e6fe9e6477edeada995189a50,2012-10,Lincolnshire Police,Lincolnshire Police,-0.547036,53.221255,On or near PRINCESS STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
387d49e4a9344a3fcb7930bbdc636a654843db512a43ad65dc6e0c8002c1150b,2012-10,Lincolnshire Police,Lincolnshire Police,-0.537411,53.252727,On or near INGLEBY CRESCENT,E01026168,Lincoln 001D,Investigation complete; no suspect identified
3f26f599e944d51cefb296b1327197a0562624c62bb2ed8cc00087e971c35730,2012-10,Lincolnshire Police,Lincolnshire Police,-0.559151,53.182054,On or near VALLEY ROAD,E01026238,North Kesteven 004F,Investigation complete; no suspect identified
55722728cc5de3814819addcd3cf940037d494545b8dbe80c051dffc391de0ba,2012-10,Lincolnshire Police,Lincolnshire Police,0.009465,52.824118,On or near STAR LANE,E01026248,South Holland 002B,Investigation complete; no suspect identified
942c1640d16c5353d9f39caee5d3958d2950fa309af671bacd120e12bc1eeb60,2012-10,Lincolnshire Police,Lincolnshire Police,-0.142836,52.785754,On or near GRANGE DRIVE,E01026269,South Holland 007B,Investigation complete; no suspect identified
f04edc51153413df697d4e42a01aeeb8a9584ba88f21dd3a4c688972126c4ba7,2012-10,Lincolnshire Police,Lincolnshire Police,0.188605,52.770400,On or near QUEEN STREET,E01026277,South Holland 008D,Investigation complete; no suspect identified
23973c1d738977098e3a3e168cdd87dc4abb9f0eb4496c0306004147476cb5d3,2012-10,Lincolnshire Police,Lincolnshire Police,-0.022219,52.684876,On or near LINCOLN AVENUE,E01026280,South Holland 010C,Investigation complete; no suspect identified
75842105cdd635bdf9be821c0390015baffb2a6072c3413acee5e4271f6dc830,2012-10,Lincolnshire Police,Lincolnshire Police,-0.401990,52.811949,On or near ELSTHORPE ROAD,E01026342,South Kesteven 008C,Investigation complete; no suspect identified
6e08828524de5afce9f86296b29d1e9c52ef0b8eaad673f823cf59395bd26ec1,2012-10,Lincolnshire Police,Lincolnshire Police,-0.760952,53.000451,On or near Sports/Recreation Area,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
03bc79d4cf3dbaf18b4617b38cf9f7a94aaf0a80e48a71f593c9d4c17eb27cd8,2012-10,Lincolnshire Police,Lincolnshire Police,-0.752720,53.392656,On or near FILLINGHAM CLOSE,E01026374,West Lindsey 006A,Investigation complete; no suspect identified
32ea6a8febba16aa0c1688c06ba43b5c425db4f04bd691a8529fd9415f63715e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.046681,52.986178,On or near HAVEN MEADOWS,E01026010,Boston 002A,Investigation complete; no suspect identified
48bc794f3e13465ea7f2d0937da0a42a01f1afcae6a417b2861c7d66294f5406,2012-10,Lincolnshire Police,Lincolnshire Police,-0.070620,52.895898,On or near WORKHOUSE LANE,E01026017,Boston 007A,Investigation complete; no suspect identified
f4760b847b4d89f9039f80202c739524c37beb1fdac0a7e6aca1c7b5c98e15c0,2012-10,Lincolnshire Police,Lincolnshire Police,-0.040398,52.976212,On or near WESTFIELD AVENUE,E01026031,Boston 009B,Investigation complete; no suspect identified
f708693c28c860796402e5acd8a5f38e68702e711c5b081a21bd6088bf79be84,2012-10,Lincolnshire Police,Lincolnshire Police,-0.533563,53.230260,On or near SPA BUILDINGS,E01026122,Lincoln 004A,Investigation complete; no suspect identified
c10f9dd90b31ad284a575686bbe6ee4bfe0c2ee00fb586bb5786ce59dae06ca5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.614212,53.215762,On or near MELROSE LANE,E01026128,Lincoln 007B,Investigation complete; no suspect identified
5b42f07a75d8e8fee3d1f55fa876acb9ca4634aca508fab3349add5dc117d0f9,2012-10,Lincolnshire Police,Lincolnshire Police,-0.555470,53.224342,On or near Petrol Station,E01026133,Lincoln 008A,Investigation complete; no suspect identified
