Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a98c37d633b17e8f3cef7f1965a17dbe6b1fc9e72b176c4356a54a64bf4ada18,2015-08,Lincolnshire Police,Lincolnshire Police,-0.548543,53.217902,On or near EDWARD STREET,E01026134,Lincoln 006A,Investigation complete; no suspect identified
747c8c12dd8b248946712d4dab011cf9dddf7ace03aacb008dcd0a90b4a42844,2015-08,Lincolnshire Police,Lincolnshire Police,-0.538143,53.234343,On or near EXCHEQUERGATE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
90640effcc86f1cf0f6811bbf1bf11f9faaed27499930605e5bb44c37e7bb4b7,2015-08,Lincolnshire Police,Lincolnshire Police,-0.019149,52.978359,On or near RASON'S COURT,E01026025,Boston 003C,Investigation complete; no suspect identified
148a8ef992a95de84d2d86013a398d1fa20b6a29044763a7a2b47c097e608997,2015-08,Lincolnshire Police,Lincolnshire Police,-0.205472,52.977290,On or near SIX HUNDREDS DROVE,E01026201,North Kesteven 012B,Investigation complete; no suspect identified
376e74536d23364e457748b26bcb9f6817562aa8a4996c7aea4f1bbbc99b1cd5,2015-08,Lincolnshire Police,Lincolnshire Police,-0.002348,53.363534,On or near Parking Area,E01026089,East Lindsey 004C,Investigation complete; no suspect identified
b229259084f68b6981ed60053170293f6ff3803f38cde9414af71236ac9e7c6f,2015-08,Lincolnshire Police,Lincolnshire Police,0.329458,53.145117,On or near OLD WAINFLEET ROAD,E01026092,East Lindsey 014A,Investigation complete; no suspect identified
8e3a64eb4889c2a7329c939c228e35f8c24c315bac88e2eec9f794670f9ede54,2015-08,Lincolnshire Police,Lincolnshire Police,-0.182453,52.970359,On or near Parking Area,E01026033,Boston 006B,Investigation complete; no suspect identified
0b9c3ee0a92a11df2ba8657ef89ea305c0c205f2f9ae78a6b626b6d33910ebda,2015-08,Lincolnshire Police,Lincolnshire Police,-0.551067,53.249163,On or near HONINGTON CRESCENT,E01026149,Lincoln 001A,Investigation complete; no suspect identified
11af2b5d5159d7e9b54297490dd1c180e043a7abfe12202c7482f68e39bf903a,2015-08,Lincolnshire Police,Lincolnshire Police,-0.560195,53.242001,On or near MITCHEL DRIVE,E01026147,Lincoln 003C,Investigation complete; no suspect identified
ca1bde41b035d3e2891b9b85fca62810f53e9aa36ab2f13d43a3d1e7e7304d7e,2015-08,Lincolnshire Police,Lincolnshire Police,-0.012214,53.375017,On or near GRIMSBY ROAD,E01026077,East Lindsey 003A,Investigation complete; no suspect identified
