Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b3cbd14208179db60fac8a56960ab9100dce7e3c37bb4f0eb07f4196ee3c530f,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.712526,52.571360,On or near NUFFIELD CLOSE,E01026620,Great Yarmouth 011D,Investigation complete; no suspect identified
9fa8340bccbac4276b7a6873a01e8d9bb355c238e29f5a6e233fc3accb0a613a,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.301230,52.624358,On or near MUSIC HOUSE LANE,E01033440,Norwich 014C,Investigation complete; no suspect identified
cfe6e65d5e247d8794b9340876f2a2606c2aa9c39b61cb2802571c2facabb129,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.499507,52.842852,On or near REG HOUCHEN ROAD,E01026655,King's Lynn and West Norfolk 004C,Investigation complete; no suspect identified
977cdf3fe2bbf4ecc67fa08766182b2a60835a8ba47a06f1f6ffe2186dd05958,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.712179,52.579124,On or near FORSYTHIA ROAD,E01026603,Great Yarmouth 009C,Investigation complete; no suspect identified
4b24558bdf45f98ce23f2ccb9f788de9070523dad96b72411e41ef456edaf943,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.431951,52.753494,On or near WHEELWRIGHT ROAD,E01026663,King's Lynn and West Norfolk 010B,Investigation complete; no suspect identified
cf53d30cfcec8b32e1a6bd7e1a407a337bbd6df4e78eda2bd20b8e6695b9878a,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.307984,52.634746,On or near ST JAMES MEADOW,E01026848,Norwich 015A,Investigation complete; no suspect identified
5c4374811e19c03a8190391a37d633eba29e6d4af4155d1eed45cb142e78f618,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.756294,52.404258,On or near NUNNERY PLACE,E01026440,Breckland 014B,Investigation complete; no suspect identified
4b340ab1ba85a846ebfdd929c6a9626d94dc822abc5f101f044864457bd9e89c,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.460795,52.705206,On or near THE ALLEY,E01026725,King's Lynn and West Norfolk 014F,Investigation complete; no suspect identified
bd53ce7bb83bd3c82daca6065f0fdd231313e94ade9d29ae01b5f80e8aeb3852,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.202350,52.714589,On or near NASH ROAD,E01026535,Broadland 004C,Investigation complete; no suspect identified
c8eed9f83c189acfce49537aa57c6ea4d7b41527ada02c7ebf5047b38e532563,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.216950,52.612983,On or near GREEN DROVE,E01026661,King's Lynn and West Norfolk 016C,Investigation complete; no suspect identified
c72ea143029756f615a4a3250315110e9def7e90ca99798e6357a9f243ddd2f7,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.295167,52.636309,On or near Supermarket,E01026826,Norwich 007E,Investigation complete; no suspect identified
e0ec3c8814e884a4a6b8029fba5e0c8c852d9c2799d7918029f1dd05106be56d,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.432056,52.606548,On or near MARKET LANE,E01026727,King's Lynn and West Norfolk 018B,Investigation complete; no suspect identified
4d50bddb406669c59689cf5f68fae8d308f69a7ec0cafbdf07bf7d0f9005c92d,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.736636,52.621142,On or near COLLINGWOOD ROAD,E01026639,Great Yarmouth 004B,Investigation complete; no suspect identified
52eb0848a8faa89cb4070aa35d93b435e4497dc21eb9681d05fab85b2f20a5b5,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.729660,52.420326,On or near ELGIN WAY,E01026467,Breckland 015C,Investigation complete; no suspect identified
b834944a1d0162f63821f1570ee03af866bc65567f3cdc2b33ef5abe2a1c4569,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.522610,52.524273,On or near CONSTABLE PLACE,E01026650,King's Lynn and West Norfolk 019C,Investigation complete; no suspect identified
