Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
41d46b3835279b1b26c8e05b4cc4c562d9ef637f3b7ce14e42d8c143d39a911e,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
46084e267bbdebbc68ad8243665b31115ae47df579021715b2866c3f78e043b6,2015-02,Dorset Police,Dorset Police,-1.902371,50.810671,On or near PRUNUS DRIVE,E01020376,East Dorset 009B,Investigation complete; no suspect identified
1adb49c7cb9aa553afc381d1a7bcc8c737f7c3916ff60ba19b73e3aa490ebb37,2015-02,Dorset Police,Dorset Police,-1.840491,50.830863,On or near LAUREL CLOSE,E01020406,East Dorset 004D,Investigation complete; no suspect identified
e16f38671618870c59bb76b98ddab33c6501336442224d4d6153798f553944fe,2015-02,Dorset Police,Dorset Police,-2.195470,50.884744,On or near BOTTOM ROAD,E01020444,North Dorset 005A,Investigation complete; no suspect identified
eae7e7b4cf4467a391dc82fe4c65aaf11e4790063279a6740e9bf303e63ada5b,2015-02,Dorset Police,Dorset Police,-2.031521,50.738506,On or near OXBORROW CLOSE,E01020472,Purbeck 002B,Investigation complete; no suspect identified
de7cc20f40737390c7a63f5cc3e7c25c3d7a736ac886192c6837c0081508f8ce,2015-02,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
a55848400f1739c7db930c6d3597e8e11321a32c422a430080dad23eb3fd1520,2015-02,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
513776b1c974c2cf39c749965a0fa8e7a02acd9de56dc19651ac797e5d46241e,2015-02,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
4112e05a9c4f15a04d5d136b32b355c4b6044bac17dd28743c8ac679f2c95a48,2015-02,Dorset Police,Dorset Police,-2.097972,50.840939,On or near RIVERSDENE,E01033159,North Dorset 006F,Investigation complete; no suspect identified
629dd3fa97697153bad6446798b7727d2e76e0c9fc0da95fa47d497583e8e30a,2015-02,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
b8b211a3a69d7c05d359e49f53d7f1d6478db1ca1445bb0e9dc29c7b1b1759c9,2015-02,Dorset Police,Dorset Police,-2.762359,50.733678,On or near TANNERY ROAD,E01020503,West Dorset 008B,Investigation complete; no suspect identified
576327372ad5c459305c9f571791453003d78c88b35c78ee098c330645a2d6e5,2015-02,Dorset Police,Dorset Police,-2.072146,50.799601,On or near HIGH CLOSE,E01020410,East Dorset 005D,Investigation complete; no suspect identified
035e97a198416f0ef72133737f680c143d7f405283b635f0418ecdcb4fcb753b,2015-02,Dorset Police,Dorset Police,-2.286614,51.008659,On or near WITCH CLOSE,E01020462,North Dorset 002D,Investigation complete; no suspect identified
