Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
23056460335e041ef25e0a22bcd3b485827cefc869bd2460d9ea618599c40857,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.688188,52.674687,On or near CROSSWAYS,E01026627,Great Yarmouth 001D,Investigation complete; no suspect identified
0fe50c5c9caa1f2ca92049a1a68682cbddd3b2d080193b43dc81b392e89ee5de,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.791973,52.842302,On or near Parking Area,E01026780,North Norfolk 009A,Investigation complete; no suspect identified
c7b0db71eaba79b7f09d97b89449ea9141d058e5e82c25edc3e692a8e6ee8710,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.688188,52.674687,On or near CROSSWAYS,E01026627,Great Yarmouth 001D,Investigation complete; no suspect identified
2fe8f9f54bb122cf9419c8ce1bc8f81b8ce5d6c13a2e05df0f5c4495a1a37f76,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.410967,52.755118,On or near TENNYSON AVENUE,E01026668,King's Lynn and West Norfolk 009C,Investigation complete; no suspect identified
de9edfaf17643dcdf59c37e8982f2e404d5349089dd7f526b50a3a497c2aa309,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.242358,52.629853,On or near CUNNINGHAM ROAD,E01026861,Norwich 010D,Investigation complete; no suspect identified
16d8cd5a37382d7ba6a7046e39a0c34a15635f09adf2941cc469b560d856a1c1,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.322040,52.624180,On or near CREMORNE LANE,E01026849,Norwich 015B,Investigation complete; no suspect identified
690b9e5f4cac7fc2ce3c7a6641028ee8b3b3d7521cdc848320e1b8d838f40684,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.688188,52.674687,On or near CROSSWAYS,E01026627,Great Yarmouth 001D,Investigation complete; no suspect identified
627f7650aa5a60d729ba5d2b6af8f4a2fe4bd2199f0c83b4c0251d04e3515124,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.737927,52.404452,On or near PINE CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
4a11f58cf9e52713fbfed6877c85df8a590f8b98c869f290a0ec87256ef0daa3,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.425253,52.751365,On or near THURLIN ROAD,E01026666,King's Lynn and West Norfolk 009A,Investigation complete; no suspect identified
6fee2d4677b552a642746c8a7879b59f9f256d4178a4b3f6b165a25d6152672d,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.295289,52.646180,On or near AFGHAN PLACE,E01026843,Norwich 003C,Investigation complete; no suspect identified
