Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
796a5ba36eeb4ec06020f0639b44d48d6edcb28fa1b84691c7465854607bc8f1,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.057545,51.699613,On or near WOODSIDE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
f5a503c4bbec97d54a926ab20f722dd884a4d69b85c442fdfbf0854e74f59317,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051420,51.700384,On or near GREENWOOD AVENUE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
efd2f210b643f433b1a6be4c47eb93ba55871043107ed645f0a6102ec034f5f9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.052899,51.714805,On or near MORETON CLOSE,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
66e6abab00626549a9e76f22f0b9b67f5e288f9a78453a41f7505fc0bc091251,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034107,51.718853,On or near A10,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
0fd64cb893dbf67b9f32eb2c9483425f9f585cf711ffba8cfe768eff5b34faf0,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040738,51.685683,On or near SANDRINGHAM WAY,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
ebe625e7727df7b8a80584bd24a75f61469dc7905a2f16a3f8a5720040c71f10,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.043279,51.712307,On or near CHADWELL AVENUE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
dd35bc6b0cca9e77236aeae879c36aa32b4698e0a988e81ae7c53bc42c980a3a,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
f1436dffb6a969fa61809b4c74c0d8e57b70fc556cd5695702fef0599cad85c9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045364,51.710948,On or near THE GREEN,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
0ae53e59cf005047fb472488e47a15a9fa5afff7061e1a4508a1b838cd478e74,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060026,51.711650,On or near HOLLYBUSH WAY,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
d7261193249d0e9da0743f00f6651b3c4a0bf2c42dda2cb5349c8872ed73f0b4,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055397,51.709883,On or near ANDREW'S LANE,E01023325,Broxbourne 009C,Investigation complete; no suspect identified
073be3758a16bf2d2a13e9ce1b530600e3c22d07f903cb6ea9ef5a0ab105e5f5,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038537,51.684064,On or near CREASY COURT,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
6b139e8234ad4be7939269de00c2c374ed9d10a9e4c1a2e78e317e9bce11a222,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013151,51.684321,On or near GORDON ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
b728e98369f57cfafb27d449e1816838b3c873616f0828976e99076c2b00bd2e,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027548,51.706226,On or near PALMERS WAY,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
23e9c2a29406892f5ab963f9a4bdc09583934a91eff6fee4614795b11b2e7602,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.090099,51.723814,On or near GLADDING ROAD,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
