Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0a5dbcb97132a405b97cfa17050f3d4e8ddeebc1aaf1d750a0465e75db51b3d1,2014-09,Dorset Police,Dorset Police,,,No location,,,Offender given a caution
77f03cebf8b3a057feca4dd4f1138513cdf3e022e4ea1111037085d23fd4815d,2014-09,Dorset Police,Dorset Police,-2.041325,50.735643,On or near BEACH ROAD,E01020474,Purbeck 002D,Investigation complete; no suspect identified
c124a8730bc8e67ab762ee347fd70ccce6a1dfe75fda6b9e5517b02e91ac9b4f,2014-09,Dorset Police,Dorset Police,-2.458149,50.618032,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
611e43dceb19e43d749eeee013b49cbebee22679c717e8e6f35c160dd5d759d9,2014-09,Dorset Police,Dorset Police,-2.484158,50.604248,On or near FREEMANTLE ROAD,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
d1ab8504ff6ba106a73641d3978c41c530d9540d97f4da305860164944c6c260,2014-09,Dorset Police,Dorset Police,-2.044290,50.753429,On or near MAYLYN ROAD,E01020472,Purbeck 002B,Investigation complete; no suspect identified
05633d83d60cb4d5ddfa151475bae5a2bfb0da3ca012cb39ca34fa11bb2d2629,2014-09,Dorset Police,Dorset Police,-2.162848,50.857008,On or near THE TABERNACLE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
1e810589b8bc5243a4098a6c834160a41e83ba2636c6928f2d06949e81a9b430,2014-09,Dorset Police,Dorset Police,-2.378429,50.686798,On or near STAFFORD CLOSE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
5df4f71df38fa61b5bd368952baed424ac986907982f6c7dde216fef211e325a,2014-09,Dorset Police,Dorset Police,-2.423516,50.646023,On or near PRESTON ROAD,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
d694fc6fdbf4b18a90799adf1e3b17f96ec35a2a61e92b6b8186dcab68850ebf,2014-09,Dorset Police,Dorset Police,-2.449973,50.541839,On or near WOOLCOMBE ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
8ad8768b0451e6a820049f62ad1473d14852e809c423fa8e33bb36f980f9fcaa,2014-09,Dorset Police,Dorset Police,-2.465065,50.615522,On or near POTTERY LANE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
f72416062197cf46ad8884046c479fe825e4f76c239df25560ac60d5e68e7960,2014-09,Dorset Police,Dorset Police,-1.892288,50.800716,On or near SPINNEYS LANE,E01020392,East Dorset 008C,Investigation complete; no suspect identified
d0c9a5d2198c990146a43d4e776c22f6ca9d0558002c24940a2bdeafffba76ef,2014-09,Dorset Police,Dorset Police,-1.838026,50.829277,On or near Motorway Service Area,E01020406,East Dorset 004D,Investigation complete; no suspect identified
46c5935c45c0c0a95afa092dc41506cc0a737674bd2b94f412c217adbccffb75,2014-09,Dorset Police,Dorset Police,-2.136578,50.880988,On or near BERKELEY RISE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
64348d676c6a4449534d066666510247a0d4999a5db786720c22037f18a297aa,2014-09,Dorset Police,Dorset Police,-2.449973,50.541839,On or near WOOLCOMBE ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
bb15ce7c722d4ef3da3388a82b7801810a29b2d1c889ce505a0b5f35151fcde4,2014-09,Dorset Police,Dorset Police,-2.493673,50.611466,On or near Sports/Recreation Area,E01020515,West Dorset 012D,Investigation complete; no suspect identified
c49a86a6ef6c848a160fcdd3e1ed1f51aac1627050b3997515cc53af447ba889,2014-09,Dorset Police,Dorset Police,-1.878051,50.878865,On or near MONTROSE DRIVE,E01020414,East Dorset 003D,Investigation complete; no suspect identified
6600c0945b1fa0568c007a1356e7b21ac91b2839856dcfc511a3306c306f0fcc,2014-09,Dorset Police,Dorset Police,-1.727778,50.735432,On or near MEDINA WAY,E01020355,Christchurch 007B,Investigation complete; no suspect identified
0025a9dfbbc3f8e47cfdfa677adb8e5f3399f9ad12a430bcd2aa0d4ef8ce0c89,2014-09,Dorset Police,Dorset Police,-1.865603,50.872655,On or near MEADOW WAY,E01020417,East Dorset 002B,Investigation complete; no suspect identified
bc1821ed5fdf15a266cbd81f7fffd7774f12b2cce051cb7088a38c27ad622c3c,2014-09,Dorset Police,Dorset Police,-2.455323,50.618052,On or near PENNY STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
1f9a0b7c4186df18861b56b8c6ab714284387983f96135da94662f0bef7756a3,2014-09,Dorset Police,Dorset Police,-2.438683,50.713358,On or near Supermarket,E01032644,West Dorset 009H,Investigation complete; no suspect identified
a36fd0a8180036a98e3728164922999f92ff26566b69194ac25e78446d0c169b,2014-09,Dorset Police,Dorset Police,-1.854154,50.866257,On or near EBBLAKE CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
da0450e0c3307e8c0ee1c4e8194444ec69eb05b6f536b5bd013de99c23a11a4c,2014-09,Dorset Police,Dorset Police,-2.753613,50.797053,On or near Park/Open Space,E01020494,West Dorset 003A,Investigation complete; no suspect identified
753a0bede577a7f68efb7c5c83aa730f60af8f3734cf3a4f444817b2c1443333,2014-09,Dorset Police,Dorset Police,-2.420365,50.646430,On or near Supermarket,E01020558,Weymouth and Portland 002B,Investigation complete; no suspect identified
34171e9892fa3c9f544ebcd10c011e757667a5636f9a31b781ade0112713f003,2014-09,Dorset Police,Dorset Police,-2.155897,50.864580,On or near SALISBURY ROAD,E01020439,North Dorset 007E,Investigation complete; no suspect identified
f4a0157ef6b12b93aea32b4b53f4278bb352c694139c8e02ee7d072f75e74c12,2014-09,Dorset Police,Dorset Police,-1.992796,50.804470,On or near CULVERHAYES ROAD,E01020428,East Dorset 010C,Investigation complete; no suspect identified
1f39b64376bedebac2e0b5f3c4a867e54e041cb814d792430b9d5e002d976245,2014-09,Dorset Police,Dorset Police,-2.192734,51.010399,On or near Petrol Station,E01020454,North Dorset 003A,Investigation complete; no suspect identified
c11937f985d733e833b59e2f5e51233f205f3266f67713989507bf5a0af880ea,2014-09,Dorset Police,Dorset Police,-1.849883,50.784438,On or near COMMERCIAL ROAD,E01020365,Christchurch 001D,Investigation complete; no suspect identified
74f4883ade0f04800c33e4a331d2c571f565906960805838f694807b94b56d5d,2014-09,Dorset Police,Dorset Police,-2.481583,50.599771,On or near LEA ROAD,E01020589,Weymouth and Portland 007D,Investigation complete; no suspect identified
7cf0ca88809c27d594bd3beeab1fa29d6784409398eee276ad2ff29fd7cfe0e2,2014-09,Dorset Police,Dorset Police,-2.470964,50.611820,On or near WESSEX ROAD,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
8fa424fc9367d632ce3da5c1fde9cc558a1d7a84edcbf347b82fe746d19b6395,2014-09,Dorset Police,Dorset Police,-1.885283,50.851023,On or near JUNIPER CLOSE,E01020411,East Dorset 003A,Investigation complete; no suspect identified
3f231fac11cba366f18341b2235d06c30f641ed2e16c64003176243a26b9fcac,2014-09,Dorset Police,Dorset Police,-2.507305,50.944989,On or near NEW ROAD,E01020541,West Dorset 002C,Investigation complete; no suspect identified
ed301350cf3bc39b14baeec0d1eafcae10b505ddafd4d82682f01a5b746c1e0e,2014-09,Dorset Police,Dorset Police,-2.460670,50.608336,On or near Parking Area,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
3d82a5e80cd5a46b9c4d3c7f0804af97389cf76d139498f4f19d5e56ef1d5d41,2014-09,Dorset Police,Dorset Police,-2.454025,50.608030,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
07550365bf9cb7096f9c36ae47bc9e6c7552f4b9a9c856b41e79376b941e47a4,2014-09,Dorset Police,Dorset Police,-2.109874,50.678009,On or near Petrol Station,E01020467,Purbeck 005B,Investigation complete; no suspect identified
a15a3ac8150e0dcb370c348effa611118aaa200115dd4143e08d0ea47a1614cc,2014-09,Dorset Police,Dorset Police,-2.060759,50.805893,On or near Parking Area,E01020410,East Dorset 005D,Investigation complete; no suspect identified
40c1216377343f03b72e600c5298b3643aea993243cb44840537111e0ebcecec,2014-09,Dorset Police,Dorset Police,-1.840205,50.910607,On or near BLACKWATER GROVE,E01020373,East Dorset 001A,Investigation complete; no suspect identified
1ba175a3b5745357ef2697c8a6a56901016740fa110410e0c72eb3f5f4178531,2014-09,Dorset Police,Dorset Police,-2.465468,50.652032,On or near MEADOW VIEW ROAD,E01020571,Weymouth and Portland 001D,Investigation complete; no suspect identified
9bb9de564432f9d10878f634bcab2f872f187edb1e13e4d61cb967c1770efbfc,2014-09,Dorset Police,Dorset Police,-1.878051,50.878865,On or near MONTROSE DRIVE,E01020414,East Dorset 003D,Investigation complete; no suspect identified
f2c25dd2f3a011333b4c6cfc301396b3518377f4290731049d01601ca17f56cc,2014-09,Dorset Police,Dorset Police,-2.466764,50.608654,On or near KNIGHTSDALE ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
26672793efd26a23b9fbcdcdbb86dde36a448179f9baaf38d70d69b09166937a,2014-09,Dorset Police,Dorset Police,-2.110432,50.686606,On or near Supermarket,E01020485,Purbeck 003C,Investigation complete; no suspect identified
bba5e1c79943e59ce687f5817715cd98f0faafdbbfb020abedca25dc39533de3,2014-09,Dorset Police,Dorset Police,-2.197346,50.951941,On or near WEST VIEW,E01020460,North Dorset 005D,Investigation complete; no suspect identified
36f8ec9f10414c1758f3e9208004bc324b8c3e87bed564647cb8ba927652d417,2014-09,Dorset Police,Dorset Police,-1.878611,50.810756,On or near COACH HOUSE MEWS,E01020390,East Dorset 008A,Investigation complete; no suspect identified
da9b1215c35aa0b4ce2aba320621cc1aa040a2da23e67d0b4aa11b488493bd48,2014-09,Dorset Police,Dorset Police,-2.275026,51.037552,On or near HIGH STREET,E01020443,North Dorset 001A,Investigation complete; no suspect identified
508c56ae7731b05c432f76f8d36456f84fc6c7b8ecea38d88cd0ae7427f86152,2014-09,Dorset Police,Dorset Police,-2.074475,50.756822,On or near FOXHILLS CRESCENT,E01020469,Purbeck 001B,Investigation complete; no suspect identified
581808fed02161d62a48c23b4ad95b850d7e5d5e031689430c2eecc20ad744af,2014-09,Dorset Police,Dorset Police,-1.854159,50.869234,On or near BRUNEL CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
ec9733a9726b071671c000377f777bd53341918cc7b0eece14b5f7e66575d10b,2014-09,Dorset Police,Dorset Police,-1.958186,50.609726,On or near MERMOND PLACE,E01020479,Purbeck 006B,Investigation complete; no suspect identified
5d952ccf86cde3099e96966998f039e485fa1b5f4c4de167f9dbd5a83550a608,2014-09,Dorset Police,Dorset Police,-2.303674,50.925545,On or near LANE FOX TERRACE,E01020458,North Dorset 004D,Investigation complete; no suspect identified
cd8f443b3570a7db5d3b15340cebf1aa5c2a83a6d622e07635e32ed12d14b781,2014-09,Dorset Police,Dorset Police,-1.925094,50.792891,On or near HAM LANE,E01020399,East Dorset 011B,Investigation complete; no suspect identified
0708dc83465357464ef5f5f5d7f9bec0572a3433b232a8bdf6ea37255ca239b1,2014-09,Dorset Police,Dorset Police,-2.453463,50.615721,On or near QUEEN STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
3d083d733b20e650aaa89e1eb70a940544f18b3838380d6894729bf7b01c93cb,2014-09,Dorset Police,Dorset Police,-2.233949,50.799173,On or near DORCHESTER HILL,E01020430,North Dorset 008A,Investigation complete; no suspect identified
5d3e63c70d6254e1ca6064400204cc42cad91a97f12c91f2209175bad7fe23b5,2014-09,Dorset Police,Dorset Police,-1.890338,50.803385,On or near Shopping Area,E01020392,East Dorset 008C,Investigation complete; no suspect identified
6f84edba5d9d601be2aa7bafa69619c0f1dd3711d7338dd5c3a0d76d85d6a7a6,2014-09,Dorset Police,Dorset Police,-2.461411,50.712929,On or near HIGHDOWN AVENUE,E01032641,West Dorset 009F,Investigation complete; no suspect identified
44017299efce1af3cb658e9ddec50a4f34e3b9a633feaa12350eb4ceb37e89b1,2014-09,Dorset Police,Dorset Police,-2.452425,50.647515,On or near CANBERRA CRESCENT,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
e51fd26dac4f6a1f1d01e0edd1c55d0758d7a98c3544c8e8b7e52f62c2fa4676,2014-09,Dorset Police,Dorset Police,-2.791093,50.724296,On or near DOWN HOUSE LANE,E01020517,West Dorset 007B,Investigation complete; no suspect identified
f91f784f7b52bef8ca5e9b489fa59b344d419c989eb125da09fa2dfa85b838c6,2014-09,Dorset Police,Dorset Police,-1.772360,50.755536,On or near AVON VIEW ROAD,E01020344,Christchurch 001B,Investigation complete; no suspect identified
8196411303e67801bb047ae4a90bb14ea2c5245745097f7b615a85b36ba2f8c1,2014-09,Dorset Police,Dorset Police,-2.528766,50.949642,On or near BARTON GARDENS,E01032642,West Dorset 001H,Investigation complete; no suspect identified
a0e49a47b38361c9cd3c711c892d518426dc4880f7471768b60bc908f7effd8f,2014-09,Dorset Police,Dorset Police,-2.296073,50.933945,On or near FIELD CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
565c4c5484752d16f5be404d4dbfa180e9af0d3c2924c66ae809ae1b37de5e80,2014-09,Dorset Police,Dorset Police,-2.164070,50.857033,On or near THE PLOCKS,E01020438,North Dorset 007D,Investigation complete; no suspect identified
15515768e72b69b0abc9bde0bb3702a529a29f14079e7376c3da98d71b88ad4b,2014-09,Dorset Police,Dorset Police,-1.989896,50.827977,On or near B3078,E01020398,East Dorset 005B,Investigation complete; no suspect identified
89337d1e4550db2af1ec010a5eb231f78b0ae8b4d127935ff996c37a3b2ea1d5,2014-09,Dorset Police,Dorset Police,-2.455177,50.608781,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
3021141680bc0f4cce3fa4e5f4de1fec89a915a14baf7ab177ccb0d76d4a9996,2014-09,Dorset Police,Dorset Police,-2.222460,50.680663,On or near HYDE ROAD,E01020492,Purbeck 004D,Investigation complete; no suspect identified
9c83ca5c5c567bc12605dd0fcff6bd36e15478bea8a080c42c59181462ebd196,2014-09,Dorset Police,Dorset Police,-1.748519,50.731054,On or near MUDEFORD LANE,E01020354,Christchurch 007A,Investigation complete; no suspect identified
a0a8516376c31021ccb5a4d7f4b8dbee585c1aa7bba22266eb408d258667c7a7,2014-09,Dorset Police,Dorset Police,-2.467766,50.715269,On or near RINGHILL STREET,E01032641,West Dorset 009F,Investigation complete; no suspect identified
9e3fb030b2789f34da96451ac9ed3b6e9612d329b37f17e55fdac91c07038987,2014-09,Dorset Police,Dorset Police,-2.907943,50.737365,On or near DOWNSIDE CLOSE,E01020511,West Dorset 005A,Investigation complete; no suspect identified
8299caf16a7c00c301edf5650d996b95a20fc64de6b678408cc4d54b616b450b,2014-09,Dorset Police,Dorset Police,-2.137757,50.885699,On or near ST PETER'S CLOSE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
4097c87e125a0803224ab7cf5061d83686916a6b74a39e854ef94133644bb973,2014-09,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
1e04e0a029be7d5fe538cd8a224fd676c648d604eb1848a7ba4cc236a1ea5d1b,2014-09,Dorset Police,Dorset Police,-2.461636,50.607388,On or near Supermarket,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
7ebff56b278af28b4800b59735779e3adf1fd13e9f1b43f13135e7d0eb044ef1,2014-09,Dorset Police,Dorset Police,-1.800766,50.742908,On or near Petrol Station,E01020351,Christchurch 002A,Investigation complete; no suspect identified
bf8709088fe209ee7065b9b2ee6652733586cef74a0adb0693b54813469e4b3f,2014-09,Dorset Police,Dorset Police,-1.737199,50.733241,On or near THE COPPICE,E01020355,Christchurch 007B,Investigation complete; no suspect identified
e06f44eb47e9e5949cdd6ff022208bd415b0f360d77a6267bab78673a278c685,2014-09,Dorset Police,Dorset Police,-2.461545,50.605401,On or near PORTMORE GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
be09993a2c326dd6afb1e0c57eb927c36535efc7991519f840d16b6bb3b28056,2014-09,Dorset Police,Dorset Police,-1.961102,50.810507,On or near ROTARY CLOSE,E01020379,East Dorset 007B,Investigation complete; no suspect identified
2f6b63b7df5b7bc241364907e204352fc1b43f1569e44a7e3c76a01846390927,2014-09,Dorset Police,Dorset Police,-2.196293,51.006013,On or near HIGH STREET,E01020454,North Dorset 003A,Investigation complete; no suspect identified
359bdf2a4a775db5886f06cb1738f2a9909743c8ebfaaf2e2cb4e4c07c275bf2,2014-09,Dorset Police,Dorset Police,-2.029170,50.739648,On or near CHRIS CRESCENT,E01020472,Purbeck 002B,Investigation complete; no suspect identified
e9511d2bf95ec355be85e67d55b53321372cd2a0d4599213971d5f4cfed8af00,2014-09,Dorset Police,Dorset Police,-2.087209,50.720339,On or near FIR AVENUE,E01020476,Purbeck 003A,Investigation complete; no suspect identified
