Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dae4766a7fa7d1b36959515e2a9de2af476907e254836b7b98a35faf2ddd500e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.485522,53.734804,On or near PRITCHARD STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
4a40e14d847cb0b3b0a4632c7edea3aa3063d86812f8c3e13944056666854268,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486134,53.733921,On or near NORWOOD AVENUE,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
112cbec317f086276f1ab65ba48123fd9d7108b9ec7ad14d484d67576c858a5c,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486039,53.734937,On or near SOUTHWORTH STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
a934d22f1e3b85708e97a8168d5c7305c6f495b5e1ba35bdf67983663000591b,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.485573,53.736557,On or near INFIRMARY STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
cea82eae3b8343b321a9437c38f3f3228fe736080850a318f62bdbb9670e49cb,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.487752,53.733582,On or near MALVERN AVENUE,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
8e9fe547b3cb2f7148917da8d04b83e3c4e8b8f69e01f4dadb2ad1c45bea5be1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486039,53.734937,On or near SOUTHWORTH STREET,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
94a9d7dc4834239aac995ff2a546de44eddead98d6ceb54f11fde54f2f6db9c1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.483391,53.736646,On or near HALL STREET,E01012596,Blackburn with Darwen 009B,Suspect charged
62283c7104371a03dda096a7d31a954e6caa8e0d6f15c4d389833c1ff5e04550,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.485522,53.734804,On or near PRITCHARD STREET,E01012596,Blackburn with Darwen 009B,Offender given a caution
4cc967b0b3144f85ca6fd55e1bfb575c0383b2d189784b90ffa1b5cae3e38bec,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.472244,53.718634,On or near GREENBANK TERRACE,E01012597,Blackburn with Darwen 013B,Investigation complete; no suspect identified
d099539eaf7ba1790bed55546bdfa7bfd276533c6932b9e59483447b6b0941cd,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.476346,53.720945,On or near Petrol Station,E01012597,Blackburn with Darwen 013B,Offender given a caution
8be89cb305d141b69ebfcab1851bc86cd3d62240faa4e0b9408d9a1509691c92,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.494663,53.723190,On or near CAMPBELL CLOSE,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
0ec280acc6ac9d5a21232e91bc50fc16c01b91fdbca835b72ff437a6da81f88b,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.489861,53.721996,On or near GREENFIELDS,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
