Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
216c94f39dead21406f54b2f139e62d8bb9d7ffff2bf0132420c3486dac38705,2013-02,Thames Valley Police,Thames Valley Police,-0.687618,52.036502,On or near Supermarket,E01016783,Milton Keynes 017A,Investigation complete; no suspect identified
ad377560bebcf30e04636aa18c8772bacbe12836ee6b532aa7b716d93ed04966,2013-02,Thames Valley Police,Thames Valley Police,-0.708739,52.037670,On or near Pedestrian Subway,E01033501,Milton Keynes 016E,Investigation complete; no suspect identified
2cd368636303087c9050eeab6fb18774e759e6b2fd2bbe7211c76b4d57877b28,2013-02,Thames Valley Police,Thames Valley Police,-0.732377,52.016339,On or near Pedestrian Subway,E01016842,Milton Keynes 023B,Investigation complete; no suspect identified
99743be5b6bb3d5d5b9ede8725496e273899c8a30d006741813ea38a346d3d68,2013-02,Thames Valley Police,Thames Valley Police,-0.753619,52.021205,On or near Petrol Station,E01016844,Milton Keynes 023D,Investigation complete; no suspect identified
203720249333a21c92e8fc05e28799aa7002b3548bff1a521da63abac2f7d9a0,2013-02,Thames Valley Police,Thames Valley Police,-0.973112,51.453823,On or near Nightclub,E01033420,Reading 011H,Investigation complete; no suspect identified
609ad4253297544e04f52eb4f5fcb9573837c9fcf21e7b7be643da7e85c39da7,2013-02,Thames Valley Police,Thames Valley Police,-0.976357,51.454813,On or near BROAD STREET MALL,E01033423,Reading 011J,Investigation complete; no suspect identified
d167dcdbadec99edba4b071f258e67d926e3d7bc86fe37886bc59d5bd61e4a89,2013-02,Thames Valley Police,Thames Valley Police,-0.957603,51.420056,On or near SOUTHGLADE,E01016369,Reading 018A,Investigation complete; no suspect identified
86d7a8872cc644d6b0c74256e5f0e20bf7342683b1c71da68b4c84b2d4fcc24f,2013-02,Thames Valley Police,Thames Valley Police,-1.015641,51.450438,On or near SHILLING CLOSE,E01016395,Reading 008C,Investigation complete; no suspect identified
2e72c85402ea9f7cbfbad98b53b95faf4a69fa38aa7b3ba9093f46ab267d0063,2013-02,Thames Valley Police,Thames Valley Police,-0.970339,51.437595,On or near ARKWRIGHT ROAD,E01016377,Reading 017C,Investigation complete; no suspect identified
e8485fade3926f4f8f79914b8534b09c3f5f71180fae15156064c6ad3807812a,2013-02,Thames Valley Police,Thames Valley Police,-0.993377,51.453108,On or near BARON COURT,E01016357,Reading 008B,Investigation complete; no suspect identified
cfaf9f86936442feddc96e1e96a7e402bdc9d4c94e17bf136cabda236f017586,2013-02,Thames Valley Police,Thames Valley Police,-0.979885,51.448244,On or near Petrol Station,E01016390,Reading 013C,Investigation complete; no suspect identified
40f2b0cff7af8fedea89b6933312c4ae6035a7240b2ee5edd70bfe9eeff8d83d,2013-02,Thames Valley Police,Thames Valley Police,-1.047634,51.460728,On or near HOLFORD CLOSE,E01016432,Reading 005E,Investigation complete; no suspect identified
