Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f3c673b0c52e5178936abd6fe103b694a2a985733c414bb8caf2ad4045f6148f,2015-03,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a drugs possession warning
58d96961a6227ea1e4deac155a4eafefad7af2365996eb252816cbce22151f9c,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.413054,52.738441,On or near Supermarket,E01026704,King's Lynn and West Norfolk 011D,Investigation complete; no suspect identified
adee40e72a620c2604e792cfa3e12d91086bbf9af8096a0481714d4683ac2ce4,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.423055,52.750754,On or near RAYNHAM CLOSE,E01026666,King's Lynn and West Norfolk 009A,Investigation complete; no suspect identified
45b737977b47162ecc49ea3298d09f4037ad7ed2061b05ee5956c7925e2fafc3,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.012790,52.515537,On or near HIGH STREET,E01026449,Breckland 011D,Investigation complete; no suspect identified
e8a5482725218abcc34a0ebd857380a1912c49392baf15e10b5ad0258245abe9,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.488018,52.907051,On or near STAITHE ROAD,E01026677,King's Lynn and West Norfolk 003B,Investigation complete; no suspect identified
548c2848438cc97b06dd5fccc8b41ecaeba9a2cde6f0cd577cb632db3b145cb2,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.010874,52.517276,On or near YEW TREE ROAD,E01026447,Breckland 011C,Investigation complete; no suspect identified
702954bfc19e92aaf88692a328a535872ca14fc499c18d480ae36d4b970f3f9d,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.193284,52.671436,On or near SPARROWGATE ROAD,E01026685,King's Lynn and West Norfolk 013B,Investigation complete; no suspect identified
2646baacccaf7426dfe3a1b4ac16b80c70a2553c190a6759da83443768b0b873,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.747125,52.414274,On or near KING STREET,E01026468,Breckland 016A,Investigation complete; no suspect identified
1c5426ef2c8ce84d52fdf06e28efa890445ffde575bc8f77ac418f19c01b899f,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.769339,52.421435,On or near PETER DRIVE,E01026470,Breckland 016C,Investigation complete; no suspect identified
259baa3cf10530aeba79348f99fc5c76bd73cfffbb6499695cf312429cfb9435,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.101094,52.373389,On or near BALDRY'S YARD,E01026891,South Norfolk 015D,Investigation complete; no suspect identified
30d6bbfb4f62069ac8d7cac90cf182fc991466179470c919d3bb807ea6123f21,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.828138,52.570473,On or near MEMORIAL WAY,E01026488,Breckland 009C,Investigation complete; no suspect identified
ad95d613d7656f5386213548514060ecb76c4785718187501a233068163bc9b0,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.006251,52.431194,On or near EAST CHURCH STREET,E01026494,Breckland 014D,Investigation complete; no suspect identified
dfbfe599ef61d58f75053313462e0247141aa69f244e3d7e11b767271a6104ef,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.434802,52.556978,On or near THE MEADOWS,E01026880,South Norfolk 008B,Investigation complete; no suspect identified
106423a1025a1782123152538515bcb5d96cb9b9d52ba5e5f9e8416994e5a764,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.404029,52.765033,On or near LAWRENCE ROAD,E01026687,King's Lynn and West Norfolk 007A,Investigation complete; no suspect identified
4eb1db7c26ccd5c220e36374fc401e546244749f05b8082fd4d3eec1f87e9a0c,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.925640,52.439207,On or near GREENFIELDS,E01026439,Breckland 014A,Investigation complete; no suspect identified
57ed1fccd5073dd8f2a629b284e5e95c88643913f299f69f3cff2fc700b6239a,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.296443,52.639898,On or near MAGDALEN ROAD,E01026846,Norwich 003F,Investigation complete; no suspect identified
97438ad0597c1d86a65c72b460e1c0e435f2ea20f778471a4a5d9302037c6739,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.720739,52.606937,On or near STEAM MILL LANE,E01026635,Great Yarmouth 007D,Investigation complete; no suspect identified
07702bfdabee1124132f41f7d3cb286c0c352f1942d403ccb1fb7bb5ed0d519c,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.254251,52.629976,On or near EARLES GARDENS,E01026868,Norwich 006F,Investigation complete; no suspect identified
c27d16808b450b15971d713d69b78de982bd08ac3f9da617e1bbd6ad55949eed,2015-03,Norfolk Constabulary,Norfolk Constabulary,0.887510,52.671611,On or near JESSOPP CLOSE,E01026453,Breckland 004C,Investigation complete; no suspect identified
cb1c8f8b7fc57bb44afa4543941641414513141a17da6dd367f8e8f8b4ab1467,2015-03,Norfolk Constabulary,Norfolk Constabulary,1.736959,52.622508,On or near HOWE ROAD,E01026639,Great Yarmouth 004B,Investigation complete; no suspect identified
