Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
445323f7373a33ea7d2d7f763c7d700b85c5be9b34482355f4ae3932806c5752,2015-03,Lincolnshire Police,Lincolnshire Police,-0.402220,52.997250,On or near Sports/Recreation Area,E01026232,North Kesteven 010D,Investigation complete; no suspect identified
5b34aed6fd05ece4bee10e3ec9b8f3155d96f32c5baa62a9810a1f7d766c6e13,2015-03,Lincolnshire Police,Lincolnshire Police,-0.320593,53.386002,On or near MALLARD WAY,E01026391,West Lindsey 003C,Investigation complete; no suspect identified
3d36cb5a119d3281dd1710c0b016f2968c69f97db793ba1bf75161e531b39b7a,2015-03,Lincolnshire Police,Lincolnshire Police,-0.511568,53.238509,On or near DEAN ROAD,E01026123,Lincoln 004B,Investigation complete; no suspect identified
b00c62dd2023978e47728efe025c009b8632816f99656391470b5cdf8dc8b4a0,2015-03,Lincolnshire Police,Lincolnshire Police,-0.055143,53.504704,On or near RIBY COURT,E01026061,East Lindsey 001B,Investigation complete; no suspect identified
693bc0b77a262d9145ed01726bee62be3cf08b7468a9ab6b7c2c633496299a69,2015-03,Lincolnshire Police,Lincolnshire Police,-0.684402,53.374115,On or near Park/Open Space,E01026388,West Lindsey 007A,Investigation complete; no suspect identified
693bc0b77a262d9145ed01726bee62be3cf08b7468a9ab6b7c2c633496299a69,2015-03,Lincolnshire Police,Lincolnshire Police,-0.684402,53.374115,On or near Park/Open Space,E01026388,West Lindsey 007A,Investigation complete; no suspect identified
9cb574eb409eab2e832467edb16a0b7a519a12674d69df4f25a685a1a48dce94,2015-03,Lincolnshire Police,Lincolnshire Police,-0.111460,52.762413,On or near CLAYTON CRESCENT,E01026284,South Holland 011C,Investigation complete; no suspect identified
703acd4e018524ac7fb3c76f0d76133a475973c25d1b37561d0688ee75a4b504,2015-03,Lincolnshire Police,Lincolnshire Police,0.001907,52.964691,On or near SADDLERS WAY,E01026014,Boston 008B,Investigation complete; no suspect identified
af1825377679c65b6fed1aa02de2718c19f352d6dbf63058509310a70fc65a5d,2015-03,Lincolnshire Police,Lincolnshire Police,0.343783,53.151426,On or near Shopping Area,E01026116,East Lindsey 012D,Investigation complete; no suspect identified
8da82ddd7312a0919d2b15bfcc816b1d8d36c5e1b5bd868f8272de146f848dc3,2015-03,Lincolnshire Police,Lincolnshire Police,-0.537870,53.232686,On or near WELL LANE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
8da82ddd7312a0919d2b15bfcc816b1d8d36c5e1b5bd868f8272de146f848dc3,2015-03,Lincolnshire Police,Lincolnshire Police,-0.537870,53.232686,On or near WELL LANE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
b06387e5647c706afb95567582853a75e0bfdfab8b558c8f03a7dbdd6b6bfe79,2015-03,Lincolnshire Police,Lincolnshire Police,-0.531999,53.251429,On or near Supermarket,E01026168,Lincoln 001D,Investigation complete; no suspect identified
ac78594d69c13aed31b347f4411c81497c57d79d49b8f13023d7e4e37cb01950,2015-03,Lincolnshire Police,Lincolnshire Police,-0.064349,53.508836,On or near FORGE WAY,E01026063,East Lindsey 001D,Investigation complete; no suspect identified
1a58b5ab22a68eef6f411c14ba3115be3a3dac01f599f82eb120779345362cdc,2015-03,Lincolnshire Police,Lincolnshire Police,-0.644760,52.917285,On or near NEW STREET,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
ba28db56b785a22dac2cdf51a92b440fba3b22647d5546fe4990ec780aeaac4a,2015-03,Lincolnshire Police,Lincolnshire Police,-0.412315,53.001135,On or near Supermarket,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
74ff0f9dda79aa626294e3b7bf82eb9f38dfb8b0000a9d9c4d7e626d07d299e0,2015-03,Lincolnshire Police,Lincolnshire Police,-0.034639,52.976746,On or near ALBERT TERRACE,E01026030,Boston 002C,Investigation complete; no suspect identified
815baf1392412cc88baa31d24065409b1dfc70211f3f408d0f30bdb09bc34cdd,2015-03,Lincolnshire Police,Lincolnshire Police,-0.634556,53.130749,On or near CHESTNUT CRESCENT,E01026182,North Kesteven 003B,Investigation complete; no suspect identified
34ae30aaa85da350235f510a5cbee6c36e494f95b0a1790a25b10a7f7b54e9b6,2015-03,Lincolnshire Police,Lincolnshire Police,-0.517363,53.247310,On or near COLERIDGE GARDENS,E01026157,Lincoln 002C,Investigation complete; no suspect identified
6eecdf6f7bac590cedfe42078ea52664f415b5620a95a14726e5cc0ffe08d89b,2015-03,Lincolnshire Police,Lincolnshire Police,-0.465290,53.197621,On or near THE CHALFONTS,E01026191,North Kesteven 005A,Investigation complete; no suspect identified
24c66228139f2ea55e4ad3b5b51f5fb40b1b4914a67678425bb3b4efc7adb52f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.784444,53.415600,On or near WEST STREET,E01026408,West Lindsey 002F,Investigation complete; no suspect identified
56b82917448f69a5d90dd78cf7a206aa183d140f5678b9212985415c22f6c321,2015-03,Lincolnshire Police,Lincolnshire Police,-0.511568,53.238509,On or near DEAN ROAD,E01026123,Lincoln 004B,Investigation complete; no suspect identified
3f038562b06c6a0ad17113a6aec0ce34e1782182c664805e2bb704a02e4a4fa6,2015-03,Lincolnshire Police,Lincolnshire Police,-0.031221,52.983792,On or near WITHAM TOWN,E01026037,Boston 002E,Investigation complete; no suspect identified
7f5a2c135c851f1b292bc59bdb351ce0bd4da10f5e6fe5ecd43e39f96d7e036c,2015-03,Lincolnshire Police,Lincolnshire Police,-0.031221,52.983792,On or near WITHAM TOWN,E01026037,Boston 002E,Investigation complete; no suspect identified
285cc9b66a81ab31ce07da0b0ef8a8bd6d0d5475910eda0b95a3c087b5ed9745,2015-03,Lincolnshire Police,Lincolnshire Police,-0.550843,53.220295,On or near PEPPERCORN CLOSE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
5ffad32a1010187d5866b1072f37cd7458efd00a0180c462798015c99542ff26,2015-03,Lincolnshire Police,Lincolnshire Police,-0.480028,52.652477,On or near RED LION STREET,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
e24194a04f13105c79606dab49bbd0c96fe494cecb5e1b0392bdd9a90e695bce,2015-03,Lincolnshire Police,Lincolnshire Police,-0.399418,53.421578,On or near OSGODBY ROAD,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
