Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
675470dee497e9aff74d563290dc6c38d0cd79925cafa5452a43616e3f29d2e7,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.183614,51.931358,On or near RICCAT LANE,E01023801,Stevenage 002F,Investigation complete; no suspect identified
94bf50e75faefb2def8fea4f7121014ca9b90c15dac6f6e0447602010e743245,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.202790,51.901746,On or near Bus/Coach Station,E01023758,Stevenage 008D,Investigation complete; no suspect identified
d6ea445228bbe8caddbbfe63df06bc250371a2067730ccccb4bf3c078aff9c32,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.195466,51.904961,On or near INSKIP CRESCENT,E01023758,Stevenage 008D,Investigation complete; no suspect identified
b3d4cdf1c256278fea9a9962c344e28730f718f896ef1519bdad7acbbe4ed414,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.200746,51.903414,On or near MARSHGATE,E01023758,Stevenage 008D,Investigation complete; no suspect identified
8f6b1aa0bf0469d53675567d414167428a2d7f8dedc5b32ad68341482e7c9221,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,0.072354,51.783568,On or near A414,E01023492,East Hertfordshire 009B,Investigation complete; no suspect identified
aad72c954da2350b3e710ef87d9dc3b15ba3d5002cb34bb187b1c325e8d440ba,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024836,52.050751,On or near THE GREEN,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
d6d43d39a88f207f2734aac703a8ecbdf5e46e7e4c3d8250ca54a3257b09befb,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020798,52.054684,On or near MORTON STREET,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
c706e8cf062e9341af741155563785e9b182c18f4d4c1579d9dd67824bbe504c,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.022325,52.046527,On or near Parking Area,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
670dbad4f8a51f71cc28f7ce4109efac8b8bd4f74a5f355085264973d750736f,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031930,52.056930,On or near Sports/Recreation Area,E01023656,North Hertfordshire 002C,Investigation complete; no suspect identified
a9ea7da7ce19c4e45eec39de1a7b11bd0fec1d0179b4df18c0729c3c29f7a28e,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.020797,52.048417,On or near Police Station,E01023660,North Hertfordshire 001A,Investigation complete; no suspect identified
5297d6dd01b43a9f34c738c2ae81bfc814a7c95789782a83a044a15d1f73f7f2,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.227178,51.978582,On or near Shopping Area,E01023644,North Hertfordshire 008A,Investigation complete; no suspect identified
709df297d73b29e8421c6f12d388fe6ac23ee51653fcf2d95ebdcb8c97fec821,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.210614,51.976228,On or near Petrol Station,E01023643,North Hertfordshire 009E,Investigation complete; no suspect identified
ded5f304929613d65f9f11aecaca654f3e9ea1c9b0a7cc9474bcadf055e9860b,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.227178,51.978582,On or near Shopping Area,E01023644,North Hertfordshire 008A,Investigation complete; no suspect identified
924f9b5045d26a80abde43d82258330f44db0ee424cf69f1bcd633700f38dac8,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.219811,51.970855,On or near LAWRENCE AVENUE,E01023647,North Hertfordshire 008D,Investigation complete; no suspect identified
1bdc58bbbbfe3deb358e8385c8b01e88521f4ec9346b3352e2497c6282ca1c74,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,0.162337,51.856692,On or near Sports/Recreation Area,E01023458,East Hertfordshire 008C,Investigation complete; no suspect identified
a53e885e80068f0527d3d559e2125ec035d42718d98f93645c7e8d1a949e4da1,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.238356,51.980198,On or near SAFFRON HILL,E01023649,North Hertfordshire 007A,Investigation complete; no suspect identified
405b081b9328ef94df18aeb708f32ed7b7aa4db09e664beb1392ec597651c9de,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.228507,51.978126,On or near EASTCHEAP,E01023644,North Hertfordshire 008A,Investigation complete; no suspect identified
331bb76da1ac40c032adc51fdab881b6b50fc0ba81125d386062749c2c8b53dd,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.243235,51.979048,On or near ABBOTTS ROAD,E01023650,North Hertfordshire 007B,Investigation complete; no suspect identified
e25728848d6a6d4de7951eaf28956592b3a488745395a2ef95d7de1968e196ae,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.231583,51.991327,On or near ASHDOWN,E01023637,North Hertfordshire 003C,Investigation complete; no suspect identified
09218fb831685b3779e8207fb6ec2b320b3c4b6301ea1dae72b67a07ca1917eb,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.206912,51.975236,On or near SCHOOLFIELDS,E01023643,North Hertfordshire 009E,Investigation complete; no suspect identified
7c7c389fcb77883ae692ede60bc2bb5ddb05409a0dafbed4d9e564365342fe35,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.229428,51.979506,On or near STATION PLACE,E01023644,North Hertfordshire 008A,Investigation complete; no suspect identified
4001b79ce96a84dd5bad456a6f845c8c32f373a15545d6553681843e1ec3986a,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.239637,51.967952,On or near Sports/Recreation Area,E01023648,North Hertfordshire 008E,Investigation complete; no suspect identified
f1b0ccfbd2d8528851f09b9864ddc43b2c2347ebb368b577a4bb7c41e5059945,2015-03,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.202956,51.971489,On or near LANNOCK,E01023641,North Hertfordshire 009C,Investigation complete; no suspect identified
