Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
046c598af30f835412aaff3e57a30ec0cbdd3479eca90d7b97f1e110dedc9cf3,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137913,52.174617,On or near KEITH DAY WAY,E01017995,Cambridge 013D,Investigation complete; no suspect identified
9bdc5455dc751e7ad222371faf98021015c04691ecaa17f501ee996f4c40b194,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.088646,52.554929,On or near REGENT AVENUE,E01018083,Fenland 005C,Investigation complete; no suspect identified
25d1c70304978c9121746d5c2d7bf56ada5c900ccfe25f175674d59a940228e0,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.246899,52.586843,On or near Supermarket,E01015601,Peterborough 012A,Investigation complete; no suspect identified
8f58b3b5baa48c720dd6c93742c818a269e3ca8bf75e2c1d5ef9a601116b2384,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.245401,52.572984,On or near KING STREET,E01015599,Peterborough 014A,Investigation complete; no suspect identified
9208844b692fc1a40aa18cc4734f76baa62f6b90d255adcf027ab1cac1f4bbe8,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.231744,52.593316,On or near ACER ROAD,E01015608,Peterborough 008B,Investigation complete; no suspect identified
ed9d5d67d69552f2a5c0b70393771476688a4e03ce92e261ea9c13cfd8f6297b,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.013057,52.185985,On or near B1046,E01018232,South Cambridgeshire 010B,Investigation complete; no suspect identified
28bc2ca6d197b1b0ec5e4ff9455d9e4feae084d4b45b2454aced94d84b759b03,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.016238,52.186767,On or near WEST STREET,E01018232,South Cambridgeshire 010B,Investigation complete; no suspect identified
5d24789e349a7799429d7090927c7e83f5911086ed3d614a12a77848be0a3e93,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118189,52.208890,On or near BLACKMOOR HEAD YARD,E01032797,Cambridge 007G,Investigation complete; no suspect identified
a25742979b8a77bdb7dea183edf15f9d5a351174a88e19c19b95c24b65b7e007,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.016238,52.186767,On or near WEST STREET,E01018232,South Cambridgeshire 010B,Investigation complete; no suspect identified
46a73892d5d374649b730436360e09db88cb112a0fd8fc46b7c7732cfcbde1d9,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.076079,52.324738,On or near THE BROADWAY,E01018168,Huntingdonshire 013C,Investigation complete; no suspect identified
2c3d54843210bb3e58687ff87bb93cb0d1994f65c037e17a07c8ab5cf48ba297,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137010,52.190855,On or near CLIFTON WAY,E01017966,Cambridge 010B,Investigation complete; no suspect identified
810d596e4495adffebccc87d77208242345bc89d26ac1a038b4e4958e31bef62,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.211380,52.574210,On or near Shopping Area,E01015616,Peterborough 013F,Investigation complete; no suspect identified
afa06b03af8186561484435cd7d0939bfccfb0eee713539996f4b6060ce2a984,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137010,52.190855,On or near CLIFTON WAY,E01017966,Cambridge 010B,Investigation complete; no suspect identified
655583f2fbc49a06f01886eb68c0fe2062a240d00f494e46d86b2c2bfbda2b50,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.131946,52.201521,On or near MORTIMER ROAD,E01017988,Cambridge 008B,Investigation complete; no suspect identified
5407a52b6c98f5bfd855d5a75da4e048db24cf39c95446be93256c27fe720efe,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119215,52.209231,On or near Parking Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
c58fd916bda90ca6823e4bdba021f847c2ba45b3e0d3588787e3430f3b4b0082,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.110839,52.200821,On or near Further/Higher Educational Building,E01017986,Cambridge 007F,Investigation complete; no suspect identified
a36bb005e883676f2bd13bd76985e2ced3fbb43a527a3355316ad016fb59305f,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.140810,52.190174,On or near FLAMSTEED ROAD,E01017966,Cambridge 010B,Investigation complete; no suspect identified
04871881e8f7bcc4a60fc2a20617e70a4187d7fdb2d86829e390fedfc7119f4c,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.142323,52.211898,On or near RIVERSIDE PLACE,E01017943,Cambridge 006A,Investigation complete; no suspect identified
30197b1179e027351f696f8531ca5a4786756a5532a1cee51a36ffe067c5f53c,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.119215,52.209231,On or near Parking Area,E01032797,Cambridge 007G,Investigation complete; no suspect identified
b4be25f29b717fa6a5be86ef1a0eec5045d20b3cebf45a8a5fb8f0bf8101873a,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244078,52.575419,On or near NORTH STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
a070c58997868f0b685ecb4212ab624d8bd2f924d7712f383c65f7a5bf014d03,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.224129,52.599801,On or near TILTON COURT,E01015607,Peterborough 007A,Investigation complete; no suspect identified
f77ee3ff69a17634f5e543fdbedef63f3cde1f81da7a9a6042c43a66c10ac0a6,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.143532,52.217550,On or near THRIFTS WALK,E01032792,Cambridge 003F,Investigation complete; no suspect identified
5b662d66c45bcb689f71966129e57b379aeaa4ed94fde8b6317b3f05fc179d76,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.240845,52.575820,On or near Shopping Area,E01015602,Peterborough 014C,Investigation complete; no suspect identified
fd3d61228828a515eac09207aac7d4fb2c6cae2f2049d902879692c0f4ed5ab8,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.219982,52.554209,On or near Supermarket,E01015670,Peterborough 019C,Investigation complete; no suspect identified
72e182d64b055faf536a897fb9ac0c3f2f98914a0f70c3ebeea600d20a7f0532,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.243155,52.570838,On or near Shopping Area,E01015599,Peterborough 014A,Investigation complete; no suspect identified
1b1eaf9fbc2e932c98db13bc7032e69956faf37815db209bc305315deab1151f,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241009,52.569520,On or near Pedestrian Subway,E01015599,Peterborough 014A,Investigation complete; no suspect identified
c49241679cd0d77d8ff5b37d761b1141923589490bc85e4e440ba3c3c2b2d5f9,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.289690,52.616105,On or near PAPYRUS ROAD,E01015686,Peterborough 006E,Investigation complete; no suspect identified
78cc525db24d0fd22cee319da076a611c647a076f1848ec4cf639c465c18ec9b,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272818,52.621443,On or near Supermarket,E01015678,Peterborough 002A,Investigation complete; no suspect identified
4098afdd4d54d764bfb2d5f4ba1d3f1fdbab3d8a5078052898fc9856b3b94cd6,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.244078,52.575419,On or near NORTH STREET,E01015602,Peterborough 014C,Investigation complete; no suspect identified
dd59a310d41cf1f68588d391ad95db5e07cf9e19ab8ea9302b727481352f6b07,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.241545,52.571245,On or near ST PETERS ROAD,E01015599,Peterborough 014A,Investigation complete; no suspect identified
62466684e029a856306ad7020641ff2ca8511a9bb0d83c393e2f8c7448809dac,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.201273,52.546760,On or near RAMSEY ROAD,E01015672,Peterborough 019E,Investigation complete; no suspect identified
76632e5337a967da0bd4722af9cec7d173dfce1ba1ee3f62b9c83816194a37d2,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.228174,52.578590,On or near PADHOLME ROAD,E01015612,Peterborough 014D,Investigation complete; no suspect identified
ac242b34fc3774575d76a757b72255160faf1710e00935d21786af7edb2efbef,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.198935,52.273657,On or near CAPPER ROAD,E01018298,South Cambridgeshire 004A,Investigation complete; no suspect identified
d26e972123277e8ac7427d6b55fff32ceb8b8543eeaeaf20a1b2df74bf88c880,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.193793,52.268069,On or near WAY LANE,E01018301,South Cambridgeshire 004D,Investigation complete; no suspect identified
3f3bb5a48210cc88a9559c851a4a362c6cb1c1263c7cd91251cd7b57fcef94de,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.062274,52.456513,On or near GREEN PARK,E01018062,Fenland 011A,Investigation complete; no suspect identified
be6a50298b746e11917106eaa01a1696c07da15dd549c23c2652b64e7452d35a,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118839,52.205632,On or near PETTY CURY,E01032797,Cambridge 007G,Investigation complete; no suspect identified
