Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4e79b5b9e130c1df1729a35214b99cd7b8ec3ccb287a3dc7a5f34a23072362e8,2013-01,Thames Valley Police,Thames Valley Police,-0.787914,52.025959,On or near LIPSCOMB LANE,E01016778,Milton Keynes 020D,Suspect charged
f6967026158d26b7e5a35e020a0661ab0662416545ffbdd907fa4a35d235720d,2013-01,Thames Valley Police,Thames Valley Police,-0.817335,52.056603,On or near FRANK ATTER CROFT,E01016839,Milton Keynes 012D,Suspect charged
5537483b59a236a6e3178e109ad382719af6c5cf23b7613eab189c91095d70db,2013-01,Thames Valley Police,Thames Valley Police,-0.633154,51.537513,On or near SAMPSONS GREEN,E01016454,Slough 001E,Suspect charged
10a6c72eaa9ce4b87b118a1c66f9d6dabe7c892d8e9585a483479d2a075b4f07,2013-01,Thames Valley Police,Thames Valley Police,-1.076715,51.440522,On or near CHESTNUT CLOSE,E01016344,West Berkshire 009C,Investigation complete; no suspect identified
f081976fdc7da27be93ecb3d36a78bdf84cacbb006f7934869849d58a20ae3c4,2013-01,Thames Valley Police,Thames Valley Police,-0.715828,51.523295,On or near BRIDGE STREET,E01032733,Windsor and Maidenhead 005G,Investigation complete; no suspect identified
e166dd7ec1aa96344939f4766db1d768a5d5beb485d245c436a5c6789d1f9f7f,2013-01,Thames Valley Police,Thames Valley Police,-1.225894,51.604233,On or near ORIEL COURT,E01028630,South Oxfordshire 013A,Investigation complete; no suspect identified
106bad92e9005e6f345b1113b7cb371f96d5fb57a3cfbdc71708b253ddf341e0,2013-01,Thames Valley Police,Thames Valley Police,-0.739307,51.999465,On or near ALFORD PLACE,E01016711,Milton Keynes 031A,Investigation complete; no suspect identified
c71b1a96d713e134fd49d4237b2878ee156c1a5a6db739256de5e8be4e601ad6,2013-01,Thames Valley Police,Thames Valley Police,-0.800436,52.019902,On or near BOLTWOOD GROVE,E01033523,Milton Keynes 019G,Investigation complete; no suspect identified
e45dab8ace5fb58aafe00080660a834df2a26253021d38b4bda29a5c24809cf1,2013-01,Thames Valley Police,Thames Valley Police,-1.209230,51.738031,On or near BERESFORD PLACE,E01028531,Oxford 013A,Investigation complete; no suspect identified
ebaaf22a87231f5e67a4cad5ef6c57cdcb398576b3c283d2a703306b8717f857,2013-01,Thames Valley Police,Thames Valley Police,-0.570404,51.513988,On or near ROCHFORDS GARDENS,E01016518,Slough 005C,Investigation complete; no suspect identified
467123a0b15b6148bb2e16355ce18bb3ddc1e053920031bc8131d7154d94e6d5,2013-01,Thames Valley Police,Thames Valley Police,-0.730498,51.420218,On or near SCOTT TERRACE,E01016191,Bracknell Forest 006B,Investigation complete; no suspect identified
f8686370ffd567515eb97e7c0f33c4e7a9fdde41c0f075dede6a114946253ffc,2013-01,Thames Valley Police,Thames Valley Police,-0.729300,52.018994,On or near BARNFIELD DRIVE,E01016842,Milton Keynes 023B,Offender given a caution
