Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fb98c504b666134e3cf4123af99bac84da937968da72b833787216bd34b7bb24,2013-03,South Yorkshire Police,South Yorkshire Police,-1.501096,53.425227,On or near CAMBORNE CLOSE,E01008087,Sheffield 012A,Investigation complete; no suspect identified
320bba845cd8e9e5c6bacf65f4e8c6594635bb7487225745be1e698448407b98,2013-03,South Yorkshire Police,South Yorkshire Police,-1.474362,53.380691,On or near Nightclub,E01033265,Sheffield 074C,Investigation complete; no suspect identified
43abf42d7c3e9095c6f923aa0682899beebc869dc38b0d629f88dc6e93578c92,2013-03,South Yorkshire Police,South Yorkshire Police,-1.475789,53.380787,On or near ROCKINGHAM STREET,E01033265,Sheffield 074C,Investigation complete; no suspect identified
bf39e51d653183c841ecbeb56a326eaf6ef911baaf085ace8705a966f57e5519,2013-03,South Yorkshire Police,South Yorkshire Police,-1.390111,53.594425,On or near CLIFTON GARDENS,E01007330,Barnsley 006B,Investigation complete; no suspect identified
2895a5e6519ecdf03024d9b9420620f25a83e6c81274b4dfca461061974b7956,2013-03,South Yorkshire Police,South Yorkshire Police,-1.349504,53.449244,On or near CORNISH WAY,E01007728,Rotherham 009A,Investigation complete; no suspect identified
451df5e499bcb4b6898562b0a6468b4784e32782cce302ffba87e4ace96c84ac,2013-03,South Yorkshire Police,South Yorkshire Police,-1.148174,53.466352,On or near NEWTREE DRIVE,E01007611,Doncaster 039A,Investigation complete; no suspect identified
1b1e49dddb5ec7752b265263a490379f9484814eb1b21e852975298e112562f3,2013-03,South Yorkshire Police,South Yorkshire Police,-1.430797,53.389597,On or near Sports/Recreation Area,E01007883,Sheffield 027A,Investigation complete; no suspect identified
eba64d525b635501a4e8213757303f3ca9c707abcd1bf648830d740bfdabf775,2013-03,South Yorkshire Police,South Yorkshire Police,-1.536000,53.325126,On or near BUSHY WOOD GROVE,E01007920,Sheffield 068A,Investigation complete; no suspect identified
37a0af05e46ecfe492603e9e73a5b3b26d50fd7fabc650317aaf893ab74e7835,2013-03,South Yorkshire Police,South Yorkshire Police,-1.371465,53.358881,On or near CROSS DRIVE,E01007970,Sheffield 049D,Investigation complete; no suspect identified
81bc00d0d7ed2a81699cbadd67b3d0ac97018c99052f8f713a36d7eb2f4877c1,2013-03,South Yorkshire Police,South Yorkshire Police,-1.474556,53.379604,On or near DIVISION LANE,E01033265,Sheffield 074C,Investigation complete; no suspect identified
b83af2365cc29086077cddf55c184d189c917a030dcf7d4f6d88955885d059c3,2013-03,South Yorkshire Police,South Yorkshire Police,-1.299654,53.501986,On or near WOOD WALK,E01007583,Doncaster 020A,Investigation complete; no suspect identified
97f43fe14d002c4db415da3615682952b760c18016c8b1850a04806f14d8c061,2013-03,South Yorkshire Police,South Yorkshire Police,-1.521643,53.348260,On or near PARKHEAD COURT,E01007927,Sheffield 055A,Investigation complete; no suspect identified
c2eda75f5f93d242625aabe8c6b96aa7b95a969b7290b4a7c54029b3c773eb2c,2013-03,South Yorkshire Police,South Yorkshire Police,-1.463278,53.424057,On or near EMERSON CLOSE,E01008061,Sheffield 011A,Investigation complete; no suspect identified
4a6c2753c20ecf3a06bfc49ce54c46b0ddf2814baa1c89f05f27488c6574ef91,2013-03,South Yorkshire Police,South Yorkshire Police,-1.306116,53.496829,On or near HIGHWOODS CRESCENT,E01007574,Doncaster 031D,Investigation complete; no suspect identified
c68740c2166771862154294bfdc810ee2bb3a368be4d2ae1ba8c8df6fffb1cdf,2013-03,South Yorkshire Police,South Yorkshire Police,-1.480376,53.353436,On or near MILLMOUNT ROAD,E01007983,Sheffield 053D,Investigation complete; no suspect identified
00bad2ffd322c7d200dfff426726863b49705c6e67d14028384d5ad5b663e2a6,2013-03,South Yorkshire Police,South Yorkshire Police,-1.614068,53.490039,On or near BRAMALL LANE,E01008144,Sheffield 001A,Investigation complete; no suspect identified
fdba86911235cc1f283d83256d721d6017762f511cd382c16bc9b9e6edc8f7a0,2013-03,South Yorkshire Police,South Yorkshire Police,-1.282939,53.315640,On or near Motorway Service Area,E01007751,Rotherham 033C,Investigation complete; no suspect identified
425207b77afc658126bd047e5dfb7428759fce52caea7cd4620e906163a4abea,2013-03,South Yorkshire Police,South Yorkshire Police,-1.464100,53.361077,On or near CROSS MYRTLE ROAD,E01007975,Sheffield 051A,Investigation complete; no suspect identified
a513ea6bef3d01ddd5f1cbffbb5b21f9791b15e9289f2297968275422cf8463b,2013-03,South Yorkshire Police,South Yorkshire Police,-1.491485,53.415982,On or near LAMB DRIVE,E01008092,Sheffield 012D,Investigation complete; no suspect identified
648247f3266f9b456292fd9283f2f7d33d25ea5f6f7908400c47858bd142bf92,2013-03,South Yorkshire Police,South Yorkshire Police,-1.478219,53.372591,On or near Supermarket,E01033271,Sheffield 040E,Investigation complete; no suspect identified
2aefa4c87441646715c032b14e85ad06d9930450eb3d212634013db3673d6265,2013-03,South Yorkshire Police,South Yorkshire Police,-1.366365,53.431258,On or near VINE CLOSE,E01007716,Rotherham 016B,Investigation complete; no suspect identified
15d5af4012feaeb73e8c13f5334efc9fa09305c7c44eb082ea1c5e9fa919b076,2013-03,South Yorkshire Police,South Yorkshire Police,-1.541531,53.325903,On or near HIGH TREES,E01007921,Sheffield 068B,Investigation complete; no suspect identified
b1832a9d1c92a7a7e08eab4719f6e50c4cad25db966c0af81eb59be684f31cd0,2013-03,South Yorkshire Police,South Yorkshire Police,-1.475362,53.377567,On or near TRAFALGAR STREET,E01008114,Sheffield 074A,Investigation complete; no suspect identified
c64b080c4b001585e28d1e098f1cf18532d5fb06d0d5f6cdf8d6b3b652fe06c0,2013-03,South Yorkshire Police,South Yorkshire Police,-1.475789,53.380787,On or near ROCKINGHAM STREET,E01033265,Sheffield 074C,Investigation complete; no suspect identified
e48f17eb5ec0a66dece2283e815e0b8d99ec3ce976e562ed08e58b146c85ca43,2013-03,South Yorkshire Police,South Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
8443206cf5b61cf20c242edf80c7fc0850054ef6e5f014703d0fdf4e83d66594,2013-03,South Yorkshire Police,South Yorkshire Police,-1.430072,53.393243,On or near SHIRLAND CLOSE,E01033269,Sheffield 022G,Investigation complete; no suspect identified
c94d9b8799ce615976c54651b64ff3886db135249fa2542d653d6ad7fbd30446,2013-03,South Yorkshire Police,South Yorkshire Police,-1.171502,53.499900,On or near Petrol Station,E01007501,Doncaster 029E,Investigation complete; no suspect identified
