Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6e313277c4573557ede11956736c1a48e5f7a11d6a3706824c11abe1458d6b99,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.428164,52.312646,On or near BRICK KILN LANE,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
26fc21f7e9ba19dc9dab421f3faf5afe4e8da8311b60e5ef91c93b258b8b7678,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.205426,52.062716,On or near HUMBER DOUCY LANE,E01030204,Suffolk Coastal 011C,Investigation complete; no suspect identified
065e643a491910ddb29096c39ffe7c8795764f6da1778359ff3c6215f2b99e98,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.661769,52.337667,On or near KINGFISHER CRESCENT,E01030284,Waveney 014C,Investigation complete; no suspect identified
e50af215a0e8e23151b9171cb90dcffe867dc22bc035ad033df275e077cc4784,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.480496,52.374590,On or near CEDAR COURT,E01032523,Forest Heath 003F,Investigation complete; no suspect identified
579355b6a3812cd6cd7fb4dff76527ec15195d08a4052824ac790e6525b2bb74,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.706848,52.202309,On or near CHURCH ROAD,E01030100,St Edmundsbury 008B,Investigation complete; no suspect identified
8af19f8f27a348757a25c5113b74c37f8a2ea2c83543dc9603d7827045aafc25,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.608190,52.202131,On or near Sports/Recreation Area,E01030100,St Edmundsbury 008B,Investigation complete; no suspect identified
60dbfa32fe49794cd93919732f1975dca7ad71464493ac6a5fce008ea79571af,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.691266,52.236542,On or near KIRKSTEAD ROAD,E01030149,St Edmundsbury 007F,Investigation complete; no suspect identified
6f704a2c6ac67dfebddb114b7e547aac68ed58910156e820b50e96b45ef6d27e,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.548775,52.169501,On or near BROWNS CLOSE,E01030150,St Edmundsbury 010C,Investigation complete; no suspect identified
1fc6e66f4a3b703bc6dc2da76ce036036a7e62fc746a28a0563e7b9c720cc405,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.574490,52.207726,On or near PARK HILL,E01030188,Suffolk Coastal 004D,Investigation complete; no suspect identified
a7117679917b149d85d9df4e25c68c8f81cdf1994ae0419b926c627cddf66a77,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.238240,52.037066,On or near WOODHOUSE LANE,E01030197,Suffolk Coastal 011B,Investigation complete; no suspect identified
4ee2d9b34ab0b4c4e464b5a9aa5983302bb717cac50d488dbae718ad8de0b4df,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.743477,52.464209,On or near Parking Area,E01030256,Waveney 007C,Investigation complete; no suspect identified
2453c8b124071dafc3773a8c6ad2ab081f38a54e4af99e5e395b2bc5cbb1d6b5,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.746948,52.491173,On or near ARNHEM COURT,E01030277,Waveney 002C,Investigation complete; no suspect identified
3990b6a77ec40c7b9da13f9bbf1a2d4502792b076dd0252d9483986f643866fc,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.725886,52.465169,On or near DELIUS CLOSE,E01030291,Waveney 008E,Investigation complete; no suspect identified
