Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c4cc9c786f852b283095693bd766d0fd1a63cd6890a5403aaa9449565821a025,2012-06,Warwickshire Police,Warwickshire Police,-1.547004,52.282634,On or near EUROPA WAY,E01031265,Warwick 013E,Investigation complete; no suspect identified
e710f452e07f36efa161863fc6959e37b4b97536ed7e90408aabf586e47a150b,2012-06,Warwickshire Police,Warwickshire Police,-1.517418,52.296550,On or near BLACK LANE,E01031271,Warwick 010A,Investigation complete; no suspect identified
a761221f0d9185b48fa780671ea671eb8b4ff3372f281da4e08c1d065054432c,2012-06,Warwickshire Police,Warwickshire Police,-1.581283,52.294277,On or near GRASSINGTON AVENUE,E01031314,Warwick 008F,Investigation complete; no suspect identified
0da16aefe8e90e3b74c56393f70902b87cfcb219f407153d434d35c0d8e9c996,2012-06,Warwickshire Police,Warwickshire Police,-1.548807,52.282623,On or near THE MOORINGS,E01031320,Warwick 012F,Investigation complete; no suspect identified
aec46a0125e076950b68fe9c69e471938b8706a145549be2f604cf03f19cb656,2012-06,Warwickshire Police,Warwickshire Police,-1.692988,52.183031,On or near CHESTERTON DRIVE,E01033251,Stratford-on-Avon 010E,Investigation complete; no suspect identified
5ef4e7e89cc3aeac35792f5259c5dab7dd66913daeb013173115c6e09df2451b,2012-06,Warwickshire Police,Warwickshire Police,-1.474243,52.527162,On or near Petrol Station,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
cf4132f768c7ce238ecd4e728f8bc094f407a0489851ab33a86a350d474a247d,2012-06,Warwickshire Police,Warwickshire Police,-1.525754,52.535803,On or near FLETCHERS DRIFT LANE,E01031084,Nuneaton and Bedworth 004D,Investigation complete; no suspect identified
9b36aac4e352c7c6f088b406acee3997bc54534a1938cf6629b4a4849434eff8,2012-06,Warwickshire Police,Warwickshire Police,-1.454610,52.534229,On or near BROOKDALE ROAD,E01031112,Nuneaton and Bedworth 001C,Investigation complete; no suspect identified
1b38f8e425a158de1402aac4b4517978a66963e9cac491aaeb0b6387a21091bc,2012-06,Warwickshire Police,Warwickshire Police,-1.470391,52.520141,On or near PRINCE'S STREET,E01031119,Nuneaton and Bedworth 009E,Investigation complete; no suspect identified
fd8d7ad1b1af89efaf086cfb0c9dc16045d3f62a683979e4ce0a300e2f2b8847,2012-06,Warwickshire Police,Warwickshire Police,-1.284756,52.350105,On or near ORLANDO CLOSE,E01031135,Rugby 011B,Investigation complete; no suspect identified
ddabfc912482edf386ca555788a10e8957c46d6bb3d9ab8872b1909e4192fb00,2012-06,Warwickshire Police,Warwickshire Police,-1.276032,52.374586,On or near CAMPBELL STREET,E01031170,Rugby 006D,Investigation complete; no suspect identified
bb8704edaf403c259238b122f7845816206c09c39609739cc1a7038f33570d6d,2012-06,Warwickshire Police,Warwickshire Police,-1.370913,52.484944,On or near MEADOW CLOSE,E01031182,Rugby 001E,Investigation complete; no suspect identified
711ff6f9d2935171d23af586fa8c78533181f182b2d566e4fb0fdaec7ddb9588,2012-06,Warwickshire Police,Warwickshire Police,-1.530211,52.258492,On or near HARBURY LANE,E01031260,Warwick 014B,Investigation complete; no suspect identified
57ab2cb9220426f21a5f2ee8a533576ff440d79f675826954f8feccfd2d44e91,2012-06,Warwickshire Police,Warwickshire Police,-1.468034,52.523718,On or near Shopping Area,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
4979112b59598b1174b540561be19c244c731e0bea57e12dc3f3f530725ca9a7,2012-06,Warwickshire Police,Warwickshire Police,-1.455700,52.517584,On or near TENNANT STREET,E01031052,Nuneaton and Bedworth 010A,Investigation complete; no suspect identified
