Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0fcdfd62da9014b652437f1697ea2ed85e451d48bc583a77a9ed068a09d2b6b9,2012-06,Sussex Police,Sussex Police,-0.397112,50.807689,On or near WINCHELSEA GARDENS,E01031815,Worthing 012D,Investigation complete; no suspect identified
fae7cec79e274e1e991955404010cc8ceaccc6da04e7fd7031ebc6ec4ce6f3f6,2012-06,Sussex Police,Sussex Police,-0.412395,50.829140,On or near EAST TYNE,E01031818,Worthing 003D,Investigation complete; no suspect identified
607f09e40fec1bcb5f5fb29c8cd0a211eec98124983e8ca6917c7d8ef56068a8,2012-06,Sussex Police,Sussex Police,-0.393432,50.820238,On or near ETHELRED ROAD,E01031837,Worthing 008E,Investigation complete; no suspect identified
1290ff79ead1f7ebfbdd6250767e9f8a67bb1cd8be2a6124ace4e009380ad265,2012-06,Sussex Police,Sussex Police,-0.370072,50.809797,On or near Supermarket,E01031789,Worthing 011C,Investigation complete; no suspect identified
0b86c95a8ca6284c9ed3333b419d6f87d8bdaea958b985358e76255e0b8d8add,2012-06,Sussex Police,Sussex Police,-0.370072,50.809797,On or near Supermarket,E01031789,Worthing 011C,Investigation complete; no suspect identified
002685dd4e2db762417382a46bd44ae08c85243e1b784202d41e304cb416c5f6,2012-06,Sussex Police,Sussex Police,-0.370224,50.812353,On or near MARKET STREET,E01031789,Worthing 011C,Investigation complete; no suspect identified
8beafa2d32c743ba1ae119d04ba4e670c8701d64523243f291fcadfae7154c45,2012-06,Sussex Police,Sussex Police,-0.368703,50.810785,On or near BEDFORD ROW,E01031789,Worthing 011C,Investigation complete; no suspect identified
24009b496d5451c5fee93100c6dea3ebf3a73cf47f6626aa3a82e9b490629077,2012-06,Sussex Police,Sussex Police,-0.376099,50.816895,On or near OXFORD ROAD,E01031790,Worthing 010A,Investigation complete; no suspect identified
6a2d2af49538550bdffa754886505298992a2d205a60811a56acafe1ccac7027,2012-06,Sussex Police,Sussex Police,-0.377216,50.813745,On or near TREVEOR CLOSE,E01031790,Worthing 010A,Investigation complete; no suspect identified
f329c74e32dc82f0e16ef3417208b874cb5e897d5ddc89616ad68192170bd26d,2012-06,Sussex Police,Sussex Police,-0.376167,50.818614,On or near Pedestrian Subway,E01031801,Worthing 008D,Investigation complete; no suspect identified
c9b020ec71bda8fdb9102d4c6769023dc341defeffb36a137cbbf9240ff6253e,2012-06,Sussex Police,Sussex Police,-0.433126,50.809213,On or near Sports/Recreation Area,E01031802,Worthing 013A,Investigation complete; no suspect identified
e39e13d88a6490e80e1b6df592ef9e5a57029ade28f4f663a00dd6a8ec0eb32a,2012-06,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
9b62a812a743b75a790c7569bf3291efb2bb8b56b8148a30656937bf9531453b,2012-06,Sussex Police,Sussex Police,-0.395974,50.813987,On or near MILL ROAD,E01031812,Worthing 012A,Investigation complete; no suspect identified
adb4aaf904c51eb13e4a3d539142e3e6525824caf72a7bf31b1e5ace5a8de5b6,2012-06,Sussex Police,Sussex Police,-0.349377,50.815027,On or near DEVONPORT ROAD,E01031832,Worthing 009C,Investigation complete; no suspect identified
ac7048cc5ae4434cf3900ca0468033ae7e681563107f1eaf64d0b8e762c27802,2012-06,Sussex Police,Sussex Police,-0.427324,50.812084,On or near ILEX WAY,E01031802,Worthing 013A,Investigation complete; no suspect identified
f92a15a059637fbfb0e3d462f7b4c5f9e4719e97a500def8d1f76d0ae9d4f897,2012-06,Sussex Police,Sussex Police,-0.380262,50.810649,On or near BYRON ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
a0434a30cb6d82244a6b8ec77384494726b4d4e583d216ff82145633882172ea,2012-06,Sussex Police,Sussex Police,-0.404661,50.813161,On or near GORING ROAD,E01031813,Worthing 012B,Investigation complete; no suspect identified
d1b0a8384aa544b4725b8b4a57ff7ab180d04b4ad05df3aa337c0be89096a2e7,2012-06,Sussex Police,Sussex Police,-0.352157,50.817513,On or near HAM ROAD,E01031833,Worthing 009D,Investigation complete; no suspect identified
3a36975584e6258047fd076fb7d0948377c6c343d56bf4bc8671c98e50bfa000,2012-06,Sussex Police,Sussex Police,-0.381741,50.816731,On or near ST MATTHEW'S ROAD,E01031791,Worthing 008A,Investigation complete; no suspect identified
aff7d87880436a2eb63f2ebef6a7d581b7698d6900c5520c660e9c59e5d69bfd,2012-06,Sussex Police,Sussex Police,-0.378742,50.810691,On or near ERISWELL ROAD,E01031808,Worthing 011D,Investigation complete; no suspect identified
f679b0b8876c6829cca2f359598074530427163a204201ba7e7612117a1cd086,2012-06,Sussex Police,Sussex Police,-0.188373,51.120260,On or near LONDON ROAD,E01031610,Crawley 003E,Investigation complete; no suspect identified
1a1b7b0fbd78d512ec804860f7ffa020e35327c30ded265f5c05d33c4fad8d7b,2012-06,Sussex Police,Sussex Police,-0.371487,50.811534,On or near Shopping Area,E01031789,Worthing 011C,Investigation complete; no suspect identified
a6707124064925be2e779df13e0e1e494b68926050307eeb7726da9077b319c8,2012-06,Sussex Police,Sussex Police,-0.208390,51.121774,On or near IFIELD DRIVE,E01031572,Crawley 003C,Investigation complete; no suspect identified
a3492599479b47e88beaa4534f5da5749cc06b997d63a2f1c14dbdd9df7a7bb7,2012-06,Sussex Police,Sussex Police,-0.193943,51.123629,On or near CRAWLEY AVENUE,E01031573,Crawley 001A,Investigation complete; no suspect identified
811ab4f1e54cc9b9e6a9f6f5531575c725e86dca5e41c653fd8f3f12ece087df,2012-06,Sussex Police,Sussex Police,-0.197594,51.128218,On or near Supermarket,E01031576,Crawley 001D,Investigation complete; no suspect identified
945c7e7f56f8a68701701f0ac05b6a8c063643955685b8e53a07026bb863b4d0,2012-06,Sussex Police,Sussex Police,-0.146833,51.124573,On or near BLACKHEATH,E01031588,Crawley 002C,Investigation complete; no suspect identified
0b3b5f0d224feb0f62db74ad9dbb983c2ac8edd626d7204126771d31b12d4c96,2012-06,Sussex Police,Sussex Police,-0.157569,51.114761,On or near HASTINGS ROAD,E01031594,Crawley 005C,Investigation complete; no suspect identified
e6901c216033452d7af8974003fe62d9b314eb79fc95f8ed9a97ee162d74f50b,2012-06,Sussex Police,Sussex Police,-0.187547,51.100472,On or near CAXTON CLOSE,E01031605,Crawley 011C,Investigation complete; no suspect identified
2447a9e2bcf933724991ce6e6c1482a4f7814c73fc7c71097d1577988531d132,2012-06,Sussex Police,Sussex Police,-0.195746,51.116966,On or near WEST GREEN DRIVE,E01031608,Crawley 007E,Investigation complete; no suspect identified
038ad1d9f5577cda1559bd7a0f601d537f2f387c3860f315c34e2de4d35294d7,2012-06,Sussex Police,Sussex Police,-0.369997,50.810722,On or near SOUTH STREET,E01031789,Worthing 011C,Investigation complete; no suspect identified
7154bc56eb102ae3301332d614480288295a4249fc66457d86628e3528ef35f7,2012-06,Sussex Police,Sussex Police,-0.201153,51.099144,On or near LEWISHAM CLOSE,E01031552,Crawley 013A,Investigation complete; no suspect identified
5ac613d556d8e28d2df8713d1ce8e490dcf582e01e127709781954ecc74de8f5,2012-06,Sussex Police,Sussex Police,-0.195409,51.099568,On or near Conference/Exhibition Centre,E01031557,Crawley 013C,Investigation complete; no suspect identified
f4cd007ce0e4199c8ce18544c77c13281cf7327825664cd0744ccac48c4995b9,2012-06,Sussex Police,Sussex Police,-0.203550,51.095890,On or near LANSBURY ROAD,E01031558,Crawley 013D,Investigation complete; no suspect identified
eaa105a53b01713fa235b177fb39994c0d7b1f259d18583e72b5686a3f66353c,2012-06,Sussex Police,Sussex Police,-0.168515,51.107127,On or near FURNACE PARADE,E01031562,Crawley 009C,Investigation complete; no suspect identified
f840ca244165684cff6158620a91570e44e26e19e8775c49a8d341314eed172d,2012-06,Sussex Police,Sussex Police,-0.143309,51.127278,On or near BINNEY COURT,E01031586,Crawley 002A,Investigation complete; no suspect identified
01823b738c98e3e4b604df167977696d9405b5ec571b50f3c2c70696e3254661,2012-06,Sussex Police,Sussex Police,-0.158668,51.121640,On or near BYRON CLOSE,E01031589,Crawley 005A,Investigation complete; no suspect identified
6731abbf853801bdba0cddc3dc67872ea5df6163853f0293331e23cdbbcb4e1e,2012-06,Sussex Police,Sussex Police,-0.362099,50.824272,On or near DOMINION CLOSE,E01031777,Worthing 005B,Investigation complete; no suspect identified
4d58362732dbcab4766e3a4ba89319a38e9ff050bdc11cf4e5076366c3ac86c4,2012-06,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
9098b112584e44d0f0ac195e6360258d0d368951e0bac08b3893d99c715afd06,2012-06,Sussex Police,Sussex Police,-0.427860,50.819385,On or near NEWTIMBER AVENUE,E01031785,Worthing 006B,Investigation complete; no suspect identified
