Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fbca39bd2caef0bebdd7e6c6bfe209deaa728a57fec6b0743eab76f8d8227c7f,2013-08,Essex Police,Essex Police,0.118031,51.753060,On or near CLOVER FIELD,E01021837,Harlow 008E,Investigation complete; no suspect identified
535b8c8fa726c29e3388c32d49eab9387d7fc7f963ca3cc1b4e086dfac5b9b62,2013-08,Essex Police,Essex Police,-0.006327,51.713529,On or near Parking Area,E01021812,Epping Forest 009B,Investigation complete; no suspect identified
e91cc5d8ac89a6c23099aa851223f962ce6722d08184e663d6a672c570803801,2013-08,Essex Police,Essex Police,0.657840,51.599246,On or near HILLCREST ROAD,E01021936,Rochford 003D,Investigation complete; no suspect identified
2b7e42eb932ece900acb07bb112c0b75b2d33d8de42b8d6228b47fb24e22da93,2013-08,Essex Police,Essex Police,0.712497,51.540310,On or near Bus/Coach Station,E01015895,Southend-on-Sea 010A,Investigation complete; no suspect identified
aacd22caf8725828aed7280c2d97d7c296906181c7c75475f0092e0dc7417b16,2013-08,Essex Police,Essex Police,0.294127,51.491792,On or near Supermarket,E01015982,Thurrock 019A,Investigation complete; no suspect identified
aff8c235f3b41ba171c9c375bbd521fef8e2c5afb266b1f7ee855ef0f53b1d24,2013-08,Essex Police,Essex Police,0.893012,51.922080,On or near BOXTED ROAD,E01021680,Colchester 004B,Investigation complete; no suspect identified
2a55d162c65965bcff77554661e2907682889ca280ba6cbe8075c513c5269a63,2013-08,Essex Police,Essex Police,0.893012,51.922080,On or near BOXTED ROAD,E01021680,Colchester 004B,Investigation complete; no suspect identified
cd9778d1d0f73ff1c6ac02c4a71c97095198c47cda529d3456b77cd619a99f41,2013-08,Essex Police,Essex Police,1.250822,51.837271,On or near POLE BARN LANE,E01021985,Tendring 006A,Investigation complete; no suspect identified
6af98b22ed1acf5188408803acbb45dab2a5f0438833e9e3d92afd82eed53874,2013-08,Essex Police,Essex Police,0.247130,51.496111,On or near LOVE LANE,E01015925,Thurrock 008D,Investigation complete; no suspect identified
ee82896a5e22bb4f1f082c50a8a70f3a1bb101682062d53df37483f296c87d77,2013-08,Essex Police,Essex Police,0.098483,51.748312,On or near Supermarket,E01021860,Harlow 010D,Investigation complete; no suspect identified
6f0ef2ed066b299b54dec737196090a332d5112583ef7010a3960023596c79c0,2013-08,Essex Police,Essex Police,0.693247,51.544045,On or near WEST ROAD,E01015900,Southend-on-Sea 010F,Investigation complete; no suspect identified
b31574ab1e8c9c91eab905fb97dfc7e79e4403c1f94c310f7a120d874a7663c1,2013-08,Essex Police,Essex Police,0.556315,51.878824,On or near WOODFIELD ROAD,E01033459,Braintree 009F,Investigation complete; no suspect identified
72c5198c70c8f4625f36aa253ceb7a5a0196911c9a471374d0229f45ea3719ec,2013-08,Essex Police,Essex Police,1.282893,51.940886,On or near TALBOT STREET,E01021998,Tendring 001B,Investigation complete; no suspect identified
fe5e499365e1e9e7622903fa38fecd44bc7838d84386c5b45fd6d18b48dd6464,2013-08,Essex Police,Essex Police,0.484843,51.564159,On or near NORTH CROCKERFORD,E01021323,Basildon 019B,Investigation complete; no suspect identified
2de64089bb971baec9853c3061b74294aeb86ba461bae0946c7009557bc6a2de,2013-08,Essex Police,Essex Police,1.151360,51.814311,On or near Highfield Holiday Park,E01022039,Tendring 010B,Investigation complete; no suspect identified
600f329c33d304d3a7c647ecc5c00125cb5c022e0d3eb53341ce93f8e6330560,2013-08,Essex Police,Essex Police,0.782261,51.878723,On or near HARVEST CLOSE,E01021678,Colchester 010E,Investigation complete; no suspect identified
b88a5bb608e01694de8d8672de08887398f135d9c3586a72d2d3bde9d462f4fe,2013-08,Essex Police,Essex Police,0.094895,51.770021,On or near Nightclub,E01021872,Harlow 007E,Investigation complete; no suspect identified
e44d48900347db4de4eabc50f49c5fe0cb95574ca53b3f22a0be9e8b49f2303b,2013-08,Essex Police,Essex Police,1.258434,51.936934,On or near PARKESTON ROAD,E01022007,Tendring 002D,Investigation complete; no suspect identified
d2041992e78483ab692c86bbf994e6622501e4d99ee6a663466eeee2dd91e582,2013-08,Essex Police,Essex Police,0.712497,51.540310,On or near Bus/Coach Station,E01015895,Southend-on-Sea 010A,Investigation complete; no suspect identified
2778e767a26ec2439ccb9999ce38df6967ce8c618b8d4dbcaee3b131f2275f30,2013-08,Essex Police,Essex Police,0.794767,51.527657,On or near HALE WAY,E01015876,Southend-on-Sea 013A,Investigation complete; no suspect identified
e52ebd6ce6970cd6f6a4a1a50dbd6ad2bda75d1cbdd00f3adcb864ce4b552175,2013-08,Essex Police,Essex Police,1.153778,51.789099,On or near Supermarket,E01022025,Tendring 016B,Investigation complete; no suspect identified
a5a9659cffcde19d0875627af3bb006a4eabfc7048ac62d4b1727c4fa8b6077e,2013-08,Essex Police,Essex Police,0.463491,51.677564,On or near Petrol Station,E01033143,Chelmsford 018E,Investigation complete; no suspect identified
0067ce4e8914cceff23a6be89e8ec10644762c2b507b8a738fedafd3fcdabceb,2013-08,Essex Police,Essex Police,1.019570,51.817556,On or near THE WOODLANDS,E01021983,Tendring 009B,Investigation complete; no suspect identified
5e032637d9f5741ccb276b72cca1d39bbb5ac052c5bac7b2e411be7f1bf8f6c9,2013-08,Essex Police,Essex Police,0.241587,51.699078,On or near GREEN WALK,E01021754,Epping Forest 004B,Investigation complete; no suspect identified
