Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8b452421b71d80a8341cb5be694a99ef537ac6099780b7ee423a17ef6695eb7c,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.646189,52.393790,On or near Park/Open Space,E01029928,Forest Heath 001C,Investigation complete; no suspect identified
f30d0cd11c49c4a34e8c2f11da7089e05b404eab949bd1a4c2b011ead839d553,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.382277,52.248652,On or near Race Track,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
fd7470d879bf4c182a7e37f64c02bba227c78db3509a0cd86a009ec82cfdafa6,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.600415,52.452393,On or near LOWESTOFT ROAD,E01030294,Waveney 011E,Investigation complete; no suspect identified
78b125a153539a18133227986ad830e59ac0d7d43c11709b6fa344969f0f3714,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.181053,52.063484,On or near STRADBROKE ROAD,E01030000,Ipswich 004D,Investigation complete; no suspect identified
c5da94a629d1c1c726c98929e2ab7b1a4057d210a0c943f46c6702320bbbddfc,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.917322,52.240287,On or near BLACKSMITHS WAY,E01030050,Mid Suffolk 004C,Investigation complete; no suspect identified
d12b0799fcf1a5d8d7cf65185a51df7d5f55704e620aa3d8f3eaeaa72bdca79e,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.186504,52.193965,On or near NEW ROAD,E01030057,Mid Suffolk 007B,Investigation complete; no suspect identified
92b97ebbe40905ffcf84e2e0b9f5618c9c157c3b87994208c68ba66e914f10bc,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.135935,52.079723,On or near BURKE ROAD,E01029975,Ipswich 002C,Investigation complete; no suspect identified
b6a88dea74b24b14ec24b9bb766941dc1cf251aca1be30e19fda7a7a8767928d,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.397147,52.244835,On or near Sports/Recreation Area,E01029950,Forest Heath 008C,Investigation complete; no suspect identified
c3d45adb2df12904538c1de9550de68468f114fdc0a84bbbfb6aca403be9d875,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.755042,52.025603,On or near WELLS HALL ROAD,E01029891,Babergh 008F,Investigation complete; no suspect identified
4e3693ceffb830bd6f7feee27a95c2766c1d07104fd0e70f0842cb72d3e037ec,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.394331,52.264630,On or near NIMBUS WAY,E01029956,Forest Heath 006E,Investigation complete; no suspect identified
56c1be5d33233004db8d0639d7e15d5715cc2959b60cbada70ac52e1d6502195,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.125185,52.044331,On or near BITTERN CLOSE,E01030012,Ipswich 013A,Investigation complete; no suspect identified
