Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
63c969ff830b6799d25aad30923aef31457e40535c549255d78bbf1d16e4fb95,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Offender given penalty notice
bae020e244a0233c6efab94960fe5cd61965a365474e8a29bd60d7458a9ae318,2013-08,Warwickshire Police,Warwickshire Police,-1.579638,52.282152,On or near Parking Area,E01031317,Warwick 012C,Investigation complete; no suspect identified
8e285fbc05fe6deea6bee6dd78c8452e41c397688f9627bb4a32fae9979b4cd3,2013-08,Warwickshire Police,Warwickshire Police,-1.883387,52.289423,On or near PRATTS LANE,E01031213,Stratford-on-Avon 001A,Investigation complete; no suspect identified
06f01dd7230d5f79a1941174b81c78236fb452cc996ad484efda56e3499696c4,2013-08,Warwickshire Police,Warwickshire Police,-1.589884,52.345767,On or near Parking Area,E01031254,Warwick 001A,Investigation complete; no suspect identified
eb2eca7d5503b84949337ad7ad256289e57246a061ecab884c320d1435137d7f,2013-08,Warwickshire Police,Warwickshire Police,-1.866084,52.222238,On or near HERTFORD ROAD,E01031185,Stratford-on-Avon 006C,Investigation complete; no suspect identified
b4571f56206bfd733e475ff64a4aae8477a959fd12188426450c2e95d33b46dd,2013-08,Warwickshire Police,Warwickshire Police,-1.535877,52.288299,On or near BEDFORD PLACE,E01033253,Warwick 007H,Investigation complete; no suspect identified
a2943ed4ada86e09458e3500c310e989925e770d31e24d5f1562fde85aace6f5,2013-08,Warwickshire Police,Warwickshire Police,-1.618245,52.250124,On or near CHURCH ROAD,E01031269,Warwick 014E,Investigation complete; no suspect identified
a824caad8b988ae72645fb2276e133fc53c519096b5944e31fdc01b1ae2a44e9,2013-08,Warwickshire Police,Warwickshire Police,-1.574091,52.339382,On or near CLARENDON ROAD,E01031303,Warwick 003A,Investigation complete; no suspect identified
a77c2a36364fcc985303353df54abc9224649e64aae1d06cfc6ba892630be513,2013-08,Warwickshire Police,Warwickshire Police,-1.546594,52.273920,On or near HOMER CLOSE,E01031315,Warwick 012A,Investigation complete; no suspect identified
ba9df47ba063541507b501b885be9b9b5162923e11293740a3a5185d1122a2cf,2013-08,Warwickshire Police,Warwickshire Police,-1.536505,52.289974,On or near BEDFORD STREET,E01033253,Warwick 007H,Investigation complete; no suspect identified
50cd78873c3c2ae6b8ab78c556424a18b65453a48465102276d319cf1dd19e1d,2013-08,Warwickshire Police,Warwickshire Police,-1.581532,52.291248,On or near ARUNDEL CLOSE,E01031323,Warwick 011C,Investigation complete; no suspect identified
55153a14272b7150c8776e2f03cefe35188445893a8404c280fb53133690757d,2013-08,Warwickshire Police,Warwickshire Police,-1.748181,52.121631,On or near THACKERAY CLOSE,E01031212,Stratford-on-Avon 014B,Investigation complete; no suspect identified
a659c50cd47e93b353be3283b859ee44fc5238019709f38ebfc76fa00830898f,2013-08,Warwickshire Police,Warwickshire Police,-1.594177,52.198844,On or near BETTRIDGE PLACE,E01031253,Stratford-on-Avon 008G,Investigation complete; no suspect identified
d3462bbcc9e29bc0a88226d5f455c8dc3d19ad0a47ce28bedd898ca24fda1808,2013-08,Warwickshire Police,Warwickshire Police,-1.716574,52.204613,On or near OAKLEIGH ROAD,E01031230,Stratford-on-Avon 009C,Investigation complete; no suspect identified
9892656c7f833e24d5c2ca1b70295b439f4b03c08a8d9cb1bb82290bcc70335d,2013-08,Warwickshire Police,Warwickshire Police,-1.535477,52.290069,On or near PARADE,E01033253,Warwick 007H,Investigation complete; no suspect identified
d717a703c3e98ad822f29179903b53dfbc07602e7a197be4746448784dec7fe1,2013-08,Warwickshire Police,Warwickshire Police,-1.544725,52.320420,On or near Sports/Recreation Area,E01031278,Warwick 005B,Investigation complete; no suspect identified
906aaf4d4e89737e597c2be1d484c8e75c49251f51c096a6d135f7ca173f9cb1,2013-08,Warwickshire Police,Warwickshire Police,-1.536853,52.293131,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
927c1f00b2b015f733babdfba7f44a29210bf497765f940cbc47cc7257d74b70,2013-08,Warwickshire Police,Warwickshire Police,-1.922575,52.264138,On or near JILL LANE,E01031213,Stratford-on-Avon 001A,Investigation complete; no suspect identified
43c993202d1394591b8b97fe45cc27020ce13179584b836aa9d942a74e5236f4,2013-08,Warwickshire Police,Warwickshire Police,-1.382806,52.250289,On or near PRIORS MEADOW,E01031219,Stratford-on-Avon 004A,Investigation complete; no suspect identified
16aa74725ff34437d2012e03f13956b1f573a6c2fa2bbe1468980674f187895c,2013-08,Warwickshire Police,Warwickshire Police,-1.388585,52.279565,On or near LEIGH CRESCENT,E01031211,Stratford-on-Avon 005G,Investigation complete; no suspect identified
41acd6a3d5bcdc63907417faed8ae79f7764acff7bfdb56d2eaa26664a46d13d,2013-08,Warwickshire Police,Warwickshire Police,-1.530270,52.291747,On or near CROSS STREET,E01031271,Warwick 010A,Investigation complete; no suspect identified
c1e1915b991d9e1d4c24cce98f18488ade21d79d2820ab4e937fba01c9b5420b,2013-08,Warwickshire Police,Warwickshire Police,-1.492591,52.371120,On or near COVENTRY ROAD,E01031308,Warwick 005G,Investigation complete; no suspect identified
1f19231047619fa81db50d6cbc5b9b17683c9bc86befbcb89700ff6a3a5f0c9c,2013-08,Warwickshire Police,Warwickshire Police,-1.535736,52.291967,On or near WARWICK STREET,E01033253,Warwick 007H,Investigation complete; no suspect identified
c8fc8ac814638670117af013ecaef5aa8039e74360f519ea279bd0a123835f8f,2013-08,Warwickshire Police,Warwickshire Police,-1.707180,52.188938,On or near THE PADDOCKS,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
9051786d87754d32048754645c010b163e81a2a55597af9ce7c79fa4861ef081,2013-08,Warwickshire Police,Warwickshire Police,-1.526518,52.294286,On or near LEICESTER STREET,E01031271,Warwick 010A,Investigation complete; no suspect identified
0a3c8435c99762c65a8a3069f66e94a0c8569ae61b377c2e82e9b4fdeae816ef,2013-08,Warwickshire Police,Warwickshire Police,-1.587072,52.291411,On or near SCAR BANK,E01031321,Warwick 011A,Investigation complete; no suspect identified
14da6228fad59849d4c98e3aafb54d2e1eb75626c54c7c61996eb337e3a4d80f,2013-08,Warwickshire Police,Warwickshire Police,-1.701442,52.193931,On or near Parking Area,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
149a8fc1355419b4da99ddf8292deea9395bd32d90e0911f486cdaa147c09286,2013-08,Warwickshire Police,Warwickshire Police,-1.701147,52.189930,On or near Parking Area,E01031225,Stratford-on-Avon 010A,Investigation complete; no suspect identified
6894559699a10adc2d77610ad62f9fa4a9657a26bd172a0d82062999ed80413f,2013-08,Warwickshire Police,Warwickshire Police,-1.579634,52.343088,On or near THE SQUARE,E01031256,Warwick 001C,Investigation complete; no suspect identified
8eba1ae9f51411154a8cbadb9d5cbbcfe3191839c730f59f0cab41d6cbeed3b8,2013-08,Warwickshire Police,Warwickshire Police,-1.443637,52.166062,On or near FALKLAND PLACE,E01031194,Stratford-on-Avon 013A,Investigation complete; no suspect identified
a8fa537b10a802ef9bc70582343c3d2d8f32176ab4029b589fc5a4fc4810466f,2013-08,Warwickshire Police,Warwickshire Police,-1.851612,52.167685,On or near CROMPTON AVENUE,E01031190,Stratford-on-Avon 012B,Investigation complete; no suspect identified
ce9d9994533c92e6ecb570f50a2c10932bccb53ce26c922cb62bb05d17b30a08,2013-08,Warwickshire Police,Warwickshire Police,-1.531026,52.295077,On or near LOWER VILLIERS STREET,E01031272,Warwick 007B,Investigation complete; no suspect identified
8febd327480a9c239203f1f1c56bee1ff35833ba5c4d0b3331e25a9108a0fabb,2013-08,Warwickshire Police,Warwickshire Police,-1.651477,52.273188,On or near M40,E01031267,Warwick 014C,Investigation complete; no suspect identified
8c88c8418576084a5e6c41566e5fd984d157aa1449a09d4095b336f7dd0518c6,2013-08,Warwickshire Police,Warwickshire Police,-1.851612,52.167685,On or near CROMPTON AVENUE,E01031190,Stratford-on-Avon 012B,Investigation complete; no suspect identified
ead26cbfb144475176870f8d4c8e2f0266cf3a4aa26cff81a2890a1aad2d0595,2013-08,Warwickshire Police,Warwickshire Police,-1.609125,52.261171,On or near THE PEACOCKS,E01033255,Warwick 011H,Investigation complete; no suspect identified
ea9a5e82cdd95e48471a56b4cfd07bb3a3e2fd399343252e1175d140b9b88b52,2013-08,Warwickshire Police,Warwickshire Police,-1.511641,52.275184,On or near PEBBLE ISLAND WAY,E01031328,Warwick 015B,Investigation complete; no suspect identified
82e42fd125ec147ab77055498de699cc609b406653a71a95dac50ced08e8a6c8,2013-08,Warwickshire Police,Warwickshire Police,-1.729531,52.201056,On or near CHESFORD GROVE,E01031236,Stratford-on-Avon 009E,Investigation complete; no suspect identified
0e2322eedfdf583fe694263962522d5235e092ad2e61d05c6c86b0fd8ffc6e9b,2013-08,Warwickshire Police,Warwickshire Police,-1.534471,52.288150,On or near EUSTON PLACE,E01033253,Warwick 007H,Investigation complete; no suspect identified
ad7a4079651c871495ea5b06df6ab49ae60fc02852103792440830695bd7134e,2013-08,Warwickshire Police,Warwickshire Police,-1.606711,52.239253,On or near BREMRIDGE CLOSE,E01031269,Warwick 014E,Investigation complete; no suspect identified
fc68f6ad85cfd8dae8493448f9be63203fa57d174e33384b2b8ea797c6d9799b,2013-08,Warwickshire Police,Warwickshire Police,-1.608754,52.266717,On or near HICKMANS GREEN CLOSE,E01033255,Warwick 011H,Investigation complete; no suspect identified
2c4bd9c983afa84dce5af36b0888ae823ea2b92a6c8e2a71efdf49b315888ad8,2013-08,Warwickshire Police,Warwickshire Police,-1.625361,52.281838,On or near CHERRY LANE,E01031267,Warwick 014C,Investigation complete; no suspect identified
da8aa0e36cc33fbf7c6d12499b8367b01af6ed4a21a6dd9d3b37214113bf819f,2013-08,Warwickshire Police,Warwickshire Police,-1.710997,52.191330,On or near ROTHER STREET,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
64bc372b08e7da11a33f04df12fc1313ff5df9b31cc80ec6e973d7b95a83ecf9,2013-08,Warwickshire Police,Warwickshire Police,-1.877116,52.219103,On or near ICKNIELD ROW,E01031184,Stratford-on-Avon 006B,Investigation complete; no suspect identified
dbd5846523373b702464a88b8cb94c54e56142b1068f5fc84c5538876027a6d0,2013-08,Warwickshire Police,Warwickshire Police,-1.475279,52.288828,On or near SCHOOL HILL,E01031301,Warwick 005E,Investigation complete; no suspect identified
a3e09ce55cbb33e6fc0e8a80e0a0bef84e0c882114ca70783159a86dd0a42bc4,2013-08,Warwickshire Police,Warwickshire Police,-1.548596,52.291828,On or near GUNNERY TERRACE,E01031290,Warwick 009A,Investigation complete; no suspect identified
104886344bcf702ffbd95627b2ea95b8c878aa6aea81c6679d2f1f4ff82185da,2013-08,Warwickshire Police,Warwickshire Police,-1.572907,52.346543,On or near SPRING LANE,E01031257,Warwick 001D,Investigation complete; no suspect identified
e4769eb93a2ec5215463fcd51d8e75c758e5fe15f59588b39bf97d7da194bc3e,2013-08,Warwickshire Police,Warwickshire Police,-1.915569,52.187778,On or near EVESHAM ROAD,E01031189,Stratford-on-Avon 012A,Investigation complete; no suspect identified
86bbb06f17ba4d350578279543162ee626192b9423c27fb553585975270f8dd4,2013-08,Warwickshire Police,Warwickshire Police,-1.725588,52.183165,On or near Sports/Recreation Area,E01031233,Stratford-on-Avon 011B,Investigation complete; no suspect identified
e400591dea99aaa8b702a3eb69ef658939a97d3da44a232fb0b321d840d86e06,2013-08,Warwickshire Police,Warwickshire Police,-1.872048,52.214908,On or near Supermarket,E01031184,Stratford-on-Avon 006B,Investigation complete; no suspect identified
969861fa191303122d96f16fbb84ae4904838bac22e68c8339499f36f72ed824,2013-08,Warwickshire Police,Warwickshire Police,-1.540024,52.294204,On or near CLARENDON SQUARE,E01031294,Warwick 009E,Investigation complete; no suspect identified
