Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
bc76aafd330d32a58052d7ecb243e8d51e75d3488727a278037b7dbff9c9213b,2013-08,Northamptonshire Police,Northamptonshire Police,-0.727856,52.401317,On or near Shopping Area,E01027110,Kettering 007B,Investigation complete; no suspect identified
767de97315d83aee6ef556d891a547c8150d4b2b9a90d0d8b849e24df3cacc9a,2013-08,Northamptonshire Police,Northamptonshire Police,-0.948098,52.243620,On or near STONE WAY,E01027217,Northampton 019D,Investigation complete; no suspect identified
90b4a7e8e7fd1ec9e8d9e12d8ce81a0ddb0a377459df0a7b4c38136558edbcc4,2013-08,Northamptonshire Police,Northamptonshire Police,-0.913760,52.241502,On or near SEYMOUR STREET,E01027151,Northampton 024A,Investigation complete; no suspect identified
f4fe9da7a1366bf0bae10c2bf789b20683ea145de0e4bf3f5bf51a839aa452ad,2013-08,Northamptonshire Police,Northamptonshire Police,-1.081217,52.229501,On or near RIVERSIDE DRIVE,E01027025,Daventry 009D,Investigation complete; no suspect identified
70b3af0987a4f676b9b500650fa775e0c71a0bb92cc15b729d4e50c3e4091af6,2013-08,Northamptonshire Police,Northamptonshire Police,-0.717720,52.490287,On or near SURREY CLOSE,E01026973,Corby 004B,Investigation complete; no suspect identified
e54df72a4251b698df168c8951a33e9695cdbcc8fe73f84c4c5137bf8223173e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.883988,52.240829,On or near WILBERFORCE STREET,E01027228,Northampton 023D,Investigation complete; no suspect identified
505b2a857550bd08d4184a7b0be94b2ee168b38799ee2df15dc22e1e786c51a8,2013-08,Northamptonshire Police,Northamptonshire Police,-0.704978,52.291022,On or near PINDAR ROAD,E01027319,Wellingborough 008C,Investigation complete; no suspect identified
a4ae43a3a190b5082c1bf6f290bea07cc37115c865245e53c00d27a207805ba8,2013-08,Northamptonshire Police,Northamptonshire Police,-1.213989,51.995901,On or near MILL LANE,E01027290,South Northamptonshire 011B,Investigation complete; no suspect identified
c08eb4fda2cfaaae75c422cac889b2ea171155924d7274dac641fd8460260d8b,2013-08,Northamptonshire Police,Northamptonshire Police,-0.890353,52.273930,On or near CHADSTONE AVENUE,E01027145,Northampton 001A,Investigation complete; no suspect identified
30bc7bb20f687f37d9712a124b5a593678d133d51808bffca54e6fe71c540b5e,2013-08,Northamptonshire Police,Northamptonshire Police,-1.081325,52.232775,On or near REGENCY CLOSE,E01027025,Daventry 009D,Investigation complete; no suspect identified
