Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
82e0b7a7b7a21462aa191bf75c08283ac8dcdfdb68898d05e8e2bdd09a120f76,2013-08,Dorset Police,Dorset Police,-2.159762,50.864467,On or near STANTON CLOSE,E01020435,North Dorset 007A,Investigation complete; no suspect identified
345994e50415f8df1acef80929aa673bde39ad5a058c9a585d54ac3f40fb9a18,2013-08,Dorset Police,Dorset Police,-2.757772,50.723384,On or near Pedestrian Subway,E01020504,West Dorset 008C,Investigation complete; no suspect identified
e7784da433ed4fbb300aa7edd4f5e8f6c339396bf3aafaa225193c586b0208f9,2013-08,Dorset Police,Dorset Police,-1.887506,50.824524,On or near BRAMBLE COURT,E01020422,East Dorset 006B,Investigation complete; no suspect identified
bed484f90b0b5cb117c11c7fe379e0c5ef4f3f4002f49407c6517c15747cddde,2013-08,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
54dd1b723e238299bc105ba94e0e0c6f604820a67bab894a057a1c672641849a,2013-08,Dorset Police,Dorset Police,-1.959948,50.614214,On or near GANNETTS PARK,E01020479,Purbeck 006B,Investigation complete; no suspect identified
26cd8eda3e38731ca418c1b07bc4f58865c3ac04c5ff1f901ae5fd8a8a758b0f,2013-08,Dorset Police,Dorset Police,-2.305283,50.925694,On or near MARKET CROSS,E01020459,North Dorset 004E,Investigation complete; no suspect identified
173a2569326c59e1a04df45099b1f00a61faae71c47fab96bac7a230e12d1339,2013-08,Dorset Police,Dorset Police,-2.480405,50.665883,On or near GOULDS HILL CLOSE,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
b2538076e6a8c10fe6a8c1e2c47777857509ca2c52051a3312123c27e133438a,2013-08,Dorset Police,Dorset Police,-2.159188,50.704516,On or near Park/Open Space,E01020476,Purbeck 003A,Investigation complete; no suspect identified
a2e0c7a1480b931f083775512ccf200cc0402c5cf23d9098f50eda6f3ab30d9a,2013-08,Dorset Police,Dorset Police,-2.442653,50.715286,On or near Parking Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
59bca9c1b5b1ac2378ce5d8aced2a3a58bdba954a33a33cc84ae9168ad10549b,2013-08,Dorset Police,Dorset Police,-2.461330,50.609386,On or near GRANVILLE ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
028d0ad6daed6cae5f113b6660530462d00d9b178f5dad8ca23f91d1a19ced87,2013-08,Dorset Police,Dorset Police,-2.755412,50.732581,On or near KING STREET,E01020503,West Dorset 008B,Investigation complete; no suspect identified
5c4c1dfd7425a887d1122f2b3cbd92e1e9e185df34de7b8e823ca64e626e3d6c,2013-08,Dorset Police,Dorset Police,-2.122537,50.692547,On or near WESSEX OVAL,E01020486,Purbeck 003D,Investigation complete; no suspect identified
4cf4b31cb8a39a0200e03d6f6a4a9e60d9cbcc4e390d99a4ff01ab23e31feca8,2013-08,Dorset Police,Dorset Police,-2.104570,50.685954,On or near MEADOW VIEW CLOSE,E01020485,Purbeck 003C,Investigation complete; no suspect identified
08bfa1270bc6939abcc58d6f131ded7e09e13094ee6a43c138149dfb34ccc21a,2013-08,Dorset Police,Dorset Police,-2.416141,50.795589,On or near TULLON'S LANE,E01020539,West Dorset 004D,Investigation complete; no suspect identified
a4b2bc647967219e9573974ac6c2fbc831f17716c408f22c8c67d73f54832881,2013-08,Dorset Police,Dorset Police,-1.806878,50.742208,On or near Park/Open Space,E01020366,Christchurch 002E,Investigation complete; no suspect identified
907cd9ec21eed240ff100576a728f868470d26a530fe74181490af98b1a713c9,2013-08,Dorset Police,Dorset Police,-2.075811,50.758368,On or near ABBOTTS MEADOW,E01020470,Purbeck 001C,Investigation complete; no suspect identified
0705bb516bd20011b60aa99110463d3c8390be59a20900fbd79f6ffe0790aca3,2013-08,Dorset Police,Dorset Police,-2.047078,50.593978,On or near BONVILS ROAD,E01020468,Purbeck 005C,Investigation complete; no suspect identified
7f97c4db402e742aab0c72ee3479e750430696a2745703c7cf8ba6c4859d0fc2,2013-08,Dorset Police,Dorset Police,-2.460468,50.710631,On or near Conference/Exhibition Centre,E01020528,West Dorset 009E,Investigation complete; no suspect identified
4bce645e39b568258a1526ffb9d9e1e44aef2b5090bafd83f5a3a5ae5e5ab5cf,2013-08,Dorset Police,Dorset Police,-2.757431,50.733890,On or near DOWNES STREET,E01020500,West Dorset 006C,Investigation complete; no suspect identified
2d92770a7c6c33be5ca183fca991e94c0aae7a163319a599face49a8703fa175,2013-08,Dorset Police,Dorset Police,-2.745875,50.810097,On or near CLAY LANE,E01020496,West Dorset 003C,Investigation complete; no suspect identified
7b292bf7a9605be17f5546204e53308795f60e20ef52ba8944d6e7dbd31487fa,2013-08,Dorset Police,Dorset Police,-1.740560,50.735443,On or near CATALINA CLOSE,E01020354,Christchurch 007A,Investigation complete; no suspect identified
e8eba97f9d1d06ae2cf0989bf558bad59e232ebbc0b0879485df588555f9f008,2013-08,Dorset Police,Dorset Police,-1.897421,50.802438,On or near OLD SCHOOL CLOSE,E01020408,East Dorset 009E,Investigation complete; no suspect identified
2ba8f44c5bac7fcf64c8f71673c409e62e7ac13c53fef4fedf040deaef0c6a00,2013-08,Dorset Police,Dorset Police,-2.232111,50.969043,On or near Park/Open Space,E01020460,North Dorset 005D,Investigation complete; no suspect identified
452c7e60c84292fa950e5af2283269df185479f1e60303998a6871d5483146b7,2013-08,Dorset Police,Dorset Police,-1.987745,50.800100,On or near B3073,E01020428,East Dorset 010C,Investigation complete; no suspect identified
2e8244327f6ef1ac08739c2fba6a838a45d5133b079e445d0b8047f1e045c39a,2013-08,Dorset Police,Dorset Police,-1.759942,50.736060,On or near B3059,E01020364,Christchurch 006C,Investigation complete; no suspect identified
032dce94740a4a52796dc27f08932455f863c020737a30255de2c8aced1fa1e2,2013-08,Dorset Police,Dorset Police,-2.278389,51.051347,On or near PURNS MILL LANE,E01020450,North Dorset 002B,Investigation complete; no suspect identified
65943f051f220e1670048bfcae87e6f555c9f9f85409fb97514f4d4992bd42ba,2013-08,Dorset Police,Dorset Police,-2.528479,50.940678,On or near LENTHAY ROAD,E01020547,West Dorset 001F,Investigation complete; no suspect identified
e788de229e6014108e8aff35489de765796515f25a7a1d4527ecf4054570a470,2013-08,Dorset Police,Dorset Police,-1.722222,50.750077,On or near FOREST RISE,E01020371,Christchurch 004C,Investigation complete; no suspect identified
303fc70ebedfc3be64a5d7bb7c7932fe27a49a47642072ee454b1bc14210b8e3,2013-08,Dorset Police,Dorset Police,-1.960245,50.615060,On or near BEACH GARDENS,E01020479,Purbeck 006B,Investigation complete; no suspect identified
18e27155bc5f1ce1c2a658859628378ab01e4d221a5c5082a2c75ee7b3cf041e,2013-08,Dorset Police,Dorset Police,-2.642232,50.750715,On or near SHATCOMBE LANE,E01020531,West Dorset 007C,Investigation complete; no suspect identified
7456480fd8a6c0c7f8dc35dee74b183e34d85771aba72724d5b3508315269a05,2013-08,Dorset Police,Dorset Police,-2.191624,51.007379,On or near Parking Area,E01020454,North Dorset 003A,Investigation complete; no suspect identified
0e6a3525b377f55f68559d71af6d9283557295787024b6eab94b0c822d274fd8,2013-08,Dorset Police,Dorset Police,-1.871798,50.847250,On or near SANDHURST DRIVE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
1e87d62ef8d96513f35283fe1072844e2982b8dfc67dd9215f14742527d86583,2013-08,Dorset Police,Dorset Police,-2.022297,50.622771,On or near Petrol Station,E01020468,Purbeck 005C,Investigation complete; no suspect identified
59e457fecab19bd1eb062085a4953509d2195f135e491e46505dfb4b34edf060,2013-08,Dorset Police,Dorset Police,-2.191624,51.007379,On or near Parking Area,E01020454,North Dorset 003A,Investigation complete; no suspect identified
3ca51d45e2fa8fd1f8e1d4e510033a00d750eb7b0fdc164850eb64e448bbd671,2013-08,Dorset Police,Dorset Police,-2.935456,50.724881,On or near BROAD STREET,E01020532,West Dorset 005B,Investigation complete; no suspect identified
82ad937eeb843cf602be1c24d8b405e5cafa689734f34688b162b18a28a194ad,2013-08,Dorset Police,Dorset Police,-2.453879,50.616430,On or near DERBY STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
9a01f0c4f2022e977a49969260f61ea62e5e355871d979dc2435c0fc61556a80,2013-08,Dorset Police,Dorset Police,-2.022297,50.622771,On or near Petrol Station,E01020468,Purbeck 005C,Investigation complete; no suspect identified
f1f77b1ca14c45fb1be01408223fe6d122d65c5a8469d5d8793138678fbb7f39,2013-08,Dorset Police,Dorset Police,-2.282809,50.814145,On or near Park/Open Space,E01020431,North Dorset 008B,Investigation complete; no suspect identified
9db3841f60d3d7a12397f9543439262c15860c27f6ec913988fff0f801dd7e8a,2013-08,Dorset Police,Dorset Police,-2.731263,50.775981,On or near Petrol Station,E01020536,West Dorset 007D,Investigation complete; no suspect identified
b32421f59f9bf0bdd417bb8fa0a0c89c855efb4f69f48d077df144b8d5888514,2013-08,Dorset Police,Dorset Police,-2.164421,50.855971,On or near MARKET PLACE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
11e2c19cc2ba4b129411fafeec0804c7d8bc5850e0cc692aebbb5320fe9ee318,2013-08,Dorset Police,Dorset Police,-2.260867,51.033079,On or near ROOKERY CLOSE,E01033156,North Dorset 002E,Investigation complete; no suspect identified
9206fb485b8317c420ce95a67dd43c296a55b30621e8e24feb7bf0cce66cd9c0,2013-08,Dorset Police,Dorset Police,-1.750498,50.734485,On or near ELDERBERRY LANE,E01020346,Christchurch 005A,Investigation complete; no suspect identified
17fc9da191315eec6e3ef17edef4588470ace4f016b7e9675a3840d9bfd0ad30,2013-08,Dorset Police,Dorset Police,-2.443448,50.560831,On or near VENTNOR ROAD,E01020569,Weymouth and Portland 008D,Investigation complete; no suspect identified
7dc8ed6d855d65674abc7fafce7f2e305dab003e09baa76cf1bb858a8bf75705,2013-08,Dorset Police,Dorset Police,-2.017325,50.972573,On or near DEAN LANE,E01031990,Wiltshire 054A,Investigation complete; no suspect identified
79f2019098cf5710372d8589efae54ed70167e8b20c9bc593d488e63991348b3,2013-08,Dorset Police,Dorset Police,-1.860918,50.813740,On or near THE PADDOCK,E01020405,East Dorset 004C,Investigation complete; no suspect identified
3c60cb00b79874a9151335b0da638b8fba1348d2abc04767fe6478bc41954cd4,2013-08,Dorset Police,Dorset Police,-2.454754,50.611894,On or near GREAT GEORGE STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
df920aa0772bf7346e783de90b528df113ae806315a8f941cbaed8c2422e34d3,2013-08,Dorset Police,Dorset Police,-2.469573,50.589838,On or near DUNDEE ROAD,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
7d6f99934657f88ed0e40565b30b450726514fd526a842008985af05b7794110,2013-08,Dorset Police,Dorset Police,-2.278537,50.704328,On or near THE STREET,E01020490,Purbeck 004B,Investigation complete; no suspect identified
b3d8f9e774186cc84e366ccb2451bc3852cb956a8b25c7e308154633f11511aa,2013-08,Dorset Police,Dorset Police,-1.741786,50.744331,On or near Supermarket,E01020372,Christchurch 004D,Investigation complete; no suspect identified
19c4e9b68561bf4b5548deae28fafea59a6fbba0ef525ce23751312aa50b810d,2013-08,Dorset Police,Dorset Police,-1.887370,50.827977,On or near ASHURST ROAD,E01020421,East Dorset 006A,Investigation complete; no suspect identified
07936c2f7e71309b10c762b65a7285347cc935f4a99390ce59cd6f25de53c97a,2013-08,Dorset Police,Dorset Police,-1.835211,50.911095,On or near APPLE TREE ROAD,E01020373,East Dorset 001A,Investigation complete; no suspect identified
4441803457a61653064a605af3cb79cb80b32abd7109946bf250e65ecd615d90,2013-08,Dorset Police,Dorset Police,-2.434853,50.639308,On or near ENKWORTH ROAD,E01020557,Weymouth and Portland 002A,Investigation complete; no suspect identified
acd034e291863e9ffcac5af30d226f1fab1803e66e22233d49e534c4cac2f8f4,2013-08,Dorset Police,Dorset Police,-1.756708,50.742025,On or near HILLARY ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
fe9de94b9dd57914e39e8bfc6da7b7a06374b3dbf42e6470d7369672562c0945,2013-08,Dorset Police,Dorset Police,-2.159768,50.858001,On or near DAMORY COURT STREET,E01020439,North Dorset 007E,Investigation complete; no suspect identified
cc2870b103bdbc8ad82d1e771f41f386d397a4339f266f6fe3270b546999060a,2013-08,Dorset Police,Dorset Police,-2.304879,50.924759,On or near CHURCH LANE,E01020458,North Dorset 004D,Investigation complete; no suspect identified
235a0a6960a803d0bd2aba846c852ebaad9930edcc97da1797f697a77794eb3d,2013-08,Dorset Police,Dorset Police,-2.037528,50.736022,On or near BRUSHWOOD DRIVE,E01020475,Purbeck 002E,Investigation complete; no suspect identified
ea3c1ad313d3b32f3fde3047e40e66c09dbbe326aaff2712fa34b1389218af05,2013-08,Dorset Police,Dorset Police,-2.052986,50.634218,On or near CALCRAFT ROAD,E01020466,Purbeck 005A,Investigation complete; no suspect identified
5b91b94a8415d51b090b6e2b6b28ddf98a9062b30d2abe75ee3a58a0bdfb48e0,2013-08,Dorset Police,Dorset Police,-2.467017,50.629912,On or near SPA ROAD,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
8890b191e4207dd12250a01e600edab2f2cacf0975c488818ea0a1667e006f26,2013-08,Dorset Police,Dorset Police,-2.390216,50.679403,On or near BRAMBLE DROVE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
534937eabecae24d6e5697efe372c2083089ab86826be107c8e31eea7e7dc98d,2013-08,Dorset Police,Dorset Police,-1.945253,50.830464,On or near SHEEPCROFT LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
c8607847bdadf106183faea82def831d6d5de9adf9de0d50b897d42f49596c93,2013-08,Dorset Police,Dorset Police,-1.779269,50.736368,On or near Nightclub,E01020368,Christchurch 006E,Investigation complete; no suspect identified
01e2b14de4c76ed061a25fe522de409645f84a742f83ba8dc6d8f2f210246869,2013-08,Dorset Police,Dorset Police,-2.934789,50.724842,On or near BROAD STREET,E01020532,West Dorset 005B,Investigation complete; no suspect identified
d83f7e8a4292441d6dcdc80553714847f2ce4b0c4a6b3316ba9ad673df99107b,2013-08,Dorset Police,Dorset Police,-1.741786,50.744331,On or near Supermarket,E01020372,Christchurch 004D,Investigation complete; no suspect identified
