Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
86ab09300adb3840c13840e53aaa4863c7d17a07d8f7bf169ec2c84ac6018015,2013-08,Lincolnshire Police,Lincolnshire Police,-0.769555,53.387707,On or near Supermarket,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
272a9cf6e8d93118f18caa09ab06df56dfaa698c2b4352e7a0ab94c84fb90d70,2013-08,Lincolnshire Police,Lincolnshire Police,-0.370790,53.323617,On or near Theatre/Concert Hall,E01026372,West Lindsey 008A,Investigation complete; no suspect identified
ef85c32d24fb02b523b3c194d668ebd8d8a7bde0cb67c86216620cf87d3ef14a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.429233,53.025659,On or near LINCOLN ROAD,E01026209,North Kesteven 009A,Investigation complete; no suspect identified
4cf7153691aae7a048d3c23e0293b0d7313f6858bda4ec4ff2fa1903e9b62613,2013-08,Lincolnshire Police,Lincolnshire Police,-0.548346,53.042770,On or near A17,E01026329,South Kesteven 001C,Investigation complete; no suspect identified
4594abf8140e1bc51779eaf7966dcaf45be066f2c3f200ee5310bccb3c507e11,2013-08,Lincolnshire Police,Lincolnshire Police,-0.322127,53.211424,On or near QUEEN STREET,E01026366,West Lindsey 011A,Investigation complete; no suspect identified
5cc70abafd79eb6e0004f60c49df0dcf373c5928cc97af714b62f527173d1292,2013-08,Lincolnshire Police,Lincolnshire Police,-0.538756,53.228660,On or near Shopping Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
0719b1a57457915044fe9e93f33cb5ab4d15bd779c3b027973da707f34a818a2,2013-08,Lincolnshire Police,Lincolnshire Police,-0.377883,52.767200,On or near Parking Area,E01026301,South Kesteven 010C,Investigation complete; no suspect identified
51f46ad38c6f6894726b2b59f4f07cc49293b53de89dba96c933b4639babdb87,2013-08,Lincolnshire Police,Lincolnshire Police,-0.379711,52.768664,On or near Parking Area,E01026299,South Kesteven 010A,Investigation complete; no suspect identified
89de72cfb7438c04f6a3d15f690a1f78a4bf010be63a18b7f926d2b7b20b7324,2013-08,Lincolnshire Police,Lincolnshire Police,-0.543407,53.223162,On or near KING STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
34eb0b925983293d5825580a3d898134fe20e63c320f14319116978414072d8a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.531726,53.234471,On or near WINNOWSTY LANE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
31d5f18a8dd3e052aaaac63f5acdcb2f11e28a827867b2f6e7f3739f6b20a5bc,2013-08,Lincolnshire Police,Lincolnshire Police,-0.609722,53.217499,On or near ANDOVER CLOSE,E01026129,Lincoln 007C,Investigation complete; no suspect identified
