Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a7bc047c8fca43d0a357f7c06982dd2c87eec87b8f8e7adfff0921855be98dd4,2012-11,Thames Valley Police,Thames Valley Police,-0.775364,51.419319,On or near SIMMONDS CLOSE,E01016185,Bracknell Forest 002B,Investigation complete; no suspect identified
632a848087a837502451fc62469225797e77de1dd5aab6c0147a9d4dd2785d0a,2012-11,Thames Valley Police,Thames Valley Police,-0.754586,51.391666,On or near LOCHINVER,E01016218,Bracknell Forest 010C,Investigation complete; no suspect identified
656de5b7a8a9afb64bf5c5945856b7cad452cd215ab59b541178de17e15b1b66,2012-11,Thames Valley Police,Thames Valley Police,-0.773097,51.422362,On or near WILWOOD ROAD,E01016241,Bracknell Forest 004C,Investigation complete; no suspect identified
3ed4f06a81a9eed8637d296063240d7a4ce627371ee13a1243cd87ae398082dc,2012-11,Thames Valley Police,Thames Valley Police,-0.722827,51.527131,On or near ST LUKE'S ROAD,E01016529,Windsor and Maidenhead 005C,Investigation complete; no suspect identified
272cc96b8e399be3748e1edfcf4c2b17b905b810b66bacdb791ec5f2a3904b3b,2012-11,Thames Valley Police,Thames Valley Police,-0.721258,51.516764,On or near DHOON RISE,E01016592,Windsor and Maidenhead 004E,Investigation complete; no suspect identified
ad7bc10a305ce825c469d6a43e2efce0fc62ec1894f32486b2ec6aa3ff897c53,2012-11,Thames Valley Police,Thames Valley Police,-0.736734,51.532487,On or near CAMDEN ROAD,E01016571,Windsor and Maidenhead 003A,Investigation complete; no suspect identified
62c354488afb95d167b3724fe27c47350de7716566cb3fcca7e39abfa559aea7,2012-11,Thames Valley Police,Thames Valley Police,-0.774641,51.557572,On or near BISHAM COURT,E01016531,Windsor and Maidenhead 002B,Investigation complete; no suspect identified
24894c47c470d24ae02123ccb30c67840f23bca0e6e835557370d753f3ec1a16,2012-11,Thames Valley Police,Thames Valley Police,-1.025076,51.651139,On or near B480,E01028680,South Oxfordshire 008C,Investigation complete; no suspect identified
2f491b62379a2a15d17285756734241fe4a5675209019900438f27b9de21c6f7,2012-11,Thames Valley Police,Thames Valley Police,-0.727089,51.537149,On or near GARDNER ROAD,E01016582,Windsor and Maidenhead 001C,Investigation complete; no suspect identified
7977f6a4ff897afa0e040f39dba0b736e89b65fc109fbde020c55f7b5c224fa3,2012-11,Thames Valley Police,Thames Valley Police,-0.959155,51.746117,On or near FANSHAWE ROAD,E01028670,South Oxfordshire 003A,Investigation complete; no suspect identified
8a024a94168749b9738a3c427a65672263da18df143eb250aeabd48964921799,2012-11,Thames Valley Police,Thames Valley Police,-0.916044,51.531098,On or near KNAPPE CLOSE,E01028650,South Oxfordshire 016A,Investigation complete; no suspect identified
a8b2b0cc69486149327039cc5f1b460694914f8575424485a4c3c2b1610466bb,2012-11,Thames Valley Police,Thames Valley Police,-0.882255,51.509767,On or near LOWES CLOSE,E01028661,South Oxfordshire 019C,Investigation complete; no suspect identified
e1c0c875f0e0a4615f70bd10c18642fcd35640e8e738ea4363bea58119821b6d,2012-11,Thames Valley Police,Thames Valley Police,-0.702614,51.508448,On or near CHURCH DRIVE,E01016539,Windsor and Maidenhead 009A,Investigation complete; no suspect identified
a710cc20aff5fff12d4b2f84df0dc78363c4c4beab52fa503684363819d19ee8,2012-11,Thames Valley Police,Thames Valley Police,-0.740149,51.515835,On or near WELBECK ROAD,E01016537,Windsor and Maidenhead 007B,Investigation complete; no suspect identified
