Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fc7d3a32cdb26cd0d5cb9c1f009c0cc3a274188a15d825f66d77d04d4037f23a,2012-11,Lincolnshire Police,Lincolnshire Police,-0.590325,53.188370,On or near Supermarket,E01026218,North Kesteven 014C,Investigation complete; no suspect identified
e4e720ca265664fea6057f965c65b18098df54fae3cd8129bf41f754629d43e3,2012-11,Lincolnshire Police,Lincolnshire Police,-0.132151,52.744741,On or near CLARKSON AVENUE,E01026284,South Holland 011C,Investigation complete; no suspect identified
c2b5cf2c987f7715c71c0163129115232e889dc99260a1b842aef652494a8561,2012-11,Lincolnshire Police,Lincolnshire Police,-0.783958,53.406785,On or near MERCER ROAD,E01026378,West Lindsey 004A,Investigation complete; no suspect identified
b58d1a57889b55aa815966c3bc1654f540567d9e543544fcec198ccdf2995c0e,2012-11,Lincolnshire Police,Lincolnshire Police,-0.773510,53.394498,On or near LINDEN TERRACE,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
9e0d445449a843d68499b23edb200a7122929a84b39ea06008eef500e26570b0,2012-11,Lincolnshire Police,Lincolnshire Police,-0.206592,53.334261,On or near BLACKSMITHS LANE,E01026071,East Lindsey 007A,Investigation complete; no suspect identified
1f829eca82f95fc1f68d3417caced3a3d9f1af06fac1f273b6e4025bcc1b4efc,2012-11,Lincolnshire Police,Lincolnshire Police,-0.535750,53.231122,On or near Parking Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
0d0cd3295e566ee1788d9fbb64fd704238fd004a25c460ecd2dbba0743b88ae7,2012-11,Lincolnshire Police,Lincolnshire Police,-0.611586,53.215453,On or near ALNESS CLOSE,E01026129,Lincoln 007C,Investigation complete; no suspect identified
6361e62debc82ba2ce272bd8f17317e72dbcc62e94425ee10de5fc54b720cf0f,2012-11,Lincolnshire Police,Lincolnshire Police,-0.551163,53.199712,On or near MANSE AVENUE,E01026142,Lincoln 011F,Investigation complete; no suspect identified
480afcd255b8a3a546638da5805ef6d4561c42e45e390b95cdf42bdd9408ea99,2012-11,Lincolnshire Police,Lincolnshire Police,-0.520449,53.246459,On or near OVAL APPROACH,E01026152,Lincoln 004E,Investigation complete; no suspect identified
3e0bc6c0335e63f7cf119c47fb116d8dd9781158d9d066f16464d0f27ef75c08,2012-11,Lincolnshire Police,Lincolnshire Police,-0.459828,53.220088,On or near CHESTER CLOSE,E01026204,North Kesteven 001E,Investigation complete; no suspect identified
cfd30482eb7b41fb0c6fb9dbf53092f93c6f3835d663fbabd0c09bdd2c9b9fd4,2012-11,Lincolnshire Police,Lincolnshire Police,-0.422318,53.000611,On or near WELBY CLOSE,E01026236,North Kesteven 011E,Investigation complete; no suspect identified
