Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ead0e6512c78db6efebcd0087057174d469d5560fe456897b7d9a35306734c11,2014-02,Warwickshire Police,Warwickshire Police,-1.896426,52.274511,On or near CRENDON CLOSE,E01031240,Stratford-on-Avon 003B,Investigation complete; no suspect identified
7702dbfc31d79c5ae1e6f351058113c6982d3f3612f1585c083624d0b39f85f7,2014-02,Warwickshire Police,Warwickshire Police,-1.575756,52.341788,On or near BERTIE ROAD,E01031258,Warwick 001E,Investigation complete; no suspect identified
2069fb056cd3fc2cd1d6e7094e0805cec02493c5845c47781636b371c9138014,2014-02,Warwickshire Police,Warwickshire Police,-1.562326,52.316486,On or near HILL WOOTTON ROAD,E01031284,Warwick 004D,Investigation complete; no suspect identified
2702726701cf5245a1eb4205bd6b40c7ceb3fa0f7380836e63a352629ec2961b,2014-02,Warwickshire Police,Warwickshire Police,-1.645033,52.300167,On or near CANAL ROAD,E01031268,Warwick 014D,Investigation complete; no suspect identified
a0506c8e953fb1d60fea107dec127db980884cb6952292d7d7aa5664e17e0c02,2014-02,Warwickshire Police,Warwickshire Police,-1.587097,52.280848,On or near CASTLE STREET,E01031317,Warwick 012C,Investigation complete; no suspect identified
8c7c8659f3e0b81d4e81adb8ef66a3ed9e7d94a9b9b243bac8d7a356a61d9149,2014-02,Warwickshire Police,Warwickshire Police,-1.893903,52.269204,On or near CHURCH STREET,E01031239,Stratford-on-Avon 003A,Investigation complete; no suspect identified
59b2ab194b8dde0544a432f13b94ce048758918da9fef2e52f334e78db404e2d,2014-02,Warwickshire Police,Warwickshire Police,-1.709656,52.201747,On or near CLOPTON ROAD,E01031228,Stratford-on-Avon 009A,Investigation complete; no suspect identified
a2ad1c4a90524132d6f3ecafd4332a0569561dc405e6e5130329bcedac5f2999,2014-02,Warwickshire Police,Warwickshire Police,-1.524135,52.278642,On or near SCOTT ROAD,E01031263,Warwick 013C,Investigation complete; no suspect identified
c204392ccdc33e51edd54a2788aa97d931787450775d2c4e0ded861f025bb203,2014-02,Warwickshire Police,Warwickshire Police,-1.602010,52.286778,On or near GOODE CLOSE,E01031322,Warwick 011B,Investigation complete; no suspect identified
bef77b476e6aa8bb15f182fde9e299f5a24594453144e00398d1e9259bae8e2c,2014-02,Warwickshire Police,Warwickshire Police,-1.398850,52.257492,On or near WELSH ROAD WEST,E01031221,Stratford-on-Avon 004C,Investigation complete; no suspect identified
2a44b7f935487f10c45f3ecf6d751ca00f57b72ba629d94f7efc9a299d874419,2014-02,Warwickshire Police,Warwickshire Police,-1.398850,52.257492,On or near WELSH ROAD WEST,E01031221,Stratford-on-Avon 004C,Investigation complete; no suspect identified
47bc409e6233f0a94b0350792b3cb41708653ea8fa059599fb906ce099846812,2014-02,Warwickshire Police,Warwickshire Police,-1.530673,52.289627,On or near ROSEFIELD STREET,E01031271,Warwick 010A,Investigation complete; no suspect identified
9efe6f2c8c8d3a770ef6af44e3daf5b100028f84c4aa5738afd80c5e30dd588e,2014-02,Warwickshire Police,Warwickshire Police,-1.520855,52.306903,On or near HIGHLAND ROAD,E01031289,Warwick 007G,Investigation complete; no suspect identified
3525b8a73ec8ca92c9bbfc0e797baa98f706171786132e34f0c66432588c39bc,2014-02,Warwickshire Police,Warwickshire Police,-1.706676,52.192101,On or near HIGH STREET,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
6bb2b9703e631dfa323402f839874d71f9101f57129514957298334c7fad0e59,2014-02,Warwickshire Police,Warwickshire Police,-1.455714,52.236703,On or near Supermarket,E01031201,Stratford-on-Avon 005E,Investigation complete; no suspect identified
5f8b28a358a31da52dd48117c91dca5ad43cbe96f1af9713de733e1842a0f844,2014-02,Warwickshire Police,Warwickshire Police,-1.777673,52.303044,On or near BIRMINGHAM ROAD,E01031203,Stratford-on-Avon 002C,Investigation complete; no suspect identified
607f88eac7e430fb9702ffb50bd2b9843e1d7f64ebb44779d372d7ab4dfc9aac,2014-02,Warwickshire Police,Warwickshire Police,-1.708955,52.194840,On or near A3400,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
be83ca758acf47f97832b5ac22c473d154cca2c445f42612acf6e5e9e2b93486,2014-02,Warwickshire Police,Warwickshire Police,-1.531903,52.284211,On or near HIGH STREET,E01031336,Warwick 010F,Investigation complete; no suspect identified
12b6679ecb7bc3dc56936f9c8db7003f986ba94a9c4f7d64169d151e3d5640fd,2014-02,Warwickshire Police,Warwickshire Police,-1.591212,52.281249,On or near MARKET STREET,E01031324,Warwick 011D,Investigation complete; no suspect identified
0b2d371030e72c3162ca94f172c7fe4e719cf57e6168ebc239082ade07b385d6,2014-02,Warwickshire Police,Warwickshire Police,-1.594639,52.197946,On or near HOPPER'S LANE,E01031253,Stratford-on-Avon 008G,Investigation complete; no suspect identified
d2bfdff261cc12a855d0d45f4c19d82f2124b1ddbfa2a9e675b9b72186fb77e8,2014-02,Warwickshire Police,Warwickshire Police,-1.691537,52.193996,On or near ELGIN GARDENS,E01033252,Stratford-on-Avon 010F,Investigation complete; no suspect identified
6b2f7047fa7f9fe3d93414b396ca00b3e57b06a0fc1d64815b3055432130bd0d,2014-02,Warwickshire Police,Warwickshire Police,-1.824368,52.172934,On or near STRATFORD ROAD,E01031188,Stratford-on-Avon 007B,Investigation complete; no suspect identified
fb860de321510914e794c81e6fa360ef3434e637251f76554fb7a18ad9c45663,2014-02,Warwickshire Police,Warwickshire Police,-1.502021,52.218054,On or near Petrol Station,E01031199,Stratford-on-Avon 005C,Investigation complete; no suspect identified
246fc9ade74ecb5df99f758ccdbfd4f23dd56e1eba5109bc34f25c6648bb04ab,2014-02,Warwickshire Police,Warwickshire Police,-1.520539,52.274986,On or near HASELEY CLOSE,E01031264,Warwick 013D,Investigation complete; no suspect identified
4b5f61b32a1b1cd69af13511ea1023c6f8dcf452dd739267e28d9737393ce856,2014-02,Warwickshire Police,Warwickshire Police,-1.896268,52.273225,On or near HIGH STREET,E01031239,Stratford-on-Avon 003A,Investigation complete; no suspect identified
