Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b7ec9d0d785480299321934ed28e8d5f99166bd6246dd86c91cc5797ed69b8dd,2014-02,Lincolnshire Police,Lincolnshire Police,-0.297301,52.672344,On or near WELLAND WAY,E01026306,South Kesteven 014D,Investigation complete; no suspect identified
8667fa424e04d408bac55f23ab5680bac71a1de38649e90c79dd1ddc7a80ed49,2014-02,Lincolnshire Police,Lincolnshire Police,0.093340,52.799696,On or near THE PADDOCKS,E01026246,South Holland 002A,Investigation complete; no suspect identified
f7bfb5f9d0e112a234a45e18423048f2056881797dae8f21c6142d8c5d3a050b,2014-02,Lincolnshire Police,Lincolnshire Police,-0.009577,53.366118,On or near WESTGATE,E01032986,East Lindsey 004D,Investigation complete; no suspect identified
7166ef84daf7583c99503bd54b034a8b72016f1f395a5b10492382c7f96dfd0f,2014-02,Lincolnshire Police,Lincolnshire Police,-0.220962,53.148626,On or near ST PETER'S DRIVE,E01026118,East Lindsey 016E,Investigation complete; no suspect identified
12c5f17c3068aa8fd24c89d66473c36c361de288865c5977884d67b7e1a1c9c8,2014-02,Lincolnshire Police,Lincolnshire Police,0.339373,53.144032,On or near ALGITHA ROAD,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
144325d6def9e86f372361a0d6444df65fe1756aae194d10038a312560bbc2e3,2014-02,Lincolnshire Police,Lincolnshire Police,-0.534244,53.250665,On or near WILLINGHAM AVENUE,E01026168,Lincoln 001D,Investigation complete; no suspect identified
b6b22cbb85884e86d714fbf1d9991bbe51f3b63e99ac59fe250078e2a2411dd5,2014-02,Lincolnshire Police,Lincolnshire Police,-0.341131,52.892073,On or near ALLEN CLOSE,E01026361,South Kesteven 008D,Investigation complete; no suspect identified
b24c23d652307cec37798a00fc155e727170791cf6ffa055c170a77e36d6909d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.161808,52.786687,On or near THISTLE GARDENS,E01026275,South Holland 006E,Investigation complete; no suspect identified
67be616487461cf86ff71a3030e25a4e6b8a132d7c2b441c5d44d0931e6d4e82,2014-02,Lincolnshire Police,Lincolnshire Police,0.018228,52.807273,On or near MONDEMONT CLOSE,E01026252,South Holland 003C,Investigation complete; no suspect identified
fea3cd314c2ab8bf779fc80ac4736a17b4ee34299a817c39b58a73a3516f116a,2014-02,Lincolnshire Police,Lincolnshire Police,-0.330791,53.331685,On or near WRAGBY ROAD,E01026391,West Lindsey 003C,Investigation complete; no suspect identified
37f74b310f49e3cdccd22fb8aa6805536237bf5ee32666e4f667c66df1a33c84,2014-02,Lincolnshire Police,Lincolnshire Police,-0.510027,53.231532,On or near JELLICOE AVENUE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
5780c4b8ef37e8f01c7a3953789e8fccd1b0c2d77a33adeb71bb7589ab9a0729,2014-02,Lincolnshire Police,Lincolnshire Police,-0.508475,53.232223,On or near TOWER DRIVE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
171498d54eb472368fe0c0bf4fb0695b19f89bc1a784f9811bab3be73ee3fcfd,2014-02,Lincolnshire Police,Lincolnshire Police,-0.019923,52.985870,On or near GRAND SLUICE LANE,E01026036,Boston 003D,Investigation complete; no suspect identified
3b5a7595f8f7c541ae4c08eb23b20d85a0b18201c370dae7301ff8ef8d0efd46,2014-02,Lincolnshire Police,Lincolnshire Police,-0.663655,53.288180,On or near STURTON ROAD,E01026397,West Lindsey 009B,Investigation complete; no suspect identified
481ffda717104f30bc7b5df17579143d735bb6d9570561caf075f4852e28d24d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.320223,52.682057,On or near JOHN WAKE CLOSE,E01026336,South Kesteven 013C,Investigation complete; no suspect identified
993098b265b475d637769d8afdd1aec9c531008e7e92686311de9d097f33d5c0,2014-02,Lincolnshire Police,Lincolnshire Police,-0.417818,53.447641,On or near THORNTON ROAD,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
dcfea3aad43c58f8c6588b76ca913390b5b39ff532ddf17159ed87ed03b86b0d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.523061,53.250689,On or near THURLBY CRESCENT,E01026165,Lincoln 002D,Investigation complete; no suspect identified
30b426103e80707960fd134592ca875d2b5df670cb0c870b80fd5c7c5fddb11c,2014-02,Lincolnshire Police,Lincolnshire Police,-0.762394,53.400793,On or near NEWLANDS,E01026377,West Lindsey 006D,Investigation complete; no suspect identified
ace0e41f26aa0697ffd536354d0f1165980d2216f4298a8c32a6234238c24562,2014-02,Lincolnshire Police,Lincolnshire Police,-0.762394,53.400793,On or near NEWLANDS,E01026377,West Lindsey 006D,Investigation complete; no suspect identified
676b54d8e5788cc62b0f9a5dce36d27dc82e6bb4a9dc200052a92278dfd5fb2d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.755385,53.397700,On or near PASTURE ROAD,E01026374,West Lindsey 006A,Investigation complete; no suspect identified
5ca4c3b5589a3af376b8b4222256f4ef84f02f9878f085ab01102b52c83cb6fe,2014-02,Lincolnshire Police,Lincolnshire Police,0.004270,52.826696,On or near Sports/Recreation Area,E01026248,South Holland 002B,Investigation complete; no suspect identified
524579861ccaea275cbde7d61125815f61659e3802f25d6b7e47c36ea7ae3c96,2014-02,Lincolnshire Police,Lincolnshire Police,-0.541602,53.226025,On or near Supermarket,E01026176,Lincoln 006B,Investigation complete; no suspect identified
022f441665bbda660377ec224d77adcf50f46728017b913d06ebac66bcbe2c33,2014-02,Lincolnshire Police,Lincolnshire Police,-0.769949,53.392313,On or near SANDSFIELD LANE,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
658ca7918cb5a86114c38fbc2aa12e4578479b0ab0c728cc818a97d6a7e75872,2014-02,Lincolnshire Police,Lincolnshire Police,-0.050106,52.955765,On or near Park/Open Space,E01026039,Boston 009D,Investigation complete; no suspect identified
9e3a6a7a339a97c0885922285c6a94b8dbf81ab340fdafea53e156031de5e400,2014-02,Lincolnshire Police,Lincolnshire Police,-0.694088,52.883846,On or near DIMMOCK CLOSE,E01026315,South Kesteven 009A,Investigation complete; no suspect identified
a23a1dc413224005a8c1b444c70b9877e56df4c377036dceb478fc14569a1fd8,2014-02,Lincolnshire Police,Lincolnshire Police,-0.694088,52.883846,On or near DIMMOCK CLOSE,E01026315,South Kesteven 009A,Investigation complete; no suspect identified
850de5dfee3cbad156824f9334c7d57e623cdad06eb066786a367cd497b6eaf0,2014-02,Lincolnshire Police,Lincolnshire Police,-0.677709,52.943457,On or near OCCUPATION ROAD,E01026340,South Kesteven 002B,Investigation complete; no suspect identified
2c4bd925228d550afbd7defc6a2357e3dbb23f12a50355de92e4545f3b3b9773,2014-02,Lincolnshire Police,Lincolnshire Police,-0.733824,53.299634,On or near THE FAIRWAYS,E01026410,West Lindsey 007D,Investigation complete; no suspect identified
b35eb5f74207cfdd2afe41caaee59985551ffc9fcf81ae4c9cc98da54b69b051,2014-02,Lincolnshire Police,Lincolnshire Police,0.283045,53.313569,On or near YORK ROAD,E01026103,East Lindsey 006A,Investigation complete; no suspect identified
fb35d96edb130cb6827c7717f6d13f86604097b010c02491cb1a6feb62d5b4a4,2014-02,Lincolnshire Police,Lincolnshire Police,0.259704,53.337227,On or near STRAND CLOSE,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
7835c8836b54023b71b759fc947260fc78bacf5ae2a6442451729a7b72dafb37,2014-02,Lincolnshire Police,Lincolnshire Police,-0.531057,53.229941,On or near ST HUGH STREET,E01026122,Lincoln 004A,Investigation complete; no suspect identified
994a9af02ac18c49989363be5ffbd640107fff4024cb58e8d47b85ec346e00eb,2014-02,Lincolnshire Police,Lincolnshire Police,-0.557303,53.233552,On or near Petrol Station,E01026144,Lincoln 003B,Investigation complete; no suspect identified
1f69bf5ddd32a1d94737f343f4847c2cd53bb0d3281004b8fc2e327a1f613cbf,2014-02,Lincolnshire Police,Lincolnshire Police,0.201663,53.142505,On or near WAINFLEET ROAD,E01026055,East Lindsey 013C,Investigation complete; no suspect identified
d8490a91c7edec81097007b4f5ccd54086a0650e7fe99f98a0d365bdd49d12ac,2014-02,Lincolnshire Police,Lincolnshire Police,-0.034986,53.036045,On or near WESTVILLE ROAD,E01026057,East Lindsey 018A,Investigation complete; no suspect identified
7f575911201fce662243c22a8800ace5f78bb88076c959553b841a04f39038a5,2014-02,Lincolnshire Police,Lincolnshire Police,-0.034986,53.036045,On or near WESTVILLE ROAD,E01026057,East Lindsey 018A,Investigation complete; no suspect identified
c6053f3499dacb19a4423dc6172c6b9efec408e2952d27d39743e40f616f9d08,2014-02,Lincolnshire Police,Lincolnshire Police,-0.010694,52.974675,On or near GOODSON CLOSE,E01026026,Boston 004C,Investigation complete; no suspect identified
0347639848cc6072e706d6069a5d3a2ec6cbfe92e948f4f513a2b0ce523a568a,2014-02,Lincolnshire Police,Lincolnshire Police,0.001907,52.964691,On or near SADDLERS WAY,E01026014,Boston 008B,Investigation complete; no suspect identified
