Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
636c74d33501d1c0a02ca052e947c4101df9dde937860cca7e133b05c1877e04,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.513931,54.521223,On or near QUARRY ROAD,E01019263,Copeland 004B,Investigation complete; no suspect identified
fb018eed3b42e4c662d8dd55f7eaefbec03c7460bcd65fa4531b767d4b513cd7,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.601958,54.517006,On or near JOHNSON CLOSE,E01019302,Copeland 005G,Investigation complete; no suspect identified
e7c90a9fa9890e51243e21d017ddcdf58639021da5f36272aceaf01ea4b14249,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.253826,54.320844,On or near BOBBIN MILL HILL,E01019293,Copeland 008E,Investigation complete; no suspect identified
001263166285d222edd629a2c1791cd88caabc64dd5574a270f5020efd8447db,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.504562,54.516864,On or near PRINCES STREET,E01019266,Copeland 004E,Investigation complete; no suspect identified
2bcb642ab83d01347b49c69bf50d92516a1fab3d569e8a5fc2765b38f73ce8f5,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.583687,54.548264,On or near MICHAEL STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
12ddb3f0bc3bf36de4c30c49364ec8439696392434b60f3282b470b199b189c6,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.567646,54.529922,On or near OXFORD CLOSE,E01019285,Copeland 003D,Investigation complete; no suspect identified
12bd1032dc198fe654ee03998088ece8a58ef55f47fe165653b81b517ccd789e,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.482244,54.438091,On or near PELHAM DRIVE,E01019279,Copeland 007C,Investigation complete; no suspect identified
515a4fd6da048bcf6b4c1946aad7241eb30b4a825ae2667e0ec7a914dd583cae,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.482244,54.438091,On or near PELHAM DRIVE,E01019279,Copeland 007C,Investigation complete; no suspect identified
f87e2df52d999ae0b2a85eabeec9ee80c13182275f3f87096baed9022db2b185,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.592227,54.548026,On or near HAMILTON LANE,E01019280,Copeland 002B,Investigation complete; no suspect identified
ef7478ac105662bf4b4d3f96182bba567c8f84a81a085a17201c9ebb395d0461,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.592227,54.548026,On or near HAMILTON LANE,E01019280,Copeland 002B,Investigation complete; no suspect identified
2886525499900df768a75b257271fd39e542da9ee906c4db0496b05bdb691982,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.527308,54.485552,On or near Petrol Station,E01019274,Copeland 006D,Investigation complete; no suspect identified
b520ed1e99d5db6131b975a9e643a8a2b589ce46d733c1643876c2da8fd98948,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.583803,54.549656,On or near PETER STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
cbaad1ea638910f30beb78c11b0376c517e3fd79bb2968d2fee58167598f4dfd,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.580571,54.542849,On or near FRONT CORKICKLE,E01019282,Copeland 002D,Investigation complete; no suspect identified
