Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ad3199eea7d438de75269750c52645e338af210c4afd175b5da35674be165b24,2014-02,Dorset Police,Dorset Police,-1.788745,50.734012,On or near DOUGLAS AVENUE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
83dec3854fc1506e6b6aa0d4640d9582bfba4d83c1bbb0cde507d743c086bb70,2014-02,Dorset Police,Dorset Police,-1.877054,50.809325,On or near AMEYS LANE,E01020394,East Dorset 008E,Investigation complete; no suspect identified
7b95f543228174e0214c75b91588ca19cad61e7a1472bfbda00fae929e5b418b,2014-02,Dorset Police,Dorset Police,-1.966651,50.609208,On or near BISHOPS ROW,E01020478,Purbeck 006A,Investigation complete; no suspect identified
17c6422f27b11c45ace4c544048355204489128d731805d203569d7dd5332ed4,2014-02,Dorset Police,Dorset Police,-2.887774,50.826288,On or near CHARD STREET,E01020535,West Dorset 005D,Investigation complete; no suspect identified
72605e7114bc221c75a5922bf11e44fc69983bb99412cb9960abd8bc9154fa12,2014-02,Dorset Police,Dorset Police,-2.761353,50.732848,On or near ST MICHAEL'S LANE,E01020503,West Dorset 008B,Investigation complete; no suspect identified
bd34d6c5be91e505bf8cc091013094c7ddfbe7fbb6ddb2f85c4e1094a4cfbe49,2014-02,Dorset Police,Dorset Police,-2.444533,50.541150,On or near Supermarket,E01020565,Weymouth and Portland 009C,Investigation complete; no suspect identified
b5264349ae0c5096e6caa3286c95a97395ab3c89d6f059d8fa9c1ba0552f2e3f,2014-02,Dorset Police,Dorset Police,-2.899115,50.738162,On or near WESLEY CLOSE,E01020511,West Dorset 005A,Investigation complete; no suspect identified
57d42cc340a2a3e34e8885d76a605626be55b00ab11c545c58b5fe86469e6486,2014-02,Dorset Police,Dorset Police,-1.886454,50.825080,On or near GLENWOOD CLOSE,E01020423,East Dorset 006C,Investigation complete; no suspect identified
0b25ab7682ad7fb89a746342389cc230a7502964323473b718e273b9b155514b,2014-02,Dorset Police,Dorset Police,-2.899115,50.738162,On or near WESLEY CLOSE,E01020511,West Dorset 005A,Investigation complete; no suspect identified
dd9a7834fde0a21a2e6c745aafece8d4c323c54452552b60e42bf85b948df8f7,2014-02,Dorset Police,Dorset Police,-1.750488,50.739035,On or near SOMERFORD ROAD,E01020348,Christchurch 005C,Investigation complete; no suspect identified
5b3fd7a95693b3ea841316ae18b895bd03def557302ba1c1594bde185050e47c,2014-02,Dorset Police,Dorset Police,-1.973826,50.796734,On or near DAY'S COURT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
958678de8349789bcb94e36749ebdb56030570a75d88857723395905e3bb7e47,2014-02,Dorset Police,Dorset Police,-2.482421,50.614031,On or near COBHAM DRIVE,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
7082c5e5a3cef454fa16fe73398eaace4d8b5917af4bd4a0f11e90979ed3e998,2014-02,Dorset Police,Dorset Police,-1.878174,50.782402,On or near Sports/Recreation Area,E01020400,East Dorset 011C,Investigation complete; no suspect identified
2f4c77cc02243ace2c7c3037da3777336d179a8ac9af31e57b7d259a1523dda0,2014-02,Dorset Police,Dorset Police,-2.071941,50.786742,On or near A31,E01020409,East Dorset 005C,Investigation complete; no suspect identified
54b4a5ca3bb7a45a9404cd4adcbd54f29e6c373db02ce4fdb299412d71ce6d02,2014-02,Dorset Police,Dorset Police,-2.444940,50.709989,On or near OLGA ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
9f985a25c348657174386ab11034ed75957cd1c42d12d0e023089330ecd917e7,2014-02,Dorset Police,Dorset Police,-1.806527,50.744807,On or near BEECH AVENUE,E01020366,Christchurch 002E,Investigation complete; no suspect identified
e3d8157c5e55401f69edd0bd41eb57fe0e713760e3087fc079fd1be3f7694df6,2014-02,Dorset Police,Dorset Police,-1.958303,50.604304,On or near KNOLLSEA CLOSE,E01020481,Purbeck 006D,Investigation complete; no suspect identified
663c2aee6b82696990d1fbe4f05d1394f5066d2e0d33053d8688ae6e90010381,2014-02,Dorset Police,Dorset Police,-2.760677,50.740074,On or near ARMSTRONG ROAD,E01020499,West Dorset 006B,Investigation complete; no suspect identified
b42ebdc820a9c19ee0740d5d6e8e387c9e3257caa92d1825b31df5de53cdae0e,2014-02,Dorset Police,Dorset Police,-1.692595,50.745902,On or near HIGHLAND AVENUE,E01020357,Christchurch 003C,Investigation complete; no suspect identified
ed3cc27b0d09260013a7a567e0ee074e8fed12d573b5fff884373a1c8e43ae6b,2014-02,Dorset Police,Dorset Police,-2.471837,50.643903,On or near NOTTINGTON LANE,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
1dfad129e2062a56c44c691f984e50dba4be681ffb48944c6e04ca5c769ee1b4,2014-02,Dorset Police,Dorset Police,-1.959718,50.619115,On or near Parking Area,E01020480,Purbeck 006C,Investigation complete; no suspect identified
172d96c4dbf15fd7a1f05d84ccfd17dc9c7bca735206146fecf9095f9d475b7c,2014-02,Dorset Police,Dorset Police,-2.754969,50.733232,On or near EAST STREET,E01020503,West Dorset 008B,Investigation complete; no suspect identified
c7adc438fb77ff7328127e8f6ace09d0af6394911deabbe53752b9476857d1ab,2014-02,Dorset Police,Dorset Police,-1.955686,50.607450,On or near MARSHALL ROW,E01020481,Purbeck 006D,Investigation complete; no suspect identified
8e53290e75805122864cc60de38bb46c5c6c8855fffa9ea647c6851fad838183,2014-02,Dorset Police,Dorset Police,-2.182698,51.006359,On or near GOWER ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
6f3b244eb219c16c0076cf18c6b4b97774c3f2901d10a526a354bbdcce1800d9,2014-02,Dorset Police,Dorset Police,-2.023189,50.738184,On or near PRESTON CLOSE,E01020471,Purbeck 002A,Investigation complete; no suspect identified
925f9f3446df2301e46badc5c4b4bf528b54ef7ab14cc0cf53ceceb20c702151,2014-02,Dorset Police,Dorset Police,-1.985843,50.802141,On or near Parking Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
1ea4d98a38972e59133b4a98311868fc0b716dab7286a19ba6b157642ef74457,2014-02,Dorset Police,Dorset Police,-2.448297,50.714563,On or near HAWTHORNE ROAD,E01032643,West Dorset 009G,Investigation complete; no suspect identified
a76b43d3a7e5c8574b49830ba62c398d11d2120075b42bff3c8bc9c331239e3c,2014-02,Dorset Police,Dorset Police,-1.793493,50.740216,On or near BARRACK ROAD,E01020361,Christchurch 006B,Investigation complete; no suspect identified
55e80bbaf80fe6c4eb86543462f53823d41b7bcbddd2cfcb8fe9d3b7903677d2,2014-02,Dorset Police,Dorset Police,-2.934902,50.728384,On or near ANNING ROAD,E01020533,West Dorset 005C,Investigation complete; no suspect identified
fbe7ac17ab98e6e85ad0c15db301cb73021fe599d203e34c96d1b6132eeeb341,2014-02,Dorset Police,Dorset Police,-1.692533,50.746846,On or near BRACKEN WAY,E01020357,Christchurch 003C,Investigation complete; no suspect identified
548d249e49350e0b2d052f7c4cb854b160f3ab12a9c6a7b12386936c47da227d,2014-02,Dorset Police,Dorset Police,-2.191530,51.012262,On or near GROSVENOR ROAD,E01020454,North Dorset 003A,Investigation complete; no suspect identified
657b9c413f1b3dff2d25e9d35de38e146c0077fa4b8a327cb28d33799c906746,2014-02,Dorset Police,Dorset Police,-2.435231,50.545430,On or near Shopping Area,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
fac818a0ff3109edf4546ab9416798ecc2b6458ab8358698782cebb9e3d92a24,2014-02,Dorset Police,Dorset Police,-2.474740,50.612021,On or near KITCHENER ROAD,E01020577,Weymouth and Portland 005C,Investigation complete; no suspect identified
bbbafea9c97102c315cacee6bd23ea15910ab85f4f6383e6d287802291965069,2014-02,Dorset Police,Dorset Police,-2.757216,50.733730,On or near Shopping Area,E01020500,West Dorset 006C,Investigation complete; no suspect identified
310060866c4f16a38a2065e5ffe40bfcbe63f32477bb3ce5967df320da1d2c8c,2014-02,Dorset Police,Dorset Police,-2.272272,51.037352,On or near SCHOOL LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
b19bac6901e32d21b695fa99093c245608276d953c98a499dc7a264422233ee0,2014-02,Dorset Police,Dorset Police,-2.309996,51.060871,On or near BUSHES HILL,E01020440,North Dorset 002A,Investigation complete; no suspect identified
e2edfdf870e57042b616ee16e968ce4fc88896885ef96e16cbc90701ce51eec7,2014-02,Dorset Police,Dorset Police,-2.432559,50.544963,On or near MOORFIELD ROAD,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
af46f3e17f9035ca75fb85fb28651ff2b106171c5dd43aef451a48f47724dc58,2014-02,Dorset Police,Dorset Police,-1.809212,50.750126,On or near Sports/Recreation Area,E01020365,Christchurch 001D,Investigation complete; no suspect identified
cde6d317e31abff0fdedb1465d3eff3ebb6dec05b7e6f1339f9afd75decf8d5c,2014-02,Dorset Police,Dorset Police,-1.945253,50.830464,On or near SHEEPCROFT LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
ae810adbf6758ca7a6c31f3069bbacbdeebe77110c0c521ae96d1e6f67aeb36d,2014-02,Dorset Police,Dorset Police,-1.852487,50.867658,On or near BESSEMER CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
54de95d6e24488cb1c5bce53146cbbbb1a204916e8a1d3064c58a9b5a9996773,2014-02,Dorset Police,Dorset Police,-1.867826,50.805358,On or near DERWENT CLOSE,E01020393,East Dorset 008D,Investigation complete; no suspect identified
a24a8eab07db490d4c8252e99b40699dd73599ac0a23db552661d8a34d42c5f6,2014-02,Dorset Police,Dorset Police,-2.578197,50.964992,On or near ABELS LANE,E01020541,West Dorset 002C,Investigation complete; no suspect identified
bbb197f56a3c8dc39db49fcca57324b4e7597d6c52b5cfa994acdaaab5f304ba,2014-02,Dorset Police,Dorset Police,-2.033519,50.737111,On or near MOORLAND CRESCENT,E01020475,Purbeck 002E,Investigation complete; no suspect identified
5887c7e0cc4e2964dd9d7137e1f8eefebb4d24630acd15cbc031bbf49109cc63,2014-02,Dorset Police,Dorset Police,-1.806854,50.751309,On or near DUKESFIELD,E01020366,Christchurch 002E,Investigation complete; no suspect identified
fff5a04ef44493059928b569ba4ac9f85a1488ce3ec302e069760c8232eed23c,2014-02,Dorset Police,Dorset Police,-2.060237,50.631894,On or near WEST STREET,E01020466,Purbeck 005A,Investigation complete; no suspect identified
c1200b2d3ea4b438d4eacd1e16627f92510248c3e589ac7c687db547a2ebcdfc,2014-02,Dorset Police,Dorset Police,-2.443179,50.717002,On or near WEST MILLS ROAD,E01032644,West Dorset 009H,Investigation complete; no suspect identified
5706bafd817bd31d3275a57e09fbdf4d1b83de8354447f2034daa26f9c980137,2014-02,Dorset Police,Dorset Police,-1.780794,50.737441,On or near BARGATES,E01020368,Christchurch 006E,Investigation complete; no suspect identified
25dc7bc5f0144ca6e7beb1a41693cf995e949c1621c1d8cb3b1dda4c5cf4cda9,2014-02,Dorset Police,Dorset Police,-2.150795,50.864119,On or near TUDOR GARDENS,E01020437,North Dorset 007C,Investigation complete; no suspect identified
9ba2105f8fa8d1eadf2c863b486360bb1cf11d40f6d165ee2c7c22303e8e0bf0,2014-02,Dorset Police,Dorset Police,-2.160180,50.870284,On or near PLOUGH ESTATE,E01020436,North Dorset 007B,Investigation complete; no suspect identified
b7cf83c66bf721400c4e025ba6dcd97fae1880140dc2b2b6ce47f44a9400a088,2014-02,Dorset Police,Dorset Police,-2.493038,50.612925,On or near ALEXANDRA ROAD,E01020516,West Dorset 012E,Investigation complete; no suspect identified
173ba732fb149a74614a2a6cd752280a4d90c94808753e46a506abb8322a3b01,2014-02,Dorset Police,Dorset Police,-1.980992,50.795324,On or near ALLEN ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
ef3509552c7273707de454b01dac6859f484937d479538ce0e6cfef4f115fedc,2014-02,Dorset Police,Dorset Police,-1.974049,50.855878,On or near UPPINGTON CLOSE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
aec7d6557c87d4b0492e6cad192ab370a99d7c38cb67d9e172f33b1009af70f2,2014-02,Dorset Police,Dorset Police,-2.280793,51.069065,On or near MAPPERTON HILL,E01020450,North Dorset 002B,Investigation complete; no suspect identified
23012f14619f7b09b63e31c3723cb71b24da95c5e06782c675e09f08c2aacd42,2014-02,Dorset Police,Dorset Police,-2.459464,50.606480,On or near HIGH WEST STREET,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
b0f1ffd914df05b72d6b44db75ed104887f5f86387aa0beb50c94fd7235ab847,2014-02,Dorset Police,Dorset Police,-2.469318,50.592663,On or near DONCASTER ROAD,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
5c746ec0c74f0c041720ab07dba6e937a640122e961d9d8363e32a6ca7172c25,2014-02,Dorset Police,Dorset Police,-1.975509,50.807597,On or near GREENHILL CLOSE,E01020380,East Dorset 007C,Investigation complete; no suspect identified
