Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cf396c5f8dc8e62692cca6010e4f0ed0c94df79cb81ffb3d1b81d8472c268518,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.735624,52.612566,On or near Sports/Recreation Area,E01026598,Great Yarmouth 005D,Investigation complete; no suspect identified
f812484e772d79230f731d62fb80c66f838f42719c78776fe364d29d1eebe339,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.728518,52.604074,On or near TOWNSHEND CLOSE,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
097d4acff18184c578de8c78e118ec72f90ea587da081723a77d5224976eed10,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.290622,52.659045,On or near BUSSEY ROAD,E01026799,Norwich 001C,Investigation complete; no suspect identified
6b63572061923716d4e2696f0941c5758265db85ec7dd45bc8b6d18bd1ebb466,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.720918,52.600347,On or near ALBANY ROAD,E01026633,Great Yarmouth 007B,Investigation complete; no suspect identified
b7d51ac84e634d1c825c948f35fb69f49c1c543077dd996a08888a3351086f31,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.243651,52.791726,On or near GOULDER DRIVE,E01026502,Broadland 001D,Investigation complete; no suspect identified
6ce70942ba03cd307f3a990435d378fb1073a70efae329c913438eb07f01c049,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.437337,52.770324,On or near Supermarket,E01026671,King's Lynn and West Norfolk 006C,Investigation complete; no suspect identified
d371a098d7bd05485562e7b6ea60c71ad27a31a2aa0c738efd1af0f1f14d18d9,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.421085,52.854380,On or near SCHOOL CLOSE,E01026738,North Norfolk 007A,Investigation complete; no suspect identified
0b3f88a7deb97798f6ba59f3d1f3fd788ecc23e4bcaea3ab93bdec453217d5cc,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.305389,52.623073,On or near WHERRY ROAD,E01033441,Norwich 014D,Investigation complete; no suspect identified
1cd2b2729be42f1cb65bd238e69f61d7a82c3631132036ac55c873d25545d64d,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
991c9a5e9bf8ae3342db38fbbe0a2bbb7e9673500ef3dd432925b6e1f87af256,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.277689,52.610353,On or near NEWTON CLOSE,E01026811,Norwich 012B,Investigation complete; no suspect identified
84b8da74252323a983d083a200688482e973cae2597946795c53831935fa26d5,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.278865,52.623118,On or near RUTLAND STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
2e4d3573428aa4913d79331d37407062778148a4a79841fbe8d74196e1eaa1ca,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.277098,52.624588,On or near ROSE VALLEY,E01026839,Norwich 009E,Investigation complete; no suspect identified
a96761d433328e96d4a43e93e87a70384a8c30a5d2af36a4af73e9716be519aa,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.552785,52.744758,On or near LYNN ROAD,E01026665,King's Lynn and West Norfolk 012A,Investigation complete; no suspect identified
c03f6da2528357b5fa832fedbe93580cf2d2182d3674f70ccb39b6612682f5ec,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.148780,52.642766,On or near Sports/Recreation Area,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
d092273e36d7569c9df006b163bc364ff37fb6198a5b8fb117e5ab0a2c6d911a,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.727067,52.661201,On or near MARRAM DRIVE,E01026591,Great Yarmouth 003C,Investigation complete; no suspect identified
51bb34a2cfc41e5009d3ee468dd9148b029cdf27aadbf9d9e685e6159730089d,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.307746,52.655870,On or near TUSTING CLOSE,E01026556,Broadland 012D,Investigation complete; no suspect identified
acf8d841e408ccab661d98cde7ee42ab12a2c945a575b61a91ad0e055f9178bb,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.301948,52.628790,On or near ST VEDAST STREET,E01033438,Norwich 014A,Investigation complete; no suspect identified
1e360b836a4fbe9a5f39c49f9dfadb3e0c8a02d011d9d07d59a210522e39608a,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.387290,52.606317,On or near SHELLEY CLOSE,E01033036,King's Lynn and West Norfolk 017E,Investigation complete; no suspect identified
94ee8aef2466271fc3e9ec52838ab7e4515b7cfed4d7d057c918206113312866,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.289596,52.620977,On or near GROVE ROAD,E01026855,Norwich 011D,Investigation complete; no suspect identified
0b734aebce7e195c7bc010648dac67a0218fbf840675f0a90d7327e1293e6e3d,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.280087,52.623255,On or near YORK STREET,E01026856,Norwich 011E,Investigation complete; no suspect identified
6771a9ff040b3d38ee29231180ca21a436099d325efe92347b015ee01fa72f31,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.308048,52.629132,On or near ST MATTHEWS ROAD,E01033439,Norwich 014B,Investigation complete; no suspect identified
28da976e46f68f39cab31231c93e0d09d75a99ce846f93b687ca7a01943c2352,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.208887,52.572793,On or near MEADOW WAY,E01026914,South Norfolk 009B,Investigation complete; no suspect identified
de0f4e51b4e841e82414ce67f2d85ff0a38e93e77b597080f4b1e1c421c6eb1f,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.941318,52.681357,On or near Supermarket,E01026426,Breckland 005B,Investigation complete; no suspect identified
