Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
28ffc632bf7be3f2517fe08a5a7257633a60f06206e30a704bca87a952e7adf3,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.948860,53.289029,On or near CHILDER GARDENS,E01018549,Cheshire West and Chester 005D,Investigation complete; no suspect identified
f97cfe6b631e4b7feca32532a2f6212bd2547d2160b5199988da72e805901e54,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.772899,53.371442,On or near Supermarket,E01012377,Halton 004A,Investigation complete; no suspect identified
c8c2b4fb5f5346334e9fd917c8c7c79f38a4eda7503a586bd7f8e5261b91d595,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.515213,53.250801,On or near Further/Higher Educational Building,E01018703,Cheshire West and Chester 023F,Investigation complete; no suspect identified
398a36be04e83f458047548276e76a5afc39a2b85575e0e8e2d36c529b54c2f4,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.902190,53.195644,On or near WHIPCORD LANE,E01018331,Cheshire West and Chester 034E,Investigation complete; no suspect identified
78bb55376c4062eb6db215995b11fee5b889365a0af7970bbe90d86e5b05e620,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.451960,53.102245,On or near CASSON STREET,E01018467,Cheshire East 036E,Investigation complete; no suspect identified
fbbd82bace8b87f2fa2b0f19e2f1b4b59fe24f94fe7044ac834f9b2cba5f0588,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.518887,53.449993,On or near BROADHURST AVENUE,E01012474,Warrington 002B,Investigation complete; no suspect identified
072fee764a1ac50bafbddc95bfe9c4291f5fc064344a9e45e10663ba1bba03f0,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.947568,53.282819,On or near DUDLESTON ROAD,E01018531,Cheshire West and Chester 009D,Investigation complete; no suspect identified
1590f1766ee6f9676fb90fa26d9a972a5100bc81c860cbee380d7ccd67243691,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.598915,53.386671,On or near MUSEUM STREET,E01033300,Warrington 018F,Investigation complete; no suspect identified
fa92d0576f987b10310cf2abdb22956b43f321d139a2e19120c3b3bf8009ee8b,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.722579,53.369708,On or near B5178,E01012367,Halton 007A,Investigation complete; no suspect identified
831412cbab718e2ead9c23ea102cca1caa8625d6633a8575e56adb53d14ab076,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.730614,53.341263,On or near Parking Area,E01012430,Halton 012E,Investigation complete; no suspect identified
ec274cb3a0083d1833b6c05ccb5b4c79011690eaca6668f0430d25a7a86b10b5,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.942958,53.286684,On or near QUEENS ROAD,E01018549,Cheshire West and Chester 005D,Investigation complete; no suspect identified
02e43043a667532f275bf885812adcdcb4f01867de4dbf98540b6cb2325bec01,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.889591,53.190102,On or near Parking Area,E01018326,Cheshire West and Chester 034A,Investigation complete; no suspect identified
9b4c06e88a21131c4423664b7b6c82dbd346bff65e3c054ac43e4c175a7e3cd6,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.520809,53.256179,On or near BEESTON STREET,E01018709,Cheshire West and Chester 020A,Investigation complete; no suspect identified
a00a48a19b35a25081f73459fddde53373c34445e9aa83c451ba5e4b307e6590,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.451866,53.106183,On or near MOUNT PLEASANT,E01018461,Cheshire East 036C,Investigation complete; no suspect identified
