Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58aa3fecbb7dec4f33865fcedfa41defc3c9c74e847e5c07ab29bbfd7bde7317,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.179316,51.918236,On or near Supermarket,E01023774,Stevenage 003D,Offender given suspended prison sentence
8c2d6c0d185f0851d7f47463e57276dce82615cf880f621c4956793f6c47ab83,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.271270,51.664682,On or near HARTFORDE ROAD,E01023537,Hertsmere 006D,Court case unable to proceed
13593cca56fe8ff64809a9f86fc0f883b19b2f1388b96da649154fef7fdd005c,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473578,51.751029,On or near BRIDGE STREET,E01023398,Dacorum 015D,Offender given community sentence
da4c05c36fb2aac98745182d5fed34e99d5786fc883311247c9d2535a7886d5a,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.172570,51.800660,On or near HEATHCROFT,E01023951,Welwyn Hatfield 005B,Offender given community sentence
3f5e67d243663cc4658385a75364fcbc9e952f30abb20d47df238e468d7eb81b,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.396013,51.658971,On or near GARTLET ROAD,E01023859,Watford 009A,Offender given community sentence
9d9ef706451d2b6730e0904ebb9881accf386a83c50030b591e3b6feec5ba997,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.220558,51.902717,On or near BABBAGE ROAD,E01023798,Stevenage 005D,Offender given suspended prison sentence
cc460f9e50ef505ef9890f0fe6f90b0795733463a7e153512f4a8a50e34a1b1c,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013205,51.755415,On or near HIGH STREET,E01023321,Broxbourne 003B,Offender given suspended prison sentence
d2e80820acf2059c0c7f31ed9e6e00eff1300a4f70ac3a78da566012d9bd9c7e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.237300,51.747795,On or near NEWSTEAD,E01023934,Welwyn Hatfield 013B,Offender given community sentence
f2b757773232fcf42ab42abee9e9b73d944081c35802e2da2dc67b4d2e2cf890,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026389,51.726197,On or near WEST SIDE,E01023342,Broxbourne 005C,Offender sent to prison
a6612bb64abb832f4fec9c8fb0241b6f084558e4e4dab3db388053f4aac51ecd,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.387398,51.687411,On or near KILBY CLOSE,E01023875,Watford 003C,Court case unable to proceed
fa249d9d2d1a26dde8bba4dfb3b22737a70e7366fc8c936a650d1f3a5081f2ed,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.175779,51.925132,On or near Pedestrian Subway,E01023790,Stevenage 001D,Defendant found not guilty
d45c5d98c39b90609a3e4ef959a1fce69aab9c427ba356f34780cfe388945f9e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.337328,51.753722,On or near ST PETER'S STREET,E01023727,St Albans 012B,Offender given conditional discharge
83771bc3db1bae5f3595db3d302fc9346c668a503e59fb6586b4644f783f205b,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.211912,51.924230,On or near Hospital,E01023800,Stevenage 002E,Offender fined
4a9071d8364fcc694f4d8fc1b58548d97bda587502edb88819b366471eae0801,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023235,51.727798,On or near ROWAN DRIVE,E01023343,Broxbourne 005D,Defendant found not guilty
841ce3435e68558d0f6e07339a3c7d0cb2a1a825ad9833f60ca8026c6fba5eae,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038168,51.687241,On or near BRUCE WAY,E01023339,Broxbourne 013D,Offender fined
7ee51524059e79ddb6e3602bfca9242050596f149d488d1f8714b7336ac41758,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Court case unable to proceed
