Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
31acd026f744c51030693936c9759e4b80c222b04fcec5ed44fb6a56eaafb92e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.078817,53.490815,On or near ADDISON AVENUE,E01005942,Tameside 007B,Suspect charged
9d92b89d5a226971af23050595ec74bbd85ba822af4524e5e49b234c3093c3de,2014-02,Greater Manchester Police,Greater Manchester Police,-2.280704,53.479258,On or near SCALE STREET,E01032912,Salford 028G,Offender given penalty notice
8cd38d99cc10168a4eb232d355d967fe6ad34e8e2d3639fbc88857e3b3703262,2014-02,Greater Manchester Police,Greater Manchester Police,-2.156859,53.405078,On or near MOTTRAM FOLD,E01005758,Stockport 014B,Suspect charged
b92c7c7036aa7acc8ad1263000ad3fd3f6560af854859420d48d78f25c9caf8b,2014-02,Greater Manchester Police,Greater Manchester Police,-2.082162,53.466958,On or near MINSTER CLOSE,E01006015,Tameside 017D,Local resolution
d58181b18f4b33d7cd505a0fae4d7b8f6f26287f911d20d9ad194f48e6b885f4,2014-02,Greater Manchester Police,Greater Manchester Police,-2.195591,53.457442,On or near ALBERT GROVE,E01005235,Manchester 020D,Suspect charged
1af3e855019aa80d62b1fb70d3d9fd45e0d1db900e03dd78ca68ea9bec9f9939,2014-02,Greater Manchester Police,Greater Manchester Police,-2.471205,53.533380,On or near RUTLAND AVENUE,E01004896,Bolton 030B,Suspect charged
07dcd66e1eee786e20d288449c236188c75fd0a7892c43302332c7ff318140fb,2014-02,Greater Manchester Police,Greater Manchester Police,-2.225705,53.430639,On or near ENDSLEIGH ROAD,E01005307,Manchester 040D,Suspect charged
6ef7b03d91f072653a243db7400f2924484f8f0d13891a682c73669a5f8d5015,2014-02,Greater Manchester Police,Greater Manchester Police,-2.436091,53.428545,On or near OPENSHAW LANE,E01005621,Salford 030F,Offender given a caution
c78a11201cee0d65524b3570cc05da1836e5c981fee8d7fbd2bf6b70e6f00480,2014-02,Greater Manchester Police,Greater Manchester Police,-2.110122,53.456140,On or near SYDALL STREET,E01005974,Tameside 021C,Local resolution
c78a11201cee0d65524b3570cc05da1836e5c981fee8d7fbd2bf6b70e6f00480,2014-02,Greater Manchester Police,Greater Manchester Police,-2.110122,53.456140,On or near SYDALL STREET,E01005974,Tameside 021C,Local resolution
fa7c8b4ebb4188078a099d86d1fa5bc6417003cd17de4c6308748130f2867410,2014-02,Greater Manchester Police,Greater Manchester Police,-2.287323,53.392853,On or near HOCKLEY ROAD,E01005070,Manchester 051B,Offender given a caution
c86429805675cee436c4816580acd1b4c16022688c3884ca2bcc19ac9445621c,2014-02,Greater Manchester Police,Greater Manchester Police,-2.233218,53.497076,On or near Shopping Area,E01033665,Manchester 056C,Suspect charged
ef47403ba70ced1abcd6ca51b7e71f7072c721c452fa1bfab94d7e9df96ba07e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.264777,53.496111,On or near COUNTESS GROVE,E01005609,Salford 016A,Offender given penalty notice
6d9ba8b87c452ea4b7c9ce134103b8f5561a125eb53cd838c597f563349b5db4,2014-02,Greater Manchester Police,Greater Manchester Police,-2.280474,53.384986,On or near BELSAY DRIVE,E01005074,Manchester 051C,Local resolution
afa09598d052de256d59262e05366a6d99684803febdaefb72bcc11a3488ae7e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.131086,53.549122,On or near CHANCERY STREET,E01005351,Oldham 016B,Suspect charged
8486a68bdad344f53ce7356ef0df8357678b944de643d09e9e5feaa3c9aee10e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.144709,53.534239,On or near FIELDS NEW ROAD,E01005332,Oldham 028A,Suspect charged
7319c21d671b4603ce8ce35b772294b35b00c120cc31323570065401f70146a2,2014-02,Greater Manchester Police,Greater Manchester Police,-2.601118,53.473553,On or near ROCHESTER CLOSE,E01006346,Wigan 038E,Suspect charged
a917d3a10279969b9055344ba5fe277e2479af1d9625734b5bba429c75e109dd,2014-02,Greater Manchester Police,Greater Manchester Police,-2.081501,53.538101,On or near BANK STREET,E01005451,Oldham 019D,Offender given a caution
df0b4d319b5af86525b535df902a5bd2eab1b91f807fb04e18bbb7819fe339be,2014-02,Greater Manchester Police,Greater Manchester Police,-2.295216,53.544452,On or near HIGHER LANE,E01004986,Bury 020B,Suspect charged
0a92223bdf9dc6fc7f1e6a95d00d3893e97bce92480609007ee5eeba2c7af0ae,2014-02,Greater Manchester Police,Greater Manchester Police,-2.214855,53.395145,On or near EDEN PLACE,E01005769,Stockport 022A,Suspect charged
83ce989e335f53162384b45e2f4d76e84e292e2769968bd1b6a26b2f7fbd2c05,2014-02,Greater Manchester Police,Greater Manchester Police,-2.062557,53.492497,On or near THE CLOSE,E01006064,Tameside 008B,Offender given a drugs possession warning
3a310749212de6da08f0846eb57d356925a09a72c2bd1567bc4cc2499cf10e7b,2014-02,Greater Manchester Police,Greater Manchester Police,-2.358150,53.419924,On or near NEWBURY AVENUE,E01006167,Trafford 019D,Offender given a drugs possession warning
134b6f60574791f0aa53047c00f070191c51d831f2f2a2fa6b82218efbdc7775,2014-02,Greater Manchester Police,Greater Manchester Police,-2.139676,53.600237,On or near WELBECK ROAD,E01005565,Rochdale 012C,Suspect charged
5c7f2d617aec7f5a7d84846ed6189c1e42517795e1210db377d4db25c936fc7a,2014-02,Greater Manchester Police,Greater Manchester Police,-2.243339,53.482450,On or near Shopping Area,E01033658,Manchester 054C,Suspect charged
dc1ef28bf6a9eb7246fb67693607f616b9c1a5db534eb2fb12c19b14e1fb8ba6,2014-02,Greater Manchester Police,Greater Manchester Police,-2.207274,53.499928,On or near BUSH STREET,E01005202,Manchester 009A,Suspect charged
2cac2929d365cc1b6ec7c49676f9f0ae3b2ff0d49f8e9fe5c619e3fad5418659,2014-02,Greater Manchester Police,Greater Manchester Police,-2.162384,53.528482,On or near Police Station,E01005345,Oldham 028C,Suspect charged
8d555fa7441152b970c55823cd25389fae5d3d84e6cece591999053b98957e56,2014-02,Greater Manchester Police,Greater Manchester Police,-2.274979,53.577127,On or near Petrol Station,E01005054,Bury 013B,Suspect charged
bf5d35f36e94db609b4edea4e6f61d9bd373a057a48ab48600c1db15c6528880,2014-02,Greater Manchester Police,Greater Manchester Police,-2.323301,53.392069,On or near SHAFTESBURY AVENUE,E01006205,Trafford 023D,Local resolution
6381dac2a1afa4761b1a82e125adc1ce6ad50997ebd4b1598a5100e33ba1c580,2014-02,Greater Manchester Police,Greater Manchester Police,-2.480232,53.505875,On or near WESTMINSTER DRIVE,E01006248,Wigan 031A,Local resolution
73ef8aad1ba0e3ffa2ff243b045f6a74207eae84290f71214e2edbfcf9b7e88d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.097702,53.549432,On or near CRABTREE ROAD,E01032920,Oldham 011E,Suspect charged
cd74c609dce873cb8a82359fea30648f47b5f66f2899be108547a37ac3873d21,2014-02,Greater Manchester Police,Greater Manchester Police,-2.242944,53.513469,On or near ARLINGTON STREET,E01005165,Manchester 008D,Local resolution
58c500525d725598c4ff73ccf96b748dfcc3a0e0fca9b0500c19f26c6f110d5e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.528245,53.540341,On or near THE PEWFIST,E01004939,Bolton 031E,Suspect charged
bc50b16d8598bdd8643fda71ce8978da955aec4bb6d84f9744c87c14230cfa38,2014-02,Greater Manchester Police,Greater Manchester Police,-2.210026,53.425310,On or near DANEHOLME ROAD,E01005124,Manchester 041E,Suspect charged
53c7bf1f88d60403edd6852062bed7dbbf105002b2662b57e500fb224fd5bf37,2014-02,Greater Manchester Police,Greater Manchester Police,-2.210026,53.425310,On or near DANEHOLME ROAD,E01005124,Manchester 041E,Suspect charged
320667305c792522810c3ee76743be15608779ba722f9fc32fe441f87a662d81,2014-02,Greater Manchester Police,Greater Manchester Police,-2.279035,53.477410,On or near BERMONDSAY STREET,E01005667,Salford 028B,Suspect charged
400517a2499680cca0cd509175e610b0edc326638b6919f0d7e8c1dea29b5cde,2014-02,Greater Manchester Police,Greater Manchester Police,-2.632873,53.554241,On or near HORNBY STEET,E01006375,Wigan 008E,Offender given a drugs possession warning
8a555a73707577ce50a8fcb634f199c33a972bfc737ee78430a1d6d7d4341063,2014-02,Greater Manchester Police,Greater Manchester Police,-2.134395,53.630992,On or near SPOKESHAVE WAY,E01005578,Rochdale 004A,Suspect charged
b61a1635dcd5a932826286daeaa537b7c1b6c4c1ef5b72193682c7e5d6e0aad6,2014-02,Greater Manchester Police,Greater Manchester Police,-2.332699,53.482549,On or near ANDOC AVENUE,E01005599,Salford 026A,Suspect charged
cc89b72f5d08562e7f9284e5a5198cdc7d5d38f503ebf9e9607dd8e6b3b974ae,2014-02,Greater Manchester Police,Greater Manchester Police,-2.235481,53.475697,On or near SACKVILLE STREET,E01005128,Manchester 055A,Suspect charged
3fb0d1a5559713aa4988a9a71b4edd64206b48a099f5cb0af45cb82b4d192b44,2014-02,Greater Manchester Police,Greater Manchester Police,-2.243339,53.482450,On or near Shopping Area,E01033658,Manchester 054C,Suspect charged
a1568222710bed7dcd21d0b9fe6b3c8f483178f9241c88cd6a33dd882fc64e83,2014-02,Greater Manchester Police,Greater Manchester Police,-2.293631,53.577083,On or near ST PETER'S ROAD,E01005059,Bury 013C,Suspect charged
2540fb87dac964ff633158922e65b4ccca031f873c817bea88b22385eb31875d,2014-02,Greater Manchester Police,Greater Manchester Police,-2.110686,53.539552,On or near CLEGG STREET,E01005434,Oldham 024B,Suspect charged
906c7fd12344855ac198d2e60fb789a24c1cf448ad9cd6e6128fe256eec77a49,2014-02,Greater Manchester Police,Greater Manchester Police,-2.416382,53.576755,On or near CRAWFORD STREET,E01004818,Bolton 017A,Suspect charged
29cfe3eb11750847bfe67090c7bcfbbcd7575ad7487f8ab4cb3cb0ed7cf86612,2014-02,Greater Manchester Police,Greater Manchester Police,-2.215316,53.462567,On or near CROSSBANK CLOSE,E01005063,Manchester 018C,Suspect charged
b2f6af94d53723e748424a4ffa882c3f17d55203e9e45935f166f54d3b07eb63,2014-02,Greater Manchester Police,Greater Manchester Police,-2.111234,53.541412,On or near Bus/Coach Station,E01005434,Oldham 024B,Offender given a caution
b2f6af94d53723e748424a4ffa882c3f17d55203e9e45935f166f54d3b07eb63,2014-02,Greater Manchester Police,Greater Manchester Police,-2.111234,53.541412,On or near Bus/Coach Station,E01005434,Oldham 024B,Offender given a caution
b2f6af94d53723e748424a4ffa882c3f17d55203e9e45935f166f54d3b07eb63,2014-02,Greater Manchester Police,Greater Manchester Police,-2.111234,53.541412,On or near Bus/Coach Station,E01005434,Oldham 024B,Offender given a caution
c13f71108d8e0449dd2ac965a3d0911de8701bacfffc4855f36220f162bee168,2014-02,Greater Manchester Police,Greater Manchester Police,-2.103849,53.415679,On or near Supermarket,E01005899,Stockport 012B,Local resolution
d03193bfe73392f56e1634c942a7400de1b589b201e21d20a21ba80e8ddc2389,2014-02,Greater Manchester Police,Greater Manchester Police,-2.317515,53.519613,On or near WEDGWOOD ROAD,E01005679,Salford 008D,Local resolution
d03193bfe73392f56e1634c942a7400de1b589b201e21d20a21ba80e8ddc2389,2014-02,Greater Manchester Police,Greater Manchester Police,-2.317515,53.519613,On or near WEDGWOOD ROAD,E01005679,Salford 008D,Local resolution
d03193bfe73392f56e1634c942a7400de1b589b201e21d20a21ba80e8ddc2389,2014-02,Greater Manchester Police,Greater Manchester Police,-2.317515,53.519613,On or near WEDGWOOD ROAD,E01005679,Salford 008D,Local resolution
53a21cf4cf0eb42cb154455608e33e7442f0b12db6371f4057c2704c529799e8,2014-02,Greater Manchester Police,Greater Manchester Police,-2.451133,53.588116,On or near BACK VICTORIA GROVE NORTH,E01004869,Bolton 015B,Suspect charged
e2f424249597a1f8cc709699ffc77d940037ab001b6cccb96b15d48246be6105,2014-02,Greater Manchester Police,Greater Manchester Police,-2.281506,53.541114,On or near CARISBROOK AVENUE,E01004971,Bury 022C,Suspect charged
43d8c77521062965e8bf2abd839360f051c699525fe668488b98f2a2b80f8f60,2014-02,Greater Manchester Police,Greater Manchester Police,-2.201407,53.515102,On or near KENNARD CLOSE,E01005223,Manchester 007A,Suspect charged
263a8cfcf1d3211598f7cba2b2c5a0b38c7c82f000e702dd5628a7168f7a8c1a,2014-02,Greater Manchester Police,Greater Manchester Police,-2.253653,53.496198,On or near RAMSGATE STREET,E01033674,Manchester 058C,Local resolution
c2719fe77ec2d516b92e5edc198dabbbc6c3b4ea8f7b04b477e03d6fe230aca0,2014-02,Greater Manchester Police,Greater Manchester Police,-2.199066,53.514369,On or near BRODICK STREET,E01005223,Manchester 007A,Suspect charged
0154e4f6098655b90656a05a9b8134942e395f7d7915492d6083e7b04d733454,2014-02,Greater Manchester Police,Greater Manchester Police,-2.445146,53.583419,On or near GRAFTON STREET,E01004870,Bolton 015C,Suspect charged
4f89b32d4d434ab56c710a9781c25dcf1b4de8157659f4509c7e68020a148f2e,2014-02,Greater Manchester Police,Greater Manchester Police,-2.426719,53.572961,On or near Petrol Station,E01004848,Bolton 016D,Suspect charged
20348668f9bcb91f5ea3696eb6aab1c3a3187da936cedfe3e64bd850d6b731f9,2014-02,Greater Manchester Police,Greater Manchester Police,-2.405453,53.559948,On or near MANCHESTER ROAD,E01004814,Bolton 027A,Suspect charged
c16c97791682a0396fa4b40bf7c55537c632b7228310ca295352c69c2f114857,2014-02,Greater Manchester Police,Greater Manchester Police,-2.628608,53.552646,On or near SCARISBRICK STREET,E01006370,Wigan 006A,Offender given a drugs possession warning
9e7bb10527de2ed0d7f1e32f692fdbbfe74c02f5a92ad7203b5094223fa3e2bd,2014-02,Greater Manchester Police,Greater Manchester Police,-2.027713,53.452242,On or near FURTHER LANE,E01006025,Tameside 027A,Suspect charged
a1b9105219c5b667f2aef3a32007081aea92c589499f6f8b0f57daff5d978555,2014-02,Greater Manchester Police,Greater Manchester Police,-2.027713,53.452242,On or near FURTHER LANE,E01006025,Tameside 027A,Suspect charged
