Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
35ce9608fc9cce38071a91565c64e440211c60e1fec314b44ae91868fecf668a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.738847,52.465524,On or near LOVEWELL ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
81402ceaee463c3561240590fb2bea0157c2795ec7ebc7f5af724d27a5900178,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.350276,51.960842,On or near STANLEY ROAD,E01030162,Suffolk Coastal 015A,Investigation complete; no suspect identified
d26d9fb3f3b1039b897e370e2e3e402a34cb69abf9607c87679caa02c49b1af9,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.123728,52.047490,On or near DAFFODIL CLOSE,E01029987,Ipswich 010D,Investigation complete; no suspect identified
5b04c34e60648959632bf942c8b342c2b7dc283c380be22c29c24c522ba68a55,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.440137,52.082261,On or near BROOK SERVICE ROAD,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
133f52ed7a935bb82bd96516791ca2f364a5dc0bd10d49ae90d2d1fa02f55313,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.140834,52.062810,On or near BEAUFORT STREET,E01030024,Ipswich 006C,Investigation complete; no suspect identified
01cbb3be9bdba8fa8497b9c86d86cc7cf0f193236144d2771c9843fe4b4a0133,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.758869,52.029030,On or near CAUSTONS CLOSE,E01029889,Babergh 008D,Investigation complete; no suspect identified
a6d2065e063d4c65da8297bfa54e23584e983fc0dbb5807dfe9ff837c224e382,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.403783,52.244287,On or near NEW CUT,E01029950,Forest Heath 008C,Investigation complete; no suspect identified
32a642e1d77181727c00446b3fa76da00bbd57945f19961fc6a1981260534a6c,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.179276,52.047712,On or near OSBORNE ROAD,E01029992,Ipswich 011D,Investigation complete; no suspect identified
0e2f958c285cb776266b76fc97353682f93b21e8d4dc2addb846957a42eac518,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.176861,52.065064,On or near Sports/Recreation Area,E01029997,Ipswich 004A,Investigation complete; no suspect identified
61bbb31e837a7fbb5f88bdde0cee1945547532bcfbdf14e64af1ca70702be556,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.149446,52.033827,On or near WHERSTEAD ROAD,E01029879,Babergh 005C,Investigation complete; no suspect identified
b87a02a2045ade96ae0762050e7ae63ea05db6039f89f72e262d6e45fa094dbd,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.932179,52.299822,On or near THE CAUSEWAY,E01030068,Mid Suffolk 002F,Investigation complete; no suspect identified
77879f2da357e626d813061eb900108411d10eb57910f6b157b4c62123c8ecf1,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.743495,52.466673,On or near Supermarket,E01030258,Waveney 007D,Investigation complete; no suspect identified
f5899b8fe7f0f72ea4725557025f222a78982a30067246b8aac3e55d2b0133d2,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.782684,52.233072,On or near Sports/Recreation Area,E01030138,St Edmundsbury 004C,Investigation complete; no suspect identified
251d40f4d6b267015644adbb2608310ced21b8c4538c59d611c528a1c3d32d7a,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.028621,52.266396,On or near MILL ROAD,E01030059,Mid Suffolk 005C,Investigation complete; no suspect identified
d334192c6a6527ab022cc0653fc326a28ffb5116b200d2454ceec2add4738341,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.151284,51.973302,On or near Theatre/Concert Hall,E01029897,Babergh 011D,Investigation complete; no suspect identified
ab4d878468161c119d23262663033f9d4970a4d00404f9ce84be9b0245880aa4,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.020562,51.979221,On or near QUINTONS ROAD,E01029883,Babergh 010D,Investigation complete; no suspect identified
5942e62a11d8dbb44a394bc2c1ae51c3c343c9476e551c66b500dd2be85a65db,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.726701,52.467662,On or near EDGERTON ROAD,E01030257,Waveney 008A,Investigation complete; no suspect identified
2c606dd8d4593452187b74c495f8eb2d0777d6080152df6f04ee8026035ce322,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.159937,52.055410,On or near EAGLE STREET,E01033125,Ipswich 007G,Investigation complete; no suspect identified
8ba20c0c3a36937d0f73b62f89b172543cc2eabcc82864d6f19234060b4f6368,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.713085,52.252535,On or near STATION HILL,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
db0618cdd38af340c7207ea0e1e4c0334300407d0660c3ff366adc81a1ef0ac0,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.318564,52.095810,On or near BEACONSFIELD ROAD,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
7f96952b0e155ded1b9c351b33389a19a3cb039054e8c8e4235b8cdea56440bb,2014-02,Suffolk Constabulary,Suffolk Constabulary,0.480442,52.307805,On or near BRIDGE END ROAD,E01033454,Forest Heath 005F,Investigation complete; no suspect identified
306fbab02d87cdfa619c3898ce786e3bab471d054268c721db181f7b6e26cf1b,2014-02,Suffolk Constabulary,Suffolk Constabulary,1.139327,52.060044,On or near VICTORIA STREET,E01030023,Ipswich 006B,Investigation complete; no suspect identified
