Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9638e392ed78bd3a89bf45c93e80ad743e0d3b6ece420016ae8be793b962e96,2014-02,Kent Police,Kent Police,,,No location,,,Suspect charged
74a3bba79363c04cb40db0979558c50f070a7d649a0d60b93d2de00a2677f835,2014-02,Kent Police,Kent Police,1.376992,51.214312,On or near WILSON AVENUE,E01024223,Dover 005C,Investigation complete; no suspect identified
b3df5f30d20a195a828a68a223b36306c3448c043d1920ace3d8f868b7c775e7,2014-02,Kent Police,Kent Police,0.994350,51.344606,On or near LUCERNE DRIVE,E01024108,Canterbury 009D,Investigation complete; no suspect identified
3258744f8f5077cbbcca20cc511b12438814d056288afda8a65e9d47def67a0c,2014-02,Kent Police,Kent Police,1.070611,51.285956,On or near PINE TREE AVENUE,E01024103,Canterbury 013E,Investigation complete; no suspect identified
5c04df60bbb3526e07c4a294b7a14809a3d38bebde8ac919e2a51f3ec5dc8b5f,2014-02,Kent Police,Kent Police,1.332335,51.376048,On or near SUDBURY PLACE,E01024716,Thanet 007E,Investigation complete; no suspect identified
35c98686a26d9876aca9d0229e070292cf187d9559f9efc055e1bf720c794933,2014-02,Kent Police,Kent Police,1.081943,51.075388,On or near QUARRY ROAD,E01024523,Shepway 008A,Investigation complete; no suspect identified
6e2daa7a2dd7f7e790dd2153615508829c4d2d43556a3452028bd39cd729cbbb,2014-02,Kent Police,Kent Police,1.300736,51.129741,On or near ODO ROAD,E01024248,Dover 011H,Investigation complete; no suspect identified
b41c18614d15d0f86dee61019168c8a6839cfde3e9ce44456e6aad33789aaf37,2014-02,Kent Police,Kent Police,1.332335,51.376048,On or near SUDBURY PLACE,E01024716,Thanet 007E,Investigation complete; no suspect identified
a983e3a503681cf36657bc45977e766553bc2d841ff049b06015be5d0e1e2202,2014-02,Kent Police,Kent Police,1.386633,51.221364,On or near ORCHARD AVENUE,E01024217,Dover 005B,Investigation complete; no suspect identified
bf51ddb4653e88374d29d80ff41884b8d1a4e1a6a85cc3fe8dcb60d3423876fd,2014-02,Kent Police,Kent Police,1.155657,51.204179,On or near HEATHFIELD WAY,E01024043,Canterbury 018B,Investigation complete; no suspect identified
178f6a5118671b0963978ff1c201ad3fe7fc47692190cfa1fb13f8b05ce1bdc0,2014-02,Kent Police,Kent Police,1.397525,51.347278,On or near CHICHESTER ROAD,E01024683,Thanet 013B,Investigation complete; no suspect identified
18d07122dde310915e37962c1bdd486dc8b8364eb1f41c1e8fc57f61a2b17e8e,2014-02,Kent Police,Kent Police,0.755779,51.011673,On or near TOP ROAD,E01023997,Ashford 014A,Investigation complete; no suspect identified
b19c047f7fb3919d0696c46652c8b2e91d7af2c54f6acd72a152c1ef0ab76cde,2014-02,Kent Police,Kent Police,1.311978,51.123225,On or near ADRIAN STREET,E01024249,Dover 013E,Investigation complete; no suspect identified
b149fbfa838a2cd520f783a22503d9b03a36f7ce4001a544667d25dd11354be0,2014-02,Kent Police,Kent Police,0.917029,51.135676,On or near SUMMERHILL PARK,E01024004,Ashford 006E,Investigation complete; no suspect identified
f0c77d7df1a541c0adcae7a09e0f817a94b743901eef8f981fe96f48e2331bdb,2014-02,Kent Police,Kent Police,0.917029,51.135676,On or near SUMMERHILL PARK,E01024004,Ashford 006E,Investigation complete; no suspect identified
fe8a1bd2eb670856cc057edbca8e08a99fce37f9f10a88a0e005ce03c0ebe3c6,2014-02,Kent Police,Kent Police,0.705140,51.067812,On or near WILLIAM JUDGE CLOSE,E01024026,Ashford 014C,Investigation complete; no suspect identified
9281c51b892c72e7c42fcc7e58cc9f93b1a3e462a404648b1c55186d769c2523,2014-02,Kent Police,Kent Police,1.023946,51.359163,On or near Supermarket,E01024070,Canterbury 008C,Investigation complete; no suspect identified
8c3ed8bf0edbcb3dfefc4a2ec0b8ac708a024dc06c6a5a1a6ec2232657963ffa,2014-02,Kent Police,Kent Police,1.033804,51.348115,On or near ST PATRICK'S CLOSE,E01024061,Canterbury 007B,Investigation complete; no suspect identified
290ff67d3157cb32cf74d45a94a85a7aaab637c3315187f821311df549e353ff,2014-02,Kent Police,Kent Police,1.417715,51.355497,On or near BRIDLEWAY GARDENS,E01024690,Thanet 011D,Investigation complete; no suspect identified
5c000d5b4d807d073b2d1eaae0b3d4beccffc6d922279d4af1a327a336ddb478,2014-02,Kent Police,Kent Police,1.107844,51.159676,On or near Sports/Recreation Area,E01024490,Shepway 001A,Investigation complete; no suspect identified
b0a671aa9ef921dba0d010252bb49f4677ac614b0be7be66663b92abfd01aa02,2014-02,Kent Police,Kent Police,1.417715,51.355497,On or near BRIDLEWAY GARDENS,E01024690,Thanet 011D,Investigation complete; no suspect identified
752ee8b7f6d34688b5676c6f40b489d741517df95c21c9c36b2f56525827c14d,2014-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b42cc7deb00b4963f2f554e55d024a9e942977c00f084d27369a80c4e656aefc,2014-02,Kent Police,Kent Police,0.868381,51.136647,On or near NORMAN ROAD,E01024002,Ashford 005B,Investigation complete; no suspect identified
0acd6905c47df9357b4f87103311f892ae0471be4934244a5fb0fa06a2151c29,2014-02,Kent Police,Kent Police,1.430277,51.344434,On or near MONTEFIORE AVENUE,E01024700,Thanet 012D,Investigation complete; no suspect identified
aeac5ecd2ef3014cdaeda76b6a6fa56f3e38eb2b7d8fd7c2a5396e537b45ac43,2014-02,Kent Police,Kent Police,0.834320,51.143765,On or near THE PADDOCKS,E01032814,Ashford 012F,Investigation complete; no suspect identified
c6a2d7cfc0d025bdee3fe94ef669ec923ec216f23f1c4b225ee00b82586e80a5,2014-02,Kent Police,Kent Police,0.877539,51.146190,On or near TANNERY LANE,E01024027,Ashford 005D,Investigation complete; no suspect identified
de53d99238f1eee5ce568be104dedc39d9a3893676e12e99d1381f5ee6823db1,2014-02,Kent Police,Kent Police,1.121393,51.299561,On or near Supermarket,E01024113,Canterbury 011E,Investigation complete; no suspect identified
db29550676cd71960135713d9f8f7a6b393363af8fddcc6fe731c13f7cf5c65d,2014-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a542f8fd78bd29a8222b455a896bd5b8710ff45db6d9ff8073ea5c71df8baddd,2014-02,Kent Police,Kent Police,1.382534,51.387480,On or near CECIL STREET,E01024676,Thanet 003A,Investigation complete; no suspect identified
50b7483ec30c8546311ee8ff07cde37634e9cc325f4ea38e0baeb332fe004c2c,2014-02,Kent Police,Kent Police,1.387818,51.387201,On or near VICTORIA ROAD,E01024661,Thanet 004A,Investigation complete; no suspect identified
aafef28a0261b2d16df9f9fb45f75cddd4a3703e8e9f6b7c249ea542f1b498cd,2014-02,Kent Police,Kent Police,1.177264,51.077664,On or near LONGFORD WAY,E01033215,Shepway 014D,Investigation complete; no suspect identified
804ac784c088d798ca83b174426240e3f33b4ca90b6ce0a7091159b5601185d6,2014-02,Kent Police,Kent Police,0.686935,51.087210,On or near SHOREHAM LANE,E01024011,Ashford 013C,Investigation complete; no suspect identified
7e05a9b1eafc63491571d3687b040472e94d225bd53b951dbfaa6a2cb6f1068c,2014-02,Kent Police,Kent Police,1.090625,51.280905,On or near EDGAR ROAD,E01024048,Canterbury 016D,Investigation complete; no suspect identified
797e1eacceffec2e8ebe1eab3fe2d9019fdfaa2da20c7361d2ecdc6a3d3a1aca,2014-02,Kent Police,Kent Police,1.172888,51.081111,On or near SHORNCLIFFE ROAD,E01024508,Shepway 015A,Investigation complete; no suspect identified
96684b0982a4e07a0f86dd3967268d5b79b74c3864e2c75c088d57231a7f181b,2014-02,Kent Police,Kent Police,1.426316,51.373910,On or near MOCKETT DRIVE,E01024633,Thanet 006A,Investigation complete; no suspect identified
7e32781eb8e1171824af24e4b573d6b9d20c7e1939ff86b6debcc5686a8acaa8,2014-02,Kent Police,Kent Police,1.259145,51.208760,On or near ST JOHNS ROAD,E01024204,Dover 006D,Investigation complete; no suspect identified
5e8bfda661b6fedddd0152493dda4f92b5f1d71124f03dc48282c9d75e1ab052,2014-02,Kent Police,Kent Police,0.694006,51.159180,On or near LEWD LANE,E01024036,Ashford 011D,Investigation complete; no suspect identified
