Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7c8c4a77f3af645ef8a406ccdb2dc3bcc876cfba81996e392be67d83b5f2e981,2014-02,Surrey Police,Surrey Police,-0.247706,51.329051,On or near KILCORRAL CLOSE,E01030382,Epsom and Ewell 010A,Investigation complete; no suspect identified
e4f72689288babb1ed271933757dec43e05ded00521f7eaff541e45cd256866b,2014-02,Surrey Police,Surrey Police,-0.248366,51.342622,On or near BEECH WALK,E01030392,Epsom and Ewell 010C,Investigation complete; no suspect identified
fc3552bb26fc2f40b91d8b61c4bd57011a1931ec117db5e261886dba6d5fd107,2014-02,Surrey Police,Surrey Police,-0.253786,51.342819,On or near HESSLE GROVE,E01030391,Epsom and Ewell 007B,Investigation complete; no suspect identified
b12f20bff03beabbcfc3243dab447a34e5be4a0ddcdaa49a9692038bb28b71f6,2014-02,Surrey Police,Surrey Police,-0.236281,51.346613,On or near QUEENSMEAD AVENUE,E01032624,Epsom and Ewell 010F,Investigation complete; no suspect identified
fae174778e2bada5451ea8a4d8e38b1ea61bcec6c5d9e5e6f36ece25e4b9ebe9,2014-02,Surrey Police,Surrey Police,-0.246317,51.362815,On or near STONELEIGH BROADWAY,E01030406,Epsom and Ewell 003C,Investigation complete; no suspect identified
c7878dc69b6ddd3b2e62c47240adaf78dfcff5eaa81d3b1ca97ad07f9e551d74,2014-02,Surrey Police,Surrey Police,-0.241009,51.364139,On or near BRADSTOCK ROAD,E01030408,Epsom and Ewell 003E,Investigation complete; no suspect identified
2c745f0e1d5bedf88909b602284bb1e17626845d7b8782a66f8584b8c0d91a8b,2014-02,Surrey Police,Surrey Police,-0.243588,51.359429,On or near RUTHERWYKE CLOSE,E01030407,Epsom and Ewell 003D,Investigation complete; no suspect identified
2c0349fcaa4cc5f8a345f00120f1f933d62f25d30e0fabb3c5a8d32ac3833ff6,2014-02,Surrey Police,Surrey Police,-0.263531,51.368000,On or near Supermarket,E01030393,Epsom and Ewell 001E,Investigation complete; no suspect identified
ef63bb0c351fc05196f7975e0a96f1591c8fdb49b0b1cb69dca6167047d24a1b,2014-02,Surrey Police,Surrey Police,-0.255599,51.363502,On or near FIRSWOOD AVENUE,E01030377,Epsom and Ewell 003A,Investigation complete; no suspect identified
7c8cd55d7672b1093d905dbf677ffa386e65f9a5215dd8753346ee33017d5932,2014-02,Surrey Police,Surrey Police,-0.261519,51.366135,On or near KINGSTON ROAD,E01030395,Epsom and Ewell 004A,Investigation complete; no suspect identified
d8bc97e0be04aa0f7d454b344ed23387a3cbce9b36f4c2a5a28a39dbb14e427a,2014-02,Surrey Police,Surrey Police,-0.246385,51.378347,On or near AVON CLOSE,E01030389,Epsom and Ewell 001D,Investigation complete; no suspect identified
39c1dc245050517b15d9da5fed38f14c724764ab5719dfb44e1d8f2da97ad85c,2014-02,Surrey Police,Surrey Police,-0.258041,51.364654,On or near MOORMEAD DRIVE,E01030377,Epsom and Ewell 003A,Investigation complete; no suspect identified
09c5f893867ef418d6fc124641339e278b958b0e4201702cb89db454cfd131ae,2014-02,Surrey Police,Surrey Police,-0.284439,51.359792,On or near COLLIER CLOSE,E01030401,Epsom and Ewell 005C,Investigation complete; no suspect identified
c24cd5fe88826a60b206087d113998883eb9c7a1ce42f38b6745f8b2b518ec24,2014-02,Surrey Police,Surrey Police,-0.281012,51.360794,On or near Petrol Station,E01030401,Epsom and Ewell 005C,Investigation complete; no suspect identified
0af208bed5550b44f43d9b203c958e2eac23a51229d791b9f5682489aa61e195,2014-02,Surrey Police,Surrey Police,-0.273182,51.364644,On or near SCOTT CLOSE,E01030399,Epsom and Ewell 002B,Investigation complete; no suspect identified
91d16254029e582d6658f75cb4f298dd97b50be80c659035333d4a54a1cd99ba,2014-02,Surrey Police,Surrey Police,-0.275930,51.367221,On or near HOGSMILL WAY,E01030400,Epsom and Ewell 002C,Investigation complete; no suspect identified
f33f15ab0371e1436283187988a3ab913ccf3e8674434230d082f1e1897b6912,2014-02,Surrey Police,Surrey Police,-0.264181,51.327623,On or near WORPLE ROAD,E01030411,Epsom and Ewell 008B,Investigation complete; no suspect identified
c8f3895726004b25ad2a55951555b09e1951c5efbc64330cf85044a5cc9043ff,2014-02,Surrey Police,Surrey Police,-0.262201,51.326461,On or near DOWNS HILL ROAD,E01030381,Epsom and Ewell 008A,Investigation complete; no suspect identified
