Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c439fe48c1814596f6564ebc85eea77a0c4b84cbc1036670b79adb4fba6feba1,2013-07,Dorset Police,Dorset Police,,,No location,,,Suspect charged
384533cdfb0e4d980bf84a1cc3f2f5391f49156b4233b7b5542182ccab92f3ef,2013-07,Dorset Police,Dorset Police,-1.743131,50.739388,On or near WILVERLEY ROAD,E01020347,Christchurch 005B,Investigation complete; no suspect identified
50e7a694148c98ff4eedbc6d75682414d06d0ddd90a213966dd045a4b42943dc,2013-07,Dorset Police,Dorset Police,-1.955686,50.607450,On or near MARSHALL ROW,E01020481,Purbeck 006D,Investigation complete; no suspect identified
8e721ab2e293e171bbbc160a129c0a20152cf16e75c2c1e6863191d74ebfcb1f,2013-07,Dorset Police,Dorset Police,-2.351280,50.632072,On or near FISHERS PLACE,E01020537,West Dorset 011B,Investigation complete; no suspect identified
35b229ffb045cd4b2ce852e96eaa43f7ae3af53e5edaca7aec064cfa5148ce3b,2013-07,Dorset Police,Dorset Police,-1.789845,50.732134,On or near WENTWORTH DRIVE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
b2196de7be6bc8fb5914de65bff7a81479d1169e583b563024313dc8b2af853d,2013-07,Dorset Police,Dorset Police,-2.740685,50.808601,On or near CHURCH STREET,E01020496,West Dorset 003C,Investigation complete; no suspect identified
a08dfa1fa4de096c222b56865fbba14fb92981bf6e056abc053cbada24a102c8,2013-07,Dorset Police,Dorset Police,-1.774774,50.730946,On or near Ferry Terminal,E01020367,Christchurch 006D,Investigation complete; no suspect identified
3b8a2867013d1a8fca903ef9271b7cc631aee4e042a514411034d69de7662f48,2013-07,Dorset Police,Dorset Police,-1.977360,50.795377,On or near MARKET WAY,E01020429,East Dorset 010D,Investigation complete; no suspect identified
b6756ea11948fde17b4379d5cdbb975192dbbdd4185a6637cd2a3cb8d35f593f,2013-07,Dorset Police,Dorset Police,-2.481102,50.614998,On or near Hospital,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
f58a515dd4e3a68f8474e6ab48dae9daa2f321a433a02b3f4e7f798773107203,2013-07,Dorset Police,Dorset Police,-2.512027,50.949816,On or near NEWLAND GARDEN,E01020544,West Dorset 001C,Investigation complete; no suspect identified
477291e8ed7cb27d79353939f179a43583d7e37fc7fd4fb21041bb12064c64f3,2013-07,Dorset Police,Dorset Police,-2.623091,50.672446,On or near Parking Area,E01020512,West Dorset 012A,Investigation complete; no suspect identified
e411907d953f29f43b554d1569bbc98256e2ce3ebdee86ed75b08a5da91ebab3,2013-07,Dorset Police,Dorset Police,-2.460714,50.596969,On or near OLD CASTLE ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
7efb4fa15b11020a6cf2e8f49e3dfe290ab7080716813d902bb0f00bba6764a1,2013-07,Dorset Police,Dorset Police,-2.758686,50.728225,On or near DOCTOR ROBERTS CLOSE,E01020502,West Dorset 008A,Investigation complete; no suspect identified
0e8f9c3481e65363baf4c39cad56ad491cbf47f5b7471ec7513d3b540864375a,2013-07,Dorset Police,Dorset Police,-2.508146,50.950291,On or near KNOTTS PADDOCK,E01020542,West Dorset 001A,Investigation complete; no suspect identified
ab65269779dcefdcf63ae2cf09dae24939e14891d9e76015497e6a091481c21f,2013-07,Dorset Police,Dorset Police,-2.444533,50.541150,On or near Supermarket,E01020565,Weymouth and Portland 009C,Investigation complete; no suspect identified
fde21708b5d8755e6549fddbdb0f1de01e30c59a6fcd1a6c044826f76c3ed9c3,2013-07,Dorset Police,Dorset Police,-2.900450,50.739033,On or near THE STREET,E01020511,West Dorset 005A,Investigation complete; no suspect identified
11f1236dd6363db56b5f1a54ceb7290a2b6161ce9cdb660cd2d49f84278ea536,2013-07,Dorset Police,Dorset Police,-2.436569,50.636811,On or near BODKIN LANE,E01020557,Weymouth and Portland 002A,Investigation complete; no suspect identified
ab0cc6272bbb8f58b1b7f40e1cae8d89ea8b51819fb8da0cc78985a846d517bc,2013-07,Dorset Police,Dorset Police,-2.656571,50.694556,On or near LYTTON CLOSE,E01020507,West Dorset 007A,Investigation complete; no suspect identified
4ed6102fc909227ed39c057601e8256f229d507493422e2caecb263c7982c64c,2013-07,Dorset Police,Dorset Police,-2.188585,51.003005,On or near SALISBURY ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
127cc7a17d6b76943c214070a9106995ada321457aecc0bfa6c9428e9b0aa774,2013-07,Dorset Police,Dorset Police,-1.958653,50.900683,On or near Park/Open Space,E01020389,East Dorset 001C,Investigation complete; no suspect identified
a9c8ea8526eea9e95edd7f11d3801e7b2a05b5447ddcf99155ddbf19ddda7a33,2013-07,Dorset Police,Dorset Police,-2.897198,50.738698,On or near BRIDGE ROAD,E01020511,West Dorset 005A,Investigation complete; no suspect identified
447ecfa93f5634dede8ed4695d76ecc112878aa3baa0f6817ba40adbd0fc705d,2013-07,Dorset Police,Dorset Police,-1.869625,50.806376,On or near MEDWAY ROAD,E01020393,East Dorset 008D,Investigation complete; no suspect identified
eae4692f54038b543e077a7b9fa43b662d024653720b7b0ff0a21a72f775cb8f,2013-07,Dorset Police,Dorset Police,-2.046806,50.746108,On or near RANDALLS HILL,E01020474,Purbeck 002D,Investigation complete; no suspect identified
e9b866001edb0ad149f68b20dd977949402e4bd9e943cf83ffad9d83b67a3d4d,2013-07,Dorset Police,Dorset Police,-1.761240,50.734354,On or near PALMERSTON AVENUE,E01020364,Christchurch 006C,Investigation complete; no suspect identified
