Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b4157ff214b3bc72d8692c0e4e5c14b5479c3a3a4216b4707035694e4610fdd0,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.285843,53.743186,On or near Park/Open Space,E01025362,Rossendale 001C,Investigation complete; no suspect identified
eb0dbe11cadfbbfd066e2ee8a0282fcc8341bae98f354e0b9f01215ab7b1ba7d,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283244,53.735561,On or near GREENFOLD DRIVE,E01025362,Rossendale 001C,Investigation complete; no suspect identified
ac89532d398721acf37decbfc8d8567d8a51d9791d60356029bc255a187093e1,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.288283,53.740852,On or near COMMERCIAL STREET,E01025362,Rossendale 001C,Investigation complete; no suspect identified
6b4d95e778302bec94ef5c0382c55e89b85c2b0bb36f2862273eae5555da9f4a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.288283,53.740852,On or near COMMERCIAL STREET,E01025362,Rossendale 001C,Investigation complete; no suspect identified
7b419ebd7b66ab5456a2e668cacc53653419c7909c63b8564df5956e3765d250,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.286644,53.729459,On or near SPRING STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
8d3bfaadc821e7ac99527e8a39fa2f814b3c8062191895c93129b647019b877a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287081,53.724632,On or near BINNS STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
b257a2b6235c3a92ca6be130597e58aef50fe51962ff9ac40cea76ae84ea6959,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.286467,53.730170,On or near CHURCH STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
540be2a91cc5d45e2705039d6d59a67623672fb18307a2e9c9de72fb44dbb4a5,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287087,53.727696,On or near TURTON HOLLOW ROAD,E01025361,Rossendale 001B,Investigation complete; no suspect identified
0e959770995746a1e4a6b5d04abea88f34a98b64750e87bf9a40b4b748ae3fe4,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.285122,53.724115,On or near CLARENCE STREET,E01025361,Rossendale 001B,Investigation complete; no suspect identified
56563a775bcab35dbe1d9dde8112a16c61004182a401a27d9443dad3cc27c881,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.286726,53.732605,On or near MIDDLEGATE GREEN,E01025362,Rossendale 001C,Investigation complete; no suspect identified
f51d340fadb4dad352126389b70979d154cedb687a93293f466f97b03ca1d5ff,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.335090,53.691808,On or near SNOWDROP CLOSE,E01025380,Rossendale 007D,Investigation complete; no suspect identified
b2830af04ba7f4cf255c149de0c5ca67acc5c0bc8f043b34c35a5dbb779ddc75,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.327648,53.689033,On or near MUSDEN AVENUE,E01025380,Rossendale 007D,Investigation complete; no suspect identified
b833b5380d795230567b11aad73d85045aaa5c4d4e9c218ac049176a6b1ca6d0,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.327055,53.690725,On or near RAVEN PARK,E01025379,Rossendale 007C,Investigation complete; no suspect identified
cd65b37af1ddfe101608bdb54301078682d78c1312d6f42c23c559dd370ccb22,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.326559,53.685297,On or near CHERRY TREE WAY,E01025377,Rossendale 007A,Investigation complete; no suspect identified
5ca55fa4037a7c3abcdd1718ad3402193f126d00822a8a46aaa2624a23374785,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.327648,53.689033,On or near MUSDEN AVENUE,E01025380,Rossendale 007D,Investigation complete; no suspect identified
122626aabd43faa80e70c08a96b8ff475621d6fd584d471a465280c8272fbf59,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.328066,53.694155,On or near HELMCROFT,E01025379,Rossendale 007C,Investigation complete; no suspect identified
4b94bb012d38425fd91e97c37e8a52d05bd08fffed220ac0953a6ce38df05b7f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.314355,53.691388,On or near GRASMERE ROAD,E01025365,Rossendale 008C,Investigation complete; no suspect identified
37819e6a5f9b242697b18267723700600ef3a8b300bd2b0f9fa216c5f64e0283,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.328122,53.695458,On or near MAYFIELD AVENUE,E01025363,Rossendale 002A,Investigation complete; no suspect identified
8766c6c835f0bfddb7da6c951e0859ce37b54e7fecdd9dc01a221dede2e17b73,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.318402,53.691836,On or near BROADWAY,E01025365,Rossendale 008C,Investigation complete; no suspect identified
a4640cb11a420edad89a819825b1286a83cc8bfd1c237b5e0315e92fd1407e18,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.321802,53.698828,On or near WHITECROFT CLOSE,E01025364,Rossendale 002B,Investigation complete; no suspect identified
4beff2f6d273844a51a36b80443a0b41eea8bcf4670aff56a85121c731c7cb09,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.318554,53.701947,On or near LANGWOOD COURT,E01025366,Rossendale 002C,Investigation complete; no suspect identified
e1823c6470f4201c76f26890628f5e43f60c2d37210c88d6cb310cd5a41529c3,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.323160,53.704047,On or near PARK STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
1027847c04b5e1744316c655ddadde8cd6b377dd02af5787cb797437838b662c,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.320242,53.694869,On or near POWYS CLOSE,E01025364,Rossendale 002B,Investigation complete; no suspect identified
352550c59f7d68befc03236fa893f6b2ac7bb143c13ab6cf2ee0883c77a357d9,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.321221,53.702146,On or near HOPE STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
458e971f88b189abe36db7014b64b3a0e7032d6d3bde0145ea2b6f6d369d503b,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
30d1f3e792777c4126bce4d5b815fea021db497a53f9580c637848a3a0915bee,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.321424,53.694964,On or near BEAUMARIS CLOSE,E01025364,Rossendale 002B,Investigation complete; no suspect identified
01883176e6fd79127c4207e30b83e79c743fe67899de12e0631b511ddcb465eb,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
d82675ac54a748baa453768cc3ee72c8f0afec0c274bad624267454f80f7b48c,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
fd34b91f696e45479b7ad0f59bff338a9d35a5ea37bf43d949c4bacee0058c90,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.320915,53.701743,On or near BANK MILL STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
b669f0779802440e2afebb3fbe8d02d2ff02394fb73d7dee5d8f79109be2014d,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.316008,53.695707,On or near RAWTENSTALL ROAD,E01025365,Rossendale 008C,Investigation complete; no suspect identified
b3c9cb147d56e46cc9ec69523270eeaecde7ee2cb2eff2d354dce0d1427d5d57,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.315352,53.703250,On or near LIME ROAD,E01025366,Rossendale 002C,Investigation complete; no suspect identified
e54e9a8453e8f906e760ff22a3b4a8ae2f9e72de54a5ac9e4faef5e112dd5fb7,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.316645,53.693863,On or near Supermarket,E01025365,Rossendale 008C,Investigation complete; no suspect identified
ba9d2e6d6a1868f6fae67e62ce68ac0f0bd94ee7c3ca2f37e317fd8280813544,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.321893,53.702837,On or near PRINCESS STREET,E01025366,Rossendale 002C,Investigation complete; no suspect identified
85f866c2832e54435c41288a7ca60f216e70a6307c8a76461cf3c0bb37b771f8,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.326838,53.701763,On or near RYEFIELD AVENUE WEST,E01025363,Rossendale 002A,Investigation complete; no suspect identified
1cccdfbc86ab2a1bad515de8634b3f970ab05d019d18db1586aed1d42183d5c2,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.322696,53.704857,On or near BURY ROAD,E01025396,Rossendale 002E,Investigation complete; no suspect identified
65d10219e842ad74c00af6d5bfa2b25de906bdcbb8ada34b5a956dee960442fa,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.325476,53.705811,On or near DEARDENGATE,E01025397,Rossendale 002F,Investigation complete; no suspect identified
699fc9757fdab62cee00a870f2aac26089c86204139d6ca0dec2f159a0cb75bf,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.323111,53.707633,On or near DERWENT CLOSE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
13eb687166bbdb4faf11096fb755ea3d939b63920f9d876498662c993df39d0c,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.325979,53.704327,On or near DEARDENGATE,E01025397,Rossendale 002F,Investigation complete; no suspect identified
f25972aae8ae34935400f5d3ebb933b249f78ae5df1a6ad88ded08e764af7e22,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.323111,53.707633,On or near DERWENT CLOSE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
1b2fac6fb1e3d13f07579cfb5ff6e1c2aceb3a8a25bf03a87279f309acf3ad68,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.322696,53.704857,On or near BURY ROAD,E01025396,Rossendale 002E,Investigation complete; no suspect identified
