Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21b4d7bb67e140ebbf7e6c481dd732cd8476fa2972f9b18861772b3fda7221bd,2013-07,Essex Police,Essex Police,0.411296,51.891968,On or near Sports/Recreation Area,E01022088,Uttlesford 008E,Investigation complete; no suspect identified
7e7d1f205eed77ba0b85d4701fd519b3d9368420678c4c42b81bb5accb84f4de,2013-07,Essex Police,Essex Police,0.600350,51.640933,On or near CELEBORN STREET,E01021606,Chelmsford 020B,Investigation complete; no suspect identified
94e911eae75fdc366653f00ac0d9f50ef23354a0f044262f5ee658b991291a75,2013-07,Essex Police,Essex Police,0.909067,51.888965,On or near ST AUGUSTINE MEWS,E01021648,Colchester 007C,Investigation complete; no suspect identified
9636543f7a97ea2871a94ced053bc813ad7506b4efe699332521da00d81d1820,2013-07,Essex Police,Essex Police,0.105096,51.751557,On or near THE BRIARS,E01021861,Harlow 010E,Investigation complete; no suspect identified
68743ab50b7a87e527694e4203f4278f03c2ecb32b99000e5eba5a66fee42784,2013-07,Essex Police,Essex Police,0.902706,51.887692,On or near VINEYARD STREET,E01021649,Colchester 007D,Investigation complete; no suspect identified
0a169f46da25a6ddaf3711e01ac5af4e008ce67bc0559041a2bca2ab417239bb,2013-07,Essex Police,Essex Police,0.919206,51.898508,On or near SUFFOLK CLOSE,E01021702,Colchester 022D,Investigation complete; no suspect identified
2c936acb338f0b028fbe95abc203f434dc2074506cadb87e209c036f12c6239e,2013-07,Essex Police,Essex Police,0.738806,51.530516,On or near BRYANT AVENUE,E01015891,Southend-on-Sea 016C,Investigation complete; no suspect identified
b08c6ebd2b3dd5078d8b839c65ca2df77c8c2bf505de6da4c882515b209ee6b6,2013-07,Essex Police,Essex Police,0.319609,51.474150,On or near COLUMBIA WHARF ROAD,E01015953,Thurrock 017C,Investigation complete; no suspect identified
a02ac027466a21ad3b645f6278c6a5c704671533339e84155f07fcf52ffed19a,2013-07,Essex Police,Essex Police,0.365849,51.510035,On or near Hospital,E01015977,Thurrock 004A,Investigation complete; no suspect identified
b40bf3636d171765e254ec0328681929aa20f68ca12e7a68859069f4e1aaac17,2013-07,Essex Police,Essex Police,1.150608,51.788761,On or near JACKSON ROAD,E01022025,Tendring 016B,Investigation complete; no suspect identified
68e3a640d56765c0a59f260ef6a7c1c322db442b4646cf59d78cbcecd48347f7,2013-07,Essex Police,Essex Police,0.713214,51.535158,On or near Nightclub,E01015852,Southend-on-Sea 015B,Investigation complete; no suspect identified
e1c29252290fb1f4abc8f5ff586497d7071923c7df238bb380a0dd6275aad01f,2013-07,Essex Police,Essex Police,0.291069,51.635506,On or near Supermarket,E01021461,Brentwood 004D,Investigation complete; no suspect identified
a811122e9ce73d145bfca79bb7572eea3869e875794102587dcbd4dc76f5c60a,2013-07,Essex Police,Essex Police,0.310608,51.612479,On or near HARTSWOOD CLOSE,E01021474,Brentwood 008E,Investigation complete; no suspect identified
eeb4333429577b17cbe929165c2bcfa0f0e17773a52596408393ff9c5ddf68ba,2013-07,Essex Police,Essex Police,0.249818,51.507103,On or near SWALE CLOSE,E01015924,Thurrock 008C,Investigation complete; no suspect identified
