Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5f53fd56e974b485565202f359e4b4544949efb05f4d21885c0defefa24feae2,2013-07,Greater Manchester Police,Greater Manchester Police,-2.262748,53.389854,On or near NEWHEY AVENUE,E01005087,Manchester 050A,Investigation complete; no suspect identified
06f6ce84c94dcdb98e4fe4d0d4d8c5a94928be72ef29bd0a3071ab215a8afd8d,2013-07,Greater Manchester Police,Greater Manchester Police,-2.249003,53.446026,On or near SPRING BRIDGE ROAD,E01005179,Manchester 030B,Investigation complete; no suspect identified
6cd6528e9a62337555cc6489c1edf5cb8e8a16b810bf7c713d1eb425c9584c6a,2013-07,Greater Manchester Police,Greater Manchester Police,-2.277697,53.445603,On or near Petrol Station,E01005159,Manchester 029D,Investigation complete; no suspect identified
3040e40d32da931089fab8c41d5dc1d90d9a7d2a765194e4dba4c30a9a6c41e6,2013-07,Greater Manchester Police,Greater Manchester Police,-2.281618,53.442061,On or near MANCHESTER ROAD,E01005150,Manchester 029A,Investigation complete; no suspect identified
a8ee31f26b0cc8b73be6a4f08659c279dd820411fb26bdba38224832990f4fdf,2013-07,Greater Manchester Police,Greater Manchester Police,-2.233038,53.436898,On or near DENNISON AVENUE,E01005270,Manchester 035A,Investigation complete; no suspect identified
7c568e8935c1fb0eeb498fd964c63b6d64dbf643f0a11f01653826b8eaa71674,2013-07,Greater Manchester Police,Greater Manchester Police,-2.199898,53.428446,On or near WESTDEAN CRESCENT,E01005119,Manchester 041A,Investigation complete; no suspect identified
b9ca159a1aa9d01db9f154cdaea0f27691cd4d0de79e229c3979c88176afc8f7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.281719,53.386772,On or near TAMAR DRIVE,E01005074,Manchester 051C,Investigation complete; no suspect identified
276a62bdc054ca60fcf2ed4f6d755050cbeb13951c0fb878924d05beb613dc44,2013-07,Greater Manchester Police,Greater Manchester Police,-2.251494,53.467656,On or near THE SANCTUARY,E01005214,Manchester 019D,Investigation complete; no suspect identified
a448d1298bb245a5dc99e233bd2684c9c9e4eb0e7e4b27c74c7579e622dfa669,2013-07,Greater Manchester Police,Greater Manchester Police,-2.254240,53.385189,On or near MELVIN AVENUE,E01005289,Manchester 049D,Investigation complete; no suspect identified
ba78d03b60ac33c561b7b9ecc629d401f378a5cf6dfd9806c26b634d66d33d4a,2013-07,Greater Manchester Police,Greater Manchester Police,-2.244751,53.377011,On or near LOMOND ROAD,E01005294,Manchester 052D,Investigation complete; no suspect identified
