Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fdbfc9940b16166f691b42c18502bbf7a78f9170271ddf2407dca89489f61319,2013-07,Northamptonshire Police,Northamptonshire Police,-1.144732,52.028766,On or near DOVEHOUSE CLOSE,E01027264,South Northamptonshire 010A,Local resolution
63c489aab0b42bfe9352ec6068af4a36c2cc7c70ea8c3d4ab5971bb20fe51da5,2013-07,Northamptonshire Police,Northamptonshire Police,-0.890575,52.239201,On or near ABINGTON STREET,E01027223,Northampton 025A,Investigation complete; no suspect identified
9eec147c0044f11662857de85b9563f7d06c67603f475f6f58aa0d538ca0a776,2013-07,Northamptonshire Police,Northamptonshire Police,-0.861233,52.278409,On or near RUTLAND WALK,E01027221,Northampton 002C,Investigation complete; no suspect identified
b9581a83bf4be7bca966a396de5c65d15ed31ea7633dff34e33b6489fc4b1396,2013-07,Northamptonshire Police,Northamptonshire Police,-0.866830,52.259546,On or near GREENFIELD ROAD,E01027172,Northampton 006B,Investigation complete; no suspect identified
0053c2b0b0aeedc6c3763a65105797e15a7436763d0e436cbe04b261ef4b6a17,2013-07,Northamptonshire Police,Northamptonshire Police,-1.156706,52.029949,On or near WESTHILL GARDENS,E01027268,South Northamptonshire 010C,Investigation complete; no suspect identified
41c9a170cb229f6b073ffe832bd335341138996cdbdaaa92dd99122719f9a133,2013-07,Northamptonshire Police,Northamptonshire Police,-0.892473,52.244146,On or near CRAVEN STREET,E01027155,Northampton 023A,Investigation complete; no suspect identified
ea4daa53021e4dd59656abfa0945c15e93b92e916a8401c7d90c0f83204662c8,2013-07,Northamptonshire Police,Northamptonshire Police,-0.720742,52.403335,On or near TRESHAM STREET,E01027106,Kettering 006B,Investigation complete; no suspect identified
41d381f39689b8166f35dfbd1ef543cd1eee14e2f15abc2737671113a0a32712,2013-07,Northamptonshire Police,Northamptonshire Police,-0.593206,52.306773,On or near Parking Area,E01033245,East Northamptonshire 007F,Investigation complete; no suspect identified
867414c4445e42484046338ffc06f0627fb8491d3501dccd76f8334c33ea13ba,2013-07,Northamptonshire Police,Northamptonshire Police,-0.925178,52.229020,On or near CISSBURY ROAD,E01027233,Northampton 026A,Investigation complete; no suspect identified
d308bf3c58790b9566540e111d932c91229127a80252a2d90d3c0167d829b4dd,2013-07,Northamptonshire Police,Northamptonshire Police,-1.173391,52.257550,On or near GRENADIER ROAD,E01027010,Daventry 007E,Investigation complete; no suspect identified
312f6859e7e040091a6c2d5ed8566b6ed6fdb9950e2fce3f51af77a809941044,2013-07,Northamptonshire Police,Northamptonshire Police,-0.807411,52.425099,On or near NUNNERY AVENUE,E01027123,Kettering 003A,Investigation complete; no suspect identified
81ff583706eedf3f7954448bd35b40f2076bb53c812aa6113ccb3dc9e9bad34f,2013-07,Northamptonshire Police,Northamptonshire Police,-0.898586,52.256358,On or near CLARENCE AVENUE,E01027191,Northampton 008B,Investigation complete; no suspect identified
1d38b855001310c862edc40f83d7048f84d913d1be2caff6331bd0850ea53577,2013-07,Northamptonshire Police,Northamptonshire Police,-0.706903,52.402061,On or near AVENUE TERRACE,E01027128,Kettering 005E,Investigation complete; no suspect identified
623a840b4e623d22093b803b6636dbc5ff2d9da9159a415e831b1b147d0b7a66,2013-07,Northamptonshire Police,Northamptonshire Police,-0.701196,52.470732,On or near BELVOIR CLOSE,E01032966,Corby 009E,Investigation complete; no suspect identified
43c54a5b37a5bfa9e53bcf8494226afdcd7e88c22a87653687ffeb0b94b40dce,2013-07,Northamptonshire Police,Northamptonshire Police,-1.148184,52.254143,On or near BEATTY CLOSE,E01027013,Daventry 008D,Investigation complete; no suspect identified
0d7b830d89ec337eb1c3a99fced188afadfe4f536e9f64487cd88daf7b5bcc84,2013-07,Northamptonshire Police,Northamptonshire Police,-0.883513,52.257430,On or near GREENVIEW DRIVE,E01027189,Northampton 015D,Investigation complete; no suspect identified
84d0a1b9104ded103882859915d6c443dcf01b4072fe2e9cbca91b4c72fcb2de,2013-07,Northamptonshire Police,Northamptonshire Police,-1.015866,52.373974,On or near A5199,E01027030,Daventry 001C,Investigation complete; no suspect identified
fcb041a737ff7abc95d44973a06b80d7cd0e92756a5d108b54ab0e622b0c043a,2013-07,Northamptonshire Police,Northamptonshire Police,-1.168133,52.259850,On or near BRAUNSTON ROAD,E01026988,Daventry 007B,Investigation complete; no suspect identified
26f2f757a300802f1b797f9f8ab9c5d54f962e75b08f517467e7f658a36ea9d9,2013-07,Northamptonshire Police,Northamptonshire Police,-1.168133,52.259850,On or near BRAUNSTON ROAD,E01026988,Daventry 007B,Investigation complete; no suspect identified
